Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
45018,0.0124116,221.692140557338,0.000,0.000,0.000,False
45020,0.0134216,221.705562157091,0.000,0.000,0.000,False
45022,0.0160076,221.721569757443,0.000,0.000,0.000,False
45024,0.0239275,221.745497257914,0.000,0.000,0.000,False
45025,0.0167598,221.762257057708,0.000,0.000,0.000,False
45027,0.0160215,221.778278557118,0.000,0.000,0.000,False
45029,0.0167267,221.795005257707,0.000,0.000,0.000,False
45030,0.0161614,221.811166658532,0.000,0.000,0.000,False
45032,0.0175075,221.828674157616,0.000,0.000,0.000,False
45037,0.018942,221.84761615796,0.000,0.000,0.000,False
45040,0.0447546,221.89237075625,0.000,0.000,0.000,False
45041,0.0349084,221.927279155236,0.000,0.000,0.000,False
45043,0.0084144,221.935693555046,0.000,0.000,0.000,False
45045,0.0222068,221.957900355104,0.000,0.000,0.000,False
45047,0.017744,221.975644354243,0.000,0.000,0.000,False
45049,0.0174005,221.993044853676,0.000,0.000,0.000,False
45050,0.017788,222.010832854081,0.000,0.000,0.000,False
45052,0.0168798,222.027712654788,0.000,0.000,0.000,False
45054,0.0154397,222.043152355123,0.000,0.000,0.000,False
45055,0.0162072,222.059359554667,0.000,0.000,0.000,False
45057,0.0174173,222.07677685516,0.000,0.000,0.000,False
45059,0.0171346,222.093911454547,0.000,0.000,0.000,False
45060,0.0157269,222.109638354275,0.000,0.000,0.000,False
45061,0.0161326,222.125770954881,0.000,0.000,0.000,False
45063,0.01302,222.138790955301,0.000,0.000,0.000,False
45065,0.0212836,222.160074555781,0.000,0.000,0.000,False
45067,0.0123208,222.172395355534,0.000,0.000,0.000,False
45068,0.0209204,222.19331575511,0.000,0.000,0.000,False
45070,0.0122799,222.205595654901,0.000,0.000,0.000,False
45071,0.0217883,222.227383953985,0.000,0.000,0.000,False
45074,0.0123406,222.239724553656,0.000,0.000,0.000,False
45075,0.0234309,222.263155454304,0.000,0.000,0.000,False
45076,0.0141993,222.277354754042,0.000,0.000,0.000,False
45078,0.012558,222.289912754204,0.000,0.000,0.000,False
45080,0.0206128,222.310525554698,0.000,0.000,0.000,False
