Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
593581,0.0135169,1774.17766684853,3.000,0.000,0.000,False
593583,0.0139047,1774.19157154858,3.000,0.000,0.000,False
593584,0.0169011,1774.20847264864,3.000,0.000,0.000,False
593586,0.0123653,1774.22083794884,3.000,0.000,0.000,False
593588,0.0246556,1774.24549354799,3.000,0.000,0.000,False
593590,0.0138631,1774.25935664773,3.000,0.000,0.000,False
593591,0.0164598,1774.27581644803,3.000,0.000,0.000,False
593593,0.0167423,1774.29255874828,3.000,0.000,0.000,False
593595,0.017498,1774.31005674787,3.000,0.000,0.000,False
593599,0.0160589,1774.32611564733,3.000,0.000,0.000,False
593602,0.0452706,1774.37138624676,3.000,0.000,0.000,False
593606,0.0353688,1774.40675504692,3.000,0.000,0.000,False
593609,0.0311161,1774.43787114695,3.000,0.000,0.000,False
593612,0.0334415,1774.47131264582,3.000,0.000,0.000,False
593614,0.0352913,1774.50660394505,3.000,0.000,0.000,False
593616,0.0096418,1774.51624574512,3.000,0.000,0.000,False
593617,0.0220248,1774.53827054426,3.000,0.000,0.000,False
593619,0.0155904,1774.5538609447,3.000,0.000,0.000,False
593620,0.0193229,1774.5731838448,3.000,0.000,0.000,False
593622,0.012875,1774.58605884481,3.000,0.000,0.000,False
593624,0.0212463,1774.60730514396,3.000,0.000,0.000,False
593626,0.0112151,1774.61852024402,3.000,0.000,0.000,False
593627,0.0222832,1774.6408034442,3.000,0.000,0.000,False
593629,0.011887,1774.65269044414,3.000,0.000,0.000,False
593630,0.0213066,1774.67399704456,3.000,0.000,0.000,False
593633,0.0110543,1774.68505134434,3.000,0.000,0.000,False
593634,0.021418,1774.70646934398,3.000,0.000,0.000,False
593636,0.0117988,1774.71826814394,3.000,0.000,0.000,False
593637,0.0217873,1774.74005544465,3.000,0.000,0.000,False
593639,0.014907,1774.75496244431,3.000,0.000,0.000,False
593641,0.0183378,1774.77330024354,3.000,0.000,0.000,False
593642,0.0164777,1774.78977794386,3.000,0.000,0.000,False
593644,0.0119603,1774.80173824355,3.000,0.000,0.000,False
593645,0.0212737,1774.82301194407,3.000,0.000,0.000,False
593648,0.0123894,1774.83540134411,3.000,0.000,0.000,False
593649,0.0225909,1774.85799224395,3.000,0.000,0.000,False
593650,0.0172714,1774.87526364345,3.000,0.000,0.000,False
