Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
488470,0.0157163,1261.88128458103,-0.068,0.771,-0.310,50.485,7.548,2.348
488472,0.0237711,1261.90505568078,-0.068,0.771,-0.310,50.494,7.578,2.360
488473,0.0137492,1261.9188048807,-0.068,0.771,-0.310,50.483,7.608,2.369
488475,0.0140202,1261.93282508058,-0.068,0.771,-0.310,50.484,7.654,2.406
488477,0.0168172,1261.94964228151,-0.068,0.771,-0.309,50.465,7.654,2.382
488479,0.0172779,1261.96692018164,-0.068,0.772,-0.309,50.475,7.668,2.362
488480,0.016805,1261.98372518225,-0.068,0.772,-0.309,50.471,7.673,2.345
488482,0.0177865,1262.00151168136,-0.068,0.771,-0.309,50.461,7.662,2.319
488538,0.1092675,1262.56749328179,-0.071,0.772,-0.300,50.441,8.055,2.346
488540,0.0153922,1262.58288548188,-0.071,0.772,-0.300,50.414,8.016,2.313
488542,0.0153805,1262.59826598177,-0.072,0.772,-0.300,50.398,8.000,2.323
488543,0.0193155,1262.61758148158,-0.072,0.772,-0.300,50.397,7.976,2.346
488546,0.0140816,1262.6316630817,-0.072,0.772,-0.300,50.408,8.007,2.401
488547,0.0238785,1262.65554158157,-0.072,0.772,-0.300,50.407,8.043,2.471
488549,0.0186468,1262.67418838246,-0.072,0.772,-0.300,50.433,8.075,2.510
488551,0.019561,1262.69374938263,-0.072,0.772,-0.300,50.458,8.091,2.567
488554,0.0183277,1262.7120770826,-0.073,0.772,-0.300,50.463,8.117,2.645
488556,0.0266063,1262.73868338345,-0.073,0.772,-0.300,50.461,8.107,2.671
488557,0.0195877,1262.75827108277,-0.073,0.772,-0.300,50.476,8.089,2.686
488559,0.0123915,1262.77066258295,-0.073,0.772,-0.300,50.484,8.053,2.705
488562,0.0256545,1262.7963170833,-0.073,0.772,-0.300,50.491,7.996,2.682
488566,0.0323823,1262.82869938156,-0.073,0.772,-0.300,50.456,7.926,2.675
488567,0.0319296,1262.86062898254,-0.073,0.772,-0.300,50.452,7.884,2.669
488569,0.0130665,1262.87369548297,-0.073,0.772,-0.301,50.440,7.863,2.663
488570,0.0151387,1262.88883418264,-0.073,0.772,-0.301,50.421,7.844,2.655
488572,0.0167576,1262.90559178265,-0.073,0.772,-0.301,50.400,7.840,2.658
488574,0.0175682,1262.92315998347,-0.073,0.772,-0.301,50.393,7.843,2.662
488575,0.0170491,1262.94020908372,-0.073,0.772,-0.301,50.380,7.852,2.667
488577,0.0119024,1262.95211148402,-0.073,0.772,-0.301,50.384,7.853,2.670
488579,0.022076,1262.97418748355,-0.073,0.772,-0.301,50.401,7.846,2.663
488581,0.0173644,1262.99155188305,-0.072,0.772,-0.302,50.421,7.858,2.672
488582,0.0144285,1263.00598038314,-0.072,0.772,-0.302,50.445,7.860,2.674
488584,0.0182609,1263.02424128307,-0.072,0.772,-0.302,50.471,7.867,2.681
488586,0.0159038,1263.0401450838,-0.072,0.772,-0.302,50.494,7.875,2.683
488587,0.0180964,1263.05824148422,-0.072,0.772,-0.302,50.502,7.874,2.680
488589,0.0158435,1263.07408498367,-0.072,0.772,-0.302,50.526,7.895,2.693
488591,0.0170504,1263.09113538405,-0.072,0.772,-0.303,50.529,7.908,2.705
488592,0.0164944,1263.10762978485,-0.072,0.772,-0.303,50.541,7.909,2.682
488594,0.0122922,1263.11992198462,-0.072,0.772,-0.303,50.548,7.938,2.666
488596,0.0209554,1263.14087738516,-0.072,0.772,-0.303,50.557,7.948,2.655
488597,0.0182714,1263.15914878482,-0.072,0.772,-0.303,50.582,7.971,2.676
488599,0.0149347,1263.1740834848,-0.071,0.772,-0.303,50.622,8.006,2.711
488601,0.0184699,1263.1925533847,-0.071,0.771,-0.303,50.642,8.029,2.717
488602,0.0163009,1263.2088542846,-0.071,0.771,-0.303,50.663,8.078,2.737
488604,0.0173494,1263.22620368423,-0.071,0.771,-0.303,50.687,8.098,2.755
488606,0.0181042,1263.24430788355,-0.071,0.771,-0.303,50.700,8.146,2.786
488607,0.0146136,1263.258921484,-0.071,0.771,-0.303,50.702,8.147,2.800
488609,0.0175786,1263.27650008397,-0.071,0.771,-0.304,50.698,8.145,2.794
488611,0.0156249,1263.29212498432,-0.071,0.771,-0.304,50.699,8.164,2.805
488613,0.0170265,1263.3091514851,-0.071,0.771,-0.304,50.705,8.152,2.786
