Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
1566044,0.0165441,45.4939171820879,-0.257,0.055,-0.917,0.000,1.000,0.112,-0.014,-0.709,0.665,0.530
1566047,0.0308989,45.5248160827905,-0.258,0.053,-0.918,0.000,1.000,0.111,-0.013,-0.709,0.749,0.537
1566050,0.0240249,45.5488409828395,-0.259,0.052,-0.917,0.000,1.000,0.112,-0.013,-0.709,0.758,0.547
1566054,0.0344422,45.5832831840962,-0.259,0.051,-0.916,0.000,1.000,0.112,-0.013,-0.709,0.795,0.540
1566058,0.0361074,45.6193905826658,-0.258,0.050,-0.914,0.040,1.000,0.113,-0.014,-0.708,0.704,0.533
1566062,0.0410112,45.6604017820209,-0.259,0.049,-0.914,0.060,1.000,0.115,-0.017,-0.705,0.776,0.526
1566067,0.0418282,45.702229982242,-0.259,0.049,-0.914,0.078,1.000,0.115,-0.017,-0.705,0.752,0.500
1566073,0.0518764,45.7541063819081,-0.259,0.050,-0.915,0.134,1.000,0.114,-0.015,-0.706,0.732,0.522
1566080,0.0543416,45.8084479812533,-0.258,0.050,-0.916,0.155,1.000,0.114,-0.013,-0.706,0.872,0.543
1566090,0.0769789,45.8854268807918,-0.258,0.051,-0.916,0.120,1.000,0.113,-0.011,-0.707,0.814,0.491
1566100,0.0996894,45.985116282478,-0.258,0.048,-0.915,0.052,1.000,0.115,-0.014,-0.706,0.828,0.483
1566110,0.1010927,46.0862089861184,-0.249,0.047,-0.907,0.000,0.964,0.128,-0.017,-0.705,0.679,0.479
1566120,0.0988618,46.1850707847625,-0.221,0.050,-0.883,0.000,1.000,0.163,-0.009,-0.708,0.754,0.578
1566130,0.103285,46.2883557844907,-0.214,0.052,-0.880,0.000,0.966,0.169,-0.013,-0.711,0.657,0.574
1566140,0.0971873,46.3855430874974,-0.236,0.053,-0.897,0.063,0.956,0.142,-0.023,-0.709,0.211,0.668
1566142,0.1006537,46.4861967880279,-0.252,0.057,-0.910,0.158,0.990,0.118,-0.022,-0.709,0.491,0.551
1566144,0.0218718,46.508068587631,-0.256,0.057,-0.913,0.224,0.965,0.113,-0.021,-0.709,0.715,0.494
1566146,0.021024,46.5290925875306,-0.262,0.058,-0.918,0.186,0.949,0.105,-0.017,-0.709,0.788,0.502
1566148,0.0153045,46.5443970877677,-0.263,0.058,-0.918,0.107,0.953,0.103,-0.016,-0.710,0.728,0.493
1566149,0.0162115,46.5606085881591,-0.263,0.058,-0.918,0.052,0.963,0.103,-0.015,-0.711,0.709,0.485
1566150,0.0190078,46.579616388306,-0.262,0.057,-0.918,0.000,0.984,0.104,-0.015,-0.711,0.631,0.487
0,0.0154221,46.5950384885073,-0.262,0.058,-0.918,0.000,1.000,0.104,-0.015,-0.711,0.530,0.494
0,0.0239553,46.6189937889576,-0.262,0.057,-0.918,0.013,1.000,0.105,-0.015,-0.711,0.466,0.477
0,0.0121768,46.6311705885455,-0.262,0.057,-0.918,0.039,1.000,0.105,-0.015,-0.711,0.419,0.464
0,0.0197427,46.6509132878855,-0.262,0.057,-0.918,0.084,1.000,0.105,-0.015,-0.711,0.402,0.453
1566160,0.0139266,46.6648398879915,-0.261,0.057,-0.918,0.103,0.981,0.105,-0.015,-0.711,0.435,0.437
0,0.0174751,46.6823149882257,-0.261,0.058,-0.918,0.083,0.955,0.104,-0.015,-0.711,0.477,0.446
1566163,0.0149056,46.6972205881029,-0.261,0.058,-0.918,0.044,0.944,0.104,-0.016,-0.710,0.507,0.457
1566165,0.0171372,46.7143577877432,-0.261,0.059,-0.918,0.025,0.934,0.103,-0.016,-0.710,0.509,0.462
1566166,0.0166864,46.7310441881418,-0.261,0.059,-0.919,0.002,0.910,0.103,-0.016,-0.711,0.568,0.478
1566168,0.0172724,46.7483165878803,-0.261,0.060,-0.919,0.000,0.912,0.102,-0.016,-0.711,0.594,0.483
1566169,0.0182483,46.766564887017,-0.262,0.060,-0.920,0.000,0.945,0.102,-0.016,-0.711,0.592,0.488
1566171,0.0154629,46.7820277865976,-0.262,0.059,-0.920,0.002,0.986,0.102,-0.016,-0.712,0.528,0.515
1566173,0.0171798,46.7992075867951,-0.263,0.059,-0.920,0.065,1.000,0.101,-0.015,-0.712,0.575,0.557
1566174,0.0173574,46.8165649864823,-0.263,0.058,-0.920,0.079,1.000,0.101,-0.015,-0.713,0.587,0.604
1566176,0.0156927,46.8322576861829,-0.264,0.057,-0.920,0.101,1.000,0.101,-0.014,-0.713,0.606,0.610
1566178,0.0167214,46.8489790856838,-0.263,0.057,-0.920,0.177,1.000,0.101,-0.013,-0.714,0.623,0.593
1566180,0.0177056,46.8666846863925,-0.263,0.058,-0.920,0.190,1.000,0.101,-0.013,-0.714,0.639,0.570
1566181,0.0160896,46.8827742859721,-0.263,0.058,-0.920,0.246,0.985,0.101,-0.014,-0.713,0.570,0.578
1566183,0.017806,46.900580285117,-0.263,0.058,-0.920,0.293,0.949,0.100,-0.013,-0.714,0.563,0.560
0,0.0162827,46.9168629851192,-0.263,0.059,-0.920,0.300,0.957,0.099,-0.012,-0.715,0.598,0.516
1566186,0.0211016,46.9379645846784,-0.263,0.058,-0.920,0.324,0.952,0.099,-0.012,-0.715,0.563,0.492
1566188,0.0099668,46.9479313846678,-0.263,0.058,-0.920,0.278,0.955,0.099,-0.011,-0.716,0.554,0.482
1566189,0.0171883,46.9651196841151,-0.264,0.059,-0.921,0.330,0.949,0.098,-0.011,-0.716,0.523,0.493
1566191,0.0169318,46.9820514842868,-0.265,0.059,-0.921,0.330,0.949,0.096,-0.011,-0.717,0.523,0.493
1566193,0.0162783,46.9983297847211,-0.265,0.059,-0.920,0.330,0.949,0.097,-0.011,-0.717,0.523,0.493
1566194,0.0163608,47.0146905854344,-0.265,0.059,-0.921,0.296,0.969,0.096,-0.010,-0.718,0.798,0.639
1566196,0.0172508,47.0319413859397,-0.266,0.059,-0.921,0.181,1.000,0.096,-0.010,-0.720,0.862,0.594
1566198,0.0176118,47.0495531857014,-0.266,0.059,-0.921,0.181,1.000,0.095,-0.008,-0.720,0.862,0.594
1566199,0.0156643,47.0652174856514,-0.266,0.058,-0.921,0.336,1.000,0.096,-0.008,-0.720,0.878,0.583
1566201,0.0228747,47.0880921855569,-0.266,0.059,-0.920,0.289,1.000,0.096,-0.008,-0.720,0.968,0.571
1566202,0.0106756,47.0987677853554,-0.267,0.059,-0.920,0.330,0.986,0.096,-0.007,-0.720,0.924,0.586
1566204,0.0186067,47.1173744853586,-0.266,0.060,-0.920,0.363,0.953,0.097,-0.006,-0.720,0.812,0.614
