Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
1521771,0.0143701,1645.3664974235,3.000,0.000,0.000,False
1521773,0.0139812,1645.38047862332,3.000,0.000,0.000,False
1521774,0.0168076,1645.39728622418,3.000,0.000,0.000,False
1521776,0.0172355,1645.41452172492,3.000,0.000,0.000,False
1521778,0.0176319,1645.43215362448,3.000,0.000,0.000,False
1521780,0.017146,1645.44929962512,3.000,0.000,0.000,False
1521781,0.018048,1645.46734762471,3.000,0.000,0.000,False
1521783,0.0177731,1645.48512072396,3.000,0.000,0.000,False
1521785,0.015982,1645.50110272411,3.000,0.000,0.000,False
1521829,0.1098577,1645.95510712173,3.000,0.000,0.000,False
1521832,0.0115972,1645.96670432203,3.000,0.000,0.000,False
1521835,0.0261177,1645.99282202125,3.000,0.000,0.000,False
1521838,0.0283408,1646.02116282098,3.000,0.000,0.000,False
1521841,0.0292746,1646.05043742061,3.000,0.000,0.000,False
1521844,0.035428,1646.08586541936,3.000,0.000,0.000,False
1521847,0.0265664,1646.11243181862,3.000,0.000,0.000,False
1521851,0.0340124,1646.14644421823,3.000,0.000,0.000,False
1521853,0.0396418,1646.1860860195,3.000,0.000,0.000,False
1521855,0.0201642,1646.20625021867,3.000,0.000,0.000,False
1521857,0.0172117,1646.22346191853,3.000,0.000,0.000,False
1521859,0.0171247,1646.24058661796,3.000,0.000,0.000,False
1521860,0.016952,1646.25753861852,3.000,0.000,0.000,False
1521862,0.0169438,1646.27448241785,3.000,0.000,0.000,False
1521864,0.0167672,1646.29124961793,3.000,0.000,0.000,False
1521865,0.0169865,1646.30823611841,3.000,0.000,0.000,False
1521867,0.0169814,1646.32521751896,3.000,0.000,0.000,False
1521869,0.0207314,1646.34594891965,3.000,0.000,0.000,False
1521871,0.0173837,1646.36333261989,3.000,0.000,0.000,False
1521872,0.0214422,1646.38477481902,3.000,0.000,0.000,False
1521874,0.0119556,1646.39673041925,3.000,0.000,0.000,False
1521876,0.0176789,1646.41440931894,3.000,0.000,0.000,False
1521877,0.0156234,1646.43003271893,3.000,0.000,0.000,False
1521879,0.0164423,1646.44647501968,3.000,0.000,0.000,False
1521881,0.0169386,1646.46341362037,3.000,0.000,0.000,False
1521882,0.015866,1646.47927962057,3.000,0.000,0.000,False
1521884,0.0169046,1646.49618422054,3.000,0.000,0.000,False
1521886,0.0179389,1646.51412312128,3.000,0.000,0.000,False
1521887,0.0168512,1646.53097432107,3.000,0.000,0.000,False
1521889,0.0163375,1646.54731182195,3.000,0.000,0.000,False
1521891,0.0194661,1646.56677792221,3.000,0.000,0.000,False
1521892,0.0182091,1646.58498702198,3.000,0.000,0.000,False
1521894,0.013578,1646.59856502153,3.000,0.000,0.000,False
1521896,0.0156207,1646.61418572161,3.000,0.000,0.000,False
1521897,0.0155914,1646.62977712136,3.000,0.000,0.000,False
1521899,0.0193395,1646.64911662135,3.000,0.000,0.000,False
1521901,0.0146649,1646.66378152091,3.000,0.000,0.000,False
1521902,0.0172856,1646.68106712122,3.000,0.000,0.000,False
1521904,0.0156941,1646.69676122162,3.000,0.000,0.000,False
1521906,0.0169682,1646.71372942161,3.000,0.000,0.000,False
1521907,0.0165851,1646.73031452205,3.000,0.000,0.000,False
1521909,0.0180111,1646.74832562264,3.000,0.000,0.000,False
