Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
1521771,0.0143701,1645.3664974235,0.011,0.933,-0.360,38.331,358.844,359.286
1521773,0.0139812,1645.38047862332,0.011,0.933,-0.361,38.343,358.859,359.318
1521774,0.0168076,1645.39728622418,0.011,0.933,-0.361,38.324,358.873,359.348
1521776,0.0172355,1645.41452172492,0.011,0.933,-0.362,38.297,358.889,359.364
1521778,0.0176319,1645.43215362448,0.011,0.933,-0.362,38.272,358.913,359.376
1521780,0.017146,1645.44929962512,0.011,0.933,-0.363,38.263,358.929,359.387
1521781,0.018048,1645.46734762471,0.011,0.933,-0.364,38.230,358.979,359.409
1521783,0.0177731,1645.48512072396,0.011,0.933,-0.365,38.220,359.027,359.422
1521785,0.015982,1645.50110272411,0.010,0.933,-0.365,38.237,359.078,359.433
1521829,0.1098577,1645.95510712173,0.006,0.934,-0.380,38.470,0.300,359.841
1521832,0.0115972,1645.96670432203,0.006,0.933,-0.380,38.464,0.398,359.871
1521835,0.0261177,1645.99282202125,0.005,0.934,-0.381,38.410,0.520,359.905
1521838,0.0283408,1646.02116282098,0.004,0.934,-0.382,38.378,0.571,359.913
1521841,0.0292746,1646.05043742061,0.004,0.934,-0.382,38.411,0.644,359.934
1521844,0.035428,1646.08586541936,0.003,0.934,-0.384,38.437,0.780,359.990
1521847,0.0265664,1646.11243181862,0.002,0.934,-0.384,38.419,0.790,0.041
1521851,0.0340124,1646.14644421823,0.001,0.933,-0.385,38.455,0.801,0.095
1521853,0.0396418,1646.1860860195,0.000,0.934,-0.385,38.447,0.790,0.099
1521855,0.0201642,1646.20625021867,0.000,0.934,-0.386,38.429,0.771,0.093
1521857,0.0172117,1646.22346191853,-0.001,0.934,-0.386,38.419,0.769,0.089
1521859,0.0171247,1646.24058661796,-0.001,0.934,-0.386,38.432,0.768,0.097
1521860,0.016952,1646.25753861852,-0.002,0.933,-0.386,38.467,0.765,0.089
1521862,0.0169438,1646.27448241785,-0.002,0.933,-0.387,38.490,0.779,0.108
1521864,0.0167672,1646.29124961793,-0.002,0.933,-0.387,38.565,0.797,0.152
1521865,0.0169865,1646.30823611841,-0.003,0.933,-0.387,38.640,0.821,0.177
1521867,0.0169814,1646.32521751896,-0.003,0.933,-0.388,38.743,0.864,0.218
1521869,0.0207314,1646.34594891965,-0.004,0.933,-0.388,38.830,0.919,0.249
1521871,0.0173837,1646.36333261989,-0.004,0.932,-0.388,38.934,0.946,0.257
1521872,0.0214422,1646.38477481902,-0.005,0.932,-0.388,39.050,1.002,0.287
1521874,0.0119556,1646.39673041925,-0.005,0.932,-0.389,39.141,1.032,0.313
1521876,0.0176789,1646.41440931894,-0.005,0.932,-0.389,39.202,1.092,0.346
1521877,0.0156234,1646.43003271893,-0.006,0.931,-0.389,39.237,1.152,0.387
1521879,0.0164423,1646.44647501968,-0.006,0.931,-0.390,39.288,1.208,0.417
1521881,0.0169386,1646.46341362037,-0.007,0.931,-0.390,39.348,1.282,0.474
1521882,0.015866,1646.47927962057,-0.007,0.931,-0.390,39.435,1.347,0.511
1521884,0.0169046,1646.49618422054,-0.008,0.931,-0.391,39.539,1.417,0.554
1521886,0.0179389,1646.51412312128,-0.008,0.931,-0.391,39.637,1.479,0.595
1521887,0.0168512,1646.53097432107,-0.009,0.930,-0.391,39.753,1.550,0.639
1521889,0.0163375,1646.54731182195,-0.009,0.930,-0.392,39.888,1.618,0.673
1521891,0.0194661,1646.56677792221,-0.010,0.930,-0.392,40.026,1.661,0.701
1521892,0.0182091,1646.58498702198,-0.010,0.929,-0.393,40.198,1.715,0.716
1521894,0.013578,1646.59856502153,-0.011,0.929,-0.393,40.411,1.777,0.734
1521896,0.0156207,1646.61418572161,-0.011,0.928,-0.393,40.695,1.863,0.774
1521897,0.0155914,1646.62977712136,-0.012,0.927,-0.394,41.027,1.963,0.833
1521899,0.0193395,1646.64911662135,-0.013,0.926,-0.394,41.348,2.058,0.879
1521901,0.0146649,1646.66378152091,-0.013,0.925,-0.395,41.666,2.171,0.921
1521902,0.0172856,1646.68106712122,-0.014,0.924,-0.395,41.998,2.299,0.975
1521904,0.0156941,1646.69676122162,-0.015,0.924,-0.395,42.357,2.438,1.035
1521906,0.0169682,1646.71372942161,-0.015,0.922,-0.396,42.715,2.595,1.102
1521907,0.0165851,1646.73031452205,-0.016,0.921,-0.396,43.081,2.791,1.190
1521909,0.0180111,1646.74832562264,-0.017,0.920,-0.396,43.454,3.004,1.292
1521911,0.0163969,1646.76472252328,-0.018,0.919,-0.397,43.791,3.215,1.360
1521912,0.0159909,1646.78071342316,-0.018,0.918,-0.397,44.091,3.431,1.443
1521914,0.0155585,1646.796271923,-0.019,0.917,-0.397,44.398,3.662,1.534
1521915,0.0176882,1646.81396012288,-0.020,0.916,-0.398,44.715,3.916,1.653
1521917,0.0162047,1646.83016482275,-0.021,0.915,-0.398,44.997,4.157,1.765
1521919,0.0176056,1646.84777042363,-0.023,0.914,-0.398,45.267,4.410,1.862
1521921,0.0167424,1646.86451282445,-0.024,0.913,-0.398,45.510,4.656,1.956
1521922,0.0159964,1646.88050922472,-0.025,0.912,-0.399,45.770,4.898,2.055
1521924,0.0212994,1646.90180862416,-0.026,0.912,-0.399,46.050,5.182,2.184
1521926,0.0122187,1646.91402732395,-0.028,0.910,-0.399,46.384,5.451,2.287
1521927,0.0175574,1646.93158472329,-0.029,0.909,-0.399,46.721,5.720,2.385
1521929,0.0160173,1646.94760202244,-0.031,0.908,-0.400,47.100,6.021,2.504
1521931,0.0176728,1646.96527482197,-0.032,0.907,-0.400,47.464,6.303,2.621
1521932,0.0159103,1646.98118512146,-0.034,0.905,-0.400,47.824,6.603,2.724
1521934,0.0215283,1647.00271342136,-0.036,0.904,-0.400,48.240,6.986,2.876
1521936,0.0107551,1647.01346852165,-0.037,0.903,-0.400,48.532,7.307,3.038
1521937,0.016375,1647.0298435213,-0.039,0.902,-0.400,48.792,7.640,3.164
1521939,0.01774,1647.04758352134,-0.041,0.900,-0.400,49.037,8.003,3.314
1521941,0.0156633,1647.06324682105,-0.042,0.899,-0.400,49.300,8.367,3.478
1521942,0.0177279,1647.08097472135,-0.044,0.898,-0.400,49.542,8.674,3.615
1521944,0.0156646,1647.09663932119,-0.046,0.897,-0.400,49.843,9.046,3.749
1521946,0.0180301,1647.11466942076,-0.047,0.896,-0.400,50.127,9.457,3.932
1521947,0.0149826,1647.12965202052,-0.049,0.894,-0.400,50.418,9.836,4.091
1521949,0.0170492,1647.14670122135,-0.051,0.893,-0.400,50.673,10.245,4.261
1521951,0.0163275,1647.1630287217,-0.052,0.892,-0.399,50.909,10.629,4.407
1521952,0.0171384,1647.18016712088,-0.054,0.891,-0.399,51.133,11.063,4.616
1521954,0.0173774,1647.19754452165,-0.056,0.890,-0.399,51.321,11.446,4.817
1521956,0.0165908,1647.21413532179,-0.057,0.889,-0.399,51.471,11.844,5.049
1521957,0.0160911,1647.23022642266,-0.058,0.888,-0.399,51.576,12.222,5.277
1521959,0.0176605,1647.24788692314,-0.059,0.887,-0.400,51.592,12.576,5.515
1521961,0.016002,1647.26388892252,-0.060,0.886,-0.400,51.533,12.806,5.683
1521962,0.0167237,1647.28061262239,-0.061,0.886,-0.400,51.366,12.957,5.802
1521965,0.0227534,1647.30336602312,-0.063,0.886,-0.401,51.041,13.101,5.991
1521967,0.0277977,1647.33116372395,-0.063,0.886,-0.401,50.878,13.078,6.070
1521969,0.016555,1647.34771872405,-0.063,0.886,-0.402,50.722,12.991,6.137
1521971,0.0174406,1647.36515932437,-0.063,0.887,-0.403,50.543,12.860,6.214
1521972,0.0153225,1647.38048182428,-0.063,0.888,-0.404,50.348,12.658,6.241
1521974,0.0224839,1647.40296572447,-0.062,0.889,-0.406,50.150,12.370,6.191
1521976,0.0112936,1647.41425932478,-0.062,0.890,-0.407,49.983,12.052,6.107
1521977,0.0167324,1647.43099172506,-0.061,0.891,-0.409,49.789,11.684,6.011
1521979,0.0153206,1647.44631232508,-0.060,0.892,-0.411,49.579,11.223,5.843
1521981,0.0166188,1647.46293112449,-0.059,0.893,-0.412,49.370,10.730,5.662
1521982,0.0177721,1647.48070322536,-0.057,0.893,-0.414,49.172,10.205,5.463
1521984,0.0160748,1647.49677802622,-0.055,0.894,-0.416,48.967,9.700,5.272
1521986,0.0171365,1647.51391452551,-0.053,0.895,-0.418,48.723,9.081,5.016
1521987,0.0168576,1647.53077212535,-0.051,0.895,-0.420,48.500,8.429,4.737
1521989,0.0163177,1647.54708982445,-0.049,0.896,-0.422,48.308,7.745,4.447
1521991,0.0159374,1647.56302722357,-0.046,0.896,-0.424,48.148,7.032,4.179
1521992,0.0177064,1647.58073362336,-0.043,0.897,-0.426,47.922,6.185,3.885
1521994,0.0175291,1647.59826272354,-0.040,0.897,-0.428,47.716,5.416,3.623
1521995,0.0128245,1647.61108722351,-0.036,0.898,-0.430,47.497,4.696,3.396
1521997,0.0174321,1647.62851932272,-0.033,0.898,-0.432,47.255,3.901,3.169
1521999,0.0190682,1647.64758752286,-0.029,0.899,-0.434,47.083,3.103,2.936
1522001,0.0130356,1647.66062312294,-0.024,0.899,-0.436,46.967,2.288,2.693
1522002,0.021291,1647.68191412371,-0.020,0.900,-0.437,46.900,1.503,2.450
1522004,0.017097,1647.69901112374,-0.015,0.901,-0.439,46.866,0.734,2.184
1522006,0.0201146,1647.7191257244,-0.011,0.901,-0.441,46.882,359.969,1.875
1522007,0.0150929,1647.73421862442,-0.006,0.902,-0.442,46.905,359.240,1.538
1522009,0.0146985,1647.74891712423,-0.001,0.903,-0.444,46.886,358.524,1.156
1522011,0.0166657,1647.76558282506,0.005,0.903,-0.445,46.767,357.805,0.740
1522012,0.0161939,1647.78177672531,0.010,0.904,-0.447,46.560,357.116,0.344
1522014,0.0173399,1647.79911662545,0.015,0.904,-0.448,46.314,356.512,0.025
1522016,0.0161983,1647.81531492528,0.020,0.904,-0.449,46.074,355.940,359.711
1522017,0.0173407,1647.83265562449,0.025,0.904,-0.450,45.903,355.378,359.425
1522019,0.0159197,1647.84857532475,0.031,0.904,-0.451,45.780,354.834,359.154
1522021,0.0180981,1647.86667342391,0.035,0.904,-0.452,45.701,354.380,358.948
1522022,0.0163753,1647.88304872345,0.040,0.903,-0.453,45.642,353.927,358.771
1522024,0.0162673,1647.8993160231,0.045,0.903,-0.453,45.568,353.486,358.605
1522026,0.0213964,1647.92071242351,0.049,0.903,-0.454,45.516,353.058,358.460
1522028,0.0123702,1647.93308262341,0.053,0.903,-0.455,45.510,352.631,358.294
1522029,0.0184505,1647.95153312385,0.056,0.902,-0.456,45.541,352.162,358.072
1522031,0.0146702,1647.96620332357,0.060,0.902,-0.457,45.588,351.751,357.857
1522032,0.0168502,1647.98305352312,0.063,0.902,-0.459,45.650,351.330,357.610
1522034,0.0164144,1647.99946792331,0.066,0.901,-0.460,45.697,350.952,357.411
1522036,0.0171914,1648.01665932406,0.069,0.901,-0.461,45.767,350.545,357.225
1522037,0.016396,1648.03305532318,0.071,0.901,-0.463,45.871,350.158,357.030
1522039,0.0173935,1648.05044882279,0.073,0.900,-0.464,46.039,349.771,356.794
1522041,0.0160025,1648.06645132322,0.075,0.900,-0.465,46.240,349.399,356.551
1522042,0.0160006,1648.08245192375,0.077,0.899,-0.467,46.526,349.026,356.298
1522044,0.0172945,1648.09974642377,0.078,0.899,-0.469,46.820,348.635,356.026
1522045,0.0165128,1648.11625922378,0.080,0.898,-0.470,47.062,348.277,355.756
1522047,0.0124976,1648.12875682395,0.081,0.898,-0.472,47.205,347.952,355.477
1522049,0.0209595,1648.14971632417,0.082,0.898,-0.474,47.302,347.633,355.152
1522051,0.0161931,1648.16590942349,0.082,0.898,-0.475,47.359,347.411,354.873
1522052,0.0161636,1648.1820730241,0.083,0.899,-0.477,47.369,347.255,354.654
1522054,0.0170737,1648.19914672431,0.084,0.899,-0.479,47.354,347.123,354.475
1522056,0.0161114,1648.21525812428,0.084,0.899,-0.482,47.213,347.098,354.404
1522057,0.0175678,1648.23282592464,0.084,0.900,-0.484,47.030,347.126,354.359
1522059,0.0157613,1648.24858722556,0.084,0.901,-0.486,46.778,347.203,354.327
1522061,0.016671,1648.26525822561,0.084,0.902,-0.488,46.531,347.339,354.252
1522062,0.0164032,1648.28166142572,0.084,0.903,-0.491,46.313,347.516,354.186
1522063,0.016245,1648.29790642578,0.083,0.903,-0.493,46.107,347.757,354.110
1522066,0.0131685,1648.31107492559,0.082,0.904,-0.496,45.929,348.054,354.055
1522067,0.02261,1648.33368492499,0.082,0.905,-0.499,45.792,348.382,354.018
1522069,0.0151575,1648.34884242527,0.081,0.905,-0.502,45.595,348.790,354.042
1522071,0.0163971,1648.36523952521,0.079,0.906,-0.504,45.403,349.199,354.040
1522072,0.0167743,1648.3820138257,0.078,0.907,-0.507,45.200,349.633,354.028
1522074,0.0164182,1648.39843202569,0.076,0.907,-0.510,45.037,350.110,354.034
1522075,0.0167338,1648.41516582482,0.074,0.908,-0.513,44.885,350.629,354.078
1522077,0.0134981,1648.42866392527,0.072,0.909,-0.516,44.676,351.182,354.136
1522079,0.0204349,1648.44909882452,0.069,0.909,-0.520,44.383,351.773,354.183
1522081,0.0161807,1648.46527952421,0.067,0.910,-0.522,44.049,352.367,354.247
1522082,0.0173172,1648.48259672429,0.064,0.911,-0.525,43.725,352.961,354.331
1522084,0.0162187,1648.49881542381,0.060,0.912,-0.528,43.433,353.575,354.446
1522085,0.0166887,1648.51550412457,0.057,0.912,-0.531,43.224,354.166,354.585
1522087,0.011875,1648.52737912443,0.053,0.913,-0.534,43.120,354.747,354.746
1522089,0.0219861,1648.54936522525,0.049,0.913,-0.537,43.096,355.309,354.947
1522091,0.0153745,1648.56473972555,0.045,0.914,-0.540,43.144,355.861,355.190
1522092,0.0175857,1648.58232542593,0.040,0.914,-0.543,43.163,356.347,355.386
1522094,0.0166703,1648.59899572562,0.036,0.914,-0.546,43.180,356.828,355.567
1522096,0.0171537,1648.61614942644,0.032,0.914,-0.548,43.155,357.260,355.707
1522097,0.0180395,1648.63418892678,0.027,0.915,-0.551,43.109,357.708,355.858
1522099,0.0145867,1648.64877562691,0.022,0.915,-0.553,43.024,358.147,356.030
1522101,0.0167185,1648.66549412627,0.018,0.915,-0.555,42.907,358.616,356.231
1522102,0.0164266,1648.68192072678,0.013,0.915,-0.557,42.782,359.051,356.426
1522103,0.0172746,1648.69919532631,0.008,0.915,-0.559,42.696,359.498,356.659
1522106,0.0124547,1648.71165002603,0.003,0.915,-0.561,42.669,359.928,356.907
1522107,0.0217507,1648.73340072576,-0.001,0.915,-0.563,42.614,0.353,357.147
1522108,0.0109079,1648.74430862535,-0.006,0.916,-0.564,42.529,0.755,357.373
1522110,0.0205555,1648.76486412529,-0.011,0.916,-0.566,42.403,1.136,357.596
1522112,0.0175206,1648.78238472622,-0.015,0.916,-0.568,42.234,1.520,357.818
1522114,0.0157214,1648.79810612556,-0.020,0.917,-0.569,42.030,1.890,358.022
1522115,0.0172072,1648.81531332526,-0.025,0.917,-0.570,41.801,2.239,358.211
1522117,0.0165692,1648.83188252617,-0.029,0.918,-0.572,41.550,2.578,358.395
1522119,0.011817,1648.84369952604,-0.033,0.918,-0.573,41.297,2.936,358.605
1522120,0.0213557,1648.86505522579,-0.037,0.918,-0.574,41.100,3.246,358.786
1522122,0.0183934,1648.88344862498,-0.041,0.919,-0.576,40.981,3.566,358.971
1522124,0.0160732,1648.89952182584,-0.045,0.919,-0.577,40.880,3.845,359.123
1522125,0.0168149,1648.9163367264,-0.048,0.919,-0.578,40.753,4.149,359.259
1522127,0.016245,1648.93258172646,-0.051,0.919,-0.579,40.634,4.426,359.360
1522129,0.0124079,1648.9449896263,-0.054,0.919,-0.580,40.504,4.723,359.489
1522131,0.0208161,1648.96580572706,-0.057,0.919,-0.581,40.382,5.003,359.623
1522132,0.0163725,1648.98217822704,-0.059,0.919,-0.582,40.262,5.270,359.787
1522134,0.0166512,1648.99882942718,-0.062,0.919,-0.583,40.164,5.515,359.981
1522136,0.0161357,1649.01496512722,-0.064,0.919,-0.584,40.093,5.718,0.198
1522137,0.0182509,1649.03321602661,-0.065,0.919,-0.585,40.022,5.881,0.430
1522139,0.0108756,1649.044091627,-0.067,0.919,-0.585,39.979,5.995,0.666
1522140,0.0212573,1649.06534892693,-0.068,0.919,-0.586,39.956,6.095,0.894
1522142,0.0165378,1649.08188672736,-0.069,0.919,-0.587,39.980,6.097,1.075
1522144,0.0170676,1649.0989543274,-0.069,0.919,-0.588,40.021,6.106,1.288
1522145,0.0159329,1649.11488722824,-0.069,0.920,-0.588,40.036,6.023,1.431
1522147,0.0177374,1649.13262462802,-0.069,0.920,-0.589,40.016,5.907,1.531
1522149,0.0121823,1649.144806928,-0.069,0.921,-0.589,39.916,5.751,1.584
1522150,0.0209279,1649.16573482845,-0.069,0.922,-0.590,39.710,5.504,1.544
1522152,0.0158352,1649.18157002795,-0.068,0.923,-0.590,39.481,5.241,1.490
1522154,0.016385,1649.19795502815,-0.067,0.924,-0.590,39.187,4.935,1.410
1522155,0.0177043,1649.21565932874,-0.065,0.925,-0.590,38.883,4.623,1.351
1522157,0.016097,1649.23175632861,-0.064,0.926,-0.590,38.593,4.305,1.282
1522159,0.0116476,1649.24340392835,-0.062,0.927,-0.589,38.334,3.967,1.209
1522160,0.0216059,1649.26500982791,-0.060,0.928,-0.589,38.148,3.627,1.112
1522162,0.0170207,1649.28203052841,-0.057,0.929,-0.588,37.975,3.307,1.006
1522164,0.0163332,1649.29836372845,-0.055,0.930,-0.587,37.746,3.007,0.887
1522165,0.0172208,1649.31558452919,-0.052,0.931,-0.586,37.501,2.723,0.772
1522167,0.0162345,1649.33181902952,-0.049,0.932,-0.585,37.227,2.461,0.676
1522169,0.013632,1649.34545102995,-0.045,0.933,-0.584,36.951,2.197,0.587
1522170,0.0196878,1649.36513882969,-0.042,0.933,-0.582,36.647,1.930,0.488
1522172,0.0120657,1649.37720452994,-0.038,0.934,-0.580,36.306,1.651,0.415
1522174,0.021599,1649.39880353026,-0.034,0.935,-0.579,35.999,1.363,0.337
1522175,0.0179588,1649.41676232964,-0.030,0.935,-0.577,35.707,1.080,0.259
1522177,0.0167556,1649.43351792917,-0.026,0.936,-0.575,35.437,0.808,0.157
1522179,0.0108707,1649.44438862894,-0.022,0.936,-0.573,35.227,0.519,0.045
1522180,0.0220151,1649.46640372928,-0.018,0.937,-0.570,35.062,0.210,359.945
1522182,0.0122222,1649.47862592898,-0.014,0.937,-0.568,34.876,359.891,359.847
1522184,0.0223751,1649.50100102834,-0.010,0.938,-0.566,34.701,359.578,359.788
1522185,0.015824,1649.51682502776,-0.006,0.938,-0.563,34.482,359.258,359.734
1522187,0.0169236,1649.53374862857,-0.001,0.939,-0.561,34.243,358.935,359.676
1522189,0.0110865,1649.54483512882,0.003,0.939,-0.558,34.016,358.594,359.620
1522190,0.0213004,1649.5661355285,0.007,0.939,-0.554,33.830,358.242,359.567
1522192,0.0158513,1649.58198682871,0.011,0.939,-0.551,33.697,357.914,359.533
1522194,0.0160303,1649.59801712912,0.015,0.939,-0.548,33.592,357.554,359.494
1522195,0.0168679,1649.61488502938,0.019,0.939,-0.544,33.507,357.175,359.447
1522197,0.0166063,1649.63149132859,0.023,0.939,-0.540,33.456,356.786,359.382
1522199,0.0147281,1649.64621942863,0.027,0.938,-0.536,33.404,356.361,359.279
1522200,0.0187838,1649.66500322893,0.030,0.937,-0.531,33.379,355.947,359.137
1522202,0.0127561,1649.67775932886,0.033,0.936,-0.527,33.407,355.532,358.931
1522203,0.0220809,1649.699840229,0.037,0.935,-0.522,33.507,355.137,358.646
1522205,0.0118472,1649.71168742888,0.039,0.934,-0.517,33.631,354.766,358.340
1522207,0.0205782,1649.73226562887,0.042,0.933,-0.512,33.840,354.428,358.034
1522209,0.0148656,1649.74713122845,0.044,0.931,-0.507,34.104,354.114,357.727
1522210,0.0187008,1649.76583202928,0.046,0.930,-0.502,34.392,353.831,357.439
1522212,0.0117883,1649.77762032952,0.048,0.929,-0.497,34.645,353.584,357.170
1522213,0.021655,1649.79927533027,0.050,0.928,-0.492,34.917,353.397,356.908
1522215,0.0137643,1649.81303963065,0.051,0.927,-0.487,35.215,353.257,356.661
1522217,0.020148,1649.8331876304,0.052,0.926,-0.482,35.517,353.176,356.474
1522219,0.0162545,1649.84944212995,0.053,0.925,-0.477,35.770,353.114,356.324
1522220,0.0175032,1649.86694533005,0.053,0.924,-0.473,35.964,353.128,356.250
1522222,0.0118691,1649.87881442998,0.053,0.923,-0.468,36.162,353.170,356.166
1522223,0.0217068,1649.90052123088,0.053,0.922,-0.464,36.320,353.254,356.089
1522225,0.0130156,1649.91353683081,0.052,0.921,-0.459,36.447,353.423,356.052
1522227,0.0202788,1649.93381563108,0.052,0.920,-0.455,36.560,353.611,356.030
1522229,0.0144725,1649.94828813151,0.051,0.918,-0.450,36.673,353.824,355.999
1522230,0.0187059,1649.96699403226,0.050,0.917,-0.446,36.859,354.074,356.023
1522232,0.0116581,1649.97865213268,0.048,0.916,-0.442,37.110,354.314,356.037
1522234,0.0207726,1649.99942473322,0.046,0.915,-0.437,37.417,354.612,356.050
1522235,0.0163476,1650.01577233337,0.044,0.914,-0.433,37.738,354.885,356.061
1522237,0.0171349,1650.03290723264,0.042,0.913,-0.428,38.052,355.177,356.115
1522239,0.0206372,1650.05354443192,0.039,0.912,-0.423,38.343,355.515,356.155
1522240,0.011546,1650.06509043183,0.036,0.912,-0.419,38.565,355.820,356.227
1522242,0.0169057,1650.08199613262,0.033,0.911,-0.414,38.609,356.162,356.371
1522243,0.0161173,1650.09811343346,0.031,0.911,-0.410,38.607,356.478,356.494
1522245,0.0166919,1650.11480533425,0.027,0.910,-0.405,38.566,356.824,356.600
1522247,0.0161234,1650.13092873339,0.024,0.910,-0.402,38.563,357.087,356.654
1522248,0.0216573,1650.15258603264,0.020,0.908,-0.397,38.650,357.462,356.712
1522250,0.0121962,1650.1647822326,0.017,0.907,-0.393,38.814,357.788,356.773
1522252,0.0166118,1650.1813940322,0.013,0.906,-0.390,39.032,358.137,356.812
1522253,0.0171756,1650.19856963214,0.010,0.905,-0.386,39.307,358.490,356.885
1522255,0.0162522,1650.21482183132,0.006,0.904,-0.383,39.635,358.864,356.983
1522257,0.0153463,1650.23016813118,0.003,0.903,-0.381,39.985,359.182,357.100
1522258,0.0226133,1650.25278143119,-0.002,0.902,-0.377,40.499,359.677,357.334
1522260,0.0118794,1650.26466083154,-0.006,0.901,-0.375,40.845,0.044,357.575
1522262,0.0164457,1650.28110653162,-0.010,0.900,-0.372,41.171,0.440,357.877
1522263,0.0157205,1650.2968270313,-0.014,0.899,-0.370,41.400,0.793,358.100
1522265,0.0162901,1650.31311713159,-0.018,0.898,-0.368,41.587,1.141,358.286
1522267,0.0171197,1650.33023683168,-0.021,0.898,-0.366,41.710,1.427,358.410
1522268,0.020885,1650.35112183169,-0.025,0.897,-0.365,41.841,1.748,358.552
1522270,0.0141078,1650.36522963177,-0.028,0.897,-0.364,41.903,2.068,358.670
1522272,0.0154409,1650.38067053165,-0.032,0.897,-0.362,41.937,2.406,358.793
1522273,0.0170854,1650.39775593113,-0.035,0.896,-0.362,41.973,2.725,358.922
1522275,0.0159182,1650.41367413197,-0.038,0.896,-0.361,42.044,3.021,359.048
1522277,0.017206,1650.43088013213,-0.041,0.896,-0.360,42.100,3.329,359.195
