Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
1805231,0.0192203,99.9389693206176,0.000,0.000,0.000,False
1805233,0.0132453,99.9522146210074,0.000,0.000,0.000,False
1805234,0.015339,99.967553621158,0.000,0.000,0.000,False
1805236,0.0171369,99.9846905209124,0.000,0.000,0.000,False
1805238,0.0169024,100.001592921093,0.000,0.000,0.000,False
1805240,0.0215228,100.0231157206,0.000,0.000,0.000,False
1805242,0.0206615,100.043777219951,0.000,0.000,0.000,False
1805244,0.0142929,100.058070120402,0.000,0.000,0.000,False
1805245,0.0212154,100.079285520129,0.000,0.000,0.000,False
1805247,0.0175812,100.096866720356,0.000,0.000,0.000,False
1805293,0.1134868,100.558144613169,0.000,0.000,0.000,False
1805297,0.0132944,100.571439012885,0.000,0.000,0.000,False
1805301,0.0402206,100.611659612507,0.000,0.000,0.000,False
1805306,0.042946,100.654605612159,0.000,0.000,0.000,False
1805312,0.0501538,100.704759411514,0.000,0.000,0.000,False
1805315,0.0624077,100.767167109996,0.000,0.000,0.000,False
1805318,0.0258655,100.793032610789,0.000,0.000,0.000,False
1805319,0.0303462,100.823378810659,0.000,0.000,0.000,False
1805321,0.0124032,100.83578201104,0.000,0.000,0.000,False
1805323,0.0205656,100.856347610243,0.000,0.000,0.000,False
1805325,0.0160219,100.872369510122,0.000,0.000,0.000,False
1805326,0.0166587,100.889028209262,0.000,0.000,0.000,False
1805328,0.0159928,100.905021009035,0.000,0.000,0.000,False
1805330,0.0132264,100.918247409165,0.000,0.000,0.000,False
1805331,0.0224885,100.940735910088,0.000,0.000,0.000,False
1805333,0.0147488,100.955484709702,0.000,0.000,0.000,False
1805335,0.0168572,100.972341909073,0.000,0.000,0.000,False
1805336,0.0156388,100.987980709411,0.000,0.000,0.000,False
1805338,0.0184822,101.006462910213,0.000,0.000,0.000,False
1805341,0.023343,101.029805910774,0.000,0.000,0.000,False
1805343,0.0275828,101.057388710789,0.000,0.000,0.000,False
1805345,0.0164102,101.073798910715,0.000,0.000,0.000,False
1805346,0.0163467,101.090145611204,0.000,0.000,0.000,False
1805348,0.0166702,101.106815810315,0.000,0.000,0.000,False
1805350,0.0185497,101.125365509652,0.000,0.000,0.000,False
1805351,0.0179089,101.143274408765,0.000,0.000,0.000,False
1805353,0.0131588,101.156433208846,0.000,0.000,0.000,False
1805355,0.0180327,101.174465908669,0.000,0.000,0.000,False
1805356,0.0150575,101.189523409121,0.000,0.000,0.000,False
1805360,0.0208041,101.210327508859,0.000,0.000,0.000,False
1805361,0.0297389,101.24006640818,0.000,0.000,0.000,False
1805363,0.0157014,101.255767808296,0.000,0.000,0.000,False
1805365,0.0162338,101.272001608275,0.000,0.000,0.000,False
1805366,0.0217932,101.293794807978,0.000,0.000,0.000,False
1805368,0.0124965,101.306291308254,0.000,0.000,0.000,False
1805370,0.0154629,101.321754207835,0.000,0.000,0.000,False
1805371,0.0171138,101.338868007064,0.000,0.000,0.000,False
1805373,0.0172667,101.356134707108,0.000,0.000,0.000,False
1805375,0.0199366,101.376071307808,0.000,0.000,0.000,False
1805376,0.0152758,101.391347107477,0.000,0.000,0.000,False
1805378,0.0162024,101.407549506985,0.000,0.000,0.000,False
1805380,0.0179744,101.425523907878,0.000,0.000,0.000,False
1805381,0.0140047,101.439528607763,0.000,0.000,0.000,False
1805383,0.0204611,101.459989706986,0.000,0.000,0.000,False
1805385,0.0161414,101.476131106727,0.000,0.000,0.000,False
1805386,0.0140072,101.490138306282,0.000,0.000,0.000,False
1805388,0.0173991,101.507537406869,0.000,0.000,0.000,False
1805390,0.0155204,101.523057807237,0.000,0.000,0.000,False
1805393,0.0220002,101.545058006421,0.000,0.000,0.000,False
1805395,0.0303516,101.575409606099,0.000,0.000,0.000,False
1805396,0.0145836,101.589993205853,0.000,0.000,0.000,False
1805398,0.0165508,101.606544005685,0.000,0.000,0.000,False
1805400,0.0161407,101.622684705071,0.000,0.000,0.000,False
1805401,0.0178411,101.640525805764,0.000,0.000,0.000,False
1805403,0.0159439,101.656469705515,0.000,0.000,0.000,False
1805405,0.0168884,101.673358106054,0.000,0.000,0.000,False
1805407,0.0182695,101.691627605818,0.000,0.000,0.000,False
1805408,0.0189423,101.710569906048,0.000,0.000,0.000,False
1805410,0.0142515,101.724821406417,0.000,0.000,0.000,False
1805411,0.0188954,101.743716807105,0.000,0.000,0.000,False
1805413,0.0144898,101.758206606843,0.000,0.000,0.000,False
1805415,0.0156483,101.773854906671,0.000,0.000,0.000,False
1805417,0.0170544,101.790909306146,0.000,0.000,0.000,False
1805418,0.0176133,101.808522605337,0.000,0.000,0.000,False
1805420,0.0205668,101.829089405946,0.000,0.000,0.000,False
1805421,0.0122166,101.841306005605,0.000,0.000,0.000,False
1805423,0.0164075,101.857713504694,0.000,0.000,0.000,False
1805425,0.0187239,101.876437404193,0.000,0.000,0.000,False
1805426,0.015516,101.891953404062,0.000,0.000,0.000,False
0,0.022196,101.914149404503,0.000,0.000,0.000,False
0,0.0307116,101.94486100506,0.000,0.000,0.000,False
0,0.0331278,101.977988804691,0.000,0.000,0.000,False
0,0.0162993,101.994288104586,0.000,0.000,0.000,False
0,0.0150872,102.009375304915,0.000,0.000,0.000,False
0,0.0156809,102.025056204759,0.000,0.000,0.000,False
0,0.0167372,102.041793405078,0.000,0.000,0.000,False
1805443,0.0175288,102.059322205372,0.000,0.000,0.000,False
1805444,0.016395,102.075717206113,0.000,0.000,0.000,False
1805446,0.0102643,102.085981505923,0.000,0.000,0.000,False
1805448,0.0207102,102.106691705994,0.000,0.000,0.000,False
1805450,0.0182135,102.124905205332,0.000,0.000,0.000,False
1805451,0.0164835,102.141388705932,0.000,0.000,0.000,False
1805453,0.0216085,102.162997205742,0.000,0.000,0.000,False
1805455,0.0131831,102.176180305891,0.000,0.000,0.000,False
1805457,0.0190026,102.195182905532,0.000,0.000,0.000,False
1805458,0.0137429,102.208925805986,0.000,0.000,0.000,False
1805460,0.017214,102.226139806211,0.000,0.000,0.000,False
1805461,0.0158224,102.241962205619,0.000,0.000,0.000,False
