Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
1676372,0.0120526,746.72072043037,3.000,0.000,0.000,False
1676373,0.0117565,746.7324769306,3.000,0.000,0.000,False
1676375,0.0163426,746.748819531407,3.000,0.000,0.000,False
1676377,0.017167,746.765986531507,3.000,0.000,0.000,False
1676378,0.0162841,746.782270632219,3.000,0.000,0.000,False
1676380,0.0178813,746.800151932519,3.000,0.000,0.000,False
1676382,0.0172208,746.817372733261,3.000,0.000,0.000,False
1676384,0.0177572,746.835129932966,3.000,0.000,0.000,False
1676386,0.0187051,746.853835032787,3.000,0.000,0.000,False
1676387,0.0236285,746.877463532146,3.000,0.000,0.000,False
1676389,0.0156151,746.893078632187,3.000,0.000,0.000,False
0,0.0171371,746.910215733107,3.000,0.000,0.000,False
0,0.0237981,746.934013833757,3.000,0.000,0.000,False
0,0.0165796,746.950593433809,3.000,0.000,0.000,False
0,0.021376,746.971969434526,3.000,0.000,0.000,False
1676399,0.0216505,746.993619935121,3.000,0.000,0.000,False
0,0.0209509,747.014570835512,3.000,0.000,0.000,False
1676404,0.0244721,747.039042936172,3.000,0.000,0.000,False
1676407,0.0214713,747.060514235403,3.000,0.000,0.000,False
1676409,0.0232983,747.083812536206,3.000,0.000,0.000,False
1676412,0.025291,747.109103535768,3.000,0.000,0.000,False
1676414,0.024784,747.133887536358,3.000,0.000,0.000,False
1676417,0.0264981,747.160385636147,3.000,0.000,0.000,False
1676420,0.0323382,747.192723834421,3.000,0.000,0.000,False
1676423,0.0251367,747.217860534322,3.000,0.000,0.000,False
1676426,0.0314156,747.249276134651,3.000,0.000,0.000,False
1676430,0.033102,747.282378132921,3.000,0.000,0.000,False
1676434,0.0363056,747.318683731835,3.000,0.000,0.000,False
1676438,0.0384202,747.357103932183,3.000,0.000,0.000,False
1676443,0.0407839,747.397887832951,3.000,0.000,0.000,False
1676448,0.0493699,747.447257734369,3.000,0.000,0.000,False
1676455,0.0542367,747.501494433265,3.000,0.000,0.000,False
0,0.0668536,747.568348031025,3.000,0.000,0.000,False
0,0.094977,747.663325029891,3.000,0.000,0.000,False
1676476,0.0990504,747.762375432532,3.000,0.000,0.000,False
1676478,0.0156655,747.778040932026,3.000,0.000,0.000,False
1676479,0.0211717,747.799212632235,3.000,0.000,0.000,False
1676481,0.011293,747.810505631845,3.000,0.000,0.000,False
1676482,0.0172197,747.827725331765,3.000,0.000,0.000,False
1676484,0.015796,747.843521331903,3.000,0.000,0.000,False
1676485,0.0178037,747.861325032543,3.000,0.000,0.000,False
1676487,0.0159905,747.87731553195,3.000,0.000,0.000,False
1676489,0.0167831,747.894098631572,3.000,0.000,0.000,False
1676491,0.0213998,747.915498431306,3.000,0.000,0.000,False
1676493,0.0127658,747.928264230955,3.000,0.000,0.000,False
1676494,0.0174059,747.945670130197,3.000,0.000,0.000,False
1676496,0.0167489,747.962419029791,3.000,0.000,0.000,False
1676498,0.0178898,747.980308829341,3.000,0.000,0.000,False
1676499,0.0156706,747.995979428757,3.000,0.000,0.000,False
1676501,0.0166455,748.012624929193,3.000,0.000,0.000,False
1676503,0.0214716,748.03409652831,3.000,0.000,0.000,False
1676504,0.0120191,748.046115627978,3.000,0.000,0.000,False
1676506,0.0156,748.061715627555,3.000,0.000,0.000,False
1676508,0.0175614,748.079277027864,3.000,0.000,0.000,False
1676509,0.020359,748.099636028055,3.000,0.000,0.000,False
1676511,0.0118759,748.111511928495,3.000,0.000,0.000,False
1676513,0.0167256,748.128237528261,3.000,0.000,0.000,False
1676514,0.0169703,748.145207827445,3.000,0.000,0.000,False
1676516,0.0198098,748.165017626714,3.000,0.000,0.000,False
1676517,0.0127057,748.177723326255,3.000,0.000,0.000,False
1676518,0.0168279,748.194551226217,3.000,0.000,0.000,False
0,0.0182297,748.212780926842,3.000,0.000,0.000,False
0,0.0213085,748.234089427162,3.000,0.000,0.000,False
0,0.010048,748.244137427304,3.000,0.000,0.000,False
0,0.0180294,748.26216682652,3.000,0.000,0.000,False
0,0.0200906,748.282257426996,3.000,0.000,0.000,False
0,0.0127618,748.295019226614,3.000,0.000,0.000,False
1676530,0.0157812,748.310800426174,3.000,0.000,0.000,False
1676532,0.0173075,748.328107925598,3.000,0.000,0.000,False
1676534,0.0218323,748.349940225948,3.000,0.000,0.000,False
1676535,0.0121928,748.362133025657,3.000,0.000,0.000,False
