Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
1676372,0.0120526,746.72072043037,-0.240,0.495,-0.613,1.000,350.885,358.050
1676373,0.0117565,746.7324769306,-0.240,0.495,-0.613,1.016,350.901,358.060
1676375,0.0163426,746.748819531407,-0.240,0.495,-0.613,1.040,350.910,358.083
1676377,0.017167,746.765986531507,-0.240,0.495,-0.613,1.151,350.882,358.131
1676378,0.0162841,746.782270632219,-0.240,0.494,-0.613,1.259,350.843,358.177
1676380,0.0178813,746.800151932519,-0.240,0.494,-0.613,1.314,350.810,358.210
1676382,0.0172208,746.817372733261,-0.240,0.494,-0.613,1.352,350.782,358.221
1676384,0.0177572,746.835129932966,-0.240,0.494,-0.614,1.385,350.746,358.224
1676386,0.0187051,746.853835032787,-0.241,0.494,-0.614,1.400,350.717,358.244
1676387,0.0236285,746.877463532146,-0.241,0.494,-0.614,1.378,350.689,358.258
1676389,0.0156151,746.893078632187,-0.241,0.494,-0.614,1.353,350.669,358.268
0,0.0171371,746.910215733107,-0.241,0.494,-0.614,1.334,350.653,358.268
0,0.0237981,746.934013833757,-0.241,0.494,-0.615,1.326,350.617,358.295
0,0.0165796,746.950593433809,-0.241,0.494,-0.615,1.343,350.589,358.301
0,0.021376,746.971969434526,-0.241,0.494,-0.615,1.381,350.557,358.308
1676399,0.0216505,746.993619935121,-0.241,0.494,-0.615,1.417,350.534,358.330
0,0.0209509,747.014570835512,-0.242,0.495,-0.615,1.429,350.513,358.332
1676404,0.0244721,747.039042936172,-0.242,0.495,-0.615,1.421,350.512,358.331
1676407,0.0214713,747.060514235403,-0.242,0.495,-0.615,1.405,350.521,358.327
1676409,0.0232983,747.083812536206,-0.242,0.495,-0.616,1.356,350.542,358.289
1676412,0.025291,747.109103535768,-0.242,0.495,-0.616,1.280,350.572,358.263
1676414,0.024784,747.133887536358,-0.242,0.495,-0.616,1.287,350.595,358.210
1676417,0.0264981,747.160385636147,-0.242,0.495,-0.615,1.319,350.628,358.191
1676420,0.0323382,747.192723834421,-0.242,0.495,-0.615,1.338,350.624,358.177
1676423,0.0251367,747.217860534322,-0.242,0.495,-0.615,1.409,350.612,358.175
1676426,0.0314156,747.249276134651,-0.241,0.495,-0.615,1.427,350.598,358.157
1676430,0.033102,747.282378132921,-0.241,0.495,-0.615,1.342,350.620,358.132
1676434,0.0363056,747.318683731835,-0.241,0.495,-0.615,1.324,350.618,358.138
1676438,0.0384202,747.357103932183,-0.241,0.495,-0.615,1.397,350.542,358.027
1676443,0.0407839,747.397887832951,-0.241,0.495,-0.614,1.319,350.349,357.956
1676448,0.0493699,747.447257734369,-0.241,0.494,-0.614,1.834,350.083,357.983
1676455,0.0542367,747.501494433265,-0.242,0.494,-0.613,2.201,349.460,357.994
0,0.0668536,747.568348031025,-0.244,0.493,-0.613,2.202,348.334,358.469
0,0.094977,747.663325029891,-0.247,0.493,-0.614,2.632,346.598,358.622
1676476,0.0990504,747.762375432532,-0.248,0.493,-0.614,2.598,346.174,358.627
1676478,0.0156655,747.778040932026,-0.248,0.493,-0.615,2.483,345.868,358.633
1676479,0.0211717,747.799212632235,-0.248,0.493,-0.615,2.377,345.683,358.634
1676481,0.011293,747.810505631845,-0.249,0.493,-0.615,2.269,345.552,358.630
1676482,0.0172197,747.827725331765,-0.249,0.494,-0.615,2.230,345.495,358.615
1676484,0.015796,747.843521331903,-0.249,0.494,-0.615,2.143,345.026,358.614
1676485,0.0178037,747.861325032543,-0.250,0.494,-0.615,2.064,344.540,358.616
1676487,0.0159905,747.87731553195,-0.251,0.494,-0.616,2.010,344.024,358.636
1676489,0.0167831,747.894098631572,-0.252,0.494,-0.616,1.963,343.498,358.678
1676491,0.0213998,747.915498431306,-0.253,0.494,-0.616,1.912,342.895,358.718
1676493,0.0127658,747.928264230955,-0.254,0.494,-0.616,1.863,342.291,358.752
1676494,0.0174059,747.945670130197,-0.255,0.494,-0.617,1.810,341.675,358.768
1676496,0.0167489,747.962419029791,-0.256,0.494,-0.617,1.762,340.983,358.804
1676498,0.0178898,747.980308829341,-0.257,0.495,-0.617,1.698,340.298,358.838
1676499,0.0156706,747.995979428757,-0.259,0.495,-0.618,1.639,339.582,358.881
1676501,0.0166455,748.012624929193,-0.260,0.495,-0.618,1.586,338.814,358.924
1676503,0.0214716,748.03409652831,-0.262,0.495,-0.619,1.522,337.881,358.989
1676504,0.0120191,748.046115627978,-0.263,0.495,-0.619,1.476,337.152,359.045
1676506,0.0156,748.061715627555,-0.264,0.495,-0.620,1.414,336.296,359.096
1676508,0.0175614,748.079277027864,-0.266,0.495,-0.621,1.345,335.442,359.116
1676509,0.020359,748.099636028055,-0.267,0.495,-0.621,1.243,334.426,359.163
1676511,0.0118759,748.111511928495,-0.269,0.495,-0.622,1.150,333.669,359.227
1676513,0.0167256,748.128237528261,-0.270,0.496,-0.623,1.031,332.707,359.278
1676514,0.0169703,748.145207827445,-0.272,0.496,-0.623,0.901,331.767,359.332
1676516,0.0198098,748.165017626714,-0.273,0.496,-0.624,0.761,330.763,359.397
1676517,0.0127057,748.177723326255,-0.275,0.496,-0.625,0.661,329.873,359.471
1676518,0.0168279,748.194551226217,-0.277,0.497,-0.626,0.569,328.699,359.579
0,0.0182297,748.212780926842,-0.278,0.497,-0.627,0.488,327.591,359.667
0,0.0213085,748.234089427162,-0.280,0.497,-0.629,0.419,326.242,359.713
0,0.010048,748.244137427304,-0.282,0.497,-0.630,0.321,325.016,359.726
0,0.0180294,748.26216682652,-0.284,0.498,-0.631,0.220,323.716,359.717
0,0.0200906,748.282257426996,-0.286,0.498,-0.632,0.079,322.466,359.731
0,0.0127618,748.295019226614,-0.287,0.498,-0.633,359.930,321.154,359.742
1676530,0.0157812,748.310800426174,-0.289,0.498,-0.635,359.822,320.024,359.733
1676532,0.0173075,748.328107925598,-0.291,0.498,-0.636,359.674,318.649,359.715
1676534,0.0218323,748.349940225948,-0.293,0.499,-0.637,359.563,317.317,359.696
1676535,0.0121928,748.362133025657,-0.294,0.499,-0.639,359.453,315.902,359.715
1676537,0.0158157,748.37794872513,-0.296,0.499,-0.640,359.351,314.450,359.754
1676539,0.0178351,748.39578382438,-0.298,0.499,-0.642,359.243,312.959,359.794
1676540,0.0208542,748.416638023686,-0.300,0.500,-0.644,359.135,311.610,359.856
