Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
1218634,0.0237555,3974.99710299121,0.048,0.419,0.500,0.000
1218638,0.0213027,3975.01840569125,0.048,0.419,0.500,0.000
1218644,0.0440044,3975.06241009058,0.048,0.419,0.500,0.000
1218646,0.0605194,3975.12292949157,0.048,0.419,0.500,0.000
1218694,0.1145621,3975.599117395,0.048,0.419,0.500,0.000
1218696,0.0162438,3975.61536119552,0.048,0.419,0.500,0.000
1218700,0.0235642,3975.63892539637,0.048,0.419,0.500,0.000
1218704,0.0427153,3975.68164069625,0.048,0.419,0.500,0.000
1218707,0.0328432,3975.71448389487,0.048,0.419,0.500,0.000
1218708,0.034966,3975.7494498943,0.048,0.419,0.500,0.000
1218711,0.0118126,3975.76126249461,0.048,0.419,0.500,0.000
1218714,0.0256498,3975.7869122955,0.048,0.419,0.500,0.000
1218717,0.0337562,3975.82066849573,0.048,0.419,0.500,0.000
1218718,0.0290498,3975.84971829643,0.048,0.419,0.500,0.000
1218720,0.0088107,3975.85852899635,0.048,0.419,0.500,0.000
1218722,0.0250006,3975.8835295965,0.048,0.419,0.500,0.000
1218726,0.0197978,3975.90332739661,0.048,0.419,0.500,0.000
1218729,0.0315821,3975.93490949506,0.048,0.419,0.500,0.000
1218730,0.0307679,3975.96567739593,0.048,0.419,0.500,0.000
0,0.0143765,3975.98005389562,0.048,0.419,0.500,0.000
1218733,0.0161349,3975.99618879473,0.048,0.419,0.500,0.000
1218736,0.0164898,3976.01267859479,0.048,0.419,0.500,0.000
1218736,0.0230906,3976.0357691939,0.048,0.419,0.500,0.000
1218739,0.0070799,3976.04284909368,0.048,0.419,0.500,0.000
1218740,0.0272004,3976.0700494945,0.048,0.419,0.500,0.000
1218742,0.0114332,3976.08148269448,0.048,0.419,0.500,0.000
1218744,0.0142802,3976.09576289449,0.048,0.419,0.500,0.000
1218745,0.0217211,3976.11748399492,0.048,0.419,0.500,0.000
1218747,0.0125738,3976.13005779497,0.048,0.419,0.500,0.000
1218749,0.0220107,3976.15206849575,0.048,0.419,0.500,0.000
1218751,0.0128871,3976.16495559551,0.048,0.419,0.500,0.000
1218752,0.0220085,3976.18696409464,0.048,0.419,0.500,0.000
1218754,0.0111738,3976.19813789427,0.048,0.419,0.500,0.000
1218756,0.0213924,3976.21953029372,0.048,0.419,0.500,0.000
1218757,0.019553,3976.23908329383,0.048,0.419,0.500,0.000
1218759,0.0190254,3976.25810869411,0.048,0.419,0.500,0.000
1218761,0.0138738,3976.27198249381,0.048,0.419,0.500,0.000
0,0.0153698,3976.28735229373,0.048,0.419,0.500,0.000
1218764,0.0157988,3976.30315109342,0.048,0.419,0.500,0.000
1218766,0.018766,3976.32191709429,0.048,0.419,0.500,0.000
1218767,0.0153643,3976.33728139475,0.048,0.419,0.500,0.000
1218769,0.0152958,3976.35257719457,0.048,0.419,0.500,0.000
1218770,0.0119747,3976.36455189437,0.048,0.419,0.500,0.000
1218772,0.0251943,3976.38974619471,0.048,0.419,0.500,0.000
1218774,0.0139204,3976.403666595,0.048,0.419,0.500,0.000
1218776,0.0156631,3976.4193296954,0.048,0.419,0.500,0.000
1218777,0.0173826,3976.43671229482,0.048,0.419,0.500,0.000
1218778,0.0116405,3976.44835279509,0.048,0.419,0.500,0.000
1218781,0.0164567,3976.46480949596,0.048,0.419,0.500,0.000
1218782,0.0236839,3976.48849339597,0.048,0.419,0.500,0.000
1218784,0.0099389,3976.49843229633,0.048,0.419,0.500,0.000
0,0.0247856,3976.52321789693,0.048,0.419,0.500,0.000
1218789,0.0228671,3976.54608499724,0.048,0.419,0.500,0.000
1218791,0.0254097,3976.57149469759,0.048,0.419,0.500,0.000
0,0.0158199,3976.58731459733,0.048,0.419,0.500,0.000
0,0.0120604,3976.59937499743,0.048,0.419,0.500,0.000
1218795,0.0215937,3976.62096869666,0.048,0.419,0.500,0.000
1218797,0.0114937,3976.63246239629,0.048,0.419,0.500,0.000
0,0.0210555,3976.65351789538,0.048,0.419,0.500,0.000
1218800,0.0119053,3976.66542319581,0.048,0.419,0.500,0.000
1218802,0.0229884,3976.6884115953,0.048,0.419,0.500,0.000
1218804,0.0116189,3976.70003049541,0.048,0.419,0.500,0.000
1218805,0.0203311,3976.72036159504,0.048,0.419,0.500,0.000
0,0.0163826,3976.73674419429,0.048,0.419,0.500,0.000
1218809,0.017217,3976.75396119338,0.048,0.419,0.500,0.000
1218811,0.0174163,3976.77137749363,0.048,0.419,0.500,0.000
1218812,0.0162388,3976.78761629295,0.048,0.419,0.500,0.000
1218814,0.0173992,3976.80501549225,0.048,0.419,0.500,0.000
0,0.0156104,3976.82062589191,0.048,0.419,0.500,0.000
0,0.0128599,3976.83348579146,0.048,0.419,0.500,0.000
1218818,0.0215363,3976.85502209142,0.048,0.419,0.500,0.000
0,0.0116714,3976.86669349112,0.048,0.419,0.500,0.000
1218822,0.0261885,3976.89288199134,0.048,0.419,0.500,0.000
1218824,0.0122572,3976.90513919108,0.048,0.419,0.500,0.000
1218825,0.0169953,3976.92213449068,0.048,0.419,0.500,0.000
1218827,0.0117702,3976.93390469067,0.048,0.419,0.500,0.000
1218829,0.0210155,3976.95492019132,0.048,0.419,0.500,0.000
1218831,0.0126813,3976.96760149114,0.048,0.419,0.500,0.000
1218832,0.0214221,3976.98902359046,0.048,0.419,0.500,0.000
1218834,0.0165737,3977.00559728965,0.048,0.419,0.500,0.000
1218836,0.0176548,3977.02325209044,0.048,0.419,0.500,0.000
1218837,0.0155211,3977.03877319023,0.048,0.419,0.500,0.000
1218839,0.0134793,3977.05225249007,0.048,0.419,0.500,0.000
1218840,0.0212252,3977.07347768918,0.048,0.419,0.500,0.000
1218843,0.0125117,3977.08598938957,0.048,0.419,0.500,0.000
1218844,0.0205394,3977.10652878881,0.048,0.419,0.500,0.000
1218846,0.0126813,3977.11921008863,0.048,0.419,0.500,0.000
1218847,0.0215408,3977.14075088874,0.048,0.419,0.500,0.000
1218849,0.0114557,3977.15220658854,0.048,0.419,0.500,0.000
0,0.0214045,3977.17361108772,0.048,0.419,0.500,0.000
0,0.0173359,3977.1909469869,0.048,0.419,0.500,0.000
0,0.0159063,3977.20685328729,0.048,0.419,0.500,0.000
0,0.0133119,3977.22016518749,0.048,0.419,0.500,0.000
0,0.0208464,3977.2410115879,0.048,0.419,0.500,0.000
0,0.0158467,3977.25685828738,0.048,0.419,0.500,0.000
0,0.0222346,3977.27909288742,0.048,0.419,0.500,0.000
0,0.0111064,3977.29019928724,0.048,0.419,0.500,0.000
0,0.0162169,3977.30641618744,0.048,0.419,0.500,0.000
0,0.0128436,3977.31925978698,0.048,0.419,0.500,0.000
0,0.0259896,3977.3452493865,0.048,0.419,0.500,0.000
