Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
592833,0.0124705,1766.82686993387,3.000,0.000,0.000,False
0,0.0110122,1766.83788213413,3.000,0.000,0.000,False
0,0.0161556,1766.85403773468,3.000,0.000,0.000,False
0,0.0178427,1766.87188043538,3.000,0.000,0.000,False
592840,0.0158069,1766.88768733572,3.000,0.000,0.000,False
592842,0.0180913,1766.90577863622,3.000,0.000,0.000,False
592844,0.0174549,1766.92323353607,3.000,0.000,0.000,False
592846,0.0181345,1766.9413680369,3.000,0.000,0.000,False
592848,0.019531,1766.96089903731,3.000,0.000,0.000,False
592850,0.0188949,1766.97979393695,3.000,0.000,0.000,False
592852,0.0206114,1767.00040533673,3.000,0.000,0.000,False
592854,0.0211368,1767.02154213656,3.000,0.000,0.000,False
592856,0.0199199,1767.04146203678,3.000,0.000,0.000,False
0,0.0187038,1767.06016583648,3.000,0.000,0.000,False
0,0.0216505,1767.08181633707,3.000,0.000,0.000,False
0,0.022993,1767.1048093373,3.000,0.000,0.000,False
0,0.0221624,1767.12697173748,3.000,0.000,0.000,False
592867,0.0233502,1767.15032193717,3.000,0.000,0.000,False
592870,0.0238351,1767.1741570374,3.000,0.000,0.000,False
592873,0.0241075,1767.19826453831,3.000,0.000,0.000,False
592875,0.0264032,1767.22466773819,3.000,0.000,0.000,False
592878,0.0268987,1767.25156643894,3.000,0.000,0.000,False
592881,0.0286536,1767.28022003826,3.000,0.000,0.000,False
592884,0.0305238,1767.31074383762,3.000,0.000,0.000,False
592888,0.0305141,1767.34125793818,3.000,0.000,0.000,False
592891,0.0341553,1767.37541323993,3.000,0.000,0.000,False
592895,0.0349996,1767.41041284148,3.000,0.000,0.000,False
592899,0.0390569,1767.44946974237,3.000,0.000,0.000,False
592904,0.0426707,1767.49214044306,3.000,0.000,0.000,False
592909,0.0479701,1767.5401105443,3.000,0.000,0.000,False
592914,0.0484503,1767.58856084291,3.000,0.000,0.000,False
592918,0.0479379,1767.63649874274,3.000,0.000,0.000,False
592922,0.0449928,1767.68149154354,3.000,0.000,0.000,False
0,0.0447368,1767.72622834239,3.000,0.000,0.000,False
0,0.0117459,1767.73797424231,3.000,0.000,0.000,False
0,0.016734,1767.7547082426,3.000,0.000,0.000,False
0,0.0164756,1767.77118384186,3.000,0.000,0.000,False
0,0.0162669,1767.78745074105,3.000,0.000,0.000,False
0,0.021127,1767.8085777415,3.000,0.000,0.000,False
592934,0.011688,1767.82026574109,3.000,0.000,0.000,False
592935,0.0180131,1767.8382788403,3.000,0.000,0.000,False
592937,0.0160462,1767.85432504024,3.000,0.000,0.000,False
592939,0.0176254,1767.87195044104,3.000,0.000,0.000,False
592940,0.0155923,1767.88754274137,3.000,0.000,0.000,False
592942,0.0167078,1767.9042505417,3.000,0.000,0.000,False
592944,0.0165242,1767.9207747411,3.000,0.000,0.000,False
592945,0.0165796,1767.93735434115,3.000,0.000,0.000,False
592947,0.0163527,1767.95370704122,3.000,0.000,0.000,False
592949,0.0173195,1767.97102654167,3.000,0.000,0.000,False
592950,0.0157334,1767.98675994202,3.000,0.000,0.000,False
592952,0.0223728,1768.00913274288,3.000,0.000,0.000,False
592953,0.0103828,1768.01951554324,3.000,0.000,0.000,False
0,0.0175118,1768.03702734318,3.000,0.000,0.000,False
0,0.0163066,1768.05333394278,3.000,0.000,0.000,False
0,0.0171344,1768.07046834286,3.000,0.000,0.000,False
0,0.0159749,1768.08644324262,3.000,0.000,0.000,False
0,0.0175569,1768.10400014278,3.000,0.000,0.000,False
