Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
940168,0.0144818,2877.39630112331,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940170,0.0086934,2877.40499452315,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940172,0.0161545,2877.42114902288,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940173,0.0179592,2877.43910822272,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940175,0.0169706,2877.45607882179,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940177,0.0180604,2877.47413922101,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940179,0.0219864,2877.49612562172,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940181,0.0134527,2877.50957832206,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940182,0.0183014,2877.52787972149,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940184,0.0242783,2877.55215802137,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940186,0.0135664,2877.56572442129,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940188,0.0199077,2877.58563212119,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940190,0.0283228,2877.61395492032,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940193,0.013807,2877.62776191998,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940195,0.0198245,2877.64758641925,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940197,0.0218089,2877.66939531919,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940199,0.0237003,2877.69309561979,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940202,0.0228135,2877.71590912063,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940204,0.0235748,2877.73948391993,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940207,0.0259963,2877.76548021939,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940209,0.0256166,2877.79109681863,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940212,0.0272776,2877.81837441865,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940215,0.0282198,2877.8465942191,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940218,0.0349918,2877.88158601988,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940222,0.0275536,2877.90913961921,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940226,0.0344977,2877.94363731984,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940230,0.0408741,2877.98451142106,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940234,0.0356869,2878.02019832004,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940239,0.0438888,2878.06408711988,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940245,0.0499697,2878.11405681912,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940253,0.059005,2878.17306181882,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940263,0.0766955,2878.24975732062,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940263,0.1000567,2878.34981402103,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940265,0.0094446,2878.359258621,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940267,0.0181566,2878.37741522025,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940268,0.0162884,2878.39370361995,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940270,0.0155916,2878.40929521993,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940272,0.0225244,2878.43181961961,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940274,0.011483,2878.44330261927,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940275,0.0174577,2878.46076031867,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940277,0.0204209,2878.48118121829,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940279,0.011309,2878.49249021802,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940280,0.0171124,2878.5096026184,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940282,0.0166316,2878.52623421792,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940284,0.0171788,2878.54341301788,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
940285,0.0166385,2878.56005151849,-0.202,0.106,-0.200,1.000,1.000,0.029,0.229,-0.105,1.000,1.000
