Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
10988092,0.0099733,58.5983156342991,0.000,0.000,0.000,False
10988094,0.0141708,58.6124864346348,0.000,0.000,0.000,False
10988096,0.014402,58.6268884348683,0.000,0.000,0.000,False
10988097,0.0175653,58.6444537355565,0.000,0.000,0.000,False
10988099,0.0182583,58.662712035235,0.000,0.000,0.000,False
10988101,0.0163865,58.6790985348634,0.000,0.000,0.000,False
10988103,0.017769,58.6968675344251,0.000,0.000,0.000,False
10988104,0.0185732,58.7154407347552,0.000,0.000,0.000,False
10988106,0.0177526,58.733193335589,0.000,0.000,0.000,False
10988108,0.0196305,58.7528238347732,0.000,0.000,0.000,False
10988110,0.0191346,58.7719584344886,0.000,0.000,0.000,False
10988112,0.0186098,58.7905682339333,0.000,0.000,0.000,False
10988114,0.0221243,58.8126925337128,0.000,0.000,0.000,False
10988116,0.0182944,58.830986933317,0.000,0.000,0.000,False
10988118,0.0210693,58.8520562327467,0.000,0.000,0.000,False
10988121,0.0220698,58.8741260333918,0.000,0.000,0.000,False
10988123,0.0202716,58.8943976326846,0.000,0.000,0.000,False
10988125,0.0233552,58.9177528335713,0.000,0.000,0.000,False
10988128,0.0231175,58.9408703329973,0.000,0.000,0.000,False
10988130,0.0238103,58.9646806321107,0.000,0.000,0.000,False
10988133,0.0288839,58.9935645326041,0.000,0.000,0.000,False
10988135,0.0218843,59.0154488324188,0.000,0.000,0.000,False
10988138,0.0269814,59.0424302327447,0.000,0.000,0.000,False
10988140,0.0277927,59.0702229323797,0.000,0.000,0.000,False
0,0.0293283,59.099551232066,0.000,0.000,0.000,False
10988147,0.0314448,59.130996031221,0.000,0.000,0.000,False
10988151,0.0333093,59.1643053307198,0.000,0.000,0.000,False
10988155,0.0353673,59.1996726295911,0.000,0.000,0.000,False
10988159,0.0395248,59.2391974306665,0.000,0.000,0.000,False
10988164,0.0426355,59.2818329310976,0.000,0.000,0.000,False
10988169,0.0474852,59.3293181299232,0.000,0.000,0.000,False
10988177,0.0552544,59.3845725296997,0.000,0.000,0.000,False
10988187,0.0730997,59.4576722322963,0.000,0.000,0.000,False
10988188,0.0990182,59.5566904335283,0.000,0.000,0.000,False
10988190,0.0184191,59.5751095334999,0.000,0.000,0.000,False
10988192,0.0183646,59.5934741343372,0.000,0.000,0.000,False
10988193,0.0155687,59.6090428340249,0.000,0.000,0.000,False
10988195,0.016049,59.6250918335281,0.000,0.000,0.000,False
10988197,0.0170668,59.6421586326323,0.000,0.000,0.000,False
10988198,0.0161439,59.6583025320433,0.000,0.000,0.000,False
10988200,0.0175429,59.6758454325609,0.000,0.000,0.000,False
10988202,0.0151442,59.6909896326251,0.000,0.000,0.000,False
10988203,0.0170871,59.7080767326988,0.000,0.000,0.000,False
10988205,0.0172086,59.7252853331156,0.000,0.000,0.000,False
10988207,0.0195724,59.7448577326722,0.000,0.000,0.000,False
10988208,0.0143732,59.7592309326865,0.000,0.000,0.000,False
10988210,0.0160945,59.7753254328854,0.000,0.000,0.000,False
10988212,0.0153621,59.7906875326298,0.000,0.000,0.000,False
10988213,0.0178076,59.8084951317869,0.000,0.000,0.000,False
10988215,0.0167753,59.8252704325132,0.000,0.000,0.000,False
10988217,0.0163078,59.8415782316588,0.000,0.000,0.000,False
10988218,0.0173704,59.8589486307465,0.000,0.000,0.000,False
10988220,0.0162724,59.875221030321,0.000,0.000,0.000,False
10988222,0.0159894,59.8912104307674,0.000,0.000,0.000,False
10988223,0.02026,59.9114704313688,0.000,0.000,0.000,False
10988225,0.0131371,59.9246075316332,0.000,0.000,0.000,False
10988227,0.0166966,59.9413041318767,0.000,0.000,0.000,False
10988228,0.0163819,59.9576860326342,0.000,0.000,0.000,False
10988230,0.0171339,59.9748199335299,0.000,0.000,0.000,False
10988232,0.016246,59.9910659338348,0.000,0.000,0.000,False
10988233,0.0170357,60.0081016342156,0.000,0.000,0.000,False
10988235,0.0166069,60.0247085350566,0.000,0.000,0.000,False
10988237,0.0163356,60.041044134181,0.000,0.000,0.000,False
10988238,0.0207778,60.0618219333701,0.000,0.000,0.000,False
10988240,0.0130319,60.0748538332991,0.000,0.000,0.000,False
10988242,0.0167098,60.0915636341088,0.000,0.000,0.000,False
10988243,0.0170461,60.1086097336374,0.000,0.000,0.000,False
10988245,0.0172853,60.1258950340562,0.000,0.000,0.000,False
10988247,0.0162468,60.1421418334357,0.000,0.000,0.000,False
10988248,0.0164955,60.1586373331957,0.000,0.000,0.000,False
10988250,0.0168947,60.1755320332013,0.000,0.000,0.000,False
10988252,0.016702,60.192234033253,0.000,0.000,0.000,False
10988253,0.0165633,60.2087973332964,0.000,0.000,0.000,False
10988255,0.0170919,60.2258892334066,0.000,0.000,0.000,False
10988257,0.0171757,60.2430649339221,0.000,0.000,0.000,False
10988259,0.01691,60.259974933695,0.000,0.000,0.000,False
10988260,0.0170188,60.2769937342964,0.000,0.000,0.000,False
10988261,0.0161687,60.2931624348275,0.000,0.000,0.000,False
0,0.0182946,60.3114570355974,0.000,0.000,0.000,False
10988264,0.0164261,60.3278831350617,0.000,0.000,0.000,False
0,0.0157631,60.3436462352984,0.000,0.000,0.000,False
0,0.015937,60.3595832358114,0.000,0.000,0.000,False
0,0.0179165,60.3774997363798,0.000,0.000,0.000,False
0,0.0170498,60.3945495369844,0.000,0.000,0.000,False
0,0.0147281,60.4092776370235,0.000,0.000,0.000,False
