Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
10988092,0.0099733,58.5983156342991,-0.052,0.510,-0.498,353.744,357.207,0.048
10988094,0.0141708,58.6124864346348,-0.052,0.509,-0.498,353.723,357.171,0.116
10988096,0.014402,58.6268884348683,-0.052,0.509,-0.498,353.740,357.200,0.046
10988097,0.0175653,58.6444537355565,-0.052,0.510,-0.498,353.767,357.247,359.936
10988099,0.0182583,58.662712035235,-0.052,0.509,-0.498,353.793,357.268,359.874
10988101,0.0163865,58.6790985348634,-0.051,0.509,-0.498,353.805,357.289,359.816
10988103,0.017769,58.6968675344251,-0.051,0.509,-0.498,353.833,357.308,359.762
10988104,0.0185732,58.7154407347552,-0.051,0.509,-0.498,353.838,357.302,359.739
10988106,0.0177526,58.733193335589,-0.051,0.509,-0.498,353.844,357.291,359.721
10988108,0.0196305,58.7528238347732,-0.051,0.509,-0.498,353.847,357.291,359.689
10988110,0.0191346,58.7719584344886,-0.051,0.509,-0.498,353.826,357.273,359.681
10988112,0.0186098,58.7905682339333,-0.051,0.509,-0.498,353.817,357.269,359.660
10988114,0.0221243,58.8126925337128,-0.051,0.509,-0.498,353.793,357.255,359.652
10988116,0.0182944,58.830986933317,-0.051,0.509,-0.498,353.764,357.257,359.659
10988118,0.0210693,58.8520562327467,-0.051,0.510,-0.498,353.764,357.249,359.644
10988121,0.0220698,58.8741260333918,-0.050,0.509,-0.498,353.769,357.276,359.639
10988123,0.0202716,58.8943976326846,-0.050,0.509,-0.498,353.809,357.287,359.646
10988125,0.0233552,58.9177528335713,-0.050,0.509,-0.498,353.880,357.320,359.626
10988128,0.0231175,58.9408703329973,-0.050,0.509,-0.497,354.017,357.358,359.618
10988130,0.0238103,58.9646806321107,-0.050,0.509,-0.497,354.177,357.393,359.604
10988133,0.0288839,58.9935645326041,-0.050,0.508,-0.497,354.435,357.428,359.576
10988135,0.0218843,59.0154488324188,-0.050,0.508,-0.496,354.742,357.459,359.550
10988138,0.0269814,59.0424302327447,-0.050,0.507,-0.496,355.005,357.464,359.500
10988140,0.0277927,59.0702229323797,-0.050,0.507,-0.495,355.370,357.467,359.462
0,0.0293283,59.099551232066,-0.050,0.506,-0.494,355.784,357.473,359.419
10988147,0.0314448,59.130996031221,-0.050,0.505,-0.493,356.182,357.491,359.338
10988151,0.0333093,59.1643053307198,-0.050,0.506,-0.492,356.210,357.533,359.236
10988155,0.0353673,59.1996726295911,-0.050,0.506,-0.492,355.538,357.578,359.215
10988159,0.0395248,59.2391974306665,-0.050,0.508,-0.493,354.474,357.566,359.177
10988164,0.0426355,59.2818329310976,-0.050,0.510,-0.495,353.473,357.533,359.064
10988169,0.0474852,59.3293181299232,-0.049,0.512,-0.498,352.502,357.492,358.909
10988177,0.0552544,59.3845725296997,-0.048,0.513,-0.502,351.784,357.553,358.633
10988187,0.0730997,59.4576722322963,-0.047,0.510,-0.502,353.173,357.896,358.677
10988188,0.0990182,59.5566904335283,-0.047,0.510,-0.501,353.496,357.951,358.685
10988190,0.0184191,59.5751095334999,-0.047,0.509,-0.500,353.757,357.948,358.677
10988192,0.0183646,59.5934741343372,-0.047,0.509,-0.500,354.001,357.977,358.664
10988193,0.0155687,59.6090428340249,-0.047,0.508,-0.499,354.174,357.998,358.644
10988195,0.016049,59.6250918335281,-0.047,0.508,-0.499,354.286,357.999,358.640
10988197,0.0170668,59.6421586326323,-0.047,0.508,-0.498,354.728,358.054,358.635
10988198,0.0161439,59.6583025320433,-0.047,0.507,-0.497,355.216,358.098,358.651
10988200,0.0175429,59.6758454325609,-0.047,0.506,-0.495,355.706,358.132,358.630
10988202,0.0151442,59.6909896326251,-0.047,0.505,-0.494,356.156,358.164,358.598
10988203,0.0170871,59.7080767326988,-0.047,0.504,-0.493,356.551,358.193,358.569
10988205,0.0172086,59.7252853331156,-0.047,0.504,-0.492,356.930,358.222,358.530
10988207,0.0195724,59.7448577326722,-0.047,0.503,-0.490,357.311,358.264,358.483
10988208,0.0143732,59.7592309326865,-0.047,0.503,-0.489,357.437,358.317,358.479
10988210,0.0160945,59.7753254328854,-0.047,0.503,-0.489,357.443,358.362,358.507
10988212,0.0153621,59.7906875326298,-0.047,0.503,-0.488,357.403,358.425,358.509
10988213,0.0178076,59.8084951317869,-0.047,0.503,-0.487,357.340,358.476,358.527
10988215,0.0167753,59.8252704325132,-0.047,0.503,-0.487,357.255,358.511,358.525
10988217,0.0163078,59.8415782316588,-0.047,0.503,-0.487,357.120,358.547,358.536
10988218,0.0173704,59.8589486307465,-0.047,0.504,-0.486,356.956,358.583,358.547
10988220,0.0162724,59.875221030321,-0.047,0.504,-0.486,356.763,358.598,358.560
10988222,0.0159894,59.8912104307674,-0.047,0.505,-0.486,356.535,358.609,358.562
10988223,0.02026,59.9114704313688,-0.047,0.505,-0.487,356.265,358.618,358.546
