Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
10989868,0.0147472,76.2477566120215,0.000,0.000,0.000,False
10989870,0.0130142,76.260770812165,0.000,0.000,0.000,False
10989871,0.0175729,76.2783437124453,0.000,0.000,0.000,False
10989873,0.0158467,76.2941904119216,0.000,0.000,0.000,False
10989875,0.0155734,76.3097638119943,0.000,0.000,0.000,False
10989876,0.01774,76.3275038120337,0.000,0.000,0.000,False
10989878,0.0166398,76.344143612776,0.000,0.000,0.000,False
10989880,0.0164812,76.3606248130091,0.000,0.000,0.000,False
10989881,0.0173746,76.3779994123615,0.000,0.000,0.000,False
10989883,0.0175877,76.3955871132202,0.000,0.000,0.000,False
10989886,0.0170326,76.4126197122969,0.000,0.000,0.000,False
10989890,0.0354363,76.4480560109951,0.000,0.000,0.000,False
10989893,0.031482,76.479538010899,0.000,0.000,0.000,False
10989896,0.0345872,76.51412521163,0.000,0.000,0.000,False
10989900,0.0331765,76.5473017119803,0.000,0.000,0.000,False
10989901,0.033064,76.5803657122888,0.000,0.000,0.000,False
10989903,0.0167294,76.5970951118506,0.000,0.000,0.000,False
10989905,0.0175675,76.6146626123227,0.000,0.000,0.000,False
10989906,0.0155417,76.6302043120377,0.000,0.000,0.000,False
10989908,0.0160754,76.6462797126733,0.000,0.000,0.000,False
10989910,0.0180469,76.6643266133033,0.000,0.000,0.000,False
10989911,0.0147543,76.679080913309,0.000,0.000,0.000,False
10989913,0.0168925,76.6959734135307,0.000,0.000,0.000,False
10989915,0.0157279,76.7117013134994,0.000,0.000,0.000,False
10989916,0.0175012,76.7292025131173,0.000,0.000,0.000,False
10989918,0.0164301,76.7456326135434,0.000,0.000,0.000,False
10989919,0.0173592,76.7629918144085,0.000,0.000,0.000,False
10989921,0.011806,76.7747978144325,0.000,0.000,0.000,False
10989923,0.0156975,76.7904953141697,0.000,0.000,0.000,False
10989924,0.021514,76.8120093145408,0.000,0.000,0.000,False
10989926,0.012022,76.8240313143469,0.000,0.000,0.000,False
10989928,0.0229128,76.846944114659,0.000,0.000,0.000,False
10989930,0.0162809,76.863225015346,0.000,0.000,0.000,False
10989931,0.0175,76.8807250154205,0.000,0.000,0.000,False
10989933,0.0158312,76.8965562158264,0.000,0.000,0.000,False
10989935,0.0189993,76.9155555167235,0.000,0.000,0.000,False
10989936,0.0142343,76.929789816495,0.000,0.000,0.000,False
10989938,0.0169139,76.9467037166469,0.000,0.000,0.000,False
10989940,0.0119049,76.9586086166091,0.000,0.000,0.000,False
10989941,0.0216539,76.9802625165321,0.000,0.000,0.000,False
10989943,0.0164571,76.9967196159996,0.000,0.000,0.000,False
10989945,0.0162065,77.0129261151887,0.000,0.000,0.000,False
10989946,0.0155047,77.0284308153205,0.000,0.000,0.000,False
10989948,0.0121842,77.0406150151975,0.000,0.000,0.000,False
10989950,0.0215046,77.0621196147986,0.000,0.000,0.000,False
10989951,0.0168743,77.0789939151146,0.000,0.000,0.000,False
10989953,0.0170103,77.0960042146035,0.000,0.000,0.000,False
10989954,0.0167954,77.1127996151336,0.000,0.000,0.000,False
10989956,0.0120063,77.1248059147038,0.000,0.000,0.000,False
10989958,0.0212378,77.1460437146015,0.000,0.000,0.000,False
10989960,0.016658,77.1627017152496,0.000,0.000,0.000,False
10989961,0.0162795,77.1789812152274,0.000,0.000,0.000,False
10989962,0.0181467,77.1971279145218,0.000,0.000,0.000,False
10989965,0.011085,77.208212914411,0.000,0.000,0.000,False
10989966,0.0216231,77.2298360136338,0.000,0.000,0.000,False
10989968,0.0115806,77.241416614037,0.000,0.000,0.000,False
10989970,0.0216808,77.2630974142812,0.000,0.000,0.000,False
10989971,0.0175186,77.2806160147302,0.000,0.000,0.000,False
10989973,0.0144397,77.2950557149015,0.000,0.000,0.000,False
10989975,0.0190161,77.3140718149953,0.000,0.000,0.000,False
10989976,0.0167415,77.3308133143,0.000,0.000,0.000,False
10989977,0.0166961,77.3475094134919,0.000,0.000,0.000,False
10989979,0.0113755,77.3588849133812,0.000,0.000,0.000,False
10989981,0.0224081,77.3812930132262,0.000,0.000,0.000,False
10989983,0.0163932,77.3976862127893,0.000,0.000,0.000,False
10989985,0.0160233,77.4137095133774,0.000,0.000,0.000,False
10989986,0.0177063,77.4314158125781,0.000,0.000,0.000,False
10989988,0.0160975,77.4475133134983,0.000,0.000,0.000,False
10989990,0.0116274,77.4591407137923,0.000,0.000,0.000,False
10989991,0.0218111,77.4809518135153,0.000,0.000,0.000,False
10989993,0.0168088,77.4977606139146,0.000,0.000,0.000,False
10989995,0.0117022,77.5094628143124,0.000,0.000,0.000,False
10989996,0.0218903,77.5313531137072,0.000,0.000,0.000,False
10989998,0.0134259,77.5447790133767,0.000,0.000,0.000,False
10989999,0.0196195,77.5643985136412,0.000,0.000,0.000,False
10990001,0.0119594,77.5763579136692,0.000,0.000,0.000,False
10990003,0.0226238,77.5989817134105,0.000,0.000,0.000,False
10990005,0.0110345,77.6100162132643,0.000,0.000,0.000,False
10990006,0.0232641,77.6332803140394,0.000,0.000,0.000,False
10990008,0.0160309,77.6493112142198,0.000,0.000,0.000,False
10990009,0.0113763,77.6606875141151,0.000,0.000,0.000,False
10990011,0.0214942,77.6821817145683,0.000,0.000,0.000,False
10990013,0.0172149,77.699396614451,0.000,0.000,0.000,False
10990015,0.012461,77.7118576145731,0.000,0.000,0.000,False
10990016,0.0200436,77.7319012149237,0.000,0.000,0.000,False
10990018,0.0127635,77.7446647151373,0.000,0.000,0.000,False
10990019,0.0216085,77.7662732149474,0.000,0.000,0.000,False
10990021,0.0108415,77.7771147149615,0.000,0.000,0.000,False
10990022,0.0222494,77.7993641155772,0.000,0.000,0.000,False
10990025,0.0104177,77.809781815391,0.000,0.000,0.000,False
10990026,0.0213634,77.8311452153139,0.000,0.000,0.000,False
10990028,0.0119886,77.8431338150986,0.000,0.000,0.000,False
10990029,0.0216463,77.8647801154293,0.000,0.000,0.000,False
10990031,0.0135879,77.8783680158667,0.000,0.000,0.000,False
10990032,0.0201384,77.8985064155422,0.000,0.000,0.000,False
10990035,0.0101025,77.9086089157499,0.000,0.000,0.000,False
