Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
2545076,0.0386785,2023.40349544864,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545079,0.1213805,2023.52487594914,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545082,0.0427532,2023.56762915012,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545084,0.028609,2023.59623815026,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545131,0.1089887,2024.05878495518,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545133,0.0154179,2024.07420285512,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545136,0.0222954,2024.09649825562,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545139,0.0270548,2024.12355305534,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545141,0.0360588,2024.15961185377,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545144,0.0165293,2024.17614115309,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545147,0.0350813,2024.21122245397,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545149,0.0282403,2024.23946275469,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545150,0.0153011,2024.25476385467,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545152,0.0176568,2024.27242065407,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545154,0.0149328,2024.28735345416,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545155,0.0194157,2024.30676915497,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545157,0.014937,2024.32170615532,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545159,0.0182081,2024.33991425484,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545160,0.0216691,2024.36158335395,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545162,0.0118696,2024.37345295399,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545163,0.0180905,2024.39154345356,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545166,0.0126539,2024.40419735387,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545168,0.022609,2024.42680635303,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545169,0.018006,2024.4448123537,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545171,0.0127876,2024.45759995375,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545172,0.0170644,2024.47466435377,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545174,0.011584,2024.4862483535,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545175,0.02568,2024.51192835346,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545177,0.0097244,2024.52165275346,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545179,0.0207593,2024.54241205286,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545182,0.0231423,2024.56555435341,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
2545183,0.0279029,2024.59345725272,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
