Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
18241823,0.0097486,1634.5923174466,-0.089,0.977,-0.546,7.780,358.020,355.750
18241824,0.0144742,1634.60679164669,-0.089,0.977,-0.546,7.863,358.094,355.868
18241826,0.0162884,1634.62308004638,-0.090,0.977,-0.547,7.842,358.240,355.480
18241828,0.0161784,1634.63925844571,-0.090,0.977,-0.547,7.796,358.387,355.003
18241829,0.0203353,1634.6595937456,-0.091,0.977,-0.548,7.732,358.601,354.341
18241831,0.0139898,1634.67358354526,-0.091,0.977,-0.549,7.696,358.794,353.735
18241833,0.0187122,1634.69229574548,-0.091,0.977,-0.550,7.636,359.110,352.885
18241835,0.0207842,1634.71307994472,-0.092,0.977,-0.551,7.602,359.490,351.979
0,0.0157812,1634.72886114428,-0.092,0.977,-0.551,7.571,359.812,351.499
0,0.0193833,1634.74824444437,-0.092,0.977,-0.552,7.523,0.313,350.847
0,0.0216171,1634.76986154402,-0.092,0.977,-0.553,7.433,0.955,350.344
18241842,0.0170198,1634.78688134486,-0.093,0.977,-0.553,7.371,1.564,350.178
18241845,0.0202844,1634.80716574425,-0.094,0.977,-0.554,7.336,2.262,350.129
18241847,0.019533,1634.82669874514,-0.094,0.977,-0.555,7.337,3.072,350.222
18241849,0.0209572,1634.84765594499,-0.095,0.977,-0.556,7.382,3.892,350.452
18241851,0.0219039,1634.86955984542,-0.097,0.977,-0.557,7.468,4.654,350.742
18241853,0.0218987,1634.89145854535,-0.098,0.976,-0.558,7.576,5.395,351.069
18241856,0.0230629,1634.91452144505,-0.100,0.976,-0.558,7.719,6.157,351.490
18241858,0.0234307,1634.93795214454,-0.102,0.976,-0.559,7.856,6.730,351.895
18241861,0.0245664,1634.96251854533,-0.104,0.975,-0.560,8.020,7.304,352.337
18241863,0.0248823,1634.98740084516,-0.106,0.974,-0.560,8.175,7.706,352.746
18241866,0.0260653,1635.01346614445,-0.109,0.974,-0.561,8.349,7.957,353.092
18241869,0.0302071,1635.04367324384,-0.113,0.973,-0.561,8.542,7.961,353.300
18241872,0.0278861,1635.07155934395,-0.116,0.971,-0.561,8.730,7.790,353.434
18241875,0.032146,1635.10370534332,-0.120,0.970,-0.561,8.991,7.464,353.486
18241879,0.0302346,1635.13393994281,-0.125,0.968,-0.562,9.320,6.951,353.571
18241882,0.034131,1635.16807094449,-0.130,0.967,-0.563,9.696,6.394,353.856
18241887,0.0387617,1635.20683264593,-0.135,0.966,-0.564,10.145,5.814,354.309
18241891,0.041231,1635.24806364486,-0.141,0.966,-0.565,10.465,5.211,354.750
0,0.0474975,1635.29556114459,-0.146,0.964,-0.566,10.779,4.681,354.813
0,0.0527581,1635.34831924597,-0.154,0.962,-0.568,11.214,4.169,355.046
0,0.0665282,1635.41484744707,-0.163,0.962,-0.571,10.494,2.727,356.551
0,0.0919955,1635.5068429471,-0.166,0.966,-0.571,8.641,0.613,357.925
0,0.1000944,1635.60693734745,-0.166,0.966,-0.571,8.492,0.302,358.021
0,0.014661,1635.62159834756,-0.166,0.965,-0.571,8.379,0.027,358.134
0,0.0187099,1635.64030824741,-0.166,0.965,-0.571,8.345,359.798,358.221
0,0.015543,1635.65585124725,-0.165,0.965,-0.571,8.389,359.693,358.263
0,0.0161126,1635.67196384678,-0.165,0.965,-0.571,8.470,359.681,358.258
0,0.0206268,1635.69259064691,-0.164,0.964,-0.571,8.453,359.264,358.462
0,0.0119381,1635.70452874666,-0.164,0.964,-0.571,8.498,358.856,358.619
0,0.0160863,1635.7206150475,-0.163,0.964,-0.571,8.612,358.456,358.736
0,0.0192934,1635.73990844702,-0.162,0.963,-0.571,8.844,358.080,358.841
0,0.014627,1635.75453544734,-0.161,0.963,-0.571,9.290,357.779,358.940
0,0.0166906,1635.771226048,-0.159,0.963,-0.571,9.674,357.468,359.091
0,0.0198487,1635.79107474862,-0.158,0.963,-0.571,9.879,357.143,359.225
