Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
10989868,0.0147472,76.2477566120215,-0.027,0.873,-0.287,17.402,4.961,357.110
10989870,0.0130142,76.260770812165,-0.027,0.873,-0.287,17.388,4.973,357.106
10989871,0.0175729,76.2783437124453,-0.027,0.873,-0.286,17.365,4.974,357.113
10989873,0.0158467,76.2941904119216,-0.027,0.873,-0.286,17.367,5.002,357.119
10989875,0.0155734,76.3097638119943,-0.027,0.873,-0.286,17.386,5.011,357.136
10989876,0.01774,76.3275038120337,-0.027,0.873,-0.286,17.405,5.033,357.163
10989878,0.0166398,76.344143612776,-0.027,0.873,-0.285,17.427,5.031,357.158
10989880,0.0164812,76.3606248130091,-0.027,0.873,-0.285,17.446,5.041,357.155
10989881,0.0173746,76.3779994123615,-0.027,0.873,-0.285,17.468,5.042,357.153
10989883,0.0175877,76.3955871132202,-0.027,0.873,-0.285,17.509,5.048,357.132
10989886,0.0170326,76.4126197122969,-0.027,0.873,-0.285,17.546,5.068,357.160
10989890,0.0354363,76.4480560109951,-0.027,0.873,-0.284,17.494,5.084,357.188
10989893,0.031482,76.479538010899,-0.028,0.873,-0.284,17.522,5.068,357.224
10989896,0.0345872,76.51412521163,-0.028,0.873,-0.283,17.551,5.031,357.215
10989900,0.0331765,76.5473017119803,-0.028,0.873,-0.283,17.538,4.990,357.204
10989901,0.033064,76.5803657122888,-0.028,0.873,-0.283,17.563,4.960,357.205
10989903,0.0167294,76.5970951118506,-0.028,0.873,-0.283,17.584,4.947,357.204
10989905,0.0175675,76.6146626123227,-0.028,0.873,-0.282,17.587,4.938,357.185
10989906,0.0155417,76.6302043120377,-0.028,0.873,-0.282,17.601,4.916,357.192
10989908,0.0160754,76.6462797126733,-0.028,0.873,-0.282,17.638,4.899,357.196
10989910,0.0180469,76.6643266133033,-0.029,0.873,-0.282,17.667,4.864,357.183
10989911,0.0147543,76.679080913309,-0.029,0.873,-0.282,17.713,4.838,357.179
10989913,0.0168925,76.6959734135307,-0.029,0.873,-0.282,17.735,4.820,357.162
10989915,0.0157279,76.7117013134994,-0.028,0.873,-0.282,17.744,4.792,357.151
10989916,0.0175012,76.7292025131173,-0.028,0.873,-0.282,17.744,4.791,357.144
10989918,0.0164301,76.7456326135434,-0.028,0.873,-0.282,17.755,4.794,357.140
10989919,0.0173592,76.7629918144085,-0.028,0.873,-0.282,17.753,4.800,357.127
10989921,0.011806,76.7747978144325,-0.028,0.873,-0.282,17.757,4.810,357.135
10989923,0.0156975,76.7904953141697,-0.028,0.873,-0.282,17.747,4.817,357.126
10989924,0.021514,76.8120093145408,-0.028,0.872,-0.283,17.747,4.832,357.122
10989926,0.012022,76.8240313143469,-0.028,0.872,-0.283,17.757,4.832,357.100
10989928,0.0229128,76.846944114659,-0.028,0.872,-0.283,17.772,4.837,357.086
10989930,0.0162809,76.863225015346,-0.027,0.872,-0.283,17.797,4.855,357.076
10989931,0.0175,76.8807250154205,-0.027,0.872,-0.283,17.823,4.862,357.065
10989933,0.0158312,76.8965562158264,-0.027,0.872,-0.284,17.843,4.876,357.041
10989935,0.0189993,76.9155555167235,-0.027,0.872,-0.284,17.863,4.880,357.024
10989936,0.0142343,76.929789816495,-0.027,0.872,-0.284,17.877,4.900,357.020
10989938,0.0169139,76.9467037166469,-0.027,0.872,-0.284,17.862,4.894,357.001
10989940,0.0119049,76.9586086166091,-0.026,0.872,-0.284,17.858,4.906,357.008
10989941,0.0216539,76.9802625165321,-0.026,0.872,-0.284,17.859,4.910,356.988
10989943,0.0164571,76.9967196159996,-0.026,0.872,-0.284,17.841,4.895,356.956
10989945,0.0162065,77.0129261151887,-0.026,0.872,-0.285,17.810,4.879,356.912
10989946,0.0155047,77.0284308153205,-0.026,0.872,-0.285,17.780,4.875,356.906
10989948,0.0121842,77.0406150151975,-0.026,0.873,-0.285,17.781,4.867,356.903
10989950,0.0215046,77.0621196147986,-0.026,0.872,-0.285,17.758,4.866,356.906
10989951,0.0168743,77.0789939151146,-0.026,0.873,-0.285,17.733,4.860,356.913
10989953,0.0170103,77.0960042146035,-0.026,0.873,-0.285,17.712,4.854,356.916
10989954,0.0167954,77.1127996151336,-0.026,0.873,-0.286,17.714,4.847,356.896
10989956,0.0120063,77.1248059147038,-0.026,0.873,-0.286,17.710,4.839,356.890
10989958,0.0212378,77.1460437146015,-0.026,0.873,-0.286,17.715,4.837,356.869
10989960,0.016658,77.1627017152496,-0.025,0.873,-0.286,17.708,4.827,356.846
10989961,0.0162795,77.1789812152274,-0.025,0.873,-0.286,17.709,4.824,356.832
