Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
18241823,0.0097486,1634.5923174466,0.000,0.218,0.512,0.000
18241824,0.0144742,1634.60679164669,0.000,0.218,0.512,0.000
18241826,0.0162884,1634.62308004638,0.000,0.218,0.512,0.000
18241828,0.0161784,1634.63925844571,0.000,0.218,0.512,0.000
18241829,0.0203353,1634.6595937456,0.000,0.218,0.512,0.000
18241831,0.0139898,1634.67358354526,0.000,0.218,0.512,0.000
18241833,0.0187122,1634.69229574548,0.000,0.218,0.512,0.000
18241835,0.0207842,1634.71307994472,0.000,0.218,0.512,0.000
0,0.0157812,1634.72886114428,0.000,0.218,0.512,0.000
0,0.0193833,1634.74824444437,0.000,0.218,0.512,0.000
0,0.0216171,1634.76986154402,0.000,0.218,0.512,0.000
18241842,0.0170198,1634.78688134486,0.000,0.218,0.512,0.000
18241845,0.0202844,1634.80716574425,0.000,0.218,0.512,0.000
18241847,0.019533,1634.82669874514,0.000,0.218,0.512,0.000
18241849,0.0209572,1634.84765594499,0.000,0.218,0.512,0.000
18241851,0.0219039,1634.86955984542,0.000,0.218,0.512,0.000
18241853,0.0218987,1634.89145854535,0.000,0.218,0.512,0.000
18241856,0.0230629,1634.91452144505,0.000,0.218,0.512,0.000
18241858,0.0234307,1634.93795214454,0.000,0.218,0.512,0.000
18241861,0.0245664,1634.96251854533,0.000,0.218,0.512,0.000
18241863,0.0248823,1634.98740084516,0.000,0.218,0.512,0.000
18241866,0.0260653,1635.01346614445,0.000,0.218,0.512,0.000
18241869,0.0302071,1635.04367324384,0.000,0.218,0.512,0.000
18241872,0.0278861,1635.07155934395,0.000,0.218,0.512,0.000
18241875,0.032146,1635.10370534332,0.000,0.218,0.512,0.000
18241879,0.0302346,1635.13393994281,0.000,0.218,0.512,0.000
18241882,0.034131,1635.16807094449,0.000,0.218,0.512,0.000
18241887,0.0387617,1635.20683264593,0.000,0.218,0.512,0.000
18241891,0.041231,1635.24806364486,0.000,0.218,0.512,0.000
0,0.0474975,1635.29556114459,0.000,0.218,0.512,0.000
0,0.0527581,1635.34831924597,0.000,0.218,0.512,0.000
0,0.0665282,1635.41484744707,0.000,0.218,0.512,0.000
0,0.0919955,1635.5068429471,0.000,0.218,0.512,0.000
0,0.1000944,1635.60693734745,0.000,0.218,0.512,0.000
0,0.014661,1635.62159834756,0.000,0.218,0.512,0.000
0,0.0187099,1635.64030824741,0.000,0.218,0.512,0.000
0,0.015543,1635.65585124725,0.000,0.218,0.512,0.000
0,0.0161126,1635.67196384678,0.000,0.218,0.512,0.000
0,0.0206268,1635.69259064691,0.000,0.218,0.512,0.000
0,0.0119381,1635.70452874666,0.000,0.218,0.512,0.000
0,0.0160863,1635.7206150475,0.000,0.218,0.512,0.000
0,0.0192934,1635.73990844702,0.000,0.218,0.512,0.000
0,0.014627,1635.75453544734,0.000,0.218,0.512,0.000
0,0.0166906,1635.771226048,0.000,0.218,0.512,0.000
0,0.0198487,1635.79107474862,0.000,0.218,0.512,0.000
0,0.0133866,1635.80446134834,0.000,0.218,0.512,0.000
0,0.0165202,1635.82098154863,0.000,0.218,0.512,0.000
0,0.0203649,1635.84134644782,0.000,0.218,0.512,0.000
0,0.012733,1635.85407944815,0.000,0.218,0.512,0.000
18241950,0.0172422,1635.87132164883,0.000,0.218,0.512,0.000
18241952,0.0183388,1635.8896604483,0.000,0.218,0.512,0.000
18241954,0.0155323,1635.90519274818,0.000,0.218,0.512,0.000
18241955,0.0208556,1635.92604834819,0.000,0.218,0.512,0.000
18241957,0.0121786,1635.93822694803,0.000,0.218,0.512,0.000
18241958,0.0170517,1635.95527864853,0.000,0.218,0.512,0.000
0,0.0203022,1635.97558084922,0.000,0.218,0.512,0.000
0,0.0128615,1635.98844234878,0.000,0.218,0.512,0.000
0,0.0156695,1636.00411184924,0.000,0.218,0.512,0.000
0,0.0219454,1636.0260572494,0.000,0.218,0.512,0.000
0,0.0108596,1636.03691684967,0.000,0.218,0.512,0.000
0,0.0169792,1636.05389605043,0.000,0.218,0.512,0.000
0,0.0201674,1636.07406344963,0.000,0.218,0.512,0.000
18241972,0.0144263,1636.08848974993,0.000,0.218,0.512,0.000
0,0.015872,1636.10436174972,0.000,0.218,0.512,0.000
18241975,0.0163459,1636.12070764927,0.000,0.218,0.512,0.000
18241977,0.0166173,1636.13732494926,0.000,0.218,0.512,0.000
18241979,0.018475,1636.15579994908,0.000,0.218,0.512,0.000
18241980,0.0212969,1636.17709684884,0.000,0.218,0.512,0.000
18241982,0.0109318,1636.18802864896,0.000,0.218,0.512,0.000
0,0.0176457,1636.20567434886,0.000,0.218,0.512,0.000
0,0.0219034,1636.22757774824,0.000,0.218,0.512,0.000
0,0.011688,1636.23926574783,0.000,0.218,0.512,0.000
0,0.0159396,1636.2552053486,0.000,0.218,0.512,0.000
0,0.021328,1636.27653334895,0.000,0.218,0.512,0.000
0,0.0117785,1636.28831184888,0.000,0.218,0.512,0.000
0,0.0167121,1636.3050239482,0.000,0.218,0.512,0.000
18241995,0.0201873,1636.32521124789,0.000,0.218,0.512,0.000
0,0.0134963,1636.3387075481,0.000,0.218,0.512,0.000
18241999,0.0155596,1636.35426714784,0.000,0.218,0.512,0.000
18242000,0.0216111,1636.3758782479,0.000,0.218,0.512,0.000
18242002,0.0126459,1636.38852414815,0.000,0.218,0.512,0.000
18242004,0.0168472,1636.40537134884,0.000,0.218,0.512,0.000
18242005,0.0201254,1636.42549674911,0.000,0.218,0.512,0.000
18242007,0.0120885,1636.43758524908,0.000,0.218,0.512,0.000
18242009,0.0162793,1636.45386454975,0.000,0.218,0.512,0.000
18242010,0.0160513,1636.46991584962,0.000,0.218,0.512,0.000
18242012,0.0179546,1636.48787044873,0.000,0.218,0.512,0.000
18242014,0.0157806,1636.50365104852,0.000,0.218,0.512,0.000
18242015,0.0173003,1636.52095134882,0.000,0.218,0.512,0.000
18242017,0.0170017,1636.53795304848,0.000,0.218,0.512,0.000
18242019,0.017143,1636.5550960484,0.000,0.218,0.512,0.000
18242020,0.016444,1636.57154004788,0.000,0.218,0.512,0.000
18242022,0.0172309,1636.58877094788,0.000,0.218,0.512,0.000
18242024,0.0230528,1636.61182374833,0.000,0.218,0.512,0.000
18242026,0.0117209,1636.62354464876,0.000,0.218,0.512,0.000
18242027,0.0172977,1636.6408423488,0.000,0.218,0.512,0.000
