Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
114477884,0.0100322,6823.98614929849,-0.001,0.216,0.511,0.000
114477885,0.0145853,6824.00073459884,-0.001,0.216,0.511,0.000
114477887,0.0158576,6824.01659219852,-0.001,0.216,0.511,0.000
114477889,0.0159686,6824.03256079881,-0.001,0.216,0.511,0.000
114477890,0.0165861,6824.04914689949,-0.001,0.216,0.511,0.000
114477892,0.0177743,6824.06692120014,-0.001,0.216,0.511,0.000
114477894,0.0178768,6824.08479800029,-0.001,0.216,0.511,0.000
114477896,0.0171864,6824.10198439984,-0.001,0.216,0.511,0.000
114477897,0.0186742,6824.12065860024,-0.001,0.216,0.511,0.000
114477899,0.0192101,6824.13986870041,-0.001,0.216,0.511,0.000
114477901,0.0183912,6824.15825989982,-0.001,0.216,0.511,0.000
114477903,0.0184338,6824.17669369979,-0.001,0.216,0.511,0.000
114477905,0.0217414,6824.19843509933,-0.001,0.216,0.511,0.000
114477907,0.0178395,6824.21627460001,-0.001,0.216,0.511,0.000
114477909,0.021028,6824.23730260087,-0.001,0.216,0.511,0.000
114477912,0.0206867,6824.25798930181,-0.001,0.216,0.511,0.000
114477914,0.0205068,6824.27849610103,-0.001,0.216,0.511,0.000
114477916,0.0256424,6824.30413850164,-0.001,0.216,0.511,0.000
114477918,0.0196153,6824.32375380164,-0.001,0.216,0.511,0.000
114477921,0.0225812,6824.34633500082,-0.001,0.216,0.511,0.000
114477923,0.0239066,6824.37024160055,-0.001,0.216,0.511,0.000
114477926,0.0248483,6824.39508989966,-0.001,0.216,0.511,0.000
114477928,0.0250745,6824.42016440025,-0.001,0.216,0.511,0.000
114477931,0.0270313,6824.44719570084,-0.001,0.216,0.511,0.000
114477934,0.0342998,6824.48149549915,-0.001,0.216,0.511,0.000
114477938,0.0257455,6824.50724099902,-0.001,0.216,0.511,0.000
114477941,0.0305585,6824.53779949946,-0.001,0.216,0.511,0.000
114477945,0.0342579,6824.57205739943,-0.001,0.216,0.511,0.000
114477949,0.0375432,6824.60960059939,-0.001,0.216,0.511,0.000
114477953,0.0398156,6824.64941620035,-0.001,0.216,0.511,0.000
114477958,0.0434871,6824.69290330214,-0.001,0.216,0.511,0.000
114477963,0.0496366,6824.74253990082,-0.001,0.216,0.511,0.000
0,0.0590666,6824.80160650192,-0.001,0.216,0.511,0.000
114477981,0.0761027,6824.87770919828,-0.001,0.216,0.511,0.000
114477983,0.0973597,6824.97506890027,-0.001,0.216,0.511,0.000
114477985,0.0181266,6824.99319549976,-0.001,0.216,0.511,0.000
114477986,0.0186067,6825.01180219976,-0.001,0.216,0.511,0.000
114477988,0.015442,6825.02724419953,-0.001,0.216,0.511,0.000
114477990,0.0166125,6825.04385669949,-0.001,0.216,0.511,0.000
114477991,0.0166673,6825.06052400032,-0.001,0.216,0.511,0.000
114477993,0.0178849,6825.07840890111,-0.001,0.216,0.511,0.000
114477995,0.0165649,6825.09497380117,-0.001,0.216,0.511,0.000
114477996,0.0174553,6825.11242910149,-0.001,0.216,0.511,0.000
0,0.015328,6825.12775710179,-0.001,0.216,0.511,0.000
0,0.0173555,6825.14511260157,-0.001,0.216,0.511,0.000
0,0.0165898,6825.16170240147,-0.001,0.216,0.511,0.000
0,0.0172122,6825.17891460238,-0.001,0.216,0.511,0.000
0,0.0160129,6825.19492750196,-0.001,0.216,0.511,0.000
0,0.0169651,6825.2118926025,-0.001,0.216,0.511,0.000
0,0.0169081,6825.22880070237,-0.001,0.216,0.511,0.000
0,0.0169615,6825.24576220242,-0.001,0.216,0.511,0.000
114478011,0.0158342,6825.26159640169,-0.001,0.216,0.511,0.000
114478013,0.0170152,6825.2786116018,-0.001,0.216,0.511,0.000
114478015,0.0163327,6825.29494430264,-0.001,0.216,0.511,0.000
114478016,0.0176262,6825.31257050252,-0.001,0.216,0.511,0.000
114478018,0.0173376,6825.32990810229,-0.001,0.216,0.511,0.000
114478020,0.0169657,6825.3468738026,-0.001,0.216,0.511,0.000
114478022,0.0160892,6825.36296300357,-0.001,0.216,0.511,0.000
114478023,0.0163453,6825.37930830335,-0.001,0.216,0.511,0.000
114478025,0.0162297,6825.39553800365,-0.001,0.216,0.511,0.000
114478026,0.0169532,6825.41249120375,-0.001,0.216,0.511,0.000
114478028,0.0169663,6825.42945750384,-0.001,0.216,0.511,0.000
114478030,0.0160027,6825.44546020357,-0.001,0.216,0.511,0.000
114478031,0.0180186,6825.46347880317,-0.001,0.216,0.511,0.000
114478033,0.0153978,6825.4788766033,-0.001,0.216,0.511,0.000
114478035,0.0169409,6825.49581750249,-0.001,0.216,0.511,0.000
114478036,0.0166632,6825.51248070179,-0.001,0.216,0.511,0.000
114478038,0.0172791,6825.52975980146,-0.001,0.216,0.511,0.000
114478040,0.0163908,6825.54615060193,-0.001,0.216,0.511,0.000
114478041,0.0169587,6825.56310930243,-0.001,0.216,0.511,0.000
