Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
139286464,0.0159831,940.712046439759,-0.273,0.739,-0.520,7.460,327.755,1.704
139286466,0.0063998,940.718446239829,-0.272,0.739,-0.521,7.290,327.415,1.675
139286468,0.0239696,940.742415839806,-0.270,0.738,-0.521,7.233,327.206,1.553
139286469,0.0206871,940.763102939352,-0.270,0.738,-0.521,7.281,327.132,1.461
139286471,0.012933,940.776035939343,-0.269,0.737,-0.521,7.424,327.113,1.440
139286473,0.0176206,940.793656540103,-0.268,0.736,-0.522,7.665,327.010,1.423
139286475,0.0214839,940.815140440129,-0.266,0.735,-0.523,7.988,326.864,1.474
139286476,0.0137548,940.828895240091,-0.266,0.734,-0.524,8.032,326.902,1.555
139286478,0.0193509,940.848246139474,-0.264,0.733,-0.525,8.230,326.761,1.601
139286480,0.0180463,940.866292440332,-0.263,0.732,-0.525,8.275,326.714,1.621
139286483,0.0200967,940.886389140971,-0.262,0.732,-0.526,8.300,326.627,1.611
139286484,0.0226787,940.909067840315,-0.260,0.731,-0.527,8.347,326.476,1.541
139286486,0.0163562,940.925424040295,-0.258,0.730,-0.529,8.281,326.181,1.390
139286488,0.0202151,940.945639139973,-0.257,0.729,-0.530,8.182,325.946,1.201
139286491,0.0214202,940.967059339397,-0.256,0.727,-0.531,8.272,325.603,0.973
139286493,0.0214075,940.988466839306,-0.255,0.726,-0.532,8.648,325.549,0.907
139286495,0.0253727,941.013839540072,-0.254,0.725,-0.534,8.870,325.402,0.755
139286498,0.0205851,941.034424639307,-0.252,0.725,-0.536,8.813,325.318,0.789
139286499,0.0258017,941.060226338916,-0.251,0.724,-0.538,8.738,325.149,0.839
0,0.0231471,941.083373439498,-0.250,0.725,-0.541,8.613,325.059,0.896
139286505,0.0282875,941.111660939641,-0.248,0.725,-0.544,8.327,324.909,0.985
139286508,0.0245479,941.136208838783,-0.248,0.727,-0.546,7.951,324.765,1.123
139286511,0.0289113,941.165120138787,-0.247,0.727,-0.548,7.630,324.633,1.102
139286514,0.0297798,941.194899938069,-0.246,0.727,-0.550,7.691,324.534,1.127
139286518,0.0318999,941.226799837314,-0.246,0.726,-0.552,7.777,324.331,1.361
139286521,0.0353095,941.262109338306,-0.246,0.726,-0.554,7.982,324.054,1.539
139286525,0.0322298,941.294339138083,-0.247,0.725,-0.556,8.127,323.719,1.617
139286529,0.0386979,941.333037036471,-0.248,0.725,-0.557,8.092,323.219,1.776
