Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
7943814,0.0172544,485.2664507907,0,0,0,False
7943816,0.0120849,485.2785356911,0,0,0,False
7943817,0.0195579,485.2980935918,0,0,0,False
7943819,0.0146373,485.3127308916,0,0,0,False
7943821,0.0170503,485.3297811914,0,0,0,False
7943822,0.0178824,485.3476635907,0,0,0,False
7943824,0.0176764,485.3653399907,0,0,0,False
7943826,0.0254924,485.3908323906,0,0,0,False
7943872,0.1103535,485.8489200892,0,0,0,False
7943875,0.0122205,485.8611405892,0,0,0,False
7943878,0.0271153,485.8882558895,0,0,0,False
7943880,0.0302084,485.918464289,0,0,0,False
7943883,0.025551,485.9440152897,0,0,0,False
7943886,0.0303756,485.9743908895,0,0,0,False
7943890,0.0328262,486.0072170896,0,0,0,False
7943891,0.0317295,486.0389465904,0,0,0,False
7943893,0.0085791,486.0475256899,0,0,0,False
7943894,0.0216133,486.0691389898,0,0,0,False
0,0.0125018,486.0816407902,0,0,0,False
0,0.0230809,486.1047216905,0,0,0,False
0,0.0112752,486.1159968907,0,0,0,False
0,0.0224334,486.1384302909,0,0,0,False
0,0.0108422,486.1492724912,0,0,0,False
7943906,0.0272369,486.1765093906,0,0,0,False
0,0.0319807,486.2084900914,0,0,0,False
7943910,0.0096428,486.2181328917,0,0,0,False
7943912,0.0221389,486.2402717909,0,0,0,False
7943912,0.0174544,486.2577261915,0,0,0,False
7943915,0.0106893,486.2684154911,0,0,0,False
7943916,0.0206072,486.2890226906,0,0,0,False
7943918,0.016747,486.3057696903,0,0,0,False
7943920,0.0133563,486.3191259904,0,0,0,False
7943921,0.0216718,486.3407977903,0,0,0,False
7943923,0.0152632,486.3560609901,0,0,0,False
7943925,0.0118249,486.3678858904,0,0,0,False
7943926,0.0225942,486.3904800909,0,0,0,False
7943928,0.012139,486.4026190909,0,0,0,False
7943930,0.0219936,486.4246126907,0,0,0,False
7943932,0.0166135,486.4412261909,0,0,0,False
7943933,0.0160654,486.457291591,0,0,0,False
7943935,0.012079,486.4693705905,0,0,0,False
7943937,0.0260243,486.4953948911,0,0,0,False
7943938,0.0130912,486.5084860912,0,0,0,False
0,0.0105781,486.5190641908,0,0,0,False
0,0.0223396,486.54140379,0,0,0,False
7943943,0.0159987,486.5574024906,0,0,0,False
7943945,0.0158271,486.5732295914,0,0,0,False
7943946,0.0185741,486.5918036914,0,0,0,False
7943948,0.0095899,486.6013935916,0,0,0,False
7943949,0.0229907,486.6243842915,0,0,0,False
7943951,0.0110135,486.6353977919,0,0,0,False
7943953,0.0246339,486.6600316912,0,0,0,False
7943955,0.0085747,486.6686063912,0,0,0,False
7943956,0.0228333,486.6914396919,0,0,0,False
7943958,0.0157323,486.7071719915,0,0,0,False
7943959,0.0175791,486.7247510906,0,0,0,False
7943961,0.0113196,486.7360706907,0,0,0,False
7943963,0.0215317,486.7576023899,0,0,0,False
7943965,0.0172417,486.7748440895,0,0,0,False
7943966,0.0159766,486.7908206899,0,0,0,False
7943968,0.0167608,486.8075814899,0,0,0,False
7943969,0.0175992,486.8251806907,0,0,0,False
7943971,0.0113067,486.836487391,0,0,0,False
7943973,0.0218847,486.8583720913,0,0,0,False
