Frame,DeltaTime,Time,Status,GazeX,GazeY,GazeZ,GazePosition,FocusDistance,FocusStability,StatusL,LeftX,LeftY,LeftZ,PositionL,PupilL,StatusR,RightX,RightY,RightZ,PositionR,PupilR
7946982,0.0161432,517.0068381,VALID,-0.218283147,-0.27850318,0.935301244,-0.030670449,2,0,VALID,-0.218283147,-0.27850318,0.935301244,-0.030670449,0.148378864,INVALID,,,,,
7946984,0.0181441,517.0249822,VALID,-0.212307066,-0.277452528,0.936987638,-0.030670449,2,0,VALID,-0.212307066,-0.277452528,0.936987638,-0.030670449,0.148614421,INVALID,,,,,
7946987,0.0216369,517.0466191,VALID,-0.204052746,-0.275005311,0.939539552,-0.030670449,2,0,VALID,-0.204052746,-0.275005311,0.939539552,-0.030670449,0.150952131,INVALID,,,,,
7946988,0.0275536,517.0741727,VALID,-0.202044636,-0.274806947,0.940031409,-0.030670449,2,0,VALID,-0.202044636,-0.274806947,0.940031409,-0.030670449,0.149230525,INVALID,,,,,
7946990,0.0151167,517.0892894,VALID,-0.196678609,-0.273725718,0.941483796,-0.030670449,2,0,VALID,-0.196678609,-0.273725718,0.941483796,-0.030670449,0.151745051,INVALID,,,,,
7946992,0.0161832,517.1054726,VALID,-0.195341304,-0.272740692,0.942047894,-0.030670449,2,0.259121746,VALID,-0.195341304,-0.272740692,0.942047894,-0.030670449,0.150008604,INVALID,,,,,
7946995,0.0218105,517.1272831,VALID,-0.193380237,-0.271775663,0.942731202,-0.030670449,2,0.52162236,VALID,-0.193380237,-0.271775663,0.942731202,-0.030670449,0.151090279,INVALID,,,,,
7946997,0.0297319,517.157015,VALID,-0.191220149,-0.27208668,0.943082035,-0.030670449,2,0.64196074,VALID,-0.191220149,-0.27208668,0.943082035,-0.030670449,0.152932882,INVALID,,,,,
7946999,0.0164663,517.1734813,VALID,-0.188024133,-0.271803141,0.943806112,-0.030670449,2,0.690446734,VALID,-0.188024133,-0.271803141,0.943806112,-0.030670449,0.152465314,INVALID,,,,,
7947000,0.0156979,517.1891792,VALID,-0.186477989,-0.271578968,0.94417733,-0.030670449,2,0.694344282,VALID,-0.186477989,-0.271578968,0.94417733,-0.030670449,0.153856173,INVALID,,,,,
7947003,0.0237674,517.2129466,VALID,-0.179480061,-0.269435018,0.946145713,-0.030670449,2,0.707348943,VALID,-0.179480061,-0.269435018,0.946145713,-0.030670449,0.156136274,INVALID,,,,,
0,0.0290613,517.2420079,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
0,0.0165156,517.2585235,INVALID,,,,,,,INVALID,,,,,,INVALID,,,,,
7947009,0.01842,517.2769435,VALID,-0.087377548,-0.293704778,0.951894283,0,0.365004659,0,VALID,-0.004886494,-0.286527961,0.95805943,-0.030670449,0.156549841,VALID,-0.169266194,-0.298856705,0.939166427,0.030670449,0.153393328
7947012,0.0175374,517.2944809,VALID,0.037760928,-0.277689964,0.959928334,0,0.537270188,0,VALID,0.094561659,-0.27826193,0.955839097,-0.030670449,0.154662997,VALID,-0.019162271,-0.276217371,0.960904121,0.030670449,0.152148664
7947013,0.0296551,517.324136,VALID,0.028767053,-0.276410311,0.960609078,0,0.439284325,0,VALID,0.098214537,-0.277383089,0.955726206,-0.030670449,0.151575848,VALID,-0.040819883,-0.274097592,0.960835159,0.030670449,0.153708994
7947015,0.0172098,517.3413458,VALID,0.018145949,-0.274149597,0.961515844,0,0.412182122,0,VALID,0.092180528,-0.275593698,0.956844211,-0.030670449,0.150989056,VALID,-0.055988524,-0.271196276,0.960894287,0.030670449,0.154801711
7947017,0.0161518,517.3574976,VALID,0.013348894,-0.273483157,0.961784184,0,0.388228983,0,VALID,0.091881439,-0.275845528,0.956800401,-0.030670449,0.153238043,VALID,-0.065266386,-0.269425809,0.960806966,0.030670449,0.156805366
7947020,0.0228811,517.3803787,VALID,0.008301683,-0.2721982,0.96220541,0,0.382286549,0,VALID,0.088100694,-0.274380475,0.957576931,-0.030670449,0.155834809,VALID,-0.071550407,-0.26827544,0.960681438,0.030670449,0.154611111
7947022,0.0273768,517.4077555,VALID,0.00482284,-0.271027386,0.962559581,0,0.386116087,0,VALID,0.083837807,-0.273415029,0.958235562,-0.030670449,0.16509372,VALID,-0.074222356,-0.266940981,0.960850418,0.030670449,0.154868737
7947024,0.0175716,517.4253271,VALID,0.00223702,-0.270322472,0.962767243,0,0.38621825,0,VALID,0.081188217,-0.273302525,0.958495796,-0.030670449,0.156193286,VALID,-0.07672818,-0.265650094,0.96101135,0.030670449,0.156597555
7947025,0.0154692,517.4407963,VALID,4.93E-06,-0.269690335,0.96294713,0,0.38034749,0,VALID,0.080164999,-0.272842497,0.958712935,-0.030670449,0.155904859,VALID,-0.080155164,-0.264797688,0.960966885,0.030670449,0.153962925
7947028,0.0210836,517.4618799,VALID,-0.007819152,-0.267340183,0.963570476,0,0.364986926,0,VALID,0.075699337,-0.270902425,0.959625721,-0.030670449,0.153805912,VALID,-0.091282874,-0.261905581,0.960766852,0.030670449,0.154462069
7947030,0.0281253,517.4900052,VALID,-0.01423912,-0.267675489,0.963403881,0,0.36103037,0.287899822,VALID,0.069767147,-0.274309486,0.959107339,-0.030670449,0.149100497,VALID,-0.09814401,-0.259135783,0.960841477,0.030670449,0.152983055
