Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
23719877,0.024871,410.746255814098,0.013,0.957,-0.312,6.618,2.971,1.702
23719878,0.0141233,410.760379114188,0.013,0.957,-0.312,6.581,2.985,1.681
23719881,0.0142372,410.774616314098,0.013,0.957,-0.313,6.547,2.992,1.694
23719883,0.0204424,410.795058714226,0.013,0.957,-0.313,6.519,2.988,1.712
23719885,0.0215218,410.816580513492,0.013,0.957,-0.313,6.492,2.982,1.718
23719886,0.0196047,410.836185213178,0.012,0.957,-0.314,6.443,2.970,1.739
23719888,0.0169213,410.853106513619,0.012,0.957,-0.314,6.393,2.962,1.736
23719935,0.1147619,411.324098011479,0.012,0.957,-0.317,6.469,2.672,1.819
23719938,0.0160581,411.340156111866,0.012,0.957,-0.318,6.426,2.669,1.818
23719941,0.0316302,411.371786311269,0.013,0.957,-0.318,6.392,2.651,1.784
23719944,0.0297885,411.401574810967,0.013,0.957,-0.319,6.322,2.670,1.766
23719947,0.032306,411.433880811557,0.013,0.957,-0.319,6.283,2.681,1.772
23719950,0.0270215,411.460902310908,0.013,0.957,-0.320,6.248,2.704,1.766
23719953,0.0414047,411.502307012677,0.014,0.957,-0.320,6.207,2.743,1.746
23719955,0.021572,411.523879012093,0.014,0.957,-0.320,6.201,2.736,1.709
23719957,0.0215423,411.545421311632,0.014,0.957,-0.320,6.175,2.749,1.667
23719959,0.0192068,411.564628111199,0.014,0.957,-0.321,6.148,2.762,1.635
23719961,0.019217,411.58384511061,0.015,0.957,-0.321,6.143,2.766,1.597
23719963,0.0200376,411.603882711381,0.015,0.957,-0.321,6.112,2.788,1.575
23719964,0.0127346,411.616617311724,0.015,0.957,-0.321,6.103,2.821,1.572
23719965,0.0113074,411.627924711443,0.015,0.957,-0.321,6.083,2.830,1.562
23719968,0.0248717,411.652796410955,0.015,0.957,-0.322,6.059,2.872,1.526
23719969,0.0145229,411.667319310829,0.016,0.958,-0.322,6.042,2.898,1.507
23719971,0.0153684,411.682687710971,0.016,0.958,-0.322,6.020,2.923,1.490
23719974,0.0288845,411.711572211236,0.016,0.958,-0.322,5.963,2.997,1.432
23719978,0.0314324,411.743004612625,0.017,0.958,-0.322,5.954,3.054,1.370
23719981,0.0301426,411.773147212341,0.017,0.958,-0.323,5.941,3.104,1.336
23719985,0.0335961,411.806743310764,0.018,0.958,-0.323,5.965,3.166,1.308
23719988,0.0326166,411.839359911159,0.018,0.957,-0.323,6.000,3.209,1.296
23719991,0.0340907,411.873450612649,0.018,0.957,-0.323,6.015,3.234,1.274
23719995,0.0320764,411.905527012423,0.018,0.957,-0.323,6.046,3.224,1.195
23719998,0.0342062,411.939733212814,0.019,0.957,-0.323,6.075,3.253,1.174
23720002,0.0333007,411.973033914343,0.019,0.957,-0.323,6.069,3.270,1.185
23720005,0.0347189,412.007752815261,0.019,0.957,-0.323,6.054,3.280,1.216
23720006,0.0297823,412.037535116076,0.019,0.957,-0.322,6.044,3.280,1.241
23720008,0.0152977,412.052832815796,0.019,0.957,-0.322,6.039,3.259,1.242
23720011,0.0212237,412.07405651547,0.019,0.957,-0.322,6.026,3.187,1.225
23720015,0.0324092,412.106465714052,0.019,0.957,-0.322,6.010,3.134,1.249
23720018,0.0347178,412.141183512285,0.018,0.957,-0.322,6.010,3.105,1.232
23720020,0.0291042,412.170287711546,0.018,0.957,-0.322,6.031,3.111,1.243
23720021,0.0180688,412.188356511295,0.018,0.957,-0.321,6.048,3.116,1.265
23720023,0.014903,412.203259510919,0.018,0.957,-0.321,6.083,3.126,1.290
23720027,0.0209631,412.224222611636,0.018,0.957,-0.321,6.113,3.133,1.336
23720030,0.034168,412.2583906129,0.018,0.957,-0.321,6.136,3.102,1.335
23720033,0.0354817,412.293872311711,0.018,0.957,-0.320,6.110,3.046,1.329
23720036,0.0352971,412.329169411212,0.018,0.957,-0.320,6.087,3.011,1.357
23720040,0.0286293,412.357798710465,0.018,0.957,-0.320,6.064,3.003,1.415
23720041,0.0294629,412.387261610478,0.018,0.957,-0.320,6.041,3.005,1.449
23720043,0.0145403,412.401801910251,0.018,0.957,-0.320,6.033,3.008,1.468
23720046,0.0255404,412.427342310548,0.018,0.957,-0.320,5.983,2.984,1.484
23720050,0.0301132,412.457455510274,0.017,0.957,-0.319,5.936,2.974,1.496
23720053,0.0364239,412.493879409507,0.017,0.957,-0.319,5.867,2.963,1.510
23720056,0.03347,412.527349410579,0.017,0.958,-0.319,5.813,2.985,1.509
23720060,0.0325131,412.559862511233,0.017,0.958,-0.319,5.764,3.035,1.503
23720062,0.0335894,412.593451911584,0.017,0.958,-0.319,5.696,3.079,1.519
23720064,0.0253969,412.618848811835,0.018,0.958,-0.319,5.705,3.090,1.487
23720066,0.0125628,412.631411612034,0.018,0.958,-0.319,5.709,3.102,1.508
23720067,0.0227928,412.654204411432,0.018,0.958,-0.319,5.695,3.122,1.472
23720070,0.0196293,412.673833711073,0.018,0.958,-0.319,5.678,3.139,1.490
23720071,0.0205248,412.694358510897,0.018,0.958,-0.319,5.654,3.159,1.447
23720073,0.0084051,412.702763610519,0.018,0.958,-0.319,5.686,3.155,1.433
23720075,0.0289193,412.731682910584,0.018,0.958,-0.318,5.686,3.182,1.405
23720077,0.0077309,412.739413810428,0.018,0.958,-0.318,5.693,3.195,1.400
23720079,0.022934,412.762347809505,0.018,0.958,-0.318,5.674,3.215,1.380
23720080,0.0216691,412.784016908612,0.018,0.958,-0.318,5.695,3.244,1.366
23720083,0.0166122,412.800629108679,0.018,0.957,-0.318,5.718,3.267,1.365
23720086,0.0234746,412.824103708845,0.018,0.958,-0.318,5.728,3.282,1.369
23720090,0.0299544,412.854058108758,0.018,0.957,-0.317,5.726,3.259,1.329
23720091,0.0361509,412.890209007543,0.018,0.958,-0.317,5.720,3.249,1.320
23720093,0.0131202,412.903329207096,0.018,0.958,-0.317,5.710,3.242,1.317
23720094,0.0189614,412.92229060689,0.018,0.958,-0.317,5.703,3.241,1.298
23720097,0.0177732,412.940063806716,0.018,0.958,-0.317,5.686,3.242,1.275
23720099,0.0208427,412.96090650605,0.018,0.958,-0.317,5.662,3.277,1.261
23720101,0.0290785,412.989985006396,0.018,0.958,-0.317,5.639,3.293,1.257
0,0.0203452,413.010330206249,0.018,0.958,-0.317,5.634,3.299,1.264
0,0.0111561,413.021486306097,0.018,0.958,-0.317,5.635,3.329,1.259
0,0.0225235,413.044009806123,0.018,0.958,-0.317,5.646,3.347,1.253
0,0.0316224,413.075632204767,0.018,0.958,-0.317,5.658,3.359,1.238
23720112,0.0130502,413.088682405185,0.018,0.958,-0.316,5.673,3.363,1.219
23720115,0.0229865,413.111668904778,0.018,0.958,-0.316,5.713,3.354,1.230
23720116,0.0299238,413.141592705157,0.018,0.958,-0.316,5.736,3.372,1.245
23720118,0.0132213,413.154814005364,0.018,0.958,-0.316,5.753,3.362,1.248
23720119,0.02249,413.177304005716,0.017,0.957,-0.316,5.754,3.377,1.258
23720121,0.0071989,413.1845029057,0.017,0.958,-0.316,5.774,3.376,1.269
23720123,0.0225538,413.207056705374,0.017,0.957,-0.316,5.782,3.375,1.287
23720125,0.0155541,413.222610805649,0.017,0.957,-0.316,5.804,3.371,1.313
23720126,0.0196765,413.242287304718,0.017,0.957,-0.316,5.814,3.353,1.339
23720128,0.0134758,413.255763104651,0.017,0.957,-0.316,5.834,3.339,1.361
23720130,0.0193116,413.275074704085,0.017,0.957,-0.316,5.844,3.328,1.376
23720132,0.0151688,413.290243504103,0.017,0.957,-0.316,5.853,3.315,1.393
23720135,0.0244733,413.314716804307,0.016,0.957,-0.316,5.839,3.275,1.438
23720136,0.0280616,413.342778404709,0.016,0.957,-0.316,5.825,3.267,1.445
23720138,0.0149672,413.357745605055,0.016,0.958,-0.316,5.798,3.233,1.462
23720141,0.0225352,413.380280804355,0.016,0.958,-0.316,5.748,3.229,1.473
23720143,0.0283047,413.408585504163,0.016,0.958,-0.317,5.730,3.217,1.490
23720146,0.0216278,413.430213304702,0.015,0.958,-0.317,5.677,3.205,1.549
23720150,0.0317731,413.461986406241,0.015,0.958,-0.316,5.622,3.183,1.571
23720153,0.0324945,413.49448090652,0.015,0.958,-0.316,5.604,3.156,1.564
23720156,0.0342029,413.528683806304,0.015,0.958,-0.316,5.611,3.119,1.596
23720159,0.0312929,413.559976706747,0.015,0.958,-0.316,5.675,3.084,1.632
23720163,0.0353155,413.595292205457,0.014,0.958,-0.316,5.735,3.060,1.698
23720166,0.0332912,413.62858340377,0.014,0.958,-0.316,5.775,2.980,1.764
23720170,0.0321968,413.660780204926,0.013,0.958,-0.316,5.815,2.869,1.805
23720173,0.0328869,413.693667104933,0.013,0.957,-0.316,5.856,2.760,1.862
23720176,0.0324333,413.726100406144,0.013,0.957,-0.315,5.904,2.680,1.877
23720179,0.0354837,413.761584105436,0.013,0.957,-0.315,5.935,2.629,1.929
23720183,0.0300844,413.791668504942,0.013,0.957,-0.315,5.991,2.629,1.988
23720186,0.033899,413.825567506719,0.013,0.957,-0.315,5.964,2.596,2.021
23720189,0.0336313,413.85919880541,0.013,0.957,-0.315,5.921,2.580,1.999
23720191,0.0295599,413.888758704532,0.013,0.957,-0.315,5.879,2.587,1.988
23720194,0.0212109,413.909969604108,0.013,0.958,-0.315,5.776,2.643,2.003
23720196,0.0293438,413.939313404728,0.013,0.958,-0.315,5.714,2.660,2.002
23720197,0.0181331,413.95744650485,0.013,0.958,-0.315,5.681,2.719,2.009
23720199,0.0091451,413.96659160452,0.013,0.958,-0.315,5.664,2.745,1.994
23720201,0.017156,413.983747603837,0.013,0.958,-0.315,5.642,2.787,1.966
23720202,0.0210823,414.00482990453,0.013,0.958,-0.315,5.623,2.823,1.960
23720204,0.0127533,414.017583204899,0.013,0.958,-0.315,5.622,2.837,1.961
23720206,0.0173955,414.034978704993,0.013,0.958,-0.315,5.615,2.881,1.969
23720208,0.0230164,414.057995105628,0.013,0.958,-0.315,5.621,2.921,1.994
23720210,0.0135785,414.071573605295,0.013,0.958,-0.315,5.631,2.966,1.982
23720213,0.0269456,414.098519205581,0.013,0.958,-0.314,5.666,3.038,1.985
23720217,0.0359482,414.13446740387,0.013,0.958,-0.314,5.662,3.066,1.953
23720220,0.0280247,414.162492103409,0.014,0.958,-0.314,5.656,3.060,1.913
23720223,0.0349486,414.197440702003,0.013,0.958,-0.314,5.668,3.075,1.905
23720224,0.0297765,414.22721720254,0.013,0.958,-0.314,5.670,3.059,1.936
23720226,0.018338,414.245555202942,0.013,0.958,-0.314,5.652,3.070,1.947
23720228,0.0187166,414.264271802735,0.013,0.958,-0.314,5.631,3.070,1.906
23720230,0.0137231,414.277994902339,0.013,0.958,-0.314,5.619,3.071,1.880
23720231,0.0166181,414.294613003265,0.013,0.958,-0.314,5.598,3.062,1.868
23720234,0.0172403,414.31185330404,0.014,0.958,-0.314,5.580,3.073,1.877
23720234,0.0199463,414.331799603533,0.014,0.958,-0.314,5.547,3.079,1.869
23720236,0.0092085,414.341008103918,0.014,0.958,-0.314,5.548,3.084,1.869
23720239,0.019315,414.360323104542,0.013,0.958,-0.314,5.538,3.108,1.859
23720243,0.0328876,414.393210704904,0.013,0.958,-0.314,5.532,3.123,1.878
23720246,0.0353292,414.428539905231,0.013,0.958,-0.314,5.535,3.080,1.866
23720248,0.0318253,414.460365205538,0.013,0.958,-0.314,5.551,3.053,1.875
23720250,0.0147332,414.475098405499,0.013,0.958,-0.314,5.536,3.039,1.877
23720253,0.0218281,414.496926505584,0.013,0.958,-0.314,5.542,3.008,1.840
23720256,0.0357978,414.532724306453,0.013,0.958,-0.314,5.527,3.003,1.860
23720259,0.0286131,414.561337406281,0.013,0.958,-0.314,5.530,3.015,1.895
23720263,0.0339308,414.595268207137,0.012,0.958,-0.314,5.550,3.022,1.929
23720266,0.030224,414.625492206309,0.012,0.958,-0.314,5.570,3.004,1.938
23720270,0.0340227,414.659514906351,0.012,0.958,-0.314,5.623,2.967,1.966
23720271,0.0324622,414.691977104638,0.012,0.958,-0.314,5.661,2.949,1.994
23720274,0.0195862,414.711563304532,0.012,0.958,-0.314,5.695,2.929,2.031
23720276,0.0271766,414.738739904482,0.011,0.958,-0.314,5.705,2.926,2.055
23720277,0.017138,414.75587790506,0.011,0.958,-0.314,5.698,2.915,2.081
23720279,0.0146319,414.770509805065,0.011,0.958,-0.314,5.698,2.907,2.092
23720281,0.0134669,414.783976705279,0.011,0.958,-0.314,5.693,2.897,2.115
23720285,0.0275597,414.81153640477,0.011,0.958,-0.314,5.675,2.890,2.148
