Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
23719877,0.024871,410.746255814098,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719878,0.0141233,410.760379114188,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719881,0.0142372,410.774616314098,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719883,0.0204424,410.795058714226,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719885,0.0215218,410.816580513492,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719886,0.0196047,410.836185213178,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719888,0.0169213,410.853106513619,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719935,0.1147619,411.324098011479,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719938,0.0160581,411.340156111866,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719941,0.0316302,411.371786311269,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719944,0.0297885,411.401574810967,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719947,0.032306,411.433880811557,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719951,0.0270215,411.460902310908,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719953,0.0414047,411.502307012677,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719955,0.021572,411.523879012093,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719957,0.0215423,411.545421311632,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719959,0.0192068,411.564628111199,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719961,0.019217,411.58384511061,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719963,0.0200376,411.603882711381,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719964,0.0127346,411.616617311724,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719965,0.0113074,411.627924711443,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719968,0.0248717,411.652796410955,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719969,0.0145229,411.667319310829,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719971,0.0153684,411.682687710971,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719974,0.0288845,411.711572211236,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719978,0.0314324,411.743004612625,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719982,0.0301426,411.773147212341,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719985,0.0335961,411.806743310764,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719988,0.0326166,411.839359911159,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719991,0.0340907,411.873450612649,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719995,0.0320764,411.905527012423,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23719998,0.0342062,411.939733212814,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720002,0.0333007,411.973033914343,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720005,0.0347189,412.007752815261,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720006,0.0297823,412.037535116076,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720008,0.0152977,412.052832815796,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720011,0.0212237,412.07405651547,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720015,0.0324092,412.106465714052,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720018,0.0347178,412.141183512285,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720020,0.0291042,412.170287711546,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720021,0.0180688,412.188356511295,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720023,0.014903,412.203259510919,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720027,0.0209631,412.224222611636,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720030,0.034168,412.2583906129,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720033,0.0354817,412.293872311711,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720036,0.0352971,412.329169411212,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720040,0.0286293,412.357798710465,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720041,0.0294629,412.387261610478,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720043,0.0145403,412.401801910251,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720046,0.0255404,412.427342310548,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720050,0.0301132,412.457455510274,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720053,0.0364239,412.493879409507,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720056,0.03347,412.527349410579,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720060,0.0325131,412.559862511233,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23720062,0.0335894,412.593451911584,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
