Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
23484867,0.0118587,68.3992924634367,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484868,0.0135092,68.4128016633913,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484870,0.016372,68.4291736641899,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484872,0.0169243,68.4460979634896,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484873,0.016285,68.4623829638585,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484875,0.0171868,68.4795697638765,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484877,0.0173904,68.4969601640478,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484920,0.1055326,68.9414696646854,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484922,0.0078496,68.9493192648515,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484924,0.019649,68.9689682656899,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484926,0.0236582,68.9926264649257,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484928,0.0163653,69.0089917657897,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484930,0.021711,69.0307027650997,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484933,0.0208602,69.0515629658476,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484935,0.0208669,69.07242986653,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484938,0.0209664,69.093396265991,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484940,0.030787,69.1241832664236,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484943,0.0228599,69.1470431657508,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484946,0.0327556,69.1797987641767,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484948,0.0274031,69.2072018636391,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484949,0.0148513,69.2220531636849,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
23484951,0.0168201,69.2388732628897,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
