Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
8319005,0.0260949,1771.00234475033,0.037,0.977,-0.364,15.287,333.060,3.582
8319007,0.0175459,1771.01989064971,0.037,0.976,-0.364,15.266,333.054,3.578
8319008,0.0181801,1771.03807074996,0.036,0.976,-0.364,15.256,333.054,3.583
8319055,0.1115175,1771.50978264445,0.037,0.977,-0.361,14.995,332.902,3.535
8319058,0.020338,1771.53012064518,0.037,0.977,-0.361,14.987,332.925,3.516
8319060,0.0193951,1771.54951574514,0.037,0.977,-0.361,14.985,332.971,3.468
8319063,0.0294428,1771.57895854535,0.037,0.977,-0.360,14.977,333.013,3.449
8319066,0.0209482,1771.5999067449,0.037,0.977,-0.360,14.971,333.082,3.437
8319069,0.0280825,1771.62798924418,0.038,0.977,-0.360,14.998,333.157,3.417
8319072,0.0315975,1771.65958674299,0.038,0.976,-0.360,15.048,333.220,3.392
8319075,0.027428,1771.68701474229,0.038,0.976,-0.360,15.126,333.323,3.395
8319077,0.0340075,1771.72102224315,0.038,0.976,-0.360,15.155,333.351,3.377
8319079,0.0183886,1771.7394108423,0.038,0.976,-0.360,15.180,333.369,3.377
8319080,0.0182322,1771.7576430426,0.038,0.976,-0.360,15.161,333.387,3.373
8319082,0.0114805,1771.76912354259,0.038,0.976,-0.360,15.166,333.397,3.342
8319084,0.0211202,1771.79024374252,0.039,0.976,-0.360,15.156,333.407,3.341
8319085,0.0171223,1771.80736604286,0.039,0.976,-0.359,15.171,333.426,3.312
8319087,0.0178286,1771.82519464334,0.039,0.976,-0.359,15.169,333.441,3.300
8319089,0.0165639,1771.84175854316,0.039,0.976,-0.359,15.181,333.466,3.315
8319092,0.0227287,1771.86448724335,0.039,0.976,-0.359,15.147,333.528,3.341
8319095,0.0335751,1771.89806234231,0.039,0.976,-0.359,15.100,333.632,3.226
8319097,0.0266198,1771.92468214175,0.040,0.976,-0.359,15.077,333.663,3.233
8319100,0.0220659,1771.94674804201,0.040,0.976,-0.359,15.114,333.733,3.285
8319104,0.033807,1771.9805550403,0.040,0.976,-0.359,15.112,333.829,3.215
8319105,0.026303,1772.00685804104,0.040,0.976,-0.359,15.103,333.850,3.200
8319107,0.0181471,1772.02500514081,0.040,0.976,-0.358,15.117,333.875,3.188
8319109,0.0158265,1772.0408316399,0.041,0.976,-0.358,15.159,333.911,3.180
