Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
108589,0.0147549,681.129584839568,0.000,0.843,-0.401,350.157,358.683,357.685
108590,0.0120643,681.141649139114,0.000,0.843,-0.401,350.163,358.702,357.686
108592,0.0124602,681.15410933923,0.000,0.843,-0.401,350.147,358.702,357.690
108594,0.0212666,681.175375939347,0.000,0.843,-0.402,350.137,358.767,357.699
108595,0.0188107,681.194186639972,0.000,0.843,-0.402,350.138,358.814,357.710
108597,0.0145351,681.208721740171,0.000,0.843,-0.402,350.191,358.832,357.727
108598,0.0179674,681.226689139381,0.000,0.843,-0.402,350.270,358.883,357.741
108600,0.011566,681.23825513944,0.000,0.843,-0.402,350.340,358.921,357.774
108601,0.0211166,681.259371738881,0.000,0.843,-0.402,350.445,358.953,357.842
108604,0.0138946,681.273266338743,0.000,0.842,-0.402,350.516,358.973,357.862
108648,0.1094305,681.729922539555,-0.002,0.840,-0.397,351.983,358.470,358.954
108651,0.0109793,681.740901839919,-0.002,0.840,-0.397,352.083,358.418,358.970
108653,0.0246496,681.765551439486,-0.002,0.840,-0.397,352.203,358.396,358.956
108656,0.0250927,681.790644139983,-0.003,0.840,-0.396,352.220,358.384,358.954
108658,0.0263742,681.817018340342,-0.002,0.840,-0.396,352.239,358.417,358.985
108661,0.0263548,681.843373141252,-0.002,0.839,-0.396,352.262,358.445,359.021
108664,0.0280975,681.871470640413,-0.002,0.840,-0.395,352.127,358.445,358.883
108668,0.0295114,681.900982039981,-0.002,0.840,-0.395,351.916,358.386,358.760
108668,0.0318765,681.932858540677,-0.002,0.840,-0.395,351.896,358.345,358.705
108670,0.0089861,681.9418446403,-0.002,0.840,-0.395,351.920,358.333,358.679
108672,0.0206029,681.962447540835,-0.002,0.840,-0.395,351.953,358.309,358.662
108673,0.0172097,681.979657240212,-0.002,0.840,-0.396,351.940,358.310,358.630
108675,0.0102257,681.989882940426,-0.002,0.840,-0.396,351.942,358.355,358.601
108677,0.0229327,682.012815641239,-0.002,0.840,-0.396,351.942,358.377,358.594
108678,0.0163858,682.029201440513,-0.002,0.840,-0.396,351.933,358.440,358.583
108681,0.0131925,682.042393940501,-0.002,0.840,-0.396,351.916,358.481,358.555
108682,0.0228864,682.065280339681,-0.002,0.840,-0.396,351.866,358.545,358.525
108684,0.0097609,682.075041240081,-0.002,0.840,-0.396,351.830,358.611,358.489
108685,0.0270002,682.102041440085,-0.002,0.840,-0.396,351.798,358.686,358.468
108687,0.0078195,682.109860939905,-0.002,0.840,-0.396,351.794,358.732,358.461
108689,0.0220217,682.131882639602,-0.002,0.840,-0.397,351.790,358.778,358.451
108691,0.0114647,682.143347339705,-0.002,0.840,-0.397,351.778,358.830,358.433
108692,0.0216198,682.164967140183,-0.002,0.839,-0.397,351.740,358.868,358.412
108694,0.0114108,682.176377939992,-0.002,0.840,-0.397,351.684,358.883,358.403
108696,0.0253973,682.201775240712,-0.002,0.840,-0.397,351.599,358.915,358.385
108697,0.0138416,682.215616840869,-0.002,0.840,-0.397,351.530,358.937,358.388
108699,0.0094815,682.225098340772,-0.002,0.840,-0.397,351.467,358.960,358.382
108700,0.0214918,682.246590140276,-0.002,0.840,-0.397,351.390,358.982,358.372
108702,0.0174109,682.264001040719,-0.002,0.840,-0.398,351.323,358.989,358.364
108704,0.0208568,682.284857840277,-0.002,0.840,-0.398,351.286,358.999,358.372
108705,0.0120977,682.296955539845,-0.002,0.840,-0.398,351.248,359.010,358.373
108707,0.015589,682.312544539571,-0.002,0.840,-0.398,351.209,359.013,358.390
108709,0.0163875,682.32893203944,-0.002,0.840,-0.398,351.172,359.026,358.392
108710,0.0181695,682.347101539373,-0.002,0.840,-0.398,351.129,359.026,358.378
108713,0.010816,682.357917539775,-0.002,0.841,-0.398,351.094,359.033,358.372
108714,0.0272462,682.385163739324,-0.002,0.841,-0.399,351.088,359.037,358.372
108715,0.0111145,682.396278239787,-0.002,0.841,-0.399,351.095,359.040,358.351
108717,0.0170275,682.413305738941,-0.003,0.841,-0.399,351.117,359.046,358.361
108718,0.0149524,682.428258138709,-0.003,0.840,-0.399,351.146,359.050,358.370
108720,0.0180502,682.446308338083,-0.003,0.840,-0.400,351.172,359.057,358.428
108722,0.0174081,682.463716438971,-0.003,0.840,-0.400,351.204,359.057,358.465
108723,0.0164083,682.480124738999,-0.003,0.840,-0.400,351.243,359.077,358.477
0,0.0170478,682.497172539122,-0.003,0.840,-0.400,351.294,359.086,358.511
0,0.016415,682.513587539084,-0.003,0.840,-0.400,351.334,359.073,358.538
0,0.0168675,682.530455038883,-0.003,0.840,-0.401,351.373,359.078,358.583
0,0.0158086,682.546263637953,-0.003,0.840,-0.401,351.413,359.054,358.618
0,0.0219377,682.568201337941,-0.003,0.839,-0.401,351.480,359.025,358.665
0,0.0128317,682.581033037975,-0.003,0.839,-0.401,351.518,359.010,358.697
108735,0.0164872,682.597520237789,-0.003,0.839,-0.402,351.515,358.991,358.708
108737,0.0105736,682.608093838207,-0.004,0.839,-0.402,351.530,358.973,358.711
108739,0.0219411,682.630034937523,-0.004,0.839,-0.402,351.562,358.978,358.714
108740,0.0169032,682.646938136779,-0.004,0.839,-0.402,351.599,358.970,358.704
