Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
302197,0.0197006,847.747688814532,0.000,0.216,0.512,0.000
302199,0.0144365,847.762125314679,0.000,0.216,0.512,0.000
302200,0.0158781,847.778003414627,0.000,0.216,0.512,0.000
302202,0.0215281,847.799531515222,0.000,0.216,0.512,0.000
302204,0.0133635,847.812895015348,0.000,0.216,0.512,0.000
302206,0.0192467,847.832141714636,0.000,0.216,0.512,0.000
302207,0.0190213,847.851163015235,0.000,0.216,0.512,0.000
302210,0.01103,847.862193014938,0.000,0.216,0.512,0.000
302211,0.0281519,847.890344914515,0.000,0.216,0.512,0.000
302268,0.1110378,848.4568558014,0.000,0.216,0.512,0.000
302272,0.018332,848.475187802222,0.000,0.216,0.512,0.000
302276,0.036117,848.511304800864,0.000,0.216,0.512,0.000
302282,0.04511,848.556414799299,0.000,0.216,0.512,0.000
302283,0.0560598,848.612474599388,0.000,0.216,0.512,0.000
302285,0.0135648,848.6260393993,0.000,0.216,0.512,0.000
302287,0.02127,848.647309398744,0.000,0.216,0.512,0.000
302291,0.0243328,848.671642199624,0.000,0.216,0.512,0.000
302293,0.0305189,848.702161100227,0.000,0.216,0.512,0.000
302295,0.0266532,848.728814300615,0.000,0.216,0.512,0.000
302297,0.0167859,848.745600199793,0.000,0.216,0.512,0.000
302299,0.0190919,848.764692100231,0.000,0.216,0.512,0.000
302300,0.0172594,848.781951500569,0.000,0.216,0.512,0.000
302302,0.0178769,848.799828401301,0.000,0.216,0.512,0.000
302304,0.016347,848.816175401676,0.000,0.216,0.512,0.000
302305,0.0153908,848.831566201989,0.000,0.216,0.512,0.000
302309,0.0218405,848.853406701703,0.000,0.216,0.512,0.000
302310,0.0246533,848.878060002346,0.000,0.216,0.512,0.000
302312,0.0161829,848.894242901821,0.000,0.216,0.512,0.000
302314,0.0213325,848.915575402323,0.000,0.216,0.512,0.000
302315,0.013388,848.928963402752,0.000,0.216,0.512,0.000
302317,0.0196362,848.948599603493,0.000,0.216,0.512,0.000
302319,0.0160123,848.964611903299,0.000,0.216,0.512,0.000
302320,0.0145226,848.979134503286,0.000,0.216,0.512,0.000
302322,0.017006,848.99614050379,0.000,0.216,0.512,0.000
302324,0.0191947,849.015335203614,0.000,0.216,0.512,0.000
302325,0.0165435,849.031878703739,0.000,0.216,0.512,0.000
302327,0.0116239,849.043502604123,0.000,0.216,0.512,0.000
302329,0.0243316,849.067834203597,0.000,0.216,0.512,0.000
302331,0.0152341,849.083068303298,0.000,0.216,0.512,0.000
302332,0.0194964,849.102564703207,0.000,0.216,0.512,0.000
302335,0.0204068,849.122971502598,0.000,0.216,0.512,0.000
302337,0.0257481,849.14871960273,0.000,0.216,0.512,0.000
302339,0.0177077,849.16642730264,0.000,0.216,0.512,0.000
302340,0.0155853,849.182012602221,0.000,0.216,0.512,0.000
302342,0.0164917,849.198504302185,0.000,0.216,0.512,0.000
302345,0.0226554,849.221159701701,0.000,0.216,0.512,0.000
302347,0.0276276,849.248787302058,0.000,0.216,0.512,0.000
302349,0.0161077,849.264895002823,0.000,0.216,0.512,0.000
302350,0.0170427,849.281937703025,0.000,0.216,0.512,0.000
302352,0.016939,849.29887670232,0.000,0.216,0.512,0.000
302355,0.0227106,849.321587303188,0.000,0.216,0.512,0.000
302357,0.0278714,849.349458703306,0.000,0.216,0.512,0.000
302359,0.0156158,849.365074503701,0.000,0.216,0.512,0.000
302360,0.0174832,849.382557704579,0.000,0.216,0.512,0.000
302362,0.0153549,849.397912604269,0.000,0.216,0.512,0.000
302364,0.0162718,849.414184404071,0.000,0.216,0.512,0.000
302365,0.0182667,849.43245110428,0.000,0.216,0.512,0.000
302367,0.0168545,849.449305604678,0.000,0.216,0.512,0.000
302369,0.0176807,849.466986305546,0.000,0.216,0.512,0.000
302370,0.0160116,849.482997904997,0.000,0.216,0.512,0.000
302374,0.0222522,849.505250105169,0.000,0.216,0.512,0.000
302375,0.0286018,849.533851904329,0.000,0.216,0.512,0.000
302377,0.0170795,849.55093140481,0.000,0.216,0.512,0.000
302378,0.0165401,849.567471505608,0.000,0.216,0.512,0.000
302380,0.0092973,849.576768805739,0.000,0.216,0.512,0.000
302382,0.0163409,849.593109705951,0.000,0.216,0.512,0.000
302383,0.0252111,849.618320805486,0.000,0.216,0.512,0.000
302385,0.0082246,849.626545405481,0.000,0.216,0.512,0.000
302387,0.0220529,849.648598306347,0.000,0.216,0.512,0.000
302388,0.015518,849.664116306696,0.000,0.216,0.512,0.000
302390,0.0182135,849.682329806034,0.000,0.216,0.512,0.000
302392,0.0171399,849.699469706509,0.000,0.216,0.512,0.000
302395,0.0235543,849.723024007399,0.000,0.216,0.512,0.000
302397,0.0286498,849.751673806924,0.000,0.216,0.512,0.000
302399,0.0154822,849.767156007234,0.000,0.216,0.512,0.000
302400,0.0169568,849.784112807829,0.000,0.216,0.512,0.000
302404,0.0201449,849.804257708136,0.000,0.216,0.512,0.000
302405,0.0273321,849.831589807291,0.000,0.216,0.512,0.000
302407,0.0169439,849.848533707205,0.000,0.216,0.512,0.000
302409,0.0188854,849.867419107351,0.000,0.216,0.512,0.000
302410,0.0144797,849.881898806896,0.000,0.216,0.512,0.000
302414,0.0238266,849.905725406017,0.000,0.216,0.512,0.000
302415,0.0270998,849.932825205382,0.000,0.216,0.512,0.000
302417,0.0173214,849.950146605726,0.000,0.216,0.512,0.000
302419,0.0195315,849.969678105321,0.000,0.216,0.512,0.000
302421,0.0158921,849.98557020491,0.000,0.216,0.512,0.000
302422,0.0182862,850.00385640515,0.000,0.216,0.512,0.000
302424,0.0168876,850.020744004752,0.000,0.216,0.512,0.000
302426,0.0150876,850.035831604619,0.000,0.216,0.512,0.000
302427,0.0170878,850.052919405047,0.000,0.216,0.512,0.000
302429,0.0152676,850.068187005352,0.000,0.216,0.512,0.000
302432,0.0208807,850.08906770451,0.000,0.216,0.512,0.000
302434,0.0299304,850.118998104241,0.000,0.216,0.512,0.000
302435,0.0141014,850.133099504281,0.000,0.216,0.512,0.000
302437,0.018135,850.151234504301,0.000,0.216,0.512,0.000
302439,0.0163427,850.167577203829,0.000,0.216,0.512,0.000
302442,0.0230649,850.190642104018,0.000,0.216,0.512,0.000
302444,0.0294257,850.220067803282,0.000,0.216,0.512,0.000
302445,0.0120894,850.232157202903,0.000,0.216,0.512,0.000
302447,0.0177223,850.249879502226,0.000,0.216,0.512,0.000
302448,0.0152478,850.265127302613,0.000,0.216,0.512,0.000
0,0.0175931,850.28272040328,0.000,0.216,0.512,0.000
302452,0.0152783,850.297998703551,0.000,0.216,0.512,0.000
302453,0.0184168,850.316415503155,0.000,0.216,0.512,0.000
302455,0.0170717,850.333487202879,0.000,0.216,0.512,0.000
302457,0.0169871,850.350474303123,0.000,0.216,0.512,0.000
302460,0.0214727,850.371947003063,0.000,0.216,0.512,0.000
302462,0.0298569,850.401803902816,0.000,0.216,0.512,0.000
302464,0.0156663,850.417470203247,0.000,0.216,0.512,0.000
302465,0.0187811,850.436251302715,0.000,0.216,0.512,0.000
302469,0.0204462,850.456697502639,0.000,0.216,0.512,0.000
302470,0.0294482,850.486145702656,0.000,0.216,0.512,0.000
302472,0.0127054,850.498851102311,0.000,0.216,0.512,0.000
