Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
6894292,0.0127837,674.944812788628,3.000,0.000,0.000,False
6894294,0.0124633,674.957276088186,3.000,0.000,0.000,False
6894296,0.0158711,674.973147188313,3.000,0.000,0.000,False
6894298,0.0175365,674.990683688782,3.000,0.000,0.000,False
6894299,0.0161445,675.006828187965,3.000,0.000,0.000,False
6894301,0.0177724,675.024600588717,3.000,0.000,0.000,False
6894303,0.017038,675.041638589464,3.000,0.000,0.000,False
6894304,0.0180981,675.059736688621,3.000,0.000,0.000,False
6894306,0.0190483,675.078784988262,3.000,0.000,0.000,False
6894350,0.1052957,675.5189605942,3.000,0.000,0.000,False
6894351,0.0075756,675.526536194142,3.000,0.000,0.000,False
6894353,0.019943,675.546479194891,3.000,0.000,0.000,False
6894356,0.0263497,675.572828894015,3.000,0.000,0.000,False
6894358,0.0150037,675.587832593825,3.000,0.000,0.000,False
6894360,0.0209353,675.608767894562,3.000,0.000,0.000,False
6894362,0.0212316,675.629999493714,3.000,0.000,0.000,False
6894364,0.0271709,675.65717039397,3.000,0.000,0.000,False
6894367,0.0208334,675.678003793117,3.000,0.000,0.000,False
6894369,0.0229162,675.700919992756,3.000,0.000,0.000,False
6894370,0.0240246,675.724944592919,3.000,0.000,0.000,False
6894372,0.0114031,675.736347692553,3.000,0.000,0.000,False
6894374,0.019334,675.755681692157,3.000,0.000,0.000,False
6894375,0.0130246,675.76870629238,3.000,0.000,0.000,False
6894377,0.0180863,675.78679259168,3.000,0.000,0.000,False
6894379,0.0175208,675.804313391913,3.000,0.000,0.000,False
6894381,0.0170414,675.821354791988,3.000,0.000,0.000,False
6894382,0.0186403,675.839995092247,3.000,0.000,0.000,False
6894384,0.0158731,675.855868192855,3.000,0.000,0.000,False
6894386,0.0162688,675.872136991937,3.000,0.000,0.000,False
6894387,0.0171736,675.889310591388,3.000,0.000,0.000,False
6894389,0.0169873,675.906297890935,3.000,0.000,0.000,False
6894391,0.0168266,675.923124490771,3.000,0.000,0.000,False
6894392,0.0190538,675.942178290803,3.000,0.000,0.000,False
6894394,0.0155311,675.957709391136,3.000,0.000,0.000,False
6894396,0.0170487,675.974758090917,3.000,0.000,0.000,False
6894397,0.0169227,675.991680790205,3.000,0.000,0.000,False
6894399,0.0162364,676.007917190436,3.000,0.000,0.000,False
6894401,0.0165658,676.024482990149,3.000,0.000,0.000,False
6894402,0.0156402,676.040123189334,3.000,0.000,0.000,False
6894404,0.0196752,676.059798390139,3.000,0.000,0.000,False
6894406,0.0152845,676.075082890224,3.000,0.000,0.000,False
6894407,0.0160318,676.091114690062,3.000,0.000,0.000,False
6894411,0.0269007,676.118015389424,3.000,0.000,0.000,False
6894412,0.0270429,676.145058288705,3.000,0.000,0.000,False
6894414,0.0109853,676.156043588649,3.000,0.000,0.000,False
6894415,0.0204472,676.176490788814,3.000,0.000,0.000,False
6894417,0.0117823,676.188273088541,3.000,0.000,0.000,False
6894419,0.0170722,676.205345289316,3.000,0.000,0.000,False
6894420,0.0161231,676.221468388569,3.000,0.000,0.000,False
0,0.0159774,676.237445787992,3.000,0.000,0.000,False
0,0.0176272,676.255072988104,3.000,0.000,0.000,False
0,0.016413,676.271485987585,3.000,0.000,0.000,False
0,0.0201797,676.291665687691,3.000,0.000,0.000,False
0,0.0146783,676.30634398805,3.000,0.000,0.000,False
6894430,0.0152655,676.321609488223,3.000,0.000,0.000,False
6894432,0.0174416,676.339051088784,3.000,0.000,0.000,False
6894434,0.0178557,676.356906788889,3.000,0.000,0.000,False
6894436,0.016898,676.373804789502,3.000,0.000,0.000,False
6894437,0.0204944,676.394299189094,3.000,0.000,0.000,False
6894439,0.0122442,676.406543389428,3.000,0.000,0.000,False
6894440,0.0177855,676.424328890163,3.000,0.000,0.000,False
0,0.0147344,676.4390632906,3.000,0.000,0.000,False
0,0.019335,676.458398290444,3.000,0.000,0.000,False
6894445,0.0208111,676.479209390003,3.000,0.000,0.000,False
6894447,0.0113826,676.490591990296,3.000,0.000,0.000,False
