Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
7893843,0.0139192,69.8260477916338,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893844,0.0158247,69.8418724914081,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893846,0.0122163,69.8540887911804,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893848,0.0156288,69.8697175909765,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893849,0.0179799,69.8876974903978,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893851,0.0177935,69.9054909911938,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893853,0.017942,69.9234329913743,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893855,0.021692,69.9451249917038,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893857,0.015549,69.9606739920564,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893859,0.0205136,69.9811875917949,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893861,0.019618,70.0008055926301,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893863,0.0193678,70.0201733917929,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893865,0.0211381,70.0413114917465,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893867,0.022125,70.0634364918806,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893870,0.0222339,70.0856703915633,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893872,0.0220722,70.1077425912954,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893874,0.0243298,70.1320723914541,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893877,0.0234501,70.1555224922486,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893879,0.0254067,70.1809291918762,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893882,0.0255853,70.206514491234,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893885,0.0268355,70.2333499905653,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893888,0.0292932,70.2626431905665,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893891,0.031181,70.2938241907395,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893895,0.0302117,70.3240358908661,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893898,0.0333111,70.3573469896801,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893902,0.0360434,70.3933903914876,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893906,0.0383173,70.4317076918669,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893911,0.0444389,70.4761465904303,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893917,0.0491349,70.5252814893611,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
0,0.0593781,70.5846595880575,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
0,0.0719796,70.6566391852684,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
0,0.0990845,70.7557236817665,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
0,0.0154662,70.7711898819543,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893939,0.0167066,70.7878964827396,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893941,0.0166989,70.8045953833498,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893943,0.0183695,70.8229648829438,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893944,0.0160878,70.8390526832081,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893946,0.0172507,70.8563033831306,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893947,0.0157874,70.8720907834359,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893949,0.0175314,70.8896221839823,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
7893951,0.0167879,70.9064100836404,-0.040,-0.018,-0.301,0.307,1.000,0.210,0.005,-0.113,0.000,0.128
