Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
7894842,0.0119794,79.6387802916579,0.000,0.000,0.000,False
7894843,0.0118316,79.6506118918769,0.000,0.000,0.000,False
7894845,0.0168616,79.6674734926783,0.000,0.000,0.000,False
7894847,0.0160317,79.6835051919334,0.000,0.000,0.000,False
7894848,0.0172093,79.7007144927047,0.000,0.000,0.000,False
7894850,0.0173974,79.7181118926965,0.000,0.000,0.000,False
7894852,0.0176198,79.735731692519,0.000,0.000,0.000,False
7894854,0.0167177,79.7524493928067,0.000,0.000,0.000,False
7894855,0.0199247,79.7723740930669,0.000,0.000,0.000,False
7894909,0.1052131,80.3172396901064,0.000,0.000,0.000,False
7894911,0.0076807,80.3249203902669,0.000,0.000,0.000,False
7894913,0.0188291,80.3437494901009,0.000,0.000,0.000,False
7894915,0.0189445,80.3626939901151,0.000,0.000,0.000,False
7894917,0.0270091,80.389703089837,0.000,0.000,0.000,False
7894919,0.018127,80.4078300897963,0.000,0.000,0.000,False
7894921,0.0231419,80.4309719898738,0.000,0.000,0.000,False
7894923,0.0171918,80.4481637892313,0.000,0.000,0.000,False
7894925,0.0210925,80.469256289769,0.000,0.000,0.000,False
7894927,0.0103719,80.4796281899326,0.000,0.000,0.000,False
7894928,0.0220986,80.501726790797,0.000,0.000,0.000,False
7894930,0.0177074,80.5194341908209,0.000,0.000,0.000,False
7894932,0.015905,80.5353391910903,0.000,0.000,0.000,False
7894933,0.016293,80.5516321915202,0.000,0.000,0.000,False
7894935,0.0169176,80.5685497908853,0.000,0.000,0.000,False
7894937,0.0158821,80.5844318917952,0.000,0.000,0.000,False
7894939,0.0198738,80.6043056915514,0.000,0.000,0.000,False
7894940,0.0179976,80.6223032916896,0.000,0.000,0.000,False
7894942,0.0168702,80.6391734923236,0.000,0.000,0.000,False
7894944,0.0156552,80.6548286932521,0.000,0.000,0.000,False
7894945,0.0184695,80.6732981926762,0.000,0.000,0.000,False
7894947,0.0159906,80.689288792666,0.000,0.000,0.000,False
7894949,0.0165789,80.7058676923625,0.000,0.000,0.000,False
7894950,0.0170072,80.7228748924099,0.000,0.000,0.000,False
7894952,0.0163832,80.7392580932938,0.000,0.000,0.000,False
7894954,0.017661,80.7569190929644,0.000,0.000,0.000,False
7894955,0.0165313,80.7734503927641,0.000,0.000,0.000,False
7894957,0.0185381,80.791988493409,0.000,0.000,0.000,False
7894959,0.0177842,80.8097726940177,0.000,0.000,0.000,False
7894960,0.0144086,80.824181293603,0.000,0.000,0.000,False
7894962,0.0147891,80.8389703934081,0.000,0.000,0.000,False
7894964,0.0173575,80.8563278936781,0.000,0.000,0.000,False
7894965,0.0157822,80.8721100934781,0.000,0.000,0.000,False
7894967,0.017178,80.8892880943604,0.000,0.000,0.000,False
7894969,0.015893,80.9051810936071,0.000,0.000,0.000,False
7894970,0.016092,80.9212730941363,0.000,0.000,0.000,False
7894972,0.0175354,80.9388084937818,0.000,0.000,0.000,False
7894974,0.0170739,80.9558823932894,0.000,0.000,0.000,False
7894975,0.016777,80.972659392748,0.000,0.000,0.000,False
7894977,0.0167081,80.9893674929626,0.000,0.000,0.000,False
7894979,0.0199608,81.0093282931484,0.000,0.000,0.000,False
7894980,0.0129436,81.0222718934529,0.000,0.000,0.000,False
7894982,0.017499,81.0397708932869,0.000,0.000,0.000,False
7894984,0.0178099,81.0575807928108,0.000,0.000,0.000,False
7894985,0.0153248,81.072905593086,0.000,0.000,0.000,False
7894987,0.01734,81.0902455938049,0.000,0.000,0.000,False
7894989,0.0159862,81.1062317942269,0.000,0.000,0.000,False
7894990,0.0171372,81.1233689938672,0.000,0.000,0.000,False
7894992,0.0167092,81.1400781930424,0.000,0.000,0.000,False
7894994,0.0195215,81.1595996939577,0.000,0.000,0.000,False
7894995,0.0125244,81.1721240938641,0.000,0.000,0.000,False
7894997,0.0181594,81.1902834945358,0.000,0.000,0.000,False
7894999,0.0152695,81.2055529947393,0.000,0.000,0.000,False
7895000,0.0169128,81.2224657940678,0.000,0.000,0.000,False
7895002,0.0159761,81.2384418933652,0.000,0.000,0.000,False
7895003,0.0176813,81.2561231940053,0.000,0.000,0.000,False
7895005,0.0154123,81.2715354938991,0.000,0.000,0.000,False
7895007,0.0209447,81.2924801935442,0.000,0.000,0.000,False
7895009,0.0135644,81.3060445939191,0.000,0.000,0.000,False
7895010,0.0165263,81.3225708943792,0.000,0.000,0.000,False
7895012,0.0173328,81.3399036941119,0.000,0.000,0.000,False
7895014,0.0161517,81.3560553942807,0.000,0.000,0.000,False
7895015,0.0174991,81.3735544946976,0.000,0.000,0.000,False
7895017,0.0160672,81.3896216941066,0.000,0.000,0.000,False
7895019,0.0170101,81.4066317942925,0.000,0.000,0.000,False
7895020,0.0195854,81.4262171951123,0.000,0.000,0.000,False
7895022,0.0136119,81.4398290948011,0.000,0.000,0.000,False
7895023,0.0178914,81.4577204943635,0.000,0.000,0.000,False
7895025,0.0143361,81.4720565942116,0.000,0.000,0.000,False
0,0.0168538,81.4889103942551,0.000,0.000,0.000,False
0,0.0162585,81.5051688947715,0.000,0.000,0.000,False
0,0.0174431,81.522611994762,0.000,0.000,0.000,False
0,0.0160909,81.5387028944679,0.000,0.000,0.000,False
0,0.0214604,81.5601632953621,0.000,0.000,0.000,False
0,0.0119514,81.5721146953292,0.000,0.000,0.000,False
0,0.0175816,81.5896962960251,0.000,0.000,0.000,False
7895038,0.0150419,81.6047381958924,0.000,0.000,0.000,False
0,0.0203868,81.6251249960624,0.000,0.000,0.000,False
0,0.0142269,81.639351896476,0.000,0.000,0.000,False
7895043,0.0169575,81.6563093955629,0.000,0.000,0.000,False
7895045,0.0160892,81.6723985946737,0.000,0.000,0.000,False
7895047,0.0210395,81.6934380955063,0.000,0.000,0.000,False
7895048,0.0132985,81.7067365958355,0.000,0.000,0.000,False
7895050,0.0151804,81.7219169954769,0.000,0.000,0.000,False
7895052,0.0169029,81.7388198948465,0.000,0.000,0.000,False
7895053,0.0175791,81.7563989940099,0.000,0.000,0.000,False
7895055,0.0166711,81.7730700946413,0.000,0.000,0.000,False
7895057,0.0172241,81.7902941941284,0.000,0.000,0.000,False
7895059,0.0164565,81.8067506938241,0.000,0.000,0.000,False
7895060,0.0200956,81.8268462936394,0.000,0.000,0.000,False
7895062,0.0136781,81.8405243935995,0.000,0.000,0.000,False
7895063,0.0152263,81.855750693474,0.000,0.000,0.000,False
7895065,0.0165726,81.8723232937045,0.000,0.000,0.000,False
7895067,0.0185965,81.8909197938628,0.000,0.000,0.000,False
7895068,0.0154675,81.906387294177,0.000,0.000,0.000,False
7895070,0.0169194,81.9233066947199,0.000,0.000,0.000,False
7895072,0.0178241,81.9411307950504,0.000,0.000,0.000,False
7895074,0.019523,81.960653795395,0.000,0.000,0.000,False
7895075,0.0127072,81.9733609952964,0.000,0.000,0.000,False
7895077,0.0171938,81.9905547951348,0.000,0.000,0.000,False
7895078,0.0159023,82.0064570945688,0.000,0.000,0.000,False
0,0.018583,82.025040094275,0.000,0.000,0.000,False
0,0.015817,82.0408570938744,0.000,0.000,0.000,False
7895084,0.0171495,82.0580065944232,0.000,0.000,0.000,False
0,0.0160688,82.0740753938444,0.000,0.000,0.000,False
7895087,0.0181386,82.0922139943577,0.000,0.000,0.000,False
7895089,0.0160355,82.1082494952716,0.000,0.000,0.000,False
7895090,0.0203674,82.1286168959923,0.000,0.000,0.000,False
7895092,0.0126459,82.1412627962418,0.000,0.000,0.000,False
7895094,0.0161748,82.1574375969358,0.000,0.000,0.000,False
7895095,0.0167418,82.1741793961264,0.000,0.000,0.000,False
7895097,0.0168757,82.1910550952889,0.000,0.000,0.000,False
7895098,0.0167891,82.2078441944905,0.000,0.000,0.000,False
7895100,0.0161425,82.2239866950549,0.000,0.000,0.000,False
7895102,0.0173141,82.241300795693,0.000,0.000,0.000,False
7895103,0.0172633,82.2585640964098,0.000,0.000,0.000,False
7895107,0.0202375,82.2788015962578,0.000,0.000,0.000,False
7895108,0.0286119,82.3074134965427,0.000,0.000,0.000,False
7895110,0.0167969,82.3242103965022,0.000,0.000,0.000,False
7895112,0.0156466,82.3398569957353,0.000,0.000,0.000,False
7895114,0.0173275,82.3571844962426,0.000,0.000,0.000,False
7895115,0.0180924,82.3752768957056,0.000,0.000,0.000,False
7895117,0.016023,82.3912998964079,0.000,0.000,0.000,False
7895118,0.0159415,82.4072413970716,0.000,0.000,0.000,False
7895120,0.0176695,82.4249108978547,0.000,0.000,0.000,False
7895122,0.0158905,82.4408013974316,0.000,0.000,0.000,False
7895124,0.0163648,82.4571661972441,0.000,0.000,0.000,False
7895125,0.021231,82.4783971966244,0.000,0.000,0.000,False
7895127,0.0124582,82.4908553962596,0.000,0.000,0.000,False
7895128,0.016558,82.5074133970775,0.000,0.000,0.000,False
7895130,0.0176203,82.5250336979516,0.000,0.000,0.000,False
7895132,0.0157381,82.540771797765,0.000,0.000,0.000,False
7895133,0.0164334,82.5572051969357,0.000,0.000,0.000,False
7895135,0.0167505,82.5739556965418,0.000,0.000,0.000,False
7895137,0.0171946,82.5911502973177,0.000,0.000,0.000,False
7895138,0.0165087,82.6076589976437,0.000,0.000,0.000,False
7895140,0.0154356,82.6230945973657,0.000,0.000,0.000,False
0,0.0216663,82.6447608969174,0.000,0.000,0.000,False
7895143,0.0118474,82.6566082970239,0.000,0.000,0.000,False
7895145,0.0182015,82.6748097972013,0.000,0.000,0.000,False
7895147,0.0154348,82.6902445969172,0.000,0.000,0.000,False
7895148,0.0174544,82.7076989975758,0.000,0.000,0.000,False
7895150,0.0165782,82.7242771969177,0.000,0.000,0.000,False
7895152,0.0176312,82.7419083961286,0.000,0.000,0.000,False
7895153,0.0153094,82.7572177960537,0.000,0.000,0.000,False
7895155,0.0171612,82.7743789958768,0.000,0.000,0.000,False
7895157,0.0200531,82.7944320957176,0.000,0.000,0.000,False
7895158,0.0131014,82.8075334955938,0.000,0.000,0.000,False
7895160,0.0163951,82.8239285950549,0.000,0.000,0.000,False
7895162,0.0172944,82.8412229944952,0.000,0.000,0.000,False
7895163,0.0160799,82.8573028952815,0.000,0.000,0.000,False
7895165,0.0169788,82.8742816955782,0.000,0.000,0.000,False
7895167,0.0185382,82.8928198949434,0.000,0.000,0.000,False
7895168,0.0152417,82.908061595168,0.000,0.000,0.000,False
7895170,0.0163782,82.9244397948496,0.000,0.000,0.000,False
7895172,0.0173373,82.941777094733,0.000,0.000,0.000,False
7895173,0.0162332,82.9580102949403,0.000,0.000,0.000,False
7895175,0.0173661,82.975376395043,0.000,0.000,0.000,False
7895177,0.0157713,82.9911476946436,0.000,0.000,0.000,False
7895178,0.0176075,83.0087551954202,0.000,0.000,0.000,False
7895180,0.0156966,83.0244517954998,0.000,0.000,0.000,False
7895182,0.0173334,83.0417851950042,0.000,0.000,0.000,False
7895183,0.0166479,83.0584330945276,0.000,0.000,0.000,False
7895185,0.016647,83.0750800943933,0.000,0.000,0.000,False
7895187,0.015888,83.0909680943005,0.000,0.000,0.000,False
7895188,0.0177578,83.1087258937769,0.000,0.000,0.000,False
7895190,0.0153881,83.1241139941849,0.000,0.000,0.000,False
7895192,0.0214843,83.1455982946791,0.000,0.000,0.000,False
7895193,0.0121386,83.1577368951403,0.000,0.000,0.000,False
7895195,0.0160746,83.1738114948384,0.000,0.000,0.000,False
7895197,0.0167867,83.1905981949531,0.000,0.000,0.000,False
7895198,0.0179499,83.2085480946116,0.000,0.000,0.000,False
7895200,0.0160672,83.2246152940206,0.000,0.000,0.000,False
7895202,0.0155935,83.2402087938972,0.000,0.000,0.000,False
7895203,0.0172693,83.2574780941941,0.000,0.000,0.000,False
7895205,0.0165646,83.2740426943637,0.000,0.000,0.000,False
7895207,0.0172435,83.2912861951627,0.000,0.000,0.000,False
7895208,0.0194118,83.3106979955919,0.000,0.000,0.000,False
7895210,0.0149641,83.3256620955653,0.000,0.000,0.000,False
7895212,0.0163797,83.3420417946763,0.000,0.000,0.000,False
7895213,0.017489,83.3595307939686,0.000,0.000,0.000,False
7895214,0.0159651,83.3754958943464,0.000,0.000,0.000,False
0,0.0161507,83.3916465942748,0.000,0.000,0.000,False
0,0.0171554,83.4088019938208,0.000,0.000,0.000,False
0,0.0161544,83.4249563929625,0.000,0.000,0.000,False
0,0.0171677,83.4421240934171,0.000,0.000,0.000,False
0,0.0155164,83.4576404937543,0.000,0.000,0.000,False
0,0.0178138,83.4754542936571,0.000,0.000,0.000,False
7895226,0.0166435,83.4920977936126,0.000,0.000,0.000,False
0,0.0175681,83.5096658938564,0.000,0.000,0.000,False
0,0.015138,83.5248038941063,0.000,0.000,0.000,False
7895231,0.0169444,83.5417482932098,0.000,0.000,0.000,False
7895233,0.0162641,83.5580123928376,0.000,0.000,0.000,False
7895235,0.0175085,83.5755208921619,0.000,0.000,0.000,False
7895237,0.0161393,83.591660192702,0.000,0.000,0.000,False
7895238,0.0167404,83.6084005930461,0.000,0.000,0.000,False
7895240,0.0166513,83.6250518937595,0.000,0.000,0.000,False
7895242,0.0170627,83.6421145931818,0.000,0.000,0.000,False
7895243,0.0205491,83.6626636930741,0.000,0.000,0.000,False
7895245,0.0118731,83.6745367930271,0.000,0.000,0.000,False
7895247,0.0171497,83.6916864928789,0.000,0.000,0.000,False
7895248,0.0163763,83.7080627926625,0.000,0.000,0.000,False
7895250,0.0165155,83.7245782935061,0.000,0.000,0.000,False
7895252,0.0163674,83.7409456935711,0.000,0.000,0.000,False
7895253,0.0163019,83.7572475937195,0.000,0.000,0.000,False
7895255,0.0168033,83.7740508937277,0.000,0.000,0.000,False
7895257,0.0168157,83.7908665933646,0.000,0.000,0.000,False
7895258,0.0166558,83.8075223942287,0.000,0.000,0.000,False
7895260,0.0181369,83.825659294147,0.000,0.000,0.000,False
7895261,0.0114173,83.8370765945874,0.000,0.000,0.000,False
7895263,0.0158989,83.852975494694,0.000,0.000,0.000,False
0,0.0216334,83.8746088943444,0.000,0.000,0.000,False
7895266,0.011921,83.88652989408,0.000,0.000,0.000,False
