Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
7910203,0.0138813,180.577217253391,-0.015,0.832,-0.380,2.618,334.417,0.070
7910204,0.0125619,180.589779153001,-0.015,0.832,-0.380,2.645,334.448,0.060
7910206,0.0174405,180.607219652738,-0.015,0.832,-0.380,2.676,334.474,0.075
7910208,0.0178994,180.625119052362,-0.016,0.832,-0.379,2.719,334.499,0.094
7910210,0.0175265,180.642645552289,-0.016,0.832,-0.379,2.736,334.497,0.108
7910212,0.017745,180.660390551668,-0.016,0.832,-0.379,2.764,334.506,0.116
7910213,0.018628,180.679018551018,-0.016,0.832,-0.379,2.784,334.518,0.114
7910267,0.1039904,181.228136149701,-0.016,0.832,-0.381,2.787,335.728,0.309
7910269,0.0070307,181.235166849568,-0.015,0.832,-0.381,2.817,335.808,0.280
7910271,0.0218776,181.257044449449,-0.015,0.832,-0.381,2.839,335.916,0.278
7910273,0.0211143,181.278158748522,-0.015,0.832,-0.381,2.851,336.008,0.252
7910275,0.0191583,181.297317048535,-0.015,0.832,-0.381,2.855,336.097,0.212
7910277,0.0210069,181.318323949352,-0.015,0.832,-0.381,2.840,336.159,0.185
7910280,0.0206583,181.338982248679,-0.015,0.832,-0.381,2.832,336.247,0.153
7910282,0.0236135,181.362595748156,-0.014,0.832,-0.381,2.831,336.311,0.129
7910283,0.0210083,181.38360404782,-0.014,0.832,-0.382,2.872,336.377,0.119
7910286,0.0239269,181.40753094852,-0.014,0.832,-0.382,2.895,336.430,0.132
7910288,0.0243557,181.431886648759,-0.014,0.832,-0.382,2.890,336.451,0.143
7910290,0.015003,181.446889649145,-0.014,0.832,-0.382,2.884,336.480,0.140
7910292,0.0169301,181.463819748722,-0.014,0.832,-0.382,2.873,336.511,0.134
7910293,0.016705,181.480524749495,-0.014,0.832,-0.382,2.872,336.526,0.121
7910295,0.0163994,181.496924149804,-0.014,0.832,-0.382,2.874,336.563,0.121
7910297,0.0171931,181.514117249288,-0.013,0.832,-0.382,2.856,336.581,0.114
7910298,0.0162496,181.530366850086,-0.013,0.832,-0.383,2.840,336.598,0.095
7910300,0.0181211,181.548487949185,-0.013,0.832,-0.383,2.820,336.626,0.091
7910302,0.0159922,181.564480149187,-0.013,0.832,-0.383,2.789,336.640,0.087
7910303,0.0184476,181.582927749492,-0.013,0.832,-0.383,2.780,336.658,0.084
7910305,0.0156828,181.598610549234,-0.013,0.832,-0.383,2.758,336.677,0.080
7910307,0.0179159,181.616526450031,-0.013,0.832,-0.383,2.737,336.699,0.072
7910308,0.0152972,181.63182364963,-0.013,0.832,-0.383,2.720,336.719,0.063
7910310,0.0169292,181.648752849549,-0.013,0.832,-0.384,2.701,336.741,0.048
7910312,0.0155364,181.664289249107,-0.012,0.832,-0.384,2.698,336.753,0.052
7910313,0.016767,181.681056249887,-0.012,0.832,-0.384,2.699,336.770,0.050
0,0.0174327,181.698488950729,-0.012,0.832,-0.384,2.706,336.772,0.048
0,0.0152395,181.71372845117,-0.012,0.832,-0.384,2.699,336.764,0.037
0,0.0171859,181.73091435153,-0.012,0.832,-0.384,2.723,336.768,0.037
7910320,0.0168781,181.747792451642,-0.012,0.832,-0.384,2.735,336.755,0.042
7910321,0.0168187,181.764611152001,-0.012,0.832,-0.384,2.758,336.739,0.067
7910323,0.0165356,181.781146752648,-0.012,0.832,-0.385,2.780,336.710,0.076
7910325,0.0179343,181.799081052653,-0.012,0.832,-0.385,2.814,336.676,0.064
7910327,0.0157268,181.814807851799,-0.012,0.832,-0.385,2.835,336.638,0.015
7910328,0.0173909,181.832198751159,-0.012,0.832,-0.385,2.833,336.610,359.960
7910330,0.0175064,181.849705151282,-0.012,0.832,-0.385,2.841,336.598,359.959
7910332,0.0159857,181.865690850653,-0.012,0.832,-0.385,2.842,336.566,359.983
7910333,0.016911,181.882601850666,-0.012,0.832,-0.385,2.841,336.554,359.993
7910335,0.018437,181.901038850658,-0.012,0.832,-0.385,2.840,336.541,0.007
7910337,0.0151243,181.916163150221,-0.012,0.832,-0.385,2.826,336.536,359.985
7910338,0.0170488,181.933211950585,-0.012,0.832,-0.385,2.818,336.522,359.970
7910340,0.0165046,181.949716551229,-0.012,0.832,-0.385,2.805,336.510,359.957
7910342,0.0159506,181.965667150915,-0.012,0.832,-0.385,2.814,336.492,359.972
7910343,0.0169379,181.982605051249,-0.013,0.832,-0.385,2.829,336.471,359.973
7910345,0.0165355,181.999140551314,-0.013,0.832,-0.385,2.852,336.445,359.962
7910347,0.0164654,182.015605950728,-0.013,0.832,-0.385,2.888,336.419,359.952
7910348,0.016927,182.032532950863,-0.013,0.832,-0.385,2.919,336.382,359.942
7910350,0.0161085,182.048641450703,-0.013,0.832,-0.386,2.964,336.359,359.969
7910352,0.0179365,182.066577950493,-0.013,0.832,-0.386,2.984,336.328,359.975
7910353,0.0159621,182.082540050149,-0.013,0.831,-0.386,3.022,336.304,359.977
7910355,0.0155782,182.098118250258,-0.013,0.831,-0.386,3.032,336.275,359.965
7910357,0.0171205,182.115238749422,-0.013,0.831,-0.386,3.040,336.245,359.971
7910358,0.0173506,182.132589348592,-0.013,0.831,-0.386,3.050,336.218,359.987
7910360,0.0161957,182.148785048164,-0.013,0.831,-0.386,3.051,336.194,0.007
7910362,0.0173847,182.166169748642,-0.013,0.831,-0.386,3.062,336.152,0.022
7910363,0.0161818,182.182351549156,-0.013,0.831,-0.386,3.059,336.121,0.027
7910365,0.0172066,182.199558149092,-0.013,0.831,-0.386,3.066,336.081,0.030
7910367,0.0159327,182.215490848757,-0.013,0.831,-0.386,3.066,336.048,0.038
7910368,0.0179553,182.233446148224,-0.013,0.831,-0.386,3.074,336.019,0.036
7910370,0.0155861,182.249032247812,-0.013,0.831,-0.386,3.066,335.990,0.040
7910372,0.0167064,182.265738647431,-0.013,0.831,-0.386,3.053,335.960,0.043
7910373,0.0170665,182.282805146649,-0.013,0.831,-0.386,3.050,335.934,0.045
0,0.016989,182.299794146791,-0.013,0.831,-0.386,3.048,335.907,0.034
0,0.0169475,182.316741647199,-0.013,0.832,-0.386,3.046,335.901,0.038
0,0.0169677,182.333709347993,-0.013,0.832,-0.386,3.043,335.890,0.031
0,0.0156845,182.34939384833,-0.013,0.832,-0.386,3.036,335.880,0.031
7910381,0.0165236,182.365917447954,-0.013,0.832,-0.386,3.030,335.874,0.017
7910383,0.0167006,182.382618047297,-0.013,0.831,-0.386,3.035,335.868,0.006
0,0.0175187,182.400136746466,-0.013,0.831,-0.386,3.042,335.864,0.001
7910386,0.0155684,182.415705146268,-0.013,0.831,-0.386,3.047,335.862,359.988
7910388,0.0174463,182.433151446283,-0.013,0.831,-0.386,3.049,335.870,-0.004
7910390,0.016574,182.44972544536,-0.013,0.831,-0.386,3.045,335.876,359.988
7910391,0.0198529,182.469578346238,-0.013,0.831,-0.386,3.040,335.887,359.988
7910393,0.0124207,182.481999046169,-0.013,0.831,-0.386,3.047,335.906,0.015
7910395,0.0177772,182.499776246957,-0.013,0.831,-0.386,3.043,335.914,0.035
7910396,0.0159549,182.51573114749,-0.013,0.831,-0.386,3.055,335.910,0.043
7910398,0.0168878,182.532618948258,-0.013,0.831,-0.386,3.055,335.909,0.037
7910400,0.0176667,182.550285647623,-0.013,0.831,-0.386,3.068,335.916,0.042
7910402,0.0161389,182.566424547695,-0.013,0.831,-0.385,3.078,335.908,0.033
7910403,0.0163859,182.582810447551,-0.013,0.831,-0.385,3.078,335.894,0.012
7910405,0.0171446,182.599955047481,-0.013,0.831,-0.385,3.089,335.885,0.005
7910407,0.0164567,182.616411748342,-0.013,0.831,-0.385,3.094,335.879,0.009
7910408,0.0169669,182.633378648199,-0.013,0.831,-0.385,3.109,335.875,0.019
7910410,0.0174309,182.650809547864,-0.013,0.831,-0.385,3.119,335.871,0.038
7910412,0.0164042,182.667213748209,-0.013,0.831,-0.385,3.131,335.863,0.058
7910413,0.017294,182.684507749043,-0.013,0.831,-0.385,3.132,335.859,0.071
7910415,0.017259,182.701766748913,-0.013,0.831,-0.384,3.147,335.849,0.080
7910417,0.0148134,182.716580148786,-0.013,0.831,-0.384,3.160,335.835,0.095
7910418,0.0182278,182.734807949513,-0.013,0.831,-0.384,3.169,335.818,0.100
7910420,0.0165205,182.751328449696,-0.013,0.831,-0.384,3.177,335.810,0.093
0,0.0178719,182.769200349227,-0.013,0.831,-0.384,3.178,335.807,0.087
7910423,0.014849,182.784049348906,-0.013,0.831,-0.383,3.176,335.805,0.078
7910425,0.0171501,182.801199449226,-0.013,0.831,-0.383,3.192,335.806,0.072
7910427,0.0169516,182.818151049316,-0.013,0.831,-0.383,3.210,335.813,0.073
7910428,0.0166825,182.834833549336,-0.013,0.831,-0.383,3.214,335.829,0.056
7910430,0.0173331,182.852166648954,-0.013,0.831,-0.382,3.222,335.841,0.027
7910432,0.0163892,182.868555849418,-0.013,0.831,-0.382,3.224,335.873,0.008
7910433,0.016124,182.884679850191,-0.014,0.831,-0.382,3.231,335.890,0.005
7910435,0.0170305,182.901710350066,-0.014,0.831,-0.382,3.247,335.921,0.017
