Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
7910203,0.0138813,180.577217253391,-0.167,0.363,0.500,0.000
7910204,0.0125619,180.589779153001,-0.167,0.363,0.500,0.000
7910206,0.0174405,180.607219652738,-0.167,0.363,0.500,0.000
7910208,0.0178994,180.625119052362,-0.167,0.363,0.500,0.000
7910210,0.0175265,180.642645552289,-0.167,0.363,0.500,0.000
7910212,0.017745,180.660390551668,-0.167,0.363,0.500,0.000
7910213,0.018628,180.679018551018,-0.167,0.363,0.500,0.000
7910267,0.1039904,181.228136149701,-0.167,0.363,0.500,0.000
7910269,0.0070307,181.235166849568,-0.167,0.363,0.500,0.000
7910271,0.0218776,181.257044449449,-0.167,0.363,0.500,0.000
7910273,0.0211143,181.278158748522,-0.167,0.363,0.500,0.000
7910275,0.0191583,181.297317048535,-0.167,0.363,0.500,0.000
7910277,0.0210069,181.318323949352,-0.167,0.363,0.500,0.000
7910280,0.0206583,181.338982248679,-0.167,0.363,0.500,0.000
7910282,0.0236135,181.362595748156,-0.167,0.363,0.500,0.000
7910283,0.0210083,181.38360404782,-0.167,0.363,0.500,0.000
7910286,0.0239269,181.40753094852,-0.167,0.363,0.500,0.000
7910288,0.0243557,181.431886648759,-0.167,0.363,0.500,0.000
7910290,0.015003,181.446889649145,-0.167,0.363,0.500,0.000
7910292,0.0169301,181.463819748722,-0.167,0.363,0.500,0.000
7910293,0.016705,181.480524749495,-0.167,0.363,0.500,0.000
7910295,0.0163994,181.496924149804,-0.167,0.363,0.500,0.000
7910297,0.0171931,181.514117249288,-0.167,0.363,0.500,0.000
7910298,0.0162496,181.530366850086,-0.167,0.363,0.500,0.000
7910300,0.0181211,181.548487949185,-0.167,0.363,0.500,0.000
7910302,0.0159922,181.564480149187,-0.167,0.363,0.500,0.000
7910303,0.0184476,181.582927749492,-0.167,0.363,0.500,0.000
7910305,0.0156828,181.598610549234,-0.167,0.363,0.500,0.000
7910307,0.0179159,181.616526450031,-0.167,0.363,0.500,0.000
7910308,0.0152972,181.63182364963,-0.167,0.363,0.500,0.000
7910310,0.0169292,181.648752849549,-0.167,0.363,0.500,0.000
7910312,0.0155364,181.664289249107,-0.167,0.363,0.500,0.000
7910313,0.016767,181.681056249887,-0.167,0.363,0.500,0.000
0,0.0174327,181.698488950729,-0.167,0.363,0.500,0.000
0,0.0152395,181.71372845117,-0.167,0.363,0.500,0.000
0,0.0171859,181.73091435153,-0.167,0.363,0.500,0.000
7910320,0.0168781,181.747792451642,-0.167,0.363,0.500,0.000
7910321,0.0168187,181.764611152001,-0.167,0.363,0.500,0.000
7910323,0.0165356,181.781146752648,-0.167,0.363,0.500,0.000
7910325,0.0179343,181.799081052653,-0.167,0.363,0.500,0.000
7910327,0.0157268,181.814807851799,-0.167,0.363,0.500,0.000
7910328,0.0173909,181.832198751159,-0.167,0.363,0.500,0.000
7910330,0.0175064,181.849705151282,-0.167,0.363,0.500,0.000
7910332,0.0159857,181.865690850653,-0.167,0.363,0.500,0.000
7910333,0.016911,181.882601850666,-0.167,0.363,0.500,0.000
7910335,0.018437,181.901038850658,-0.167,0.363,0.500,0.000
7910337,0.0151243,181.916163150221,-0.167,0.363,0.500,0.000
7910338,0.0170488,181.933211950585,-0.167,0.363,0.500,0.000
7910340,0.0165046,181.949716551229,-0.167,0.363,0.500,0.000
7910342,0.0159506,181.965667150915,-0.167,0.363,0.500,0.000
7910343,0.0169379,181.982605051249,-0.167,0.363,0.500,0.000
7910345,0.0165355,181.999140551314,-0.167,0.363,0.500,0.000
7910347,0.0164654,182.015605950728,-0.167,0.363,0.500,0.000
7910348,0.016927,182.032532950863,-0.167,0.363,0.500,0.000
7910350,0.0161085,182.048641450703,-0.167,0.363,0.500,0.000
7910352,0.0179365,182.066577950493,-0.167,0.363,0.500,0.000
7910353,0.0159621,182.082540050149,-0.167,0.363,0.500,0.000
7910355,0.0155782,182.098118250258,-0.167,0.363,0.500,0.000
7910357,0.0171205,182.115238749422,-0.167,0.363,0.500,0.000
7910358,0.0173506,182.132589348592,-0.167,0.363,0.500,0.000
7910360,0.0161957,182.148785048164,-0.167,0.363,0.500,0.000
7910362,0.0173847,182.166169748642,-0.167,0.363,0.500,0.000
7910363,0.0161818,182.182351549156,-0.167,0.363,0.500,0.000
7910365,0.0172066,182.199558149092,-0.167,0.363,0.500,0.000
7910367,0.0159327,182.215490848757,-0.167,0.363,0.500,0.000
7910368,0.0179553,182.233446148224,-0.167,0.363,0.500,0.000
7910370,0.0155861,182.249032247812,-0.167,0.363,0.500,0.000
7910372,0.0167064,182.265738647431,-0.167,0.363,0.500,0.000
