Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
7915220,0.0147222,230.702049131971,-0.019,0.813,-0.351,13.259,303.859,1.809
7915221,0.0106367,230.712685832288,-0.019,0.813,-0.351,13.252,303.884,1.795
7915223,0.0171382,230.729824032169,-0.019,0.813,-0.351,13.246,303.915,1.787
7915225,0.0160017,230.745825731661,-0.019,0.813,-0.351,13.237,303.923,1.781
7915226,0.017227,230.763052731287,-0.019,0.813,-0.351,13.219,303.947,1.789
7915228,0.0176137,230.780666430946,-0.019,0.813,-0.351,13.180,303.971,1.783
7915230,0.0173279,230.79799433006,-0.019,0.813,-0.351,13.132,303.995,1.776
7915232,0.0179788,230.81597313052,-0.019,0.813,-0.351,13.100,304.006,1.779
7915286,0.1046755,231.370197124314,-0.016,0.814,-0.351,12.791,303.694,1.575
7915288,0.006972,231.377169124316,-0.016,0.814,-0.351,12.738,303.688,1.594
7915291,0.0237685,231.40093762381,-0.016,0.814,-0.351,12.672,303.651,1.595
7915293,0.0281769,231.429114523809,-0.016,0.814,-0.351,12.594,303.566,1.576
7915296,0.0236248,231.452739323955,-0.016,0.814,-0.351,12.603,303.545,1.571
7915298,0.0211627,231.473902023863,-0.016,0.814,-0.351,12.624,303.500,1.619
7915300,0.025114,231.499016023707,-0.016,0.814,-0.352,12.608,303.463,1.631
7915302,0.015318,231.514334023464,-0.016,0.814,-0.352,12.656,303.446,1.612
7915304,0.0267313,231.541065322701,-0.016,0.814,-0.352,12.687,303.422,1.587
7915306,0.0180792,231.55914452346,-0.016,0.814,-0.352,12.712,303.414,1.584
7915308,0.0200207,231.579165222589,-0.015,0.814,-0.352,12.709,303.419,1.589
7915309,0.0159498,231.595115023199,-0.015,0.814,-0.352,12.720,303.443,1.574
7915311,0.0166813,231.611796323676,-0.015,0.814,-0.352,12.703,303.458,1.573
7915313,0.0171205,231.62891682284,-0.015,0.814,-0.352,12.686,303.464,1.555
7915315,0.0197074,231.648624223191,-0.015,0.814,-0.351,12.687,303.486,1.543
7915316,0.0163527,231.664976923261,-0.015,0.814,-0.351,12.670,303.495,1.531
7915318,0.0188651,231.683842022438,-0.015,0.814,-0.351,12.671,303.521,1.558
7915320,0.0177161,231.701558122877,-0.015,0.814,-0.351,12.666,303.518,1.574
7915322,0.0181136,231.719671722967,-0.015,0.814,-0.351,12.675,303.519,1.578
7915323,0.0161846,231.735856323037,-0.015,0.814,-0.352,12.663,303.512,1.574
7915325,0.0171044,231.752960723359,-0.015,0.814,-0.352,12.672,303.487,1.577
7915326,0.0143896,231.767350323033,-0.015,0.814,-0.352,12.669,303.474,1.545
7915328,0.0182928,231.785643122625,-0.015,0.814,-0.352,12.664,303.446,1.486
7915330,0.0184026,231.804045723286,-0.015,0.814,-0.351,12.634,303.436,1.453
7915332,0.0134808,231.81752652349,-0.015,0.814,-0.351,12.615,303.434,1.431
7915333,0.0165468,231.834073324222,-0.016,0.814,-0.351,12.605,303.453,1.454
7915335,0.0176337,231.851707024965,-0.015,0.814,-0.351,12.613,303.470,1.494
7915336,0.0152448,231.866951824632,-0.015,0.814,-0.351,12.632,303.493,1.527
7915338,0.0174856,231.884437424596,-0.015,0.814,-0.351,12.654,303.510,1.539
7915340,0.0166952,231.901132624131,-0.015,0.814,-0.351,12.697,303.523,1.539
7915341,0.0165536,231.917686223518,-0.015,0.814,-0.351,12.735,303.528,1.550
7915343,0.0162555,231.933941723313,-0.015,0.814,-0.351,12.749,303.547,1.571
7915345,0.0204072,231.954348923173,-0.015,0.814,-0.351,12.764,303.547,1.563
