Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
7915220,0.0147222,230.702049131971,-0.167,0.363,0.500,0.000
7915221,0.0106367,230.712685832288,-0.167,0.363,0.500,0.000
7915223,0.0171382,230.729824032169,-0.167,0.363,0.500,0.000
7915225,0.0160017,230.745825731661,-0.167,0.363,0.500,0.000
7915226,0.017227,230.763052731287,-0.167,0.363,0.500,0.000
7915228,0.0176137,230.780666430946,-0.167,0.363,0.500,0.000
7915230,0.0173279,230.79799433006,-0.167,0.363,0.500,0.000
7915232,0.0179788,230.81597313052,-0.167,0.363,0.500,0.000
7915286,0.1046755,231.370197124314,-0.167,0.363,0.500,0.000
7915288,0.006972,231.377169124316,0.000,0.216,0.512,0.000
7915291,0.0237685,231.40093762381,0.000,0.216,0.512,0.000
7915293,0.0281769,231.429114523809,0.000,0.216,0.512,0.000
7915296,0.0236248,231.452739323955,0.000,0.216,0.512,0.000
7915298,0.0211627,231.473902023863,0.000,0.216,0.512,0.000
7915300,0.025114,231.499016023707,0.000,0.216,0.512,0.000
7915302,0.015318,231.514334023464,0.000,0.216,0.512,0.000
7915304,0.0267313,231.541065322701,0.000,0.216,0.512,0.000
7915306,0.0180792,231.55914452346,0.000,0.216,0.512,0.000
7915308,0.0200207,231.579165222589,0.000,0.216,0.512,0.000
7915309,0.0159498,231.595115023199,0.000,0.216,0.512,0.000
7915311,0.0166813,231.611796323676,0.000,0.216,0.512,0.000
7915313,0.0171205,231.62891682284,0.000,0.216,0.512,0.000
7915315,0.0197074,231.648624223191,0.000,0.216,0.512,0.000
7915316,0.0163527,231.664976923261,0.000,0.216,0.512,0.000
7915318,0.0188651,231.683842022438,0.000,0.216,0.512,0.000
7915320,0.0177161,231.701558122877,0.000,0.216,0.512,0.000
7915322,0.0181136,231.719671722967,0.000,0.216,0.512,0.000
7915323,0.0161846,231.735856323037,0.000,0.216,0.512,0.000
7915325,0.0171044,231.752960723359,0.000,0.216,0.512,0.000
7915327,0.0143896,231.767350323033,0.000,0.216,0.512,0.000
7915328,0.0182928,231.785643122625,0.000,0.216,0.512,0.000
7915330,0.0184026,231.804045723286,0.000,0.216,0.512,0.000
7915332,0.0134808,231.81752652349,0.000,0.216,0.512,0.000
7915333,0.0165468,231.834073324222,0.000,0.216,0.512,0.000
7915335,0.0176337,231.851707024965,0.000,0.216,0.512,0.000
7915336,0.0152448,231.866951824632,0.000,0.216,0.512,0.000
7915338,0.0174856,231.884437424596,0.000,0.216,0.512,0.000
7915340,0.0166952,231.901132624131,0.000,0.216,0.512,0.000
7915341,0.0165536,231.917686223518,0.000,0.216,0.512,0.000
7915343,0.0162555,231.933941723313,0.000,0.216,0.512,0.000
7915345,0.0204072,231.954348923173,0.000,0.216,0.512,0.000
7915346,0.0141077,231.96845662361,0.000,0.216,0.512,0.000
7915348,0.0157511,231.984207722824,0.000,0.216,0.512,0.000
7915350,0.0169312,232.001138923224,0.000,0.216,0.512,0.000
7915351,0.0147323,232.015871223528,0.000,0.216,0.512,0.000
7915353,0.0186794,232.034550624434,0.000,0.216,0.512,0.000
7915355,0.0172695,232.051820124034,0.000,0.216,0.512,0.000
7915356,0.0151807,232.067000824492,0.000,0.216,0.512,0.000
7915358,0.0173051,232.084305924829,0.000,0.216,0.512,0.000
7915360,0.0160813,232.100387224462,0.000,0.216,0.512,0.000
7915361,0.0212164,232.12160362443,0.000,0.216,0.512,0.000
