Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
1805231,0.0192203,99.9389693206176,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805233,0.0132453,99.9522146210074,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805234,0.015339,99.967553621158,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805236,0.0171369,99.9846905209124,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805238,0.0169024,100.001592921093,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805240,0.0215228,100.0231157206,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805242,0.0206615,100.043777219951,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805244,0.0142929,100.058070120402,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805245,0.0212154,100.079285520129,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805247,0.0175812,100.096866720356,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805293,0.1134868,100.558144613169,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805297,0.0132944,100.571439012885,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805301,0.0402206,100.611659612507,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805306,0.042946,100.654605612159,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805312,0.0501538,100.704759411514,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805315,0.0624077,100.767167109996,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805318,0.0258655,100.793032610789,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805319,0.0303462,100.823378810659,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805321,0.0124032,100.83578201104,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805323,0.0205656,100.856347610243,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805325,0.0160219,100.872369510122,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805326,0.0166587,100.889028209262,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805328,0.0159928,100.905021009035,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805330,0.0132264,100.918247409165,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805331,0.0224885,100.940735910088,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805333,0.0147488,100.955484709702,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805335,0.0168572,100.972341909073,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805336,0.0156388,100.987980709411,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805338,0.0184822,101.006462910213,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805341,0.023343,101.029805910774,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805343,0.0275828,101.057388710789,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805345,0.0164102,101.073798910715,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805346,0.0163467,101.090145611204,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805348,0.0166702,101.106815810315,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805350,0.0185497,101.125365509652,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805351,0.0179089,101.143274408765,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805353,0.0131588,101.156433208846,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805355,0.0180327,101.174465908669,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805356,0.0150575,101.189523409121,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805360,0.0208041,101.210327508859,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805361,0.0297389,101.24006640818,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805363,0.0157014,101.255767808296,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805365,0.0162338,101.272001608275,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805366,0.0217932,101.293794807978,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805368,0.0124965,101.306291308254,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805370,0.0154629,101.321754207835,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805371,0.0171138,101.338868007064,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805373,0.0172667,101.356134707108,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805375,0.0199366,101.376071307808,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805376,0.0152758,101.391347107477,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805378,0.0162024,101.407549506985,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805380,0.0179744,101.425523907878,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805381,0.0140047,101.439528607763,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805383,0.0204611,101.459989706986,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805385,0.0161414,101.476131106727,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805386,0.0140072,101.490138306282,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805388,0.0173991,101.507537406869,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805390,0.0155204,101.523057807237,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805393,0.0220002,101.545058006421,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
1805395,0.0303516,101.575409606099,-0.050,0.087,0.273,0.000,0.000,0.050,0.087,0.273,0.000,0.000
