Frame;DeltaTime;Time;LevelNumber;TrailNumber;MolePosition;WhackCheck
8319005;0.0260949;1771.0023447503;3;0;0;False
8319007;0.0175459;1771.0198906497;3;0;0;False
8319008;0.0181801;1771.03807075;3;0;0;False
8319055;0.1115175;1771.5097826445;3;0;0;False
8319058;0.020338;1771.5301206452;3;0;0;False
8319060;0.0193951;1771.5495157451;3;0;0;False
8319063;0.0294428;1771.5789585454;3;0;0;False
8319066;0.0209482;1771.5999067449;3;0;0;False
8319069;0.0280825;1771.6279892442;3;0;0;False
8319072;0.0315975;1771.659586743;3;0;0;False
8319075;0.027428;1771.6870147423;3;0;0;False
8319077;0.0340075;1771.7210222432;3;0;0;False
8319079;0.0183886;1771.7394108423;3;0;0;False
8319080;0.0182322;1771.7576430426;3;0;0;False
8319082;0.0114805;1771.7691235426;3;0;0;False
8319084;0.0211202;1771.7902437425;3;0;0;False
8319085;0.0171223;1771.8073660429;3;0;0;False
8319087;0.0178286;1771.8251946433;3;0;0;False
8319089;0.0165639;1771.8417585432;3;0;0;False
8319092;0.0227287;1771.8644872434;3;0;0;False
8319095;0.0335751;1771.8980623423;3;0;0;False
8319097;0.0266198;1771.9246821418;3;0;0;False
8319100;0.0220659;1771.946748042;3;0;0;False
8319104;0.033807;1771.9805550403;3;0;0;False
8319105;0.026303;1772.006858041;3;0;0;False
8319107;0.0181471;1772.0250051408;3;0;0;False
8319109;0.0158265;1772.0408316399;3;0;0;False
8319110;0.0173581;1772.0581897399;3;0;0;False
8319112;0.0174636;1772.0756533402;3;0;0;False
8319113;0.0150219;1772.0906752399;3;0;0;False
8319115;0.0131301;1772.1038053404;3;0;0;False
8319117;0.0223271;1772.1261324412;3;0;0;False
8319119;0.0212473;1772.1473797406;3;0;0;False
8319121;0.013583;1772.1609627404;3;0;0;False
8319122;0.0164195;1772.1773822405;3;0;0;False
8319124;0.0190662;1772.1964484402;3;0;0;False
8319126;0.0155519;1772.2120003398;3;0;0;False
8319127;0.0159336;1772.2279339391;3;0;0;False
8319129;0.0164528;1772.2443867396;3;0;0;False
8319132;0.0219212;1772.2663079402;3;0;0;False
8319134;0.0281251;1772.2944330401;3;0;0;False
8319136;0.017709;1772.3121420401;3;0;0;False
8319137;0.0153726;1772.3275146405;3;0;0;False
8319141;0.0215538;1772.34906844;3;0;0;False
8319144;0.0338996;1772.3829680416;3;0;0;False
8319146;0.0285595;1772.4115275419;3;0;0;False
8319149;0.0210375;1772.4325650423;3;0;0;False
8319151;0.028409;1772.4609740428;3;0;0;False
8319152;0.0175646;1772.4785386431;3;0;0;False
8319154;0.015546;1772.4940846427;3;0;0;False
8319155;0.0170001;1772.5110847424;3;0;0;False
8319157;0.0130514;1772.5241361423;3;0;0;False
8319161;0.0250763;1772.5492124423;3;0;0;False
8319164;0.0341515;1772.5833639405;3;0;0;False
8319166;0.0290278;1772.6123917396;3;0;0;False
8319169;0.0218205;1772.6342122401;3;0;0;False
8319171;0.026233;1772.6604452408;3;0;0;False
8319172;0.0203851;1772.6808303404;3;0;0;False
8319174;0.0138168;1772.6946471403;3;0;0;False
8319177;0.0229539;1772.7176010399;3;0;0;False
8319178;0.0241838;1772.7417848404;3;0;0;False
8319179;0.0122974;1772.7540822406;3;0;0;False
0;0.0166558;1772.7707380415;3;0;0;False
8319182;0.0164207;1772.7871587412;3;0;0;False
0;0.0167688;1772.8039275412;3;0;0;False
0;0.0174941;1772.8214216405;3;0;0;False
0;0.025561;1772.8469826398;3;0;0;False
0;0.0144397;1772.8614223399;3;0;0;False
0;0.02298;1772.8844023407;3;0;0;False
0;0.0276262;1772.9120285404;3;0;0;False
0;0.0130122;1772.9250407401;3;0;0;False
0;0.0234059;1772.9484466403;3;0;0;False
0;0.0203086;1772.968755241;3;0;0;False
0;0.0316914;1773.0004466395;3;0;0;False
0;0.0290957;1773.0295423395;3;0;0;False
0;0.0235609;1773.0531032397;3;0;0;False
0;0.0310907;1773.0841939389;3;0;0;False
0;0.0281822;1773.1123761381;3;0;0;False
0;0.0206385;1773.1330146375;3;0;0;False
0;0.0279849;1773.1609995379;3;0;0;False
0;0.012545;1773.1735445377;3;0;0;False
0;0.0210636;1773.1946081375;3;0;0;False
0;0.0187726;1773.2133807377;3;0;0;False
0;0.0174927;1773.2308734381;3;0;0;False
0;0.02079;1773.2516634376;3;0;0;False
0;0.0327691;1773.2844325365;3;0;0;False
0;0.0284594;1773.3128919364;3;0;0;False
0;0.0231464;1773.3360383366;3;0;0;False
0;0.0320175;1773.3680558358;3;0;0;False
0;0.0285216;1773.3965774351;3;0;0;False
0;0.0198918;1773.4164692354;3;0;0;False
0;0.0292382;1773.4457074353;3;0;0;False
0;0.0159482;1773.4616556359;3;0;0;False
0;0.019534;1773.4811896351;3;0;0;False
0;0.0182287;1773.4994183355;3;0;0;False
0;0.0140523;1773.5134706353;3;0;0;False
0;0.0216171;1773.5350877349;3;0;0;False
0;0.027845;1773.5629327358;3;0;0;False
0;0.0220559;1773.5849886355;3;0;0;False
0;0.0328999;1773.6178885368;3;0;0;False
0;0.028845;1773.6467335359;3;0;0;False
0;0.0195739;1773.6663074368;3;0;0;False
0;0.0099215;1773.6762289372;3;0;0;False
0;0.0250009;1773.7012298373;3;0;0;False
0;0.0279179;1773.7291477365;3;0;0;False
0;0.0109429;1773.7400906361;3;0;0;False
0;0.0226544;1773.7627450354;3;0;0;False
0;0.0163915;1773.7791365362;3;0;0;False
0;0.017424;1773.7965605366;3;0;0;False
0;0.0153809;1773.811941437;3;0;0;False
8319289;0.0218032;1773.8337446372;3;0;0;False
8319292;0.0352869;1773.8690315369;3;0;0;False
8319293;0.0273408;1773.8963723364;3;0;0;False
8319295;0.0124588;1773.9088311368;3;0;0;False
8319297;0.0210768;1773.9299079371;3;0;0;False
8319300;0.0208681;1773.9507760373;3;0;0;False
8319302;0.0294653;1773.9802413364;3;0;0;False
8319304;0.01161;1773.9918513368;3;0;0;False
8319306;0.0217687;1774.0136200371;3;0;0;False
0;0.0188488;1774.0324688363;3;0;0;False
0;0.0158467;1774.0483155358;3;0;0;False
0;0.0132797;1774.0615952355;3;0;0;False
8319312;0.0128861;1774.0744813359;3;0;0;False
8319314;0.0209728;1774.0954541354;3;0;0;False
8319315;0.0172508;1774.112704936;3;0;0;False
8319317;0.0155986;1774.1283035358;3;0;0;False
8319318;0.0175038;1774.1458073356;3;0;0;False
8319320;0.0122533;1774.1580606359;3;0;0;False
8319322;0.0219987;1774.1800593357;3;0;0;False
8319324;0.0131223;1774.1931816354;3;0;0;False
8319325;0.021599;1774.2147806357;3;0;0;False
8319327;0.0120867;1774.2268673354;3;0;0;False
8319329;0.0207269;1774.2475942359;3;0;0;False
8319332;0.0216339;1774.2692281366;3;0;0;False
8319333;0.0291748;1774.2984029357;3;0;0;False
8319335;0.0105362;1774.3089391361;3;0;0;False
8319337;0.0222803;1774.3312194361;3;0;0;False
8319338;0.0168775;1774.3480969365;3;0;0;False
8319341;0.0133044;1774.3614013367;3;0;0;False
8319342;0.0193291;1774.3807304376;3;0;0;False
8319344;0.016856;1774.3975864374;3;0;0;False
8319346;0.0177927;1774.4153791373;3;0;0;False
8319347;0.0164946;1774.4318737374;3;0;0;False
8319349;0.0155067;1774.4473804371;3;0;0;False
8319351;0.0162685;1774.4636489363;3;0;0;False
8319352;0.0178164;1774.4814653364;3;0;0;False
8319354;0.0158274;1774.497292737;3;0;0;False
8319355;0.0184341;1774.5157268369;3;0;0;False
8319357;0.0143318;1774.5300586368;3;0;0;False
8319358;0.0176717;1774.5477303374;3;0;0;False
8319360;0.0129057;1774.5606360375;3;0;0;False
8319362;0.0195501;1774.5801861375;3;0;0;False
8319364;0.0123446;1774.5925307372;3;0;0;False
8319365;0.0217421;1774.6142728371;3;0;0;False
8319367;0.0172059;1774.6314787366;3;0;0;False
8319369;0.0109495;1774.6424282366;3;0;0;False
8319370;0.0220045;1774.6644327366;3;0;0;False
8319372;0.0161841;1774.6806168375;3;0;0;False
8319374;0.0176062;1774.6982230381;3;0;0;False
8319375;0.0152993;1774.7135223378;3;0;0;False
8319377;0.0161532;1774.7296755374;3;0;0;False
8319378;0.0185344;1774.748209937;3;0;0;False
8319380;0.0138163;1774.7620262369;3;0;0;False
8319382;0.0196316;1774.7816578369;3;0;0;False
8319384;0.0184271;1774.8000849369;3;0;0;False
8319385;0.0142162;1774.8143011374;3;0;0;False
8319389;0.0229832;1774.8372843382;3;0;0;False
8319391;0.0271633;1774.8644476389;3;0;0;False
8319392;0.0178631;1774.8823107393;3;0;0;False
8319394;0.0160067;1774.89831744;3;0;0;False
0;0.0209864;1774.9193038405;3;0;0;False
8319399;0.0293569;1774.9486607411;3;0;0;False
8319400;0.0157024;1774.9643631415;3;0;0;False
8319402;0.0175335;1774.9818966412;3;0;0;False
8319404;0.012729;1774.9946256415;3;0;0;False
8319405;0.0195411;1775.0141667412;3;0;0;False
8319407;0.0166607;1775.0308274408;3;0;0;False
8319409;0.0124687;1775.0432961411;3;0;0;False
8319411;0.0221201;1775.0654162406;3;0;0;False
8319412;0.0171035;1775.0825197413;3;0;0;False
