Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
232450080,0.0128714,39.5818822160363,0.011,0.315,0.500,0.000
0,0.0183269,39.6002091169357,0.011,0.315,0.500,0.000
0,0.0101727,39.6103818165138,0.011,0.315,0.500,0.000
0,0.0169126,39.6272944165394,0.011,0.315,0.500,0.000
0,0.0180785,39.6453729169443,0.011,0.315,0.500,0.000
0,0.0172768,39.6626497162506,0.011,0.315,0.500,0.000
0,0.0172439,39.6798936156556,0.011,0.315,0.500,0.000
232450092,0.0209751,39.7008687155321,0.011,0.315,0.500,0.000
232450094,0.0159323,39.7168010147288,0.011,0.315,0.500,0.000
232450096,0.020485,39.7372860154137,0.011,0.315,0.500,0.000
232450098,0.0182252,39.755511215888,0.011,0.315,0.500,0.000
232450100,0.0198708,39.7753820167854,0.011,0.315,0.500,0.000
232450102,0.0204723,39.795854316093,0.011,0.315,0.500,0.000
232450104,0.0209507,39.8168050153181,0.011,0.315,0.500,0.000
232450106,0.0213692,39.8381742155179,0.011,0.315,0.500,0.000
232450108,0.0225778,39.8607520153746,0.011,0.315,0.500,0.000
232450111,0.0220602,39.8828122159466,0.011,0.315,0.500,0.000
232450113,0.0239394,39.9067516168579,0.011,0.315,0.500,0.000
232450115,0.0230217,39.9297733167186,0.011,0.315,0.500,0.000
0,0.026332,39.9561053169891,0.011,0.315,0.500,0.000
0,0.0256667,39.9817720176652,0.011,0.315,0.500,0.000
0,0.0268255,40.0085975183174,0.011,0.315,0.500,0.000
0,0.0284702,40.0370677178726,0.011,0.315,0.500,0.000
0,0.0304659,40.0675336187705,0.011,0.315,0.500,0.000
232450133,0.0312992,40.0988328186795,0.011,0.315,0.500,0.000
0,0.0345911,40.1334239197895,0.011,0.315,0.500,0.000
232450141,0.0355228,40.1689467197284,0.011,0.315,0.500,0.000
232450145,0.0394522,40.2083989186212,0.011,0.315,0.500,0.000
232450150,0.0454384,40.2538373200223,0.011,0.315,0.500,0.000
232450156,0.04831,40.3021473204717,0.011,0.315,0.500,0.000
232450163,0.0570091,40.3591564213857,0.011,0.315,0.500,0.000
232450173,0.0695135,40.4286699211225,0.011,0.315,0.500,0.000
232450174,0.0992239,40.5278938179836,0.011,0.315,0.500,0.000
232450176,0.015217,40.5431108176708,0.011,0.315,0.500,0.000
232450177,0.0150456,40.5581564176828,0.011,0.315,0.500,0.000
232450179,0.0190163,40.5771727170795,0.011,0.315,0.500,0.000
232450181,0.0170941,40.5942668169737,0.011,0.315,0.500,0.000
232450182,0.0140137,40.6082805171609,0.011,0.315,0.500,0.000
232450184,0.0166315,40.6249120179564,0.011,0.315,0.500,0.000
232450185,0.016312,40.6412240173668,0.011,0.315,0.500,0.000
232450187,0.0153856,40.6566096171737,0.011,0.315,0.500,0.000
232450189,0.0167093,40.6733189169317,0.011,0.315,0.500,0.000
232450191,0.0171004,40.6904193162918,0.011,0.315,0.500,0.000
232450192,0.0172985,40.7077178154141,0.011,0.315,0.500,0.000
232450194,0.0168821,40.7245999146253,0.011,0.315,0.500,0.000
232450196,0.016402,40.7410019151866,0.011,0.315,0.500,0.000
232450197,0.0181702,40.7591721154749,0.011,0.315,0.500,0.000
232450199,0.0164379,40.7756100147963,0.011,0.315,0.500,0.000
232450201,0.0175092,40.7931192144752,0.011,0.315,0.500,0.000
232450202,0.0210233,40.8141425140202,0.011,0.315,0.500,0.000
232450204,0.0124829,40.8266254141927,0.011,0.315,0.500,0.000
232450206,0.0158775,40.8425029143691,0.011,0.315,0.500,0.000
232450207,0.0151453,40.8576482143253,0.011,0.315,0.500,0.000
232450209,0.0172271,40.8748753145337,0.011,0.315,0.500,0.000
232450211,0.0171014,40.8919767141342,0.011,0.315,0.500,0.000
232450212,0.01624,40.908216714859,0.011,0.315,0.500,0.000
232450214,0.016779,40.9249957147986,0.011,0.315,0.500,0.000
232450216,0.0163937,40.9413894154131,0.011,0.315,0.500,0.000
232450217,0.0169843,40.9583737161011,0.011,0.315,0.500,0.000
232450219,0.0169822,40.9753559157252,0.011,0.315,0.500,0.000
232450221,0.0180347,40.9933906160295,0.011,0.315,0.500,0.000
232450222,0.0167126,41.0101032163948,0.011,0.315,0.500,0.000
232450224,0.0172967,41.0273999162018,0.011,0.315,0.500,0.000
232450226,0.0171861,41.0445860158652,0.011,0.315,0.500,0.000
232450228,0.0168323,41.0614183153957,0.011,0.315,0.500,0.000
232450229,0.0178621,41.0792804155499,0.011,0.315,0.500,0.000
0,0.0150382,41.0943186152726,0.011,0.315,0.500,0.000
0,0.016368,41.1106866151094,0.011,0.315,0.500,0.000
232450234,0.0163613,41.1270479150116,0.011,0.315,0.500,0.000
232450236,0.0163756,41.1434235144407,0.011,0.315,0.500,0.000
232450237,0.0160273,41.1594508141279,0.011,0.315,0.500,0.000
232450239,0.0167489,41.1761997137219,0.011,0.315,0.500,0.000
232450241,0.0172504,41.1934501137584,0.011,0.315,0.500,0.000
232450242,0.0167336,41.2101837135851,0.011,0.315,0.500,0.000
232450244,0.0163069,41.2264906130731,0.011,0.315,0.500,0.000
232450246,0.0173505,41.2438411135226,0.011,0.315,0.500,0.000
232450247,0.0157747,41.2596158143133,0.011,0.315,0.500,0.000
232450249,0.0180246,41.2776404134929,0.011,0.315,0.500,0.000
232450251,0.0165126,41.2941530141979,0.011,0.315,0.500,0.000
232450252,0.0159193,41.3100723139942,0.011,0.315,0.500,0.000
232450254,0.0164343,41.3265066146851,0.011,0.315,0.500,0.000
232450256,0.0175513,41.3440579138696,0.011,0.315,0.500,0.000
232450257,0.0158435,41.3599014133215,0.011,0.315,0.500,0.000
232450259,0.0163529,41.3762543126941,0.011,0.315,0.500,0.000
232450261,0.0177341,41.3939884118736,0.011,0.315,0.500,0.000
232450262,0.0155959,41.4095843117684,0.011,0.315,0.500,0.000
232450264,0.0168033,41.4263876117766,0.011,0.315,0.500,0.000
232450266,0.016793,41.4431806113571,0.011,0.315,0.500,0.000
232450267,0.0165471,41.4597277119756,0.011,0.315,0.500,0.000
232450269,0.0182462,41.4779739119112,0.011,0.315,0.500,0.000
232450271,0.0163029,41.4942768123001,0.011,0.315,0.500,0.000
232450272,0.0164274,41.5107042118907,0.011,0.315,0.500,0.000
232450274,0.0164649,41.5271691121161,0.011,0.315,0.500,0.000
232450276,0.0177765,41.5449456125498,0.011,0.315,0.500,0.000
232450277,0.0153815,41.5603271126747,0.011,0.315,0.500,0.000
0,0.0164472,41.5767743121833,0.011,0.315,0.500,0.000
0,0.0166699,41.5934442114085,0.011,0.315,0.500,0.000
0,0.0168108,41.6102550122887,0.011,0.315,0.500,0.000
232450284,0.0158738,41.6261288113892,0.011,0.315,0.500,0.000
232450286,0.0181832,41.644312011078,0.011,0.315,0.500,0.000
232450287,0.0157414,41.6600534114987,0.011,0.315,0.500,0.000
232450289,0.0205585,41.6806119121611,0.011,0.315,0.500,0.000
232450291,0.014633,41.6952449120581,0.011,0.315,0.500,0.000
232450292,0.0160498,41.7112947124988,0.011,0.315,0.500,0.000
232450294,0.0168233,41.7281180117279,0.011,0.315,0.500,0.000
232450296,0.0182723,41.7463903110474,0.011,0.315,0.500,0.000
232450297,0.0148947,41.7612850107253,0.011,0.315,0.500,0.000
232450299,0.0168088,41.7780938111246,0.011,0.315,0.500,0.000
232450301,0.0155579,41.7936517111957,0.011,0.315,0.500,0.000
232450302,0.0167302,41.810381911695,0.011,0.315,0.500,0.000
232450304,0.0168132,41.8271951116621,0.011,0.315,0.500,0.000
232450306,0.0168592,41.8440543115139,0.011,0.315,0.500,0.000
