Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
232450430,0.0176013,42.9162977160886,0.011,0.315,0.500,0.000
232450432,0.028926,42.9452237160876,0.011,0.315,0.500,0.000
232450435,0.016604,42.9618277167901,0.011,0.315,0.500,0.000
232450437,0.0336678,42.9954955158755,0.011,0.315,0.500,0.000
232450439,0.0186295,43.0141250165179,0.011,0.315,0.500,0.000
232450442,0.0152775,43.0294025167823,0.011,0.315,0.500,0.000
232450488,0.1143078,43.5078601222485,0.011,0.315,0.500,0.000
232450490,0.0156554,43.52351552248,0.011,0.315,0.500,0.000
232450493,0.0163781,43.5398936215788,0.011,0.315,0.500,0.000
232450496,0.0323316,43.5722252223641,0.011,0.315,0.500,0.000
232450498,0.024855,43.5970802232623,0.011,0.315,0.500,0.000
232450500,0.0234575,43.6205377224833,0.011,0.315,0.500,0.000
232450503,0.01948,43.640017721802,0.011,0.315,0.500,0.000
232450505,0.0293189,43.6693366225809,0.011,0.315,0.500,0.000
232450508,0.0247901,43.6941267233342,0.011,0.315,0.500,0.000
232450509,0.0253638,43.7194905225188,0.011,0.315,0.500,0.000
232450511,0.0122433,43.7317338222638,0.011,0.315,0.500,0.000
232450513,0.0170076,43.7487414227799,0.011,0.315,0.500,0.000
232450515,0.0258423,43.7745837224647,0.011,0.315,0.500,0.000
232450518,0.0175648,43.7921485221013,0.011,0.315,0.500,0.000
232450522,0.0357078,43.8278563236818,0.011,0.315,0.500,0.000
232450522,0.0294034,43.8572597233579,0.011,0.315,0.500,0.000
232450525,0.0079211,43.8651808230206,0.011,0.315,0.500,0.000
232450526,0.024883,43.8900638232008,0.011,0.315,0.500,0.000
232450528,0.0082035,43.8982673231512,0.011,0.315,0.500,0.000
232450529,0.025101,43.9233683235943,0.011,0.315,0.500,0.000
232450531,0.0099054,43.933273723349,0.011,0.315,0.500,0.000
232450532,0.0239886,43.9572623241693,0.011,0.315,0.500,0.000
232450535,0.0089914,43.9662537239492,0.011,0.315,0.500,0.000
232450536,0.0248419,43.9910956248641,0.011,0.315,0.500,0.000
232450538,0.0083071,43.9994027251378,0.011,0.315,0.500,0.000
232450539,0.0248107,44.0242134248838,0.011,0.315,0.500,0.000
232450542,0.0108803,44.0350937247276,0.011,0.315,0.500,0.000
232450543,0.0263062,44.0613999255002,0.011,0.315,0.500,0.000
232450545,0.0068832,44.0682831252925,0.011,0.315,0.500,0.000
232450546,0.0242164,44.0924995257519,0.011,0.315,0.500,0.000
232450548,0.0096223,44.1021218257956,0.011,0.315,0.500,0.000
232450549,0.0246605,44.1267823255621,0.011,0.315,0.500,0.000
232450552,0.008627,44.1354093258269,0.011,0.315,0.500,0.000
232450553,0.0254661,44.1608754252084,0.011,0.315,0.500,0.000
232450555,0.0076708,44.16854622541,0.011,0.315,0.500,0.000
232450556,0.023876,44.1924222256057,0.011,0.315,0.500,0.000
232450558,0.0084674,44.2008896260522,0.011,0.315,0.500,0.000
232450559,0.0249072,44.2257968257181,0.011,0.315,0.500,0.000
232450562,0.0077928,44.2335896259174,0.011,0.315,0.500,0.000
232450563,0.0253036,44.2588932262734,0.011,0.315,0.500,0.000
232450565,0.0084439,44.2673371266574,0.011,0.315,0.500,0.000
232450568,0.0272054,44.2945425268263,0.011,0.315,0.500,0.000
232450569,0.0310221,44.3255646266043,0.011,0.315,0.500,0.000
232450572,0.0082401,44.3338047266006,0.011,0.315,0.500,0.000
232450573,0.0250311,44.3588358256966,0.011,0.315,0.500,0.000
232450575,0.008681,44.3675168259069,0.011,0.315,0.500,0.000
232450576,0.0247768,44.3922936255112,0.011,0.315,0.500,0.000
232450578,0.0085102,44.400803825818,0.011,0.315,0.500,0.000
232450579,0.025817,44.4266208251938,0.011,0.315,0.500,0.000
232450582,0.0072962,44.4339170251042,0.011,0.315,0.500,0.000
232450583,0.0261368,44.4600538257509,0.011,0.315,0.500,0.000
232450585,0.0084056,44.4684594254941,0.011,0.315,0.500,0.000
232450586,0.0254263,44.4938857257366,0.011,0.315,0.500,0.000
232450588,0.009816,44.5037017259747,0.011,0.315,0.500,0.000
232450592,0.0257737,44.5294754263014,0.011,0.315,0.500,0.000
232450595,0.0314398,44.5609152261168,0.011,0.315,0.500,0.000
232450598,0.03367,44.5945852268487,0.011,0.315,0.500,0.000
232450599,0.0308134,44.625398626551,0.011,0.315,0.500,0.000
232450601,0.0084429,44.6338415266946,0.011,0.315,0.500,0.000
232450605,0.0255227,44.6593642262742,0.011,0.315,0.500,0.000
232450606,0.0328458,44.6922100251541,0.011,0.315,0.500,0.000
232450608,0.0078593,44.7000693250448,0.011,0.315,0.500,0.000
232450609,0.0249088,44.7249781247228,0.011,0.315,0.500,0.000
232450611,0.0082931,44.7332712244242,0.011,0.315,0.500,0.000
232450612,0.024275,44.7575462237,0.011,0.315,0.500,0.000
232450615,0.0104751,44.7680213237181,0.011,0.315,0.500,0.000
232450616,0.0229945,44.7910158233717,0.011,0.315,0.500,0.000
232450618,0.0092949,44.8003107234836,0.013,0.321,0.500,0.000
232450619,0.0274915,44.8278022240847,0.011,0.329,0.500,0.000
232450621,0.0075051,44.8353073243052,0.006,0.335,0.500,0.000
232450622,0.0231199,44.8584272246808,0.000,0.342,0.500,0.000
232450625,0.0100832,44.8685104250908,0.000,0.342,0.500,0.000
232450626,0.0242176,44.8927280250937,-0.007,0.349,0.500,0.000
232450628,0.0083045,44.9010325251147,-0.018,0.358,0.500,0.000
232450629,0.0263896,44.9274221258238,-0.018,0.358,0.500,0.000
232450632,0.0082043,44.9356264257804,-0.025,0.362,0.500,0.000
232450633,0.024548,44.9601744255051,-0.025,0.362,0.500,0.000
232450635,0.0087444,44.9689188254997,-0.043,0.371,0.500,0.000
232450636,0.0253157,44.9942345255986,-0.043,0.371,0.500,0.000
232450638,0.0076562,45.0018907254562,-0.043,0.371,0.500,0.000
232450639,0.0255265,45.0274172248319,-0.058,0.379,0.500,0.000
232450642,0.0082739,45.0356911243871,-0.058,0.379,0.500,0.000
232450643,0.0241706,45.0598617242649,-0.071,0.384,0.500,0.000
232450645,0.008734,45.0685957241803,-0.071,0.384,0.500,0.000
232450646,0.0254323,45.0940280240029,-0.071,0.384,0.500,0.000
232450648,0.0077736,45.101801624056,-0.086,0.388,0.500,0.000
232450649,0.0253458,45.1271474245004,-0.092,0.390,0.500,0.000
232450652,0.0085326,45.1356800240465,-0.094,0.392,0.500,0.000
232450653,0.0255918,45.1612718240358,-0.094,0.392,0.500,0.000
232450655,0.0078779,45.169149724301,-0.094,0.392,0.500,0.000
232450656,0.0247473,45.193897025194,-0.094,0.395,0.500,0.000
232450658,0.0084438,45.2023408249952,-0.094,0.395,0.500,0.000
232450661,0.0272061,45.2295469255187,-0.080,0.394,0.500,0.000
232450663,0.0234564,45.253003325779,-0.080,0.394,0.500,0.000
232450665,0.0239155,45.2769188252278,-0.069,0.393,0.500,0.000
232450666,0.0171475,45.2940663252957,-0.062,0.393,0.500,0.000
232450668,0.0086688,45.3027351251803,-0.056,0.393,0.500,0.000
232450672,0.0259054,45.3286405256949,-0.051,0.395,0.500,0.000
232450675,0.0321694,45.3608099273406,-0.032,0.401,0.500,0.000
232450676,0.0320059,45.3928158259951,-0.032,0.401,0.500,0.000
232450678,0.0083044,45.4011202263646,-0.015,0.401,0.500,0.000
232450679,0.0245908,45.4257110259496,-0.010,0.398,0.500,0.000
232450681,0.0093216,45.4350326261483,0.000,0.393,0.500,0.000
232450682,0.0243138,45.4593464261852,0.000,0.393,0.500,0.000
232450685,0.0092944,45.4686408261769,0.000,0.393,0.500,0.000
232450686,0.0256475,45.4942883267067,0.010,0.388,0.500,0.000
