Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
8763603,0.0967866,167.979487165809,0.028,0.464,0.500,0.000
8763646,0.1040889,168.493305668235,0.028,0.464,0.500,0.000
8763652,0.006551,168.499856668059,0.028,0.464,0.500,0.000
8763659,0.0660412,168.565897869412,0.028,0.464,0.500,0.000
8763668,0.0679314,168.633829268161,0.028,0.464,0.500,0.000
8763670,0.0936937,168.727522971574,0.028,0.464,0.500,0.000
8763672,0.0187358,168.746258771513,0.028,0.464,0.500,0.000
8763674,0.0184209,168.7646796708,0.028,0.464,0.500,0.000
8763675,0.0166673,168.781346971635,0.028,0.464,0.500,0.000
8763677,0.0174742,168.798821172211,0.028,0.464,0.500,0.000
8763678,0.0166102,168.815431371797,0.028,0.464,0.500,0.000
0,0.0176271,168.833058471326,0.028,0.464,0.500,0.000
0,0.0166505,168.849708971102,0.028,0.464,0.500,0.000
0,0.0165905,168.866299471352,0.028,0.464,0.500,0.000
0,0.0168144,168.883113870863,0.028,0.464,0.500,0.000
0,0.0175418,168.900655670557,0.028,0.464,0.500,0.000
0,0.0177467,168.918402370531,0.028,0.464,0.500,0.000
0,0.0162433,168.93464567,0.028,0.464,0.500,0.000
8763692,0.018878,168.953523669858,0.028,0.464,0.500,0.000
8763694,0.0160089,168.969532570336,0.028,0.464,0.500,0.000
8763696,0.0161637,168.985696269665,0.028,0.464,0.500,0.000
8763697,0.0154539,169.001150169875,0.028,0.464,0.500,0.000
8763699,0.017338,169.018488170113,0.028,0.464,0.500,0.000
8763701,0.0166204,169.035108569544,0.028,0.464,0.500,0.000
8763702,0.0161148,169.05122336885,0.028,0.464,0.500,0.000
8763704,0.016258,169.067481368314,0.028,0.464,0.500,0.000
8763706,0.0163095,169.083790868055,0.028,0.464,0.500,0.000
8763707,0.017431,169.101221868303,0.028,0.464,0.500,0.000
8763709,0.0165614,169.117783268448,0.028,0.464,0.500,0.000
8763710,0.0170544,169.134837667923,0.028,0.464,0.500,0.000
8763712,0.0164951,169.151332767215,0.028,0.464,0.500,0.000
8763714,0.0179616,169.16929436801,0.028,0.464,0.500,0.000
8763716,0.0152496,169.184543967713,0.028,0.464,0.500,0.000
8763717,0.0176915,169.202235468198,0.028,0.464,0.500,0.000
8763719,0.015285,169.217520468403,0.028,0.464,0.500,0.000
8763720,0.0169761,169.234496567864,0.028,0.464,0.500,0.000
8763722,0.0164204,169.250916967634,0.028,0.464,0.500,0.000
8763724,0.0165215,169.267438468058,0.028,0.464,0.500,0.000
8763726,0.0167459,169.284184368793,0.028,0.464,0.500,0.000
8763727,0.016914,169.301098369528,0.028,0.464,0.500,0.000
8763729,0.0170294,169.318127770443,0.028,0.464,0.500,0.000
8763731,0.017479,169.335606771056,0.028,0.464,0.500,0.000
8763732,0.0171167,169.352723470423,0.028,0.464,0.500,0.000
8763734,0.0185185,169.371241970453,0.028,0.464,0.500,0.000
8763736,0.017546,169.388787970413,0.028,0.464,0.500,0.000
8763737,0.012775,169.401562970597,0.028,0.464,0.500,0.000
8763739,0.0177041,169.419267070014,0.028,0.464,0.500,0.000
8763741,0.0156973,169.434964370448,0.028,0.464,0.500,0.000
8763742,0.0169391,169.451903470326,0.028,0.464,0.500,0.000
8763744,0.0164296,169.468333069701,0.028,0.464,0.500,0.000
8763745,0.0171472,169.485480269883,0.028,0.464,0.500,0.000
8763747,0.0159021,169.501382370014,0.028,0.464,0.500,0.000
8763749,0.0170837,169.51846607076,0.028,0.464,0.500,0.000
8763750,0.0164041,169.534870170522,0.028,0.464,0.500,0.000
8763752,0.0173026,169.552172771189,0.028,0.464,0.500,0.000
8763754,0.0173948,169.569567570928,0.028,0.464,0.500,0.000
8763755,0.0159545,169.585522070993,0.028,0.464,0.500,0.000
8763757,0.0217643,169.607286371756,0.028,0.464,0.500,0.000
8763759,0.0112814,169.618567771744,0.028,0.464,0.500,0.000
8763760,0.0159952,169.634562972467,0.028,0.464,0.500,0.000
8763762,0.016485,169.651047972497,0.028,0.464,0.500,0.000
8763764,0.0165546,169.667602572124,0.028,0.464,0.500,0.000
8763765,0.0170277,169.684630272444,0.028,0.464,0.500,0.000
8763767,0.0164103,169.701040572952,0.028,0.464,0.500,0.000
8763769,0.0173007,169.718341273721,0.028,0.464,0.500,0.000
8763771,0.0164324,169.734773674514,0.028,0.464,0.500,0.000
8763772,0.0185093,169.75328297494,0.028,0.464,0.500,0.000
8763774,0.0156775,169.768960475456,0.028,0.464,0.500,0.000
8763776,0.0156159,169.784576375503,0.028,0.464,0.500,0.000
8763777,0.01781,169.80238637561,0.028,0.464,0.500,0.000
8763779,0.0162341,169.818620475475,0.028,0.464,0.500,0.000
8763781,0.0175974,169.836217875127,0.028,0.464,0.500,0.000
8763782,0.0166547,169.852872575168,0.028,0.464,0.500,0.000
8763784,0.0163221,169.869194675703,0.028,0.464,0.500,0.000
8763785,0.0169523,169.886146976147,0.028,0.464,0.500,0.000
8763787,0.0158696,169.902016576845,0.028,0.464,0.500,0.000
8763789,0.0177024,169.91971897753,0.028,0.464,0.500,0.000
8763791,0.0171568,169.936875777785,0.028,0.464,0.500,0.000
8763792,0.016633,169.95350877801,0.028,0.464,0.500,0.000
8763794,0.0178374,169.971346177626,0.028,0.464,0.500,0.000
8763796,0.0155401,169.986886277329,0.028,0.464,0.500,0.000
8763797,0.0164767,170.003362977412,0.028,0.464,0.500,0.000
8763799,0.0167948,170.02015777817,0.028,0.464,0.500,0.000
8763801,0.0166962,170.036853977945,0.028,0.464,0.500,0.000
8763802,0.0157585,170.052612477448,0.028,0.464,0.500,0.000
8763804,0.0172845,170.069896976929,0.028,0.464,0.500,0.000
8763805,0.0164298,170.086326777469,0.028,0.464,0.500,0.000
8763807,0.0168157,170.103142477106,0.028,0.464,0.500,0.000
8763809,0.0171899,170.120332376566,0.028,0.464,0.500,0.000
8763810,0.0159507,170.136283076834,0.028,0.464,0.500,0.000
8763812,0.0168559,170.153138976078,0.028,0.464,0.500,0.000
8763814,0.0170731,170.170212076511,0.028,0.464,0.500,0.000
8763815,0.0168361,170.187048175838,0.028,0.464,0.500,0.000
8763817,0.0167856,170.203833775129,0.028,0.464,0.500,0.000
8763819,0.0176175,170.221451274585,0.028,0.464,0.500,0.000
8763820,0.0147619,170.236213174183,0.028,0.464,0.500,0.000
8763822,0.0166845,170.252897674683,0.028,0.464,0.500,0.000
8763824,0.0181924,170.271090073977,0.028,0.464,0.500,0.000
8763825,0.015771,170.286861073691,0.028,0.464,0.500,0.000
8763827,0.0173244,170.304185472894,0.028,0.464,0.500,0.000
8763829,0.0176355,170.321820972953,0.028,0.464,0.500,0.000
8763830,0.0163106,170.338131573517,0.028,0.464,0.500,0.000
8763832,0.0149546,170.353086173069,0.028,0.464,0.500,0.000
8763834,0.0171854,170.370271572378,0.028,0.464,0.500,0.000
8763835,0.0160306,170.386302172672,0.028,0.464,0.500,0.000
8763837,0.0177772,170.40407937346,0.028,0.464,0.500,0.000
8763839,0.0166721,170.420751474332,0.028,0.464,0.500,0.000
8763840,0.0168882,170.437639673706,0.028,0.464,0.500,0.000
8763842,0.0169483,170.454587973189,0.028,0.464,0.500,0.000
8763844,0.0165651,170.471153072547,0.028,0.464,0.500,0.000
8763845,0.0148089,170.48596197227,0.028,0.464,0.500,0.000
0,0.0173914,170.503353372682,0.028,0.464,0.500,0.000
8763849,0.0172868,170.52064017253,0.028,0.464,0.500,0.000
8763850,0.0164677,170.537107872311,0.028,0.464,0.500,0.000
8763852,0.0161416,170.553249473218,0.028,0.464,0.500,0.000
8763854,0.0167358,170.569985272828,0.028,0.464,0.500,0.000
