Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
8796348,0.0132276,45.6635491307825,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796350,0.01379,45.6773391310126,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796352,0.0160973,45.6934364307672,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796354,0.0261109,45.7195473313332,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796356,0.0137393,45.7332866312936,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796357,0.0271789,45.76046553161,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796359,0.0060685,45.7665340318345,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796360,0.0248253,45.7913593309931,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796363,0.0094295,45.8007888314314,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796367,0.024773,45.8255618312396,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796370,0.0411115,45.8666733303107,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796374,0.0367208,45.9033941314556,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796375,0.0293505,45.9327446320094,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796377,0.0093812,45.9421258321963,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796378,0.0240286,45.9661544314586,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796382,0.0095067,45.9756611310877,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796383,0.0391185,46.0147796296515,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796385,0.0105698,46.0253494293429,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796386,0.0161216,46.0414710291661,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796389,0.0174804,46.0589514286257,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
8796390,0.0243066,46.0832580295391,-0.087,-0.071,0.244,0.000,0.000,0.087,-0.071,0.244,0.000,0.000
