Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
9441962,0.0113098,24.8691262230277,-0.236,0.097,-0.061,0.000,0.000,0.146,0.117,-0.041,0.591,0.553
9441964,0.0157008,24.8848270233721,-0.236,0.096,-0.061,0.000,0.000,0.146,0.117,-0.041,0.593,0.550
9441966,0.014174,24.8990010237321,-0.236,0.096,-0.061,0.000,0.000,0.146,0.116,-0.041,0.603,0.556
9441968,0.0186266,24.917627624236,-0.236,0.095,-0.060,0.000,0.000,0.146,0.116,-0.041,0.610,0.566
9441969,0.0187287,24.9363563237712,-0.236,0.095,-0.060,0.000,0.000,0.146,0.116,-0.041,0.613,0.577
9441971,0.0166378,24.9529941240326,-0.236,0.095,-0.059,0.000,0.000,0.146,0.116,-0.041,0.624,0.599
9441973,0.0190905,24.9720846237615,-0.236,0.095,-0.059,0.000,0.000,0.146,0.116,-0.041,0.631,0.615
9441975,0.0172432,24.9893278246745,-0.236,0.095,-0.059,0.000,0.000,0.146,0.115,-0.040,0.631,0.625
9441977,0.0189328,25.0082606254146,-0.237,0.094,-0.058,0.000,0.000,0.146,0.115,-0.041,0.631,0.626
9441979,0.0187552,25.0270158248022,-0.237,0.094,-0.058,0.000,0.000,0.146,0.116,-0.041,0.628,0.619
9441981,0.0199278,25.0469436245039,-0.237,0.094,-0.058,0.000,0.000,0.146,0.116,-0.041,0.644,0.613
9441983,0.0202178,25.0671614250168,-0.237,0.093,-0.057,0.000,0.000,0.146,0.116,-0.041,0.648,0.602
9441985,0.0231518,25.0903132250533,-0.238,0.092,-0.057,0.000,0.000,0.146,0.116,-0.041,0.655,0.586
9441987,0.0225288,25.112842024304,-0.238,0.090,-0.056,0.000,0.000,0.146,0.116,-0.040,0.662,0.579
9441989,0.0167823,25.1296243248507,-0.239,0.090,-0.056,0.000,0.000,0.146,0.115,-0.040,0.668,0.567
9441992,0.0256067,25.1552310241386,-0.240,0.090,-0.055,0.000,0.000,0.146,0.115,-0.040,0.660,0.566
9441994,0.0201685,25.1753995241597,-0.240,0.091,-0.055,0.000,0.000,0.147,0.115,-0.040,0.644,0.567
9441996,0.0224716,25.1978711234406,-0.240,0.091,-0.055,0.000,0.000,0.147,0.115,-0.040,0.644,0.576
9441999,0.0254686,25.2233397243544,-0.240,0.091,-0.055,0.000,0.000,0.146,0.116,-0.041,0.644,0.586
9442001,0.0251887,25.2485284237191,-0.240,0.091,-0.055,0.000,0.000,0.146,0.116,-0.041,0.635,0.579
9442004,0.025954,25.2744824243709,-0.240,0.091,-0.055,0.000,0.000,0.147,0.116,-0.041,0.628,0.567
9442007,0.0276688,25.3021512245759,-0.239,0.090,-0.056,0.000,0.000,0.147,0.116,-0.041,0.627,0.558
