Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
9450667,0.01339,107.188652052544,-0.017,0.466,-0.506,18.173,352.618,359.686
9450669,0.0133655,107.202017552219,-0.017,0.466,-0.506,18.184,352.642,359.679
9450671,0.0170494,107.219066952355,-0.017,0.466,-0.506,18.185,352.688,359.662
9450672,0.0165418,107.235608751886,-0.016,0.466,-0.506,18.193,352.728,359.643
9450674,0.0170185,107.252627252601,-0.016,0.466,-0.506,18.199,352.757,359.645
9450676,0.0158612,107.26848845277,-0.016,0.466,-0.506,18.212,352.790,359.665
9450677,0.0169834,107.285471851937,-0.016,0.466,-0.506,18.225,352.822,359.679
9450679,0.0167028,107.302174651064,-0.016,0.466,-0.506,18.217,352.843,359.676
9450681,0.0170797,107.319254350849,-0.016,0.466,-0.506,18.198,352.853,359.675
9450683,0.0174317,107.336686051451,-0.016,0.466,-0.506,18.206,352.860,359.694
9450685,0.0229483,107.359634351917,-0.016,0.466,-0.506,18.224,352.853,359.712
9450687,0.0196728,107.379307151772,-0.016,0.466,-0.506,18.231,352.835,359.728
9450688,0.0156568,107.39496395085,-0.016,0.466,-0.506,18.232,352.815,359.746
9450690,0.016242,107.411205950193,-0.016,0.466,-0.506,18.230,352.796,359.746
9450692,0.0168378,107.428043750115,-0.017,0.466,-0.506,18.228,352.772,359.752
9450693,0.0169786,107.445022349246,-0.017,0.466,-0.506,18.213,352.750,359.766
9450695,0.0165037,107.46152604837,-0.017,0.466,-0.506,18.194,352.741,359.780
9450697,0.0166384,107.478164448403,-0.017,0.466,-0.506,18.188,352.738,359.769
9450698,0.016488,107.494652449153,-0.017,0.466,-0.506,18.172,352.722,359.753
9450700,0.0168282,107.511480649002,-0.017,0.466,-0.506,18.173,352.729,359.769
9450702,0.0162151,107.527695749886,-0.017,0.466,-0.506,18.190,352.727,359.779
9450703,0.0169493,107.544645049609,-0.017,0.466,-0.506,18.193,352.733,359.795
9450705,0.0168973,107.561542349868,-0.017,0.466,-0.506,18.212,352.745,359.808
9450707,0.0167273,107.578269650228,-0.017,0.466,-0.506,18.227,352.760,359.797
9450708,0.0168416,107.595111249946,-0.017,0.466,-0.506,18.244,352.773,359.799
9450710,0.016329,107.611440249719,-0.017,0.466,-0.506,18.263,352.790,359.792
9450712,0.0177073,107.62914754916,-0.017,0.466,-0.506,18.292,352.798,359.785
9450713,0.0168544,107.646001948975,-0.017,0.466,-0.506,18.295,352.822,359.789
9450715,0.0159705,107.661972449161,-0.017,0.466,-0.506,18.323,352.824,359.791
9450716,0.0161461,107.678118548356,-0.017,0.466,-0.506,18.343,352.847,359.807
9450718,0.0164922,107.694610747509,-0.017,0.466,-0.506,18.363,352.869,359.840
9450720,0.0168955,107.711506246589,-0.017,0.466,-0.506,18.386,352.886,359.855
9450721,0.0170277,107.728533946909,-0.017,0.466,-0.506,18.404,352.904,359.871
9450723,0.0161206,107.744654546492,-0.017,0.466,-0.506,18.414,352.931,359.877
9450725,0.0167826,107.761437146924,-0.017,0.466,-0.506,18.428,352.948,359.883
9450726,0.0166372,107.778074347414,-0.017,0.466,-0.506,18.451,352.986,359.905
9450728,0.0168275,107.794901846908,-0.017,0.466,-0.506,18.534,353.021,359.949
9450730,0.016026,107.810927846469,-0.017,0.466,-0.507,18.687,353.059,359.991
9450731,0.0179712,107.828899047337,-0.017,0.466,-0.507,18.811,353.098,0.022
9450733,0.0173906,107.846289646812,-0.016,0.466,-0.507,18.871,353.153,0.041
9450735,0.0164967,107.862786346115,-0.016,0.467,-0.507,18.842,353.221,0.041
9450737,0.0155759,107.878362245858,-0.016,0.467,-0.507,18.744,353.333,0.055
9450738,0.0170688,107.895431045443,-0.016,0.468,-0.507,18.666,353.460,0.072
9450740,0.0161766,107.911607645452,-0.016,0.468,-0.507,18.624,353.621,0.121
9450741,0.016775,107.928382646292,-0.016,0.468,-0.507,18.646,353.792,0.201
9450743,0.0165372,107.944919846952,-0.016,0.468,-0.507,18.690,354.034,0.323
9450745,0.0164563,107.961376147345,-0.016,0.469,-0.507,18.764,354.297,0.478
9450746,0.016915,107.978291146457,-0.016,0.469,-0.507,18.832,354.572,0.656
9450748,0.0164619,107.994753045961,-0.016,0.469,-0.507,18.891,354.852,0.871
9450750,0.0165411,108.011294145137,-0.016,0.468,-0.507,18.975,355.149,1.106
9450752,0.0174378,108.028731945902,-0.016,0.468,-0.507,19.068,355.433,1.342
9450753,0.0175863,108.046318246052,-0.016,0.468,-0.507,19.176,355.761,1.608
9450755,0.0164802,108.062798446044,-0.016,0.468,-0.507,19.264,356.006,1.796
9450757,0.0156207,108.078419146128,-0.016,0.468,-0.508,19.378,356.271,1.987
9450758,0.0178404,108.096259546466,-0.016,0.468,-0.508,19.478,356.513,2.139
9450760,0.0171791,108.113438646309,-0.016,0.467,-0.508,19.533,356.799,2.243
9450761,0.015971,108.129409645684,-0.016,0.467,-0.508,19.506,356.969,2.266
9450763,0.0160747,108.145484345965,-0.016,0.467,-0.509,19.508,357.165,2.309
9450765,0.0160172,108.16150154639,-0.016,0.467,-0.509,19.530,357.349,2.362
9450766,0.0174935,108.178995045833,-0.016,0.467,-0.510,19.562,357.528,2.431
9450768,0.0192651,108.198260146193,-0.016,0.467,-0.510,19.555,357.630,2.467
9450770,0.0138397,108.212099846452,-0.016,0.467,-0.511,19.529,357.732,2.504
9450771,0.0159264,108.228026246652,-0.016,0.467,-0.511,19.436,357.799,2.515
9450773,0.0188476,108.246873846278,-0.016,0.467,-0.511,19.361,357.850,2.537
9450775,0.0175689,108.264442745596,-0.016,0.467,-0.512,19.285,357.881,2.563
9450776,0.0144054,108.278848145157,-0.017,0.467,-0.512,19.258,357.882,2.605
9450778,0.0155684,108.294416544959,-0.017,0.467,-0.513,19.232,357.854,2.642
9450779,0.0168116,108.311228144914,-0.017,0.468,-0.513,19.204,357.789,2.694
9450781,0.0164801,108.327708244324,-0.017,0.468,-0.514,19.148,357.712,2.735
9450783,0.0172666,108.344974843785,-0.017,0.468,-0.514,19.089,357.588,2.791
9450785,0.0167265,108.361701343209,-0.017,0.468,-0.514,19.065,357.473,2.822
9450786,0.015798,108.377499343827,-0.017,0.468,-0.514,19.063,357.357,2.869
9450788,0.0172187,108.394718043506,-0.017,0.469,-0.515,19.085,357.260,2.898
9450790,0.0170869,108.411804944277,-0.017,0.469,-0.515,19.096,357.185,2.876
9450791,0.0188754,108.430680343881,-0.017,0.470,-0.515,19.101,357.169,2.834
9450793,0.0154002,108.446080544032,-0.016,0.471,-0.515,19.056,357.136,2.776
9450795,0.015444,108.461524544284,-0.016,0.472,-0.516,18.923,357.106,2.728
9450796,0.0162036,108.477728145197,-0.016,0.473,-0.516,18.714,357.109,2.695
9450798,0.0164939,108.494222044945,-0.015,0.474,-0.516,18.458,357.161,2.698
9450800,0.0158624,108.510084444657,-0.015,0.474,-0.516,18.180,357.233,2.695
9450801,0.0177871,108.527871545404,-0.014,0.475,-0.516,17.906,357.303,2.689
9450803,0.0167397,108.544611245394,-0.013,0.475,-0.516,17.661,357.379,2.664
9450805,0.0169466,108.561557846144,-0.013,0.475,-0.516,17.432,357.469,2.638
9450806,0.0171907,108.578748546541,-0.012,0.475,-0.516,17.262,357.582,2.595
9450808,0.0171907,108.595939246938,-0.011,0.474,-0.517,17.112,357.708,2.517
9450810,0.0233854,108.61932464689,-0.011,0.474,-0.517,17.000,357.852,2.422
9450811,0.0100464,108.62937104702,-0.010,0.473,-0.517,16.965,357.957,2.341
9450813,0.0164821,108.645853146911,-0.010,0.472,-0.517,16.978,358.104,2.281
9450814,0.0159894,108.661842547357,-0.009,0.472,-0.518,17.023,358.252,2.254
9450816,0.0150201,108.676862647757,-0.008,0.472,-0.518,17.052,358.414,2.264
9450818,0.0167334,108.693596048281,-0.008,0.472,-0.518,17.078,358.553,2.302
9450819,0.0170358,108.710631847382,-0.008,0.472,-0.518,17.071,358.716,2.307
9450821,0.0161899,108.726821746677,-0.007,0.472,-0.519,17.017,358.876,2.321
9450823,0.0170187,108.743840446696,-0.007,0.472,-0.519,16.931,359.036,2.354
9450824,0.0167505,108.760590946302,-0.006,0.473,-0.519,16.825,359.193,2.376
9450826,0.0170984,108.777689347044,-0.006,0.473,-0.519,16.695,359.347,2.389
9450828,0.0165829,108.794272247702,-0.006,0.474,-0.519,16.542,359.518,2.384
9450830,0.0185283,108.812800547108,-0.006,0.474,-0.519,16.377,359.656,2.359
9450831,0.0163439,108.829144446179,-0.005,0.475,-0.519,16.205,359.800,2.331
9450833,0.017277,108.846421446651,-0.005,0.475,-0.519,16.052,359.930,2.299
9450835,0.0172517,108.863673146814,-0.005,0.475,-0.519,15.921,0.061,2.260
9450836,0.0157404,108.879413546994,-0.005,0.475,-0.519,15.789,0.168,2.209
9450838,0.016833,108.896246546879,-0.005,0.475,-0.519,15.652,0.300,2.166
9450839,0.0169928,108.913239346817,-0.005,0.475,-0.519,15.518,0.391,2.127
9450841,0.0145625,108.927801846527,-0.005,0.475,-0.520,15.384,0.493,2.084
9450843,0.0184658,108.946267646737,-0.005,0.476,-0.520,15.274,0.556,2.035
9450844,0.0163043,108.962571945973,-0.005,0.476,-0.520,15.175,0.607,1.989
9450846,0.0167364,108.979308345355,-0.005,0.476,-0.520,15.087,0.647,1.966
9450848,0.01612,108.995428345166,-0.005,0.476,-0.520,15.002,0.671,1.954
9450850,0.016839,109.012267344631,-0.005,0.477,-0.520,14.940,0.665,1.980
9450851,0.017205,109.029472344555,-0.006,0.477,-0.520,14.870,0.632,2.034
9450853,0.0170649,109.046537243761,-0.006,0.477,-0.520,14.812,0.590,2.098
9450855,0.0164584,109.062995643355,-0.006,0.477,-0.519,14.780,0.545,2.167
9450856,0.0174145,109.080410142429,-0.006,0.477,-0.519,14.771,0.481,2.257
9450858,0.0166102,109.097020342015,-0.007,0.477,-0.519,14.798,0.409,2.356
9450860,0.0156658,109.112686141394,-0.007,0.477,-0.519,14.838,0.314,2.466
9450861,0.0168419,109.129528040998,-0.008,0.476,-0.519,14.921,0.222,2.574
9450863,0.0163077,109.145835741423,-0.008,0.476,-0.519,15.023,0.110,2.657
9450865,0.0161508,109.161986541934,-0.009,0.476,-0.519,15.159,0.005,2.738
9450866,0.0170563,109.179042841308,-0.009,0.475,-0.519,15.307,359.904,2.819
9450868,0.017596,109.196638842113,-0.009,0.475,-0.519,15.468,359.800,2.880
9450870,0.0156592,109.212298042141,-0.010,0.475,-0.520,15.605,359.685,2.900
9450871,0.0173125,109.229610542767,-0.010,0.474,-0.520,15.732,359.586,2.892
9450873,0.0165459,109.246156441979,-0.011,0.474,-0.520,15.823,359.482,2.883
9450875,0.0170691,109.26322554145,-0.011,0.474,-0.520,15.911,359.366,2.881
9450876,0.017263,109.280488542281,-0.012,0.474,-0.520,15.997,359.251,2.892
9450878,0.0171341,109.29762264248,-0.012,0.474,-0.520,16.067,359.153,2.884
9450880,0.0165323,109.31415494252,-0.013,0.474,-0.520,16.150,359.040,2.891
9450881,0.0172209,109.331375841983,-0.013,0.474,-0.520,16.245,358.909,2.900
9450883,0.0175448,109.348920642398,-0.014,0.474,-0.520,16.369,358.770,2.907
9450885,0.0161106,109.365031243302,-0.014,0.474,-0.520,16.492,358.617,2.887
9450886,0.0168481,109.381879343651,-0.015,0.473,-0.520,16.616,358.453,2.903
9450888,0.016221,109.398100343533,-0.015,0.473,-0.520,16.719,358.293,2.920
9450890,0.0161756,109.414275943302,-0.015,0.473,-0.520,16.726,358.108,2.925
9450891,0.0157502,109.430026142858,-0.016,0.474,-0.520,16.683,357.927,2.906
9450893,0.0171455,109.447171642445,-0.016,0.474,-0.520,16.560,357.762,2.844
9450895,0.0171734,109.464345042594,-0.016,0.474,-0.520,16.441,357.614,2.768
9450896,0.0159112,109.480256241746,-0.017,0.475,-0.519,16.326,357.483,2.677
9450898,0.0168199,109.497076141648,-0.017,0.475,-0.519,16.199,357.387,2.602
9450900,0.0173536,109.514429741539,-0.017,0.476,-0.518,16.038,357.314,2.566
9450901,0.0169008,109.531330541708,-0.018,0.476,-0.517,15.884,357.261,2.546
9450903,0.0166573,109.547987842001,-0.018,0.477,-0.516,15.707,357.231,2.541
9450905,0.015605,109.563592841849,-0.018,0.477,-0.515,15.505,357.224,2.531
0,0.0170591,109.580651942641,-0.018,0.477,-0.514,15.274,357.259,2.554
0,0.0174999,109.598151842132,-0.018,0.478,-0.513,14.911,357.323,2.599
0,0.0150753,109.613227142021,-0.019,0.478,-0.512,14.423,357.411,2.632
0,0.0181045,109.631331641227,-0.019,0.478,-0.511,13.981,357.520,2.666
0,0.0159046,109.647236241028,-0.019,0.479,-0.510,13.535,357.709,2.730
0,0.0162078,109.663444040343,-0.019,0.479,-0.509,13.128,357.923,2.778
0,0.0168383,109.680282339454,-0.019,0.479,-0.508,12.769,358.172,2.819
0,0.0161789,109.69646123983,-0.019,0.479,-0.507,12.507,358.473,2.873
0,0.0172501,109.71371133998,-0.018,0.479,-0.507,12.358,358.767,2.922
9450921,0.016687,109.730398340151,-0.018,0.479,-0.507,12.161,359.090,2.989
9450923,0.0180843,109.748482640833,-0.018,0.479,-0.507,11.945,359.371,3.054
9450924,0.0160562,109.764538841322,-0.018,0.479,-0.507,11.752,359.645,3.148
9450926,0.0172343,109.781773140654,-0.017,0.480,-0.507,11.545,359.891,3.241
9450928,0.0163568,109.798129940405,-0.017,0.480,-0.507,11.312,0.108,3.309
9450930,0.0164554,109.814585341141,-0.017,0.480,-0.508,11.044,0.307,3.339
9450931,0.0169592,109.831544540823,-0.016,0.481,-0.508,10.779,0.464,3.344
9450933,0.0169847,109.848529240116,-0.016,0.481,-0.508,10.507,0.614,3.351
9450935,0.0153707,109.863899939694,-0.015,0.482,-0.509,10.241,0.723,3.338
9450936,0.016558,109.880457940511,-0.015,0.482,-0.509,9.930,0.809,3.307
9450938,0.0182711,109.898729040287,-0.014,0.483,-0.509,9.597,0.875,3.255
9450939,0.015164,109.91389304027,-0.014,0.484,-0.509,9.244,0.877,3.208
9450941,0.0168942,109.930787241086,-0.013,0.484,-0.510,8.901,0.911,3.154
9450943,0.0170855,109.947872741148,-0.013,0.485,-0.510,8.553,0.921,3.114
9450945,0.0160397,109.963912440464,-0.012,0.486,-0.510,8.163,0.945,3.042
9450946,0.0172705,109.981182940304,-0.011,0.486,-0.510,7.821,0.950,2.976
9450948,0.0178199,109.99900284037,-0.011,0.487,-0.511,7.506,1.002,2.871
9450950,0.0158258,110.014828640968,-0.010,0.487,-0.511,7.179,1.027,2.779
9450951,0.0165874,110.031416041777,-0.010,0.487,-0.512,6.855,1.070,2.670
9450953,0.0160341,110.047450141981,-0.009,0.488,-0.512,6.503,1.099,2.537
9450955,0.0164836,110.063933741301,-0.009,0.488,-0.513,6.152,1.141,2.423
9450956,0.0163825,110.080316241831,-0.008,0.489,-0.513,5.828,1.179,2.302
9450958,0.0175044,110.097820641473,-0.008,0.489,-0.513,5.493,1.216,2.170
9450959,0.0162413,110.114061942324,-0.008,0.490,-0.514,5.171,1.256,2.050
9450961,0.0163072,110.130369141698,-0.007,0.490,-0.514,4.827,1.277,1.928
9450963,0.0170738,110.147442942485,-0.007,0.491,-0.515,4.486,1.308,1.800
9450965,0.0166824,110.164125341922,-0.007,0.491,-0.515,4.156,1.322,1.712
9450966,0.0172822,110.181407541037,-0.006,0.492,-0.516,3.840,1.321,1.599
9450968,0.0167106,110.198118140921,-0.006,0.492,-0.516,3.527,1.309,1.500
9450970,0.0168276,110.214945740998,-0.006,0.493,-0.517,3.205,1.304,1.397
9450971,0.0175017,110.232447441667,-0.006,0.493,-0.517,2.906,1.292,1.310
9450973,0.0164745,110.248921941966,-0.005,0.494,-0.517,2.585,1.259,1.233
9450975,0.0167608,110.265682742,-0.005,0.494,-0.518,2.318,1.219,1.176
9450976,0.0153879,110.281070642173,-0.005,0.495,-0.518,2.035,1.203,1.120
9450978,0.0214249,110.302495542914,-0.005,0.495,-0.519,1.796,1.175,1.079
9450980,0.0113492,110.313844743185,-0.005,0.496,-0.519,1.566,1.150,1.047
9450981,0.0172148,110.331059542485,-0.005,0.496,-0.519,1.359,1.131,1.016
9450983,0.0167128,110.347772342153,-0.004,0.496,-0.520,1.160,1.113,0.995
9450984,0.016231,110.364003342576,-0.004,0.496,-0.520,0.983,1.085,0.982
9450986,0.0172724,110.381275742315,-0.004,0.497,-0.520,0.815,1.055,0.985
9450988,0.0162988,110.397574543022,-0.004,0.497,-0.520,0.675,1.027,0.978
9450989,0.0165754,110.414149942808,-0.004,0.497,-0.521,0.537,1.005,0.981
9450991,0.0175218,110.431671743281,-0.004,0.497,-0.521,0.415,0.987,0.982
9450993,0.0169467,110.448618442751,-0.004,0.497,-0.521,0.302,0.980,0.992
9450994,0.0164224,110.465040843003,-0.004,0.497,-0.521,0.211,0.965,0.989
9450996,0.0151049,110.480145743117,-0.004,0.497,-0.522,0.122,0.957,0.973
9450998,0.0171656,110.497311342508,-0.004,0.498,-0.522,0.063,0.973,0.959
9450999,0.0157121,110.513023441657,-0.004,0.498,-0.522,0.013,0.994,0.955
9451001,0.0173413,110.530364742503,-0.003,0.498,-0.522,359.960,1.016,0.945
9451003,0.0167599,110.547124642879,-0.003,0.498,-0.522,359.921,1.043,0.926
9451004,0.0165825,110.563707143068,-0.003,0.498,-0.522,359.886,1.071,0.908
9451006,0.017798,110.581505142152,-0.003,0.498,-0.522,359.842,1.093,0.890
9451008,0.0160961,110.597601242363,-0.003,0.498,-0.522,359.821,1.120,0.883
9451009,0.0166216,110.6142228432,-0.003,0.498,-0.522,359.798,1.138,0.869
9451011,0.0176118,110.631834642962,-0.003,0.498,-0.523,359.809,1.148,0.864
9451013,0.0186918,110.650526443496,-0.003,0.498,-0.523,359.812,1.153,0.841
9451014,0.0138639,110.664390343241,-0.004,0.498,-0.523,359.841,1.155,0.834
9451016,0.0171087,110.681499042548,-0.004,0.498,-0.523,359.859,1.120,0.830
9451018,0.0162031,110.69770214241,-0.004,0.498,-0.523,359.882,1.069,0.863
9451019,0.0165255,110.714227641933,-0.004,0.498,-0.523,359.891,0.985,0.914
9451021,0.0160877,110.730315341614,-0.004,0.498,-0.523,359.896,0.853,0.928
9451023,0.0182554,110.748570741154,-0.005,0.498,-0.523,359.895,0.700,0.922
9451024,0.0156,110.764170740731,-0.005,0.498,-0.523,359.887,0.530,0.903
9451026,0.0169798,110.781150541268,-0.005,0.498,-0.523,359.899,0.334,0.902
9451028,0.0165888,110.797739340924,-0.006,0.498,-0.523,359.909,0.097,0.909
9451029,0.016865,110.814604341052,-0.007,0.498,-0.523,359.912,359.829,0.913
9451031,0.0173194,110.831923740916,-0.007,0.498,-0.523,359.918,359.525,0.928
9451033,0.0162844,110.848208141513,-0.008,0.498,-0.523,359.897,359.181,0.950
9451034,0.0171416,110.865349740721,-0.008,0.498,-0.523,359.853,358.809,0.983
9451036,0.0179355,110.88328524027,-0.009,0.498,-0.523,359.789,358.411,1.000
9451038,0.0159573,110.89924253989,-0.010,0.498,-0.524,359.725,357.999,0.980
9451039,0.0160363,110.915278839879,-0.010,0.498,-0.524,359.639,357.573,0.943
9451041,0.0160914,110.931370240636,-0.011,0.499,-0.524,359.565,357.106,0.916
9451043,0.0166082,110.947978439741,-0.011,0.499,-0.524,359.502,356.667,0.899
9451044,0.0167739,110.964752339758,-0.012,0.499,-0.524,359.440,356.214,0.879
9451046,0.0165882,110.981340539642,-0.013,0.499,-0.524,359.395,355.776,0.863
9451048,0.0158855,110.997226039879,-0.013,0.499,-0.525,359.339,355.352,0.850
9451049,0.0172189,111.014444940723,-0.014,0.499,-0.525,359.282,354.949,0.836
9451051,0.0171368,111.031581739895,-0.014,0.499,-0.525,359.243,354.547,0.827
9451053,0.0167367,111.048318439163,-0.015,0.499,-0.525,359.218,354.180,0.835
9451054,0.0166793,111.064997739159,-0.015,0.499,-0.525,359.179,353.820,0.830
9451056,0.0178124,111.082810138352,-0.016,0.499,-0.526,359.118,353.510,0.817
9451058,0.0154093,111.098219438456,-0.016,0.499,-0.526,359.046,353.203,0.829
9451059,0.0173245,111.115543938242,-0.017,0.500,-0.526,358.983,352.891,0.827
9451061,0.0171516,111.132695537992,-0.017,0.500,-0.527,358.901,352.625,0.842
9451063,0.0153247,111.148020237684,-0.018,0.500,-0.527,358.826,352.372,0.837
9451064,0.0160687,111.164088938385,-0.018,0.500,-0.527,358.730,352.110,0.852
9451066,0.0174245,111.181513438001,-0.019,0.500,-0.527,358.628,351.869,0.865
9451068,0.0170941,111.198607537895,-0.019,0.500,-0.527,358.523,351.640,0.900
9451069,0.0161793,111.21478683874,-0.020,0.501,-0.528,358.435,351.424,0.921
9451071,0.016463,111.231249839067,-0.020,0.501,-0.528,358.339,351.202,0.951
9451073,0.0172059,111.248455738649,-0.020,0.501,-0.528,358.254,350.999,0.967
9451074,0.0204054,111.268861139193,-0.021,0.501,-0.528,358.183,350.796,0.999
9451076,0.0144712,111.283332339488,-0.021,0.501,-0.528,358.118,350.595,1.021
9451078,0.0165793,111.299911639653,-0.022,0.501,-0.529,358.066,350.412,1.056
9451079,0.0141095,111.314021139406,-0.022,0.501,-0.529,358.024,350.217,1.079
9451081,0.0169892,111.33101033885,-0.022,0.501,-0.529,357.968,350.047,1.089
