Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
9451273,0.0127702,113.148015735671,-0.006,0.493,-0.523,1.776,3.004,2.772
9451274,0.0202068,113.168222535402,-0.006,0.493,-0.523,1.788,2.986,2.784
9451277,0.0092014,113.177423935384,-0.006,0.493,-0.523,1.784,2.968,2.764
9451278,0.0225964,113.200020335615,-0.006,0.493,-0.523,1.793,2.935,2.761
9451280,0.0089665,113.208986835554,-0.006,0.493,-0.523,1.783,2.919,2.741
9451281,0.0264126,113.235399436206,-0.006,0.493,-0.523,1.753,2.876,2.730
9451284,0.0091594,113.244558836333,-0.006,0.493,-0.523,1.751,2.870,2.723
9451285,0.0260017,113.270560535602,-0.006,0.493,-0.523,1.715,2.841,2.701
9451287,0.0140998,113.28466033563,-0.006,0.493,-0.523,1.695,2.819,2.687
9451334,0.1160333,113.762014137581,-0.008,0.493,-0.522,1.620,1.545,2.540
9451338,0.0172942,113.779308337718,-0.008,0.493,-0.522,1.617,1.353,2.578
9451341,0.0335967,113.812905035913,-0.008,0.493,-0.522,1.601,1.122,2.572
9451345,0.0341598,113.847064834088,-0.009,0.493,-0.522,1.546,0.861,2.595
9451350,0.0413675,113.888432335109,-0.009,0.494,-0.522,1.521,0.532,2.587
9451354,0.0443137,113.932746034116,-0.010,0.494,-0.522,1.344,0.045,2.552
9451356,0.0455476,113.978293634951,-0.011,0.494,-0.522,1.279,359.726,2.527
9451357,0.0207427,113.999036334455,-0.011,0.494,-0.522,1.248,359.484,2.506
9451360,0.010353,114.009389334358,-0.012,0.494,-0.522,1.187,359.243,2.488
9451363,0.0248088,114.034198134206,-0.012,0.494,-0.522,1.124,358.839,2.494
9451364,0.0326545,114.066852635704,-0.013,0.494,-0.522,1.131,358.618,2.469
9451366,0.0107081,114.077560735866,-0.014,0.494,-0.522,1.088,358.367,2.431
9451368,0.020335,114.097895735875,-0.014,0.495,-0.522,1.063,358.080,2.378
9451372,0.0218612,114.119756935164,-0.015,0.495,-0.522,1.036,357.582,2.368
9451373,0.0306139,114.150370834395,-0.015,0.495,-0.522,1.027,357.321,2.364
9451374,0.0165582,114.166929034516,-0.016,0.495,-0.522,1.006,357.130,2.353
9451377,0.0096755,114.176604534499,-0.016,0.495,-0.522,0.967,356.925,2.345
9451378,0.0254564,114.202060935088,-0.016,0.495,-0.522,0.926,356.733,2.350
9451380,0.0100849,114.212145835161,-0.017,0.495,-0.523,0.902,356.546,2.358
9451381,0.0247321,114.236877935007,-0.017,0.495,-0.523,0.893,356.405,2.363
9451384,0.0076649,114.244542834815,-0.017,0.495,-0.523,0.858,356.235,2.375
9451387,0.0308513,114.27539413562,-0.018,0.495,-0.523,0.786,355.868,2.408
9451389,0.0282684,114.3036625362,-0.018,0.495,-0.523,0.713,355.562,2.445
