Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
9486956,0.0160422,161.190459498204,0.000,0.000,0.000,False
9486957,0.0145476,161.205007098615,0.000,0.000,0.000,False
9486959,0.0173613,161.222368398681,0.000,0.000,0.000,False
9486961,0.0146513,161.237019699067,0.000,0.000,0.000,False
9486962,0.0169278,161.253947498277,0.000,0.000,0.000,False
9486964,0.0163356,161.270283097401,0.000,0.000,0.000,False
9486966,0.0163193,161.286602396518,0.000,0.000,0.000,False
9486967,0.0169271,161.303529497236,0.000,0.000,0.000,False
9486969,0.0170215,161.32055099681,0.000,0.000,0.000,False
9486971,0.0167929,161.337343897671,0.000,0.000,0.000,False
9486973,0.0203754,161.357719298452,0.000,0.000,0.000,False
9486975,0.0181529,161.375872198492,0.000,0.000,0.000,False
9486976,0.0169733,161.392845498398,0.000,0.000,0.000,False
9486978,0.0169326,161.409778097644,0.000,0.000,0.000,False
9486980,0.017256,161.427034096792,0.000,0.000,0.000,False
9486981,0.0169936,161.444027697667,0.000,0.000,0.000,False
9486983,0.0164536,161.460481297225,0.000,0.000,0.000,False
9486985,0.0166657,161.477146998048,0.000,0.000,0.000,False
9486986,0.0166425,161.493789497763,0.000,0.000,0.000,False
9486988,0.0168268,161.510616296902,0.000,0.000,0.000,False
9486990,0.016078,161.526694297791,0.000,0.000,0.000,False
9486991,0.0165628,161.543257098645,0.000,0.000,0.000,False
9486993,0.016906,161.560163099319,0.000,0.000,0.000,False
9486995,0.0157432,161.575906299055,0.000,0.000,0.000,False
9486996,0.0168852,161.59279149957,0.000,0.000,0.000,False
9486998,0.0158716,161.608663098887,0.000,0.000,0.000,False
9486999,0.0168711,161.625534199178,0.000,0.000,0.000,False
9487001,0.0166509,161.642185099423,0.000,0.000,0.000,False
9487003,0.0170161,161.659201199189,0.000,0.000,0.000,False
9487004,0.0164042,161.675605399534,0.000,0.000,0.000,False
9487006,0.016839,161.692444398999,0.000,0.000,0.000,False
9487008,0.016399,161.708843398839,0.000,0.000,0.000,False
9487010,0.0173163,161.726159699261,0.000,0.000,0.000,False
9487011,0.016464,161.742623699829,0.000,0.000,0.000,False
9487013,0.0169381,161.759561799467,0.000,0.000,0.000,False
9487014,0.0176269,161.777188699692,0.000,0.000,0.000,False
9487016,0.0160283,161.79321699962,0.000,0.000,0.000,False
9487018,0.0166876,161.809904599562,0.000,0.000,0.000,False
9487020,0.0169297,161.82683429867,0.000,0.000,0.000,False
9487021,0.0166443,161.843478599563,0.000,0.000,0.000,False
9487023,0.0161287,161.85960729979,0.000,0.000,0.000,False
9487024,0.0167614,161.876368699595,0.000,0.000,0.000,False
9487026,0.0158984,161.892267100513,0.000,0.000,0.000,False
9487028,0.0170313,161.909298401326,0.000,0.000,0.000,False
9487030,0.0168379,161.92613630183,0.000,0.000,0.000,False
9487031,0.0173672,161.943503502756,0.000,0.000,0.000,False
9487033,0.0183968,161.96190030314,0.000,0.000,0.000,False
9487035,0.0146593,161.976559603587,0.000,0.000,0.000,False
9487036,0.0164463,161.993005903438,0.000,0.000,0.000,False
9487038,0.0174558,162.010461702943,0.000,0.000,0.000,False
9487040,0.0167651,162.027226803824,0.000,0.000,0.000,False
9487041,0.0166702,162.043897002935,0.000,0.000,0.000,False
9487043,0.0173182,162.061215203255,0.000,0.000,0.000,False
9487044,0.015544,162.076759203337,0.000,0.000,0.000,False
9487046,0.0169857,162.093744902872,0.000,0.000,0.000,False
9487048,0.0163682,162.110113102011,0.000,0.000,0.000,False
9487050,0.0173993,162.127512401901,0.000,0.000,0.000,False
9487051,0.0162658,162.143778202124,0.000,0.000,0.000,False
9487053,0.016776,162.160554201342,0.000,0.000,0.000,False
9487055,0.0168348,162.177389000542,0.000,0.000,0.000,False
9487056,0.0168663,162.194255300798,0.000,0.000,0.000,False
9487058,0.0172499,162.211505201645,0.000,0.000,0.000,False
9487059,0.0160015,162.227506701835,0.000,0.000,0.000,False
9487061,0.0183048,162.245811502449,0.000,0.000,0.000,False
9487063,0.0140714,162.259882902727,0.000,0.000,0.000,False
9487064,0.0163471,162.276230001822,0.000,0.000,0.000,False
9487066,0.0170936,162.293323602527,0.000,0.000,0.000,False
9487068,0.0169755,162.310299102217,0.000,0.000,0.000,False
9487069,0.0168524,162.327151501551,0.000,0.000,0.000,False
9487071,0.0169043,162.34405580163,0.000,0.000,0.000,False
9487073,0.0159677,162.36002350226,0.000,0.000,0.000,False
9487074,0.0164895,162.37651300244,0.000,0.000,0.000,False
9487076,0.0173192,162.393832203001,0.000,0.000,0.000,False
