Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
20077,0.0119439,31.0026374985464,-0.059,0.465,-0.518,359.375,354.428,359.112
20079,0.0132875,31.0159249980934,-0.059,0.465,-0.518,359.339,354.436,359.118
20081,0.0134568,31.0293817981146,-0.059,0.465,-0.518,359.315,354.457,359.125
20082,0.0174677,31.0468494980596,-0.059,0.465,-0.518,359.279,354.469,359.093
20084,0.0168114,31.0636608987115,-0.059,0.465,-0.518,359.255,354.492,359.074
20086,0.0179473,31.0816081981175,-0.059,0.465,-0.518,359.253,354.504,359.049
20088,0.0185199,31.1001280988567,-0.059,0.465,-0.518,359.266,354.512,359.042
20090,0.0176201,31.1177481985651,-0.059,0.465,-0.517,359.298,354.501,359.062
20092,0.0188647,31.1366128991358,-0.059,0.465,-0.517,359.337,354.505,359.066
20094,0.0185278,31.1551406993531,-0.059,0.465,-0.517,359.385,354.507,359.074
20096,0.0212036,31.1763442992233,-0.058,0.464,-0.517,359.412,354.496,359.073
20098,0.0181164,31.1944606988691,-0.059,0.464,-0.518,359.429,354.500,359.068
20100,0.0232012,31.2176618981175,-0.059,0.464,-0.517,359.442,354.514,359.061
20102,0.0190668,31.2367286975496,-0.059,0.464,-0.517,359.478,354.511,359.066
20104,0.020315,31.2570436983369,-0.059,0.464,-0.517,359.472,354.518,359.062
20106,0.0217641,31.2788077979349,-0.059,0.464,-0.517,359.481,354.509,359.078
20109,0.0243017,31.3031094982289,-0.059,0.464,-0.517,359.510,354.491,359.073
20111,0.0224635,31.3255729987286,-0.059,0.464,-0.518,359.515,354.453,359.086
20113,0.0232104,31.3487833994441,-0.059,0.464,-0.518,359.522,354.419,359.122
20116,0.02493,31.3737133997492,-0.059,0.464,-0.518,359.520,354.384,359.159
20119,0.0259256,31.3996390006505,-0.060,0.464,-0.518,359.499,354.339,359.216
20122,0.0266065,31.4262455007993,-0.060,0.464,-0.518,359.468,354.291,359.249
20125,0.0288225,31.455068001058,-0.060,0.464,-0.518,359.440,354.245,359.269
20128,0.0311744,31.4862424018793,-0.060,0.464,-0.517,359.433,354.195,359.289
20131,0.0317795,31.5180219034664,-0.060,0.464,-0.517,359.483,354.175,359.293
20135,0.0351619,31.5531838047318,-0.060,0.464,-0.517,359.561,354.172,359.341
20139,0.0360308,31.5892146038823,-0.060,0.464,-0.517,359.606,354.169,359.359
20143,0.039785,31.6289996053092,-0.060,0.464,-0.517,359.678,354.180,359.348
20148,0.0436287,31.6726283053868,-0.060,0.464,-0.517,359.758,354.165,359.323
20154,0.0497519,31.7223802055232,-0.060,0.464,-0.517,359.773,354.194,359.239
20162,0.0590875,31.7814677054994,-0.060,0.464,-0.517,359.844,354.349,359.280
20172,0.076883,31.858350708615,-0.060,0.463,-0.516,0.088,354.427,359.170
20173,0.1000176,31.9583683083765,-0.060,0.463,-0.516,0.172,354.402,359.166
20175,0.012972,31.9713403084315,-0.060,0.463,-0.516,0.241,354.413,359.183
20176,0.0166979,31.9880382088013,-0.060,0.463,-0.516,0.320,354.405,359.162
20178,0.0171414,32.0051796087064,-0.060,0.463,-0.516,0.384,354.412,359.120
20180,0.0167737,32.0219533094205,-0.060,0.463,-0.516,0.422,354.443,359.086
20181,0.0156591,32.0376124088652,-0.060,0.463,-0.516,0.395,354.452,359.068
20183,0.0173508,32.0549632092007,-0.060,0.463,-0.515,0.436,354.474,358.977
20185,0.0159377,32.0709009100683,-0.060,0.463,-0.515,0.576,354.514,358.889
20186,0.0171135,32.0880144094117,-0.060,0.462,-0.514,0.858,354.566,358.787
20188,0.0164864,32.1045008101501,-0.060,0.462,-0.514,1.278,354.645,358.692
20190,0.0164855,32.1209863093682,-0.060,0.461,-0.513,1.773,354.740,358.633
20191,0.0168493,32.1378356092609,-0.061,0.461,-0.513,2.266,354.804,358.631
20193,0.0172501,32.1550857094117,-0.061,0.460,-0.512,2.768,354.864,358.671
20195,0.0160565,32.1711422097869,-0.061,0.459,-0.511,3.280,354.901,358.782
20196,0.0172804,32.1884226095863,-0.061,0.458,-0.510,3.892,354.933,358.876
20198,0.0172396,32.2056622100063,-0.061,0.457,-0.509,4.608,354.952,358.889
20200,0.0165515,32.2222137101926,-0.061,0.456,-0.509,5.398,355.002,358.829
20201,0.0168002,32.2390139107592,-0.061,0.455,-0.508,6.257,355.091,358.717
20203,0.0166946,32.2557085105218,-0.061,0.454,-0.508,7.221,355.238,358.605
20205,0.01674,32.2724485103972,-0.061,0.452,-0.508,8.142,355.428,358.567
20206,0.0167749,32.2892234106548,-0.061,0.451,-0.507,8.987,355.641,358.583
20208,0.0168375,32.3060609106906,-0.061,0.450,-0.507,9.725,355.880,358.610
20210,0.0164729,32.3225338109769,-0.061,0.449,-0.506,10.385,356.151,358.643
20211,0.0174043,32.3399381102063,-0.061,0.448,-0.506,10.934,356.383,358.717
20213,0.0165413,32.3564794105478,-0.061,0.447,-0.506,11.451,356.635,358.830
20215,0.0168746,32.3733540107496,-0.060,0.446,-0.505,11.916,356.853,358.977
20217,0.016765,32.3901190110482,-0.060,0.445,-0.505,12.371,357.037,359.093
20218,0.0170696,32.4071886115707,-0.059,0.444,-0.504,12.757,357.183,359.176
20220,0.0170911,32.4242797107436,-0.059,0.443,-0.504,13.140,357.305,359.238
20222,0.0169595,32.4412392103113,-0.058,0.443,-0.504,13.480,357.400,359.262
20223,0.0154353,32.4566745101474,-0.058,0.442,-0.503,13.793,357.495,359.225
20225,0.0172631,32.4739376096986,-0.057,0.442,-0.503,14.044,357.602,359.127
20227,0.0165511,32.4904887094162,-0.057,0.442,-0.502,14.195,357.739,358.948
20228,0.0178932,32.5083819101565,-0.056,0.441,-0.501,14.320,357.899,358.769
20230,0.0161724,32.5245543099009,-0.055,0.441,-0.500,14.397,358.142,358.616
20231,0.0159458,32.5405001095496,-0.054,0.441,-0.500,14.369,358.437,358.516
20233,0.0170149,32.557515009772,-0.053,0.441,-0.499,14.273,358.767,358.440
20235,0.0156943,32.5732093094848,-0.052,0.441,-0.498,14.189,359.150,358.358
20236,0.016306,32.5895153093152,-0.051,0.441,-0.497,14.189,359.608,358.292
20238,0.0175163,32.6070316093974,-0.050,0.441,-0.497,14.277,0.105,358.229
20240,0.0168153,32.6238469085656,-0.048,0.441,-0.496,14.430,0.644,358.160
20242,0.017002,32.6408489081077,-0.047,0.440,-0.495,14.678,1.229,358.116
20243,0.0168177,32.6576666082256,-0.045,0.440,-0.495,14.938,1.819,358.086
20245,0.016216,32.6738826087676,-0.044,0.439,-0.494,15.230,2.437,358.073
20247,0.0167398,32.69062240934,-0.042,0.438,-0.494,15.555,3.092,358.046
20248,0.0168873,32.7075097090565,-0.041,0.437,-0.493,15.902,3.752,358.013
20250,0.0170611,32.7245708084665,-0.039,0.436,-0.493,16.269,4.433,357.973
20252,0.0160981,32.7406689091586,-0.037,0.435,-0.492,16.667,5.145,357.910
20253,0.0174669,32.7581358100288,-0.035,0.434,-0.492,17.106,5.972,357.823
20255,0.0164257,32.774561510887,-0.034,0.433,-0.491,17.498,6.675,357.729
20256,0.0153285,32.7898900113069,-0.032,0.432,-0.491,17.933,7.398,357.634
20258,0.0171297,32.8070197119378,-0.030,0.431,-0.491,18.391,8.125,357.565
