Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
20078,0.0119439,31.0026374985464,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20079,0.0132875,31.0159249980934,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20081,0.0134568,31.0293817981146,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20082,0.0174677,31.0468494980596,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20084,0.0168114,31.0636608987115,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20086,0.0179473,31.0816081981175,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20088,0.0185199,31.1001280988567,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20090,0.0176201,31.1177481985651,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20092,0.0188647,31.1366128991358,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20094,0.0185278,31.1551406993531,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20096,0.0212036,31.1763442992233,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20098,0.0181164,31.1944606988691,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20100,0.0232012,31.2176618981175,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20102,0.0190668,31.2367286975496,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20104,0.020315,31.2570436983369,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
20106,0.0217641,31.2788077979349,-0.140,-0.067,-0.319,1.000,1.000,-0.032,0.033,-0.260,0.009,0.000
