Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
204886219,0.0140431,64.8266837936826,0.000,0.000,0.000,False
204886220,0.0180597,64.8447434944101,0.000,0.000,0.000,False
204886221,0.0084834,64.8532268940471,0.000,0.000,0.000,False
204886223,0.0184576,64.871684494894,0.000,0.000,0.000,False
204886225,0.0158656,64.8875500946306,0.000,0.000,0.000,False
204886227,0.0182395,64.9057895946316,0.000,0.000,0.000,False
204886228,0.0171563,64.9229458938353,0.000,0.000,0.000,False
204886230,0.0187608,64.9417066941969,0.000,0.000,0.000,False
204886232,0.0179014,64.9596080943011,0.000,0.000,0.000,False
204886234,0.0193353,64.9789433940314,0.000,0.000,0.000,False
204886236,0.0191393,64.9980826932006,0.000,0.000,0.000,False
204886238,0.0204825,65.018565192353,0.000,0.000,0.000,False
204886240,0.0236018,65.0421669925563,0.000,0.000,0.000,False
204886242,0.0178002,65.0599671932869,0.000,0.000,0.000,False
204886245,0.0213711,65.0813382933848,0.000,0.000,0.000,False
204886247,0.0218831,65.103221393656,0.000,0.000,0.000,False
204886249,0.0269914,65.1302127945237,0.000,0.000,0.000,False
204886252,0.0193238,65.1495365942828,0.000,0.000,0.000,False
204886254,0.0246409,65.1741774934344,0.000,0.000,0.000,False
204886257,0.0266063,65.2007837942801,0.000,0.000,0.000,False
204886260,0.0257148,65.2264985940419,0.000,0.000,0.000,False
204886262,0.0272597,65.2537582940422,0.000,0.000,0.000,False
204886266,0.0293928,65.2831510934047,0.000,0.000,0.000,False
204886269,0.0306746,65.3138256925158,0.000,0.000,0.000,False
204886272,0.0324732,65.3462988915853,0.000,0.000,0.000,False
204886276,0.0350308,65.3813296924345,0.000,0.000,0.000,False
204886280,0.0361466,65.4174762922339,0.000,0.000,0.000,False
204886284,0.0401187,65.4575949939899,0.000,0.000,0.000,False
204886290,0.0455229,65.5031178924255,0.000,0.000,0.000,False
204886296,0.051987,65.5551048922352,0.000,0.000,0.000,False
204886304,0.0627229,65.617827791255,0.000,0.000,0.000,False
0,0.0774693,65.6952970880084,0.000,0.000,0.000,False
0,0.1010343,65.7963313865475,0.000,0.000,0.000,False
0,0.0177095,65.8140408857726,0.000,0.000,0.000,False
0,0.0191248,65.8331656861119,0.000,0.000,0.000,False
0,0.0141885,65.8473541862331,0.000,0.000,0.000,False
204886322,0.0175578,65.8649119860493,0.000,0.000,0.000,False
204886324,0.0156082,65.8805201859213,0.000,0.000,0.000,False
0,0.0170189,65.8975390852429,0.000,0.000,0.000,False
0,0.0164986,65.9140376844443,0.000,0.000,0.000,False
0,0.0177743,65.9318119850941,0.000,0.000,0.000,False
0,0.0168115,65.9486234844662,0.000,0.000,0.000,False
204886332,0.0166391,65.9652625848539,0.000,0.000,0.000,False
204886334,0.0163109,65.9815734853037,0.000,0.000,0.000,False
204886336,0.0171267,65.9987001852132,0.000,0.000,0.000,False
204886337,0.0168085,66.0155086857267,0.000,0.000,0.000,False
204886339,0.0177481,66.0332567864098,0.000,0.000,0.000,False
204886341,0.015014,66.0482707866468,0.000,0.000,0.000,False
204886342,0.0173411,66.0656118863262,0.000,0.000,0.000,False
204886344,0.0162212,66.0818330855109,0.000,0.000,0.000,False
204886346,0.0172406,66.0990736861713,0.000,0.000,0.000,False
204886347,0.0155628,66.1146364859305,0.000,0.000,0.000,False
204886349,0.0171422,66.131778686773,0.000,0.000,0.000,False
204886350,0.0161926,66.1479712869041,0.000,0.000,0.000,False
204886352,0.0170096,66.1649808860384,0.000,0.000,0.000,False
204886354,0.0167279,66.1817087861709,0.000,0.000,0.000,False
204886356,0.0171205,66.1988292853348,0.000,0.000,0.000,False
204886357,0.0165621,66.2153913858347,0.000,0.000,0.000,False
204886359,0.0172975,66.2326888865791,0.000,0.000,0.000,False
204886361,0.0166905,66.2493793866597,0.000,0.000,0.000,False
204886362,0.0161484,66.2655277862214,0.000,0.000,0.000,False
204886364,0.0164115,66.281939286273,0.000,0.000,0.000,False
204886365,0.0161022,66.298041486647,0.000,0.000,0.000,False
204886367,0.0162565,66.3142979866825,0.000,0.000,0.000,False
204886369,0.0172905,66.3315884876065,0.000,0.000,0.000,False
204886370,0.0165585,66.3481469876133,0.000,0.000,0.000,False
204886372,0.0173288,66.3654757882468,0.000,0.000,0.000,False
204886374,0.0156971,66.3811728875153,0.000,0.000,0.000,False
