Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
204886825,0.0253363,70.600214373786,0.000,0.000,0.000,False
204886826,0.01743,70.6176443737932,0.000,0.000,0.000,False
204886829,0.0120896,70.6297339736484,0.000,0.000,0.000,False
204886831,0.0273854,70.6571193742566,0.000,0.000,0.000,False
204886832,0.0203564,70.677475774195,0.000,0.000,0.000,False
204886835,0.0145239,70.691999674309,0.000,0.000,0.000,False
204886836,0.0292679,70.7212675740011,0.000,0.000,0.000,False
204886839,0.0076308,70.7288983738981,0.000,0.000,0.000,False
204886839,0.0253116,70.754209974315,0.000,0.000,0.000,False
204886842,0.0083337,70.7625436740927,0.000,0.000,0.000,False
204886843,0.0257813,70.7883249740116,0.000,0.000,0.000,False
204886845,0.0101934,70.7985183740966,0.000,0.000,0.000,False
204886849,0.0229674,70.8214857741259,0.000,0.000,0.000,False
204886853,0.0419866,70.8634723736905,0.000,0.000,0.000,False
204886856,0.0320623,70.89553467324,0.000,0.000,0.000,False
204886859,0.0354888,70.9310234724544,0.000,0.000,0.000,False
204886862,0.0326237,70.963647173252,0.000,0.000,0.000,False
204886863,0.0288729,70.9925200729631,0.000,0.000,0.000,False
204886866,0.0089475,71.0014675729908,0.000,0.000,0.000,False
204886866,0.0239428,71.0254103732295,0.000,0.000,0.000,False
204886869,0.0084357,71.0338460733183,0.000,0.000,0.000,False
204886870,0.0258243,71.0596703724004,0.000,0.000,0.000,False
204886872,0.007902,71.0675723724999,0.000,0.000,0.000,False
204886874,0.0252103,71.0927826729603,0.000,0.000,0.000,False
204886875,0.0163019,71.1090845731087,0.000,0.000,0.000,False
204886877,0.0098181,71.1189026734792,0.000,0.000,0.000,False
204886877,0.0251897,71.1440923730843,0.000,0.000,0.000,False
0,0.0099105,71.1540028727613,0.000,0.000,0.000,False
0,0.0232179,71.1772207724862,0.000,0.000,0.000,False
0,0.0098975,71.1871182727627,0.000,0.000,0.000,False
0,0.0242913,71.2114095720463,0.000,0.000,0.000,False
0,0.0103251,71.2217346723191,0.000,0.000,0.000,False
204886889,0.0145631,71.2362977727316,0.000,0.000,0.000,False
0,0.0252746,71.2615723735653,0.000,0.000,0.000,False
0,0.0099632,71.2715355739929,0.000,0.000,0.000,False
0,0.0244072,71.2959427745081,0.000,0.000,0.000,False
204886896,0.0084587,71.3044014745392,0.000,0.000,0.000,False
204886897,0.0244305,71.3288319748826,0.000,0.000,0.000,False
204886899,0.0084957,71.3373276744969,0.000,0.000,0.000,False
204886901,0.0261911,71.3635187749751,0.000,0.000,0.000,False
204886903,0.0160275,71.379546275828,0.000,0.000,0.000,False
204886906,0.0249337,71.4044799753465,0.000,0.000,0.000,False
204886909,0.0248071,71.4292870745994,0.000,0.000,0.000,False
204886910,0.0329921,71.4622791730799,0.000,0.000,0.000,False
204886912,0.0087003,71.4709794730879,0.000,0.000,0.000,False
204886914,0.023559,71.494538473431,0.000,0.000,0.000,False
204886917,0.0180635,71.5126019739546,0.000,0.000,0.000,False
204886919,0.0285769,71.5411788732745,0.000,0.000,0.000,False
204886920,0.0193396,71.5605184738524,0.000,0.000,0.000,False
204886923,0.0097357,71.5702541735955,0.000,0.000,0.000,False
204886926,0.0264501,71.596704273019,0.000,0.000,0.000,False
204886929,0.0321961,71.6289003738202,0.000,0.000,0.000,False
204886932,0.0333731,71.6622734726407,0.000,0.000,0.000,False
204886933,0.0315014,71.6937748738565,0.000,0.000,0.000,False
204886936,0.0077301,71.7015049736947,0.000,0.000,0.000,False
204886939,0.0260689,71.7275738734752,0.000,0.000,0.000,False
204886940,0.03273,71.7603038717061,0.000,0.000,0.000,False
204886942,0.0081578,71.7684616716579,0.000,0.000,0.000,False
204886943,0.0244653,71.7929269718006,0.000,0.000,0.000,False
204886945,0.0089504,71.8018773719668,0.000,0.000,0.000,False
204886949,0.0259261,71.827803472057,0.000,0.000,0.000,False
204886950,0.0320804,71.8598838727921,0.000,0.000,0.000,False
204886952,0.0098932,71.8697770731524,0.000,0.000,0.000,False
204886953,0.0260228,71.8957998724654,0.000,0.000,0.000,False
204886956,0.0092818,71.905081672594,0.000,0.000,0.000,False
204886959,0.0271719,71.9322535730898,0.000,0.000,0.000,False
204886962,0.0331263,71.965379871428,0.000,0.000,0.000,False
204886966,0.0325716,71.9979514703155,0.000,0.000,0.000,False
204886969,0.0311157,72.0290671698749,0.000,0.000,0.000,False
204886972,0.0342426,72.0633097700775,0.000,0.000,0.000,False
204886975,0.0333756,72.0966853685677,0.000,0.000,0.000,False
204886976,0.0295735,72.1262588687241,0.000,0.000,0.000,False
204886979,0.0084713,72.1347301686183,0.000,0.000,0.000,False
204886982,0.0257343,72.1604644684121,0.000,0.000,0.000,False
204886986,0.0337317,72.194196167402,0.000,0.000,0.000,False
204886988,0.0358294,72.230025566183,0.000,0.000,0.000,False
204886989,0.0190911,72.2491166656837,0.000,0.000,0.000,False
204886991,0.0077457,72.2568623656407,0.000,0.000,0.000,False
204886992,0.0280598,72.2849221648648,0.000,0.000,0.000,False
204886995,0.0101166,72.2950387652963,0.000,0.000,0.000,False
204886996,0.0243343,72.3193730656058,0.000,0.000,0.000,False
204886998,0.0083438,72.3277168655768,0.000,0.000,0.000,False
204887002,0.0264524,72.3541692653671,0.000,0.000,0.000,False
204887003,0.0404234,72.3945926660672,0.000,0.000,0.000,False
0,0.0095953,72.4041879661381,0.000,0.000,0.000,False
204887011,0.0241174,72.4283053670079,0.000,0.000,0.000,False
204887014,0.0507002,72.4790055658668,0.000,0.000,0.000,False
204887015,0.0307462,72.5097517650574,0.000,0.000,0.000,False
204887016,0.0081486,72.5179003654048,0.000,0.000,0.000,False
204887019,0.0173355,72.5352358659729,0.000,0.000,0.000,False
204887022,0.0266293,72.561865166761,0.000,0.000,0.000,False
204887026,0.0338005,72.5956656681374,0.000,0.000,0.000,False
204887029,0.0324318,72.6280974680558,0.000,0.000,0.000,False
204887032,0.033725,72.6618224689737,0.000,0.000,0.000,False
204887035,0.0338275,72.6956499675289,0.000,0.000,0.000,False
204887036,0.0321668,72.7278167689219,0.000,0.000,0.000,False
204887039,0.0083969,72.7362136691809,0.000,0.000,0.000,False
204887039,0.0236959,72.7599095683545,0.000,0.000,0.000,False
0,0.0083124,72.7682219687849,0.000,0.000,0.000,False
204887043,0.0256152,72.7938371691853,0.000,0.000,0.000,False
204887045,0.0080702,72.8019073689356,0.000,0.000,0.000,False
204887049,0.0265335,72.8284408682957,0.000,0.000,0.000,False
204887052,0.0330564,72.861497269012,0.000,0.000,0.000,False
204887055,0.0338265,72.8953237691894,0.000,0.000,0.000,False
204887059,0.0329225,72.9282462680712,0.000,0.000,0.000,False
204887060,0.032539,72.9607852669433,0.000,0.000,0.000,False
204887062,0.00808,72.9688652670011,0.000,0.000,0.000,False
204887063,0.0250173,72.9938825676218,0.000,0.000,0.000,False
204887065,0.008676,73.0025585675612,0.000,0.000,0.000,False
