Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
204921752,0.0149128,70.934212653432,0.000,0.324,0.513,0.000
204921753,0.0189679,70.9531805538572,0.000,0.324,0.513,0.000
204921755,0.0087291,70.9619096540846,0.000,0.324,0.513,0.000
204921757,0.0184705,70.9803801537491,0.000,0.324,0.513,0.000
204921759,0.0169062,70.9972863537259,0.000,0.324,0.513,0.000
204921760,0.0177765,71.0150628541596,0.000,0.324,0.513,0.000
204921762,0.0218409,71.0369037543423,0.000,0.324,0.513,0.000
204921764,0.0148663,71.0517700542696,0.000,0.324,0.513,0.000
204921766,0.0203116,71.0720816538669,0.000,0.324,0.513,0.000
204921768,0.0201577,71.0922393542714,0.000,0.324,0.513,0.000
204921770,0.0184614,71.1107007549144,0.000,0.324,0.513,0.000
204921772,0.0209739,71.1316746552475,0.000,0.324,0.513,0.000
204921774,0.0224299,71.1541045554914,0.000,0.324,0.513,0.000
204921777,0.0185629,71.1726674553938,0.000,0.324,0.513,0.000
204921779,0.0227622,71.1954296552576,0.000,0.324,0.513,0.000
204921781,0.0233804,71.2188100558706,0.000,0.324,0.513,0.000
204921784,0.0232547,71.2420647558756,0.000,0.324,0.513,0.000
204921786,0.0248382,71.2669029557146,0.000,0.324,0.513,0.000
204921789,0.025762,71.2926649549045,0.000,0.324,0.513,0.000
204921792,0.0246283,71.3172932551242,0.000,0.324,0.513,0.000
204921794,0.0282068,71.3455000543036,0.000,0.324,0.513,0.000
204921797,0.0274466,71.3729466539808,0.000,0.324,0.513,0.000
204921801,0.0318885,71.4048351538368,0.000,0.324,0.513,0.000
204921804,0.0316112,71.4364463542588,0.000,0.324,0.513,0.000
204921808,0.0347147,71.4711610530503,0.000,0.324,0.513,0.000
0,0.0370897,71.5082507547922,0.000,0.324,0.513,0.000
0,0.0392613,71.547512054909,0.000,0.324,0.513,0.000
204921821,0.0457369,71.5932489563711,0.000,0.324,0.513,0.000
204921827,0.0498416,71.6430905577727,0.000,0.324,0.513,0.000
204921835,0.0582327,71.7013232563622,0.000,0.324,0.513,0.000
204921845,0.0781223,71.7794455592521,0.000,0.324,0.513,0.000
204921847,0.0997175,71.8791630570777,0.000,0.324,0.513,0.000
204921848,0.0179895,71.8971525565721,0.000,0.324,0.513,0.000
204921850,0.0165759,71.9137284574099,0.000,0.324,0.513,0.000
204921852,0.0189958,71.9327242565341,0.000,0.324,0.513,0.000
204921853,0.0158343,71.9485585563816,0.000,0.324,0.513,0.000
204921855,0.0156046,71.9641631566919,0.000,0.324,0.513,0.000
204921857,0.0170944,71.981257556472,0.000,0.324,0.513,0.000
204921858,0.0154862,71.9967437568121,0.000,0.324,0.513,0.000
204921860,0.0177181,72.0144618577324,0.000,0.324,0.513,0.000
204921862,0.0168645,72.0313263568096,0.000,0.324,0.513,0.000
204921863,0.0166808,72.0480071562342,0.000,0.324,0.513,0.000
204921865,0.0164318,72.0644389553927,0.000,0.324,0.513,0.000
204921867,0.0176047,72.082043654751,0.000,0.324,0.513,0.000
204921868,0.0162816,72.0983252539299,0.000,0.324,0.513,0.000
204921870,0.0171904,72.115515654441,0.000,0.324,0.513,0.000
204921872,0.0153936,72.1309092543088,0.000,0.324,0.513,0.000
204921873,0.0173421,72.1482513542287,0.000,0.324,0.513,0.000
204921875,0.0156882,72.1639395537786,0.000,0.324,0.513,0.000
204921877,0.0167928,72.1807323540561,0.000,0.324,0.513,0.000
204921878,0.015477,72.1962093538605,0.000,0.324,0.513,0.000
204921880,0.0172838,72.2134931529872,0.000,0.324,0.513,0.000
204921882,0.0162229,72.2297160527669,0.000,0.324,0.513,0.000
204921883,0.0187924,72.2485084529035,0.000,0.324,0.513,0.000
204921885,0.0158544,72.2643628525548,0.000,0.324,0.513,0.000
204921887,0.0163505,72.2807133528404,0.000,0.324,0.513,0.000
204921888,0.016508,72.2972213528119,0.000,0.324,0.513,0.000
204921890,0.0180439,72.3152652527206,0.000,0.324,0.513,0.000
204921892,0.0156958,72.3309610518627,0.000,0.324,0.513,0.000
204921893,0.0177987,72.3487597513013,0.000,0.324,0.513,0.000
204921895,0.0164681,72.365227851551,0.000,0.324,0.513,0.000
204921897,0.0137659,72.3789937519468,0.000,0.324,0.513,0.000
204921898,0.0171537,72.3961474527605,0.000,0.324,0.513,0.000
204921900,0.0179193,72.4140667528845,0.000,0.324,0.513,0.000
204921901,0.0150771,72.4291438530199,0.000,0.324,0.513,0.000
204921903,0.0172449,72.4463887526654,0.000,0.324,0.513,0.000
204921905,0.017099,72.4634877531789,0.000,0.324,0.513,0.000
204921906,0.0169955,72.4804832539521,0.000,0.324,0.513,0.000
0,0.0165599,72.4970431546681,0.000,0.324,0.513,0.000
0,0.0170535,72.5140966544859,0.000,0.324,0.513,0.000
204921911,0.016812,72.5309086549096,0.000,0.324,0.513,0.000
204921913,0.0163956,72.5473042554222,0.000,0.324,0.513,0.000
204921915,0.0179125,72.5652167550288,0.000,0.324,0.513,0.000
204921916,0.0154159,72.5806326554157,0.000,0.324,0.513,0.000
204921918,0.0166272,72.5972598553635,0.000,0.324,0.513,0.000
204921920,0.0162513,72.6135111548938,0.000,0.324,0.513,0.000
204921922,0.0160112,72.629522355739,0.000,0.324,0.513,0.000
204921923,0.0171408,72.6466631558724,0.000,0.324,0.513,0.000
204921925,0.0167047,72.6633678567596,0.000,0.324,0.513,0.000
204921927,0.0172928,72.6806606561877,0.000,0.324,0.513,0.000
204921928,0.0167689,72.6974295568652,0.000,0.324,0.513,0.000
204921930,0.0165235,72.7139530577697,0.000,0.324,0.513,0.000
204921932,0.0175822,72.7315352582373,0.000,0.324,0.513,0.000
204921933,0.0163634,72.7478986573406,0.000,0.324,0.513,0.000
204921935,0.0163731,72.7642717570998,0.000,0.324,0.513,0.000
204921936,0.0164244,72.7806961578317,0.000,0.324,0.513,0.000
204921938,0.0165864,72.7972825584002,0.000,0.324,0.513,0.000
204921940,0.0172841,72.8145666592754,0.000,0.324,0.513,0.000
204921941,0.0149847,72.8295513591729,0.000,0.324,0.513,0.000
204921943,0.0166525,72.8462038594298,0.000,0.324,0.513,0.000
204921945,0.0172957,72.8634995589964,0.000,0.324,0.513,0.000
204921947,0.016412,72.8799115582369,0.000,0.324,0.513,0.000
204921948,0.0179396,72.8978511574678,0.000,0.324,0.513,0.000
204921950,0.0164483,72.9142994577996,0.000,0.324,0.513,0.000
204921952,0.0166234,72.9309228579514,0.000,0.324,0.513,0.000
204921953,0.0176828,72.9486056580208,0.000,0.324,0.513,0.000
204921955,0.0169682,72.9655738580041,0.000,0.324,0.513,0.000
204921957,0.015112,72.9806858575903,0.000,0.324,0.513,0.000
204921958,0.0175728,72.9982586572878,0.000,0.324,0.513,0.000
204921960,0.0158831,73.0141417565756,0.000,0.324,0.513,0.000
204921961,0.0155944,73.029736157041,0.000,0.324,0.513,0.000
204921963,0.0172679,73.0470040566288,0.000,0.324,0.513,0.000
204921965,0.0171099,73.0641139573418,0.000,0.324,0.513,0.000
204921966,0.0156486,73.0797625570558,0.000,0.324,0.513,0.000
204921968,0.017155,73.0969175561331,0.000,0.324,0.513,0.000
204921970,0.0172663,73.1141838557087,0.000,0.324,0.513,0.000
204921971,0.0164949,73.1306787556969,0.000,0.324,0.513,0.000
204921973,0.0178997,73.148578455206,0.000,0.324,0.513,0.000
204921975,0.0158418,73.1644202559255,0.000,0.324,0.513,0.000
204921976,0.0174691,73.1818893565796,0.000,0.324,0.513,0.000
204921978,0.0156466,73.1975359558128,0.000,0.324,0.513,0.000
0,0.0183513,73.215887255501,0.000,0.324,0.513,0.000
0,0.0151305,73.2310177558102,0.000,0.324,0.513,0.000
204921983,0.0168599,73.2478776560165,0.000,0.324,0.513,0.000
204921985,0.0163367,73.2642143559642,0.000,0.324,0.513,0.000
204921986,0.0167368,73.2809511558153,0.000,0.324,0.513,0.000
204921988,0.0159904,73.2969415565021,0.000,0.324,0.513,0.000
204921990,0.0173617,73.314303257037,0.000,0.324,0.513,0.000
204921991,0.0160364,73.3303396576084,0.000,0.324,0.513,0.000
204921993,0.0184079,73.3487475574948,0.000,0.324,0.513,0.000
204921995,0.0161335,73.3648810577579,0.000,0.324,0.513,0.000
204921996,0.017727,73.3826080583967,0.000,0.324,0.513,0.000
204921998,0.0151286,73.3977366588078,0.000,0.324,0.513,0.000
204922000,0.0179301,73.4156667585485,0.000,0.324,0.513,0.000
204922001,0.0159238,73.4315905584954,0.000,0.324,0.513,0.000
204922003,0.0171598,73.4487503576092,0.000,0.324,0.513,0.000
204922005,0.0148276,73.4635779573582,0.000,0.324,0.513,0.000
204922006,0.0159847,73.4795626564883,0.000,0.324,0.513,0.000
204922008,0.0168159,73.4963785572909,0.000,0.324,0.513,0.000
204922010,0.0166963,73.5130748576485,0.000,0.324,0.513,0.000
204922011,0.0175717,73.5306465583853,0.000,0.324,0.513,0.000
204922013,0.0173824,73.5480289584957,0.000,0.324,0.513,0.000
204922015,0.0166284,73.564657357987,0.000,0.324,0.513,0.000
204922016,0.0161191,73.5807764581405,0.000,0.324,0.513,0.000
204922018,0.0172252,73.5980016584508,0.000,0.324,0.513,0.000
204922020,0.0165438,73.6145454584621,0.000,0.324,0.513,0.000
204922021,0.0166316,73.6311770579778,0.000,0.324,0.513,0.000
204922023,0.0160716,73.6472486588173,0.000,0.324,0.513,0.000
204922025,0.0167475,73.6639961595647,0.000,0.324,0.513,0.000
204922026,0.0158082,73.6798043600284,0.000,0.324,0.513,0.000
204922028,0.0161973,73.6960016596131,0.000,0.324,0.513,0.000
204922030,0.0180863,73.7140879589133,0.000,0.324,0.513,0.000
204922031,0.0152492,73.7293371590786,0.000,0.324,0.513,0.000
204922033,0.0180406,73.74737775838,0.000,0.324,0.513,0.000
204922035,0.0165192,73.7638969584368,0.000,0.324,0.513,0.000
204922036,0.0177975,73.7816944583319,0.000,0.324,0.513,0.000
204922038,0.0160378,73.7977322577499,0.000,0.324,0.513,0.000
204922040,0.0182459,73.8159781577997,0.000,0.324,0.513,0.000
204922041,0.0153067,73.8312848578207,0.000,0.324,0.513,0.000
204922043,0.0164315,73.8477163570933,0.000,0.324,0.513,0.000
204922045,0.0176708,73.8653871580027,0.000,0.324,0.513,0.000
204922046,0.0148044,73.880191557575,0.000,0.324,0.513,0.000
204922048,0.0160739,73.8962654569186,0.000,0.324,0.513,0.000
204922050,0.0162037,73.9124691565521,0.000,0.324,0.513,0.000
204922051,0.0172191,73.9296882566996,0.000,0.324,0.513,0.000
204922053,0.0175696,73.9472578563727,0.000,0.324,0.513,0.000
204922055,0.0162958,73.9635536563583,0.000,0.324,0.513,0.000
204922056,0.0170431,73.9805967570283,0.000,0.324,0.513,0.000
204922058,0.0174391,73.9980358579196,0.000,0.324,0.513,0.000
204922060,0.0180862,74.0161220584996,0.000,0.324,0.513,0.000
204922061,0.0150023,74.0311243585311,0.000,0.324,0.513,0.000
204922063,0.017146,74.0482703591697,0.000,0.324,0.513,0.000
204922065,0.0159175,74.0641878596507,0.000,0.324,0.513,0.000
204922066,0.0155015,74.079689359758,0.000,0.324,0.513,0.000
204922068,0.0156839,74.095373260323,0.000,0.324,0.513,0.000
204922069,0.0175734,74.1129466597922,0.000,0.324,0.513,0.000
204922071,0.0162335,74.1291801598854,0.000,0.324,0.513,0.000
204922073,0.0173226,74.1465027597733,0.000,0.324,0.513,0.000
204922075,0.0164588,74.1629615598358,0.000,0.324,0.513,0.000
204922076,0.0181172,74.181078760419,0.000,0.324,0.513,0.000
204922078,0.0166793,74.1977580604143,0.000,0.324,0.513,0.000
204922080,0.0157313,74.2134893597104,0.000,0.324,0.513,0.000
204922081,0.0164722,74.2299615596421,0.000,0.324,0.513,0.000
204922083,0.0178723,74.2478338596411,0.000,0.324,0.513,0.000
204922085,0.0161588,74.2639926602133,0.000,0.324,0.513,0.000
204922086,0.0163728,74.2803654600866,0.000,0.324,0.513,0.000
204922088,0.0163643,74.2967297607102,0.000,0.324,0.513,0.000
204922090,0.0172471,74.3139768601395,0.000,0.324,0.513,0.000
204922091,0.0159637,74.3299405598082,0.000,0.324,0.513,0.000
204922093,0.0177538,74.3476943601854,0.000,0.324,0.513,0.000
204922094,0.0155973,74.3632916598581,0.000,0.324,0.513,0.000
204922096,0.017659,74.3809506590478,0.000,0.324,0.513,0.000
204922098,0.0163096,74.3972602593713,0.000,0.324,0.513,0.000
204922099,0.0166426,74.4139028596692,0.000,0.324,0.513,0.000
204922101,0.0158093,74.4297121590935,0.000,0.324,0.513,0.000
204922103,0.017261,74.4469731594436,0.000,0.324,0.513,0.000
204922104,0.0160282,74.4630013587885,0.000,0.324,0.513,0.000
204922106,0.0167313,74.4797326582484,0.000,0.324,0.513,0.000
204922108,0.0166946,74.496427258011,0.000,0.324,0.513,0.000
204922109,0.0166657,74.513092958834,0.000,0.324,0.513,0.000
204922111,0.0162252,74.5293181589805,0.000,0.324,0.513,0.000
204922113,0.0173593,74.5466774585657,0.000,0.324,0.513,0.000
204922114,0.0158739,74.562551358249,0.000,0.324,0.513,0.000
204922116,0.0173348,74.5798861584626,0.000,0.324,0.513,0.000
204922118,0.021648,74.6015341593884,0.000,0.324,0.513,0.000
204922119,0.0117776,74.6133117596619,0.000,0.324,0.513,0.000
