Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
204922375,0.0434937,76.9171224613674,0.000,0.324,0.513,0.000
204922377,0.0101191,76.9272415614687,-0.011,0.325,0.513,0.000
204922425,0.1180095,77.4125792677514,-0.062,0.470,0.506,0.000
204922427,0.017516,77.4300952679478,-0.062,0.470,0.506,0.000
204922429,0.0223726,77.4524678676389,-0.056,0.491,0.506,0.000
204922432,0.0153164,77.4677842673846,-0.056,0.491,0.506,0.000
204922435,0.0334056,77.5011898656376,-0.055,0.522,0.505,0.000
204922437,0.027112,77.5283018653281,-0.060,0.525,0.505,0.000
204922439,0.0253777,77.5536795654334,-0.074,0.514,0.505,0.000
204922443,0.0205456,77.5742251654156,-0.076,0.531,0.505,0.000
204922445,0.0378454,77.6120705646463,-0.076,0.531,0.505,0.000
204922446,0.0158617,77.6279322640039,-0.076,0.541,0.504,0.000
204922448,0.0100474,77.6379796643741,-0.076,0.541,0.504,0.000
204922451,0.0262128,77.6641924646683,-0.073,0.565,0.504,0.000
204922455,0.035126,77.6993184653111,-0.078,0.562,0.504,0.000
204922458,0.0348433,77.734161764849,-0.093,0.554,0.503,0.000
204922460,0.0317232,77.7658849661238,-0.093,0.554,0.503,0.000
204922461,0.0160998,77.7819847655483,-0.093,0.554,0.503,0.000
204922465,0.0105985,77.7925832658075,-0.093,0.572,0.503,0.000
204922468,0.0399825,77.8325657672249,-0.092,0.587,0.503,0.000
204922469,0.0343633,77.8669290668331,-0.092,0.587,0.503,0.000
204922472,0.008451,77.8753800666891,-0.105,0.579,0.503,0.000
204922473,0.0276425,77.9030225663446,-0.105,0.579,0.503,0.000
204922476,0.0082323,77.9112548665144,-0.109,0.580,0.502,0.000
204922477,0.0288041,77.9400589657016,-0.109,0.580,0.502,0.000
204922478,0.0184568,77.9585157656111,-0.109,0.580,0.502,0.000
204922481,0.0088662,77.9673819658346,-0.118,0.577,0.502,0.000
204922485,0.0241439,77.9915258665569,-0.124,0.560,0.500,0.000
204922488,0.0431067,78.034632567782,-0.128,0.553,0.499,0.000
204922489,0.0321594,78.0667919670232,-0.128,0.553,0.499,0.000
204922492,0.0083331,78.0751250670291,-0.128,0.553,0.499,0.000
204922493,0.0243231,78.0994481672533,-0.129,0.552,0.499,0.000
204922497,0.0090844,78.1085325670429,-0.128,0.556,0.500,0.000
204922498,0.0407383,78.1492708665319,-0.128,0.556,0.500,0.000
204922499,0.0100907,78.1593615668826,-0.128,0.556,0.500,0.000
204922502,0.0160546,78.1754161673598,-0.123,0.567,0.500,0.000
204922505,0.0272027,78.2026188666932,-0.123,0.567,0.500,0.000
204922508,0.0343558,78.2369746672921,-0.119,0.574,0.500,0.000
204922512,0.0317955,78.2687701690011,-0.119,0.575,0.500,0.000
204922515,0.0322634,78.3010335671715,-0.120,0.573,0.500,0.000
204922518,0.0332618,78.3342953654937,-0.120,0.573,0.500,0.000
204922522,0.0342966,78.3685919637792,-0.123,0.569,0.500,0.000
204922523,0.0337669,78.4023588630371,-0.123,0.569,0.500,0.000
204922525,0.0090519,78.4114107633941,-0.125,0.567,0.500,0.000
204922528,0.0267212,78.4381319633685,-0.126,0.569,0.500,0.000
204922529,0.0271179,78.4652498639189,-0.126,0.569,0.500,0.000
204922532,0.0132818,78.4785316637717,-0.126,0.569,0.500,0.000
204922532,0.0209545,78.4994861646555,-0.124,0.576,0.500,0.000
204922535,0.0081603,78.5076464642771,-0.124,0.576,0.500,0.000
204922540,0.0249538,78.5326002635993,-0.105,0.588,0.499,0.000
204922543,0.0519733,78.5845735617913,-0.086,0.619,0.499,0.000
204922547,0.0323585,78.6169320628978,-0.080,0.625,0.499,0.000
204922550,0.0357249,78.6526569635607,-0.080,0.625,0.499,0.000
204922553,0.0300284,78.6826853626408,-0.080,0.625,0.499,0.000
204922555,0.0337969,78.7164822616614,-0.080,0.625,0.499,0.000
204922556,0.0159451,78.7324273609556,-0.080,0.625,0.499,0.000
204922558,0.0100374,78.7424647607841,-0.080,0.625,0.499,0.000
