Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
204965761,0.0146126,44.5572672784328,0.000,0.000,0.000,False
204965762,0.0174631,44.5747303776443,0.000,0.000,0.000,False
204965764,0.0099033,44.5846336772665,0.000,0.000,0.000,False
204965766,0.0161819,44.6008155765012,0.000,0.000,0.000,False
204965768,0.0173488,44.6181643763557,0.000,0.000,0.000,False
204965769,0.0181249,44.636289277114,0.000,0.000,0.000,False
204965771,0.0203504,44.6566396774724,0.000,0.000,0.000,False
204965773,0.0170957,44.6737353773788,0.000,0.000,0.000,False
204965775,0.0194732,44.6932085780427,0.000,0.000,0.000,False
204965777,0.0177523,44.7109608771279,0.000,0.000,0.000,False
204965779,0.019326,44.730286876671,0.000,0.000,0.000,False
204965781,0.0226087,44.7528955759481,0.000,0.000,0.000,False
204965783,0.0182769,44.7711724760011,0.000,0.000,0.000,False
204965785,0.0221436,44.7933160765097,0.000,0.000,0.000,False
204965788,0.0217457,44.8150617768988,0.000,0.000,0.000,False
204965790,0.0217066,44.836768376641,0.000,0.000,0.000,False
204965792,0.0240433,44.8608116758987,0.000,0.000,0.000,False
204965795,0.0236007,44.8844123752788,0.000,0.000,0.000,False
204965797,0.0252627,44.9096750756726,0.000,0.000,0.000,False
204965800,0.0260439,44.9357189750299,0.000,0.000,0.000,False
204965803,0.0271178,44.9628367749974,0.000,0.000,0.000,False
204965806,0.0272217,44.990058475174,0.000,0.000,0.000,False
204965809,0.031704,45.0217624763027,0.000,0.000,0.000,False
204965811,0.0288889,45.0506513761356,0.000,0.000,0.000,False
0,0.033851,45.0845023775473,0.000,0.000,0.000,False
0,0.0357706,45.1202729763463,0.000,0.000,0.000,False
0,0.0390367,45.1593096749857,0.000,0.000,0.000,False
204965828,0.0424047,45.2017143750563,0.000,0.000,0.000,False
204965834,0.0467813,45.2484956765547,0.000,0.000,0.000,False
204965841,0.0546776,45.3031732747331,0.000,0.000,0.000,False
204965850,0.0680695,45.3712427774444,0.000,0.000,0.000,False
204965860,0.0907497,45.4619924807921,0.000,0.000,0.000,False
204965861,0.1002635,45.5622559795156,0.000,0.000,0.000,False
204965863,0.0092524,45.5715083796531,0.000,0.000,0.000,False
204965864,0.0174313,45.5889396797866,0.000,0.000,0.000,False
204965866,0.0162438,45.6051834803075,0.000,0.000,0.000,False
204965868,0.0165817,45.6217651795596,0.000,0.000,0.000,False
204965869,0.0166295,45.6383946798742,0.000,0.000,0.000,False
204965871,0.0176218,45.6560164801776,0.000,0.000,0.000,False
204965873,0.0173445,45.6733609810472,0.000,0.000,0.000,False
204965874,0.0163986,45.6897595804185,0.000,0.000,0.000,False
204965876,0.0167103,45.706469880417,0.000,0.000,0.000,False
204965878,0.0176441,45.7241139803082,0.000,0.000,0.000,False
204965879,0.0149959,45.7391098802909,0.000,0.000,0.000,False
204965881,0.0161727,45.7552825799212,0.000,0.000,0.000,False
204965883,0.0164839,45.7717664791271,0.000,0.000,0.000,False
204965884,0.0167982,45.7885646792129,0.000,0.000,0.000,False
204965886,0.0167594,45.8053240785375,0.000,0.000,0.000,False
204965888,0.0170113,45.8223353782669,0.000,0.000,0.000,False
204965889,0.0163506,45.8386859791353,0.000,0.000,0.000,False
204965891,0.0176569,45.856342879124,0.000,0.000,0.000,False
204965893,0.0165157,45.8728585792705,0.000,0.000,0.000,False
204965894,0.0176609,45.8905194783583,0.000,0.000,0.000,False
204965896,0.0172941,45.9078135779127,0.000,0.000,0.000,False
204965898,0.0161593,45.9239728776738,0.000,0.000,0.000,False
204965899,0.0165003,45.9404731774703,0.000,0.000,0.000,False
204965901,0.015881,45.9563541775569,0.000,0.000,0.000,False
204965903,0.0172486,45.9736027782783,0.000,0.000,0.000,False
204965904,0.014907,45.9885097779334,0.000,0.000,0.000,False
204965906,0.0169725,46.0054822787642,0.000,0.000,0.000,False
204965908,0.0172582,46.0227404795587,0.000,0.000,0.000,False
204965909,0.0160961,46.0388365797699,0.000,0.000,0.000,False
204965911,0.0177773,46.0566138792783,0.000,0.000,0.000,False
204965913,0.0165257,46.0731395799667,0.000,0.000,0.000,False
204965914,0.016731,46.0898705795407,0.000,0.000,0.000,False
204965916,0.0171626,46.1070331800729,0.000,0.000,0.000,False
204965918,0.0175911,46.124624280259,0.000,0.000,0.000,False
204965919,0.0160092,46.1406334806234,0.000,0.000,0.000,False
204965921,0.0169682,46.1576016806066,0.000,0.000,0.000,False
204965923,0.0159605,46.1735621802509,0.000,0.000,0.000,False
204965924,0.0153034,46.188865580596,0.000,0.000,0.000,False
204965926,0.0166174,46.2054829811677,0.000,0.000,0.000,False
204965928,0.0182401,46.2237230809405,0.000,0.000,0.000,False
204965929,0.0151523,46.2388753807172,0.000,0.000,0.000,False
204965931,0.0168999,46.2557752812281,0.000,0.000,0.000,False
204965933,0.0167559,46.2725311806425,0.000,0.000,0.000,False
204965934,0.0172507,46.289781880565,0.000,0.000,0.000,False
204965936,0.0169652,46.3067470798269,0.000,0.000,0.000,False
204965938,0.0170918,46.3238388793543,0.000,0.000,0.000,False
204965939,0.0160868,46.3399256793782,0.000,0.000,0.000,False
204965941,0.0171094,46.3570350790396,0.000,0.000,0.000,False
204965943,0.0185157,46.375550779514,0.000,0.000,0.000,False
204965944,0.0138687,46.3894194792956,0.000,0.000,0.000,False
204965946,0.0167498,46.4061692785472,0.000,0.000,0.000,False
204965948,0.0173063,46.4234755784273,0.000,0.000,0.000,False
204965949,0.0153751,46.4388506785035,0.000,0.000,0.000,False
0,0.0167806,46.4556312784553,0.000,0.000,0.000,False
204965952,0.0170704,46.4727016780525,0.000,0.000,0.000,False
204965954,0.0168359,46.4895375780761,0.000,0.000,0.000,False
204965956,0.0172046,46.5067421775311,0.000,0.000,0.000,False
204965957,0.0162112,46.5229533780366,0.000,0.000,0.000,False
204965959,0.0174334,46.5403867773712,0.000,0.000,0.000,False
204965961,0.0166268,46.5570135768503,0.000,0.000,0.000,False
204965962,0.0155635,46.5725770769641,0.000,0.000,0.000,False
204965964,0.0169264,46.5895034773275,0.000,0.000,0.000,False
204965966,0.016205,46.6057084770873,0.000,0.000,0.000,False
204965968,0.0166956,46.6224040770903,0.000,0.000,0.000,False
204965969,0.0161907,46.6385947773233,0.000,0.000,0.000,False
204965971,0.018369,46.6569637777284,0.000,0.000,0.000,False
204965973,0.0153087,46.672272477299,0.000,0.000,0.000,False
204965974,0.0186289,46.6909013781697,0.000,0.000,0.000,False
204965976,0.0157344,46.7066357787699,0.000,0.000,0.000,False
204965978,0.0166488,46.7232845779508,0.000,0.000,0.000,False
204965980,0.0168891,46.7401736788452,0.000,0.000,0.000,False
204965981,0.0224947,46.7626683786511,0.000,0.000,0.000,False
204965983,0.0110389,46.7737072790042,0.000,0.000,0.000,False
204965984,0.0169643,46.7906715786085,0.000,0.000,0.000,False
204965986,0.0173908,46.8080623792484,0.000,0.000,0.000,False
204965987,0.0161048,46.8241671798751,0.000,0.000,0.000,False
204965989,0.0133811,46.8375482801348,0.000,0.000,0.000,False
204965991,0.0177734,46.8553216792643,0.000,0.000,0.000,False
204965992,0.0157275,46.8710491787642,0.000,0.000,0.000,False
204965994,0.0165529,46.8876020796597,0.000,0.000,0.000,False
204965996,0.0171915,46.9047935791314,0.000,0.000,0.000,False
204965997,0.0174966,46.9222901798785,0.000,0.000,0.000,False
204965999,0.0173768,46.9396669790149,0.000,0.000,0.000,False
204966001,0.0164845,46.9561514798552,0.000,0.000,0.000,False
204966002,0.0155355,46.9716869797558,0.000,0.000,0.000,False
204966004,0.0169109,46.9885978791863,0.000,0.000,0.000,False
204966006,0.0195611,47.0081589799374,0.000,0.000,0.000,False
204966007,0.0143993,47.0225582802668,0.000,0.000,0.000,False
204966009,0.0155929,47.0381511803716,0.000,0.000,0.000,False
204966011,0.0175496,47.0557007808238,0.000,0.000,0.000,False
204966012,0.0162311,47.0719318799675,0.000,0.000,0.000,False
204966014,0.017053,47.0889848805964,0.000,0.000,0.000,False
204966016,0.0163423,47.1053271815181,0.000,0.000,0.000,False
204966017,0.0167041,47.1220312807709,0.000,0.000,0.000,False
204966019,0.0174972,47.1395284812897,0.000,0.000,0.000,False
204966021,0.0174446,47.1569730807096,0.000,0.000,0.000,False
204966022,0.0174608,47.1744338814169,0.000,0.000,0.000,False
204966024,0.0157783,47.190212180838,0.000,0.000,0.000,False
204966026,0.0161038,47.2063159812242,0.000,0.000,0.000,False
204966027,0.0163396,47.2226555813104,0.000,0.000,0.000,False
204966029,0.0170036,47.2396591808647,0.000,0.000,0.000,False
204966031,0.0157184,47.2553775813431,0.000,0.000,0.000,False
204966032,0.0167229,47.272100482136,0.000,0.000,0.000,False
204966034,0.0167887,47.2888891827315,0.000,0.000,0.000,False
204966035,0.0168859,47.3057750836015,0.000,0.000,0.000,False
204966037,0.0163116,47.3220866844058,0.000,0.000,0.000,False
204966039,0.0176061,47.3396927844733,0.000,0.000,0.000,False
204966041,0.0164401,47.3561328835785,0.000,0.000,0.000,False
204966042,0.0162004,47.3723332844675,0.000,0.000,0.000,False
204966044,0.017455,47.3897882848978,0.000,0.000,0.000,False
204966046,0.0168921,47.4066803846508,0.000,0.000,0.000,False
204966047,0.0169033,47.4235836844891,0.000,0.000,0.000,False
204966049,0.0168066,47.4403902851045,0.000,0.000,0.000,False
204966051,0.0160616,47.4564518854022,0.000,0.000,0.000,False
204966052,0.0163117,47.4727635849267,0.000,0.000,0.000,False
204966054,0.0186836,47.4914471842349,0.000,0.000,0.000,False
204966056,0.0139024,47.5053495839238,0.000,0.000,0.000,False
204966057,0.016857,47.5222065839916,0.000,0.000,0.000,False
204966059,0.0169287,47.5391352847219,0.000,0.000,0.000,False
204966061,0.0169065,47.5560417845845,0.000,0.000,0.000,False
204966062,0.0173497,47.5733914840966,0.000,0.000,0.000,False
204966064,0.0167947,47.5901861842722,0.000,0.000,0.000,False
204966066,0.0163531,47.6065392848104,0.000,0.000,0.000,False
204966067,0.0163229,47.6228621844202,0.000,0.000,0.000,False
204966069,0.0169229,47.6397850848734,0.000,0.000,0.000,False
204966071,0.017896,47.6576810851693,0.000,0.000,0.000,False
204966072,0.0141363,47.6718173855916,0.000,0.000,0.000,False
204966073,0.0174567,47.6892740847543,0.000,0.000,0.000,False
0,0.0158422,47.7051162840799,0.000,0.000,0.000,False
0,0.0170271,47.722143384628,0.000,0.000,0.000,False
204966079,0.016705,47.7388483854011,0.000,0.000,0.000,False
204966081,0.0174266,47.7562749860808,0.000,0.000,0.000,False
204966082,0.0169024,47.7731773862615,0.000,0.000,0.000,False
204966084,0.0166527,47.7898300858215,0.000,0.000,0.000,False
204966086,0.0179103,47.8077403856441,0.000,0.000,0.000,False
204966087,0.016041,47.8237813850865,0.000,0.000,0.000,False
204966089,0.0178296,47.8416109858081,0.000,0.000,0.000,False
204966091,0.0154343,47.8570452854037,0.000,0.000,0.000,False
204966092,0.0165429,47.8735881857574,0.000,0.000,0.000,False
204966094,0.0174291,47.8910172861069,0.000,0.000,0.000,False
204966095,0.015774,47.906791286543,0.000,0.000,0.000,False
204966097,0.0157723,47.9225635863841,0.000,0.000,0.000,False
204966099,0.017055,47.9396185856313,0.000,0.000,0.000,False
204966101,0.0166798,47.9562983848155,0.000,0.000,0.000,False
204966102,0.0174498,47.9737481847405,0.000,0.000,0.000,False
204966104,0.0162473,47.9899954851717,0.000,0.000,0.000,False
204966106,0.0158719,48.0058673843741,0.000,0.000,0.000,False
204966107,0.0180179,48.0238852836192,0.000,0.000,0.000,False
204966109,0.0169575,48.040842782706,0.000,0.000,0.000,False
204966111,0.015743,48.0565857831389,0.000,0.000,0.000,False
204966112,0.0169663,48.0735520832241,0.000,0.000,0.000,False
204966114,0.0163865,48.0899385828525,0.000,0.000,0.000,False
204966116,0.0169262,48.1068647820503,0.000,0.000,0.000,False
204966117,0.0174831,48.1243478823453,0.000,0.000,0.000,False
204966119,0.0148131,48.1391609823331,0.000,0.000,0.000,False
204966120,0.0163226,48.1554835820571,0.000,0.000,0.000,False
204966122,0.0167664,48.1722499812022,0.000,0.000,0.000,False
204966124,0.0170036,48.1892535807565,0.000,0.000,0.000,False
204966126,0.0166355,48.2058890806511,0.000,0.000,0.000,False
204966127,0.0174622,48.223351280205,0.000,0.000,0.000,False
204966129,0.0165522,48.2399034807459,0.000,0.000,0.000,False
204966131,0.0173517,48.2572551807389,0.000,0.000,0.000,False
204966132,0.0181563,48.2754114801064,0.000,0.000,0.000,False
204966134,0.0159773,48.2913887808099,0.000,0.000,0.000,False
204966136,0.0148952,48.306283980608,0.000,0.000,0.000,False
204966137,0.0171743,48.3234582804143,0.000,0.000,0.000,False
