Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
204965761,0.0146126,44.5572672784328,-0.165,1.056,-0.362,2.602,7.975,0.300
204965762,0.0174631,44.5747303776443,-0.165,1.056,-0.362,2.603,7.971,0.295
204965764,0.0099033,44.5846336772665,-0.165,1.056,-0.362,2.599,7.973,0.299
204965766,0.0161819,44.6008155765012,-0.165,1.056,-0.362,2.569,7.969,0.286
204965768,0.0173488,44.6181643763557,-0.165,1.056,-0.362,2.545,7.977,0.291
204965769,0.0181249,44.636289277114,-0.165,1.056,-0.362,2.531,7.970,0.295
204965771,0.0203504,44.6566396774724,-0.165,1.056,-0.362,2.521,7.970,0.290
204965773,0.0170957,44.6737353773788,-0.165,1.056,-0.362,2.514,7.977,0.285
204965775,0.0194732,44.6932085780427,-0.165,1.056,-0.362,2.508,7.968,0.282
204965777,0.0177523,44.7109608771279,-0.165,1.056,-0.362,2.487,7.976,0.273
204965779,0.019326,44.730286876671,-0.165,1.056,-0.362,2.469,7.981,0.258
204965781,0.0226087,44.7528955759481,-0.165,1.056,-0.362,2.449,7.987,0.269
204965783,0.0182769,44.7711724760011,-0.165,1.056,-0.362,2.410,7.998,0.259
204965785,0.0221436,44.7933160765097,-0.165,1.056,-0.362,2.396,7.995,0.274
204965788,0.0217457,44.8150617768988,-0.165,1.056,-0.363,2.372,7.986,0.273
204965790,0.0217066,44.836768376641,-0.165,1.056,-0.363,2.353,7.983,0.269
204965792,0.0240433,44.8608116758987,-0.165,1.056,-0.362,2.348,7.977,0.263
204965795,0.0236007,44.8844123752788,-0.165,1.056,-0.363,2.353,7.966,0.276
204965797,0.0252627,44.9096750756726,-0.165,1.056,-0.363,2.349,7.967,0.310
204965800,0.0260439,44.9357189750299,-0.165,1.056,-0.363,2.356,7.945,0.325
204965803,0.0271178,44.9628367749974,-0.165,1.056,-0.363,2.393,7.928,0.341
204965806,0.0272217,44.990058475174,-0.165,1.056,-0.363,2.431,7.900,0.353
204965809,0.031704,45.0217624763027,-0.165,1.056,-0.362,2.564,7.885,0.388
204965811,0.0288889,45.0506513761356,-0.165,1.055,-0.362,2.965,7.856,0.492
0,0.033851,45.0845023775473,-0.165,1.054,-0.361,3.673,7.829,0.627
0,0.0357706,45.1202729763463,-0.166,1.052,-0.360,4.698,7.804,0.783
0,0.0390367,45.1593096749857,-0.166,1.050,-0.358,6.259,7.723,1.034
204965828,0.0424047,45.2017143750563,-0.167,1.046,-0.356,8.397,7.527,1.260
204965834,0.0467813,45.2484956765547,-0.168,1.043,-0.353,10.624,6.976,1.223
204965841,0.0546776,45.3031732747331,-0.169,1.040,-0.349,12.329,6.075,1.352
