Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
204965761,0.0146126,44.5572672784328,-0.315,0.658,0.034,0.359,0.508,-0.020,0.660,0.074,1.000,1.000
204965762,0.0174631,44.5747303776443,-0.315,0.658,0.034,0.368,0.530,-0.020,0.661,0.073,1.000,1.000
204965764,0.0099033,44.5846336772665,-0.315,0.658,0.034,0.363,0.541,-0.020,0.661,0.073,1.000,1.000
204965766,0.0161819,44.6008155765012,-0.315,0.658,0.034,0.353,0.530,-0.020,0.662,0.073,1.000,1.000
204965768,0.0173488,44.6181643763557,-0.315,0.658,0.034,0.348,0.516,-0.020,0.663,0.072,1.000,1.000
204965769,0.0181249,44.636289277114,-0.315,0.658,0.034,0.349,0.493,-0.020,0.663,0.072,1.000,1.000
204965771,0.0203504,44.6566396774724,-0.315,0.658,0.034,0.349,0.471,-0.020,0.664,0.071,1.000,1.000
204965773,0.0170957,44.6737353773788,-0.315,0.658,0.034,0.342,0.445,-0.020,0.664,0.071,1.000,1.000
204965775,0.0194732,44.6932085780427,-0.315,0.658,0.035,0.319,0.419,-0.020,0.664,0.071,1.000,1.000
204965777,0.0177523,44.7109608771279,-0.315,0.658,0.035,0.308,0.403,-0.020,0.664,0.071,1.000,1.000
204965779,0.019326,44.730286876671,-0.315,0.657,0.035,0.301,0.393,-0.020,0.664,0.071,1.000,1.000
204965781,0.0226087,44.7528955759481,-0.315,0.657,0.035,0.275,0.370,-0.020,0.663,0.071,1.000,1.000
204965783,0.0182769,44.7711724760011,-0.315,0.657,0.035,0.263,0.361,-0.020,0.663,0.071,1.000,1.000
204965785,0.0221436,44.7933160765097,-0.315,0.657,0.035,0.255,0.365,-0.019,0.663,0.072,1.000,1.000
204965788,0.0217457,44.8150617768988,-0.315,0.656,0.036,0.267,0.379,-0.019,0.663,0.072,1.000,1.000
204965790,0.0217066,44.836768376641,-0.315,0.656,0.036,0.287,0.395,-0.019,0.663,0.072,1.000,1.000
204965792,0.0240433,44.8608116758987,-0.316,0.657,0.036,0.302,0.405,-0.019,0.663,0.071,1.000,1.000
204965795,0.0236007,44.8844123752788,-0.316,0.657,0.036,0.296,0.418,-0.019,0.663,0.071,1.000,1.000
204965797,0.0252627,44.9096750756726,-0.316,0.657,0.036,0.281,0.415,-0.019,0.663,0.072,1.000,1.000
204965800,0.0260439,44.9357189750299,-0.316,0.657,0.036,0.259,0.398,-0.020,0.663,0.072,1.000,1.000
204965803,0.0271178,44.9628367749974,-0.316,0.656,0.036,0.263,0.391,-0.019,0.662,0.072,1.000,1.000
204965806,0.0272217,44.990058475174,-0.316,0.656,0.036,0.286,0.409,-0.019,0.662,0.073,1.000,1.000
204965809,0.031704,45.0217624763027,-0.316,0.657,0.035,0.301,0.429,-0.020,0.661,0.073,1.000,1.000
204965811,0.0288889,45.0506513761356,-0.316,0.657,0.034,0.294,0.428,-0.019,0.661,0.073,1.000,1.000
0,0.033851,45.0845023775473,-0.315,0.657,0.034,0.298,0.420,-0.020,0.662,0.074,1.000,1.000
0,0.0357706,45.1202729763463,-0.313,0.656,0.033,0.314,0.399,-0.020,0.664,0.075,1.000,1.000
0,0.0390367,45.1593096749857,-0.310,0.656,0.033,0.427,0.508,-0.019,0.667,0.076,1.000,1.000
204965828,0.0424047,45.2017143750563,-0.307,0.659,0.036,0.487,0.560,-0.019,0.672,0.081,1.000,1.000
204965834,0.0467813,45.2484956765547,-0.303,0.665,0.041,0.440,0.559,-0.017,0.680,0.083,1.000,1.000
204965841,0.0546776,45.3031732747331,-0.299,0.671,0.043,0.387,0.559,-0.013,0.683,0.084,1.000,1.000
204965850,0.0680695,45.3712427774444,-0.296,0.675,0.043,0.377,0.564,-0.008,0.683,0.085,1.000,1.000
204965860,0.0907497,45.4619924807921,-0.294,0.674,0.043,0.222,0.416,-0.007,0.679,0.084,1.000,1.000
204965861,0.1002635,45.5622559795156,-0.300,0.664,0.036,0.235,0.439,-0.013,0.668,0.081,1.000,1.000
204965863,0.0092524,45.5715083796531,-0.300,0.662,0.036,0.232,0.434,-0.013,0.666,0.081,1.000,1.000
204965864,0.0174313,45.5889396797866,-0.304,0.656,0.031,0.231,0.428,-0.017,0.660,0.078,1.000,1.000
204965866,0.0162438,45.6051834803075,-0.307,0.651,0.028,0.208,0.421,-0.020,0.655,0.076,1.000,1.000
204965868,0.0165817,45.6217651795596,-0.307,0.651,0.028,0.211,0.406,-0.020,0.655,0.076,1.000,1.000
