Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
204966201,0.0197041,48.6976791778579,-0.262,0.010,0.779,0.621,1.000,0.003,-0.006,0.900,0.984,1.000
204966204,0.0087964,48.7064755782485,-0.263,0.186,0.997,0.581,1.000,0.004,0.172,1.117,0.983,1.000
204966204,0.0238153,48.7302908785641,-0.265,0.361,1.214,0.513,1.000,0.005,0.351,1.333,0.965,1.000
204966207,0.0095211,48.7398119783029,-0.266,0.537,1.431,0.488,1.000,0.006,0.530,1.547,0.963,1.000
204966209,0.0252896,48.7651015790179,-0.267,0.713,1.647,0.412,1.000,0.007,0.708,1.761,0.942,0.969
204966210,0.0171684,48.7822699798271,-0.268,0.890,1.864,0.367,1.000,0.008,0.887,1.975,0.923,0.909
204966211,0.0081245,48.7903944794089,0.268,1.710,1.369,0.349,1.000,-0.009,1.819,1.388,0.913,0.886
204966214,0.0185261,48.8089205790311,0.268,1.888,1.584,0.319,1.000,-0.009,1.996,1.604,0.928,0.870
204966215,0.0236121,48.8325326796621,0.268,2.066,1.799,0.329,1.000,-0.009,2.173,1.819,0.949,0.850
204966217,0.0083918,48.8409244799986,0.268,2.243,2.015,0.363,1.000,-0.009,2.351,2.034,0.960,0.858
204966224,0.0262303,48.867154779844,0.268,2.421,2.230,0.448,0.841,-0.009,2.531,2.248,0.949,0.864
204966232,0.0668333,48.9339880822226,0.268,2.779,2.662,0.365,0.682,-0.010,2.888,2.679,0.846,0.768
204966242,0.0813037,49.0152917830274,-0.266,2.487,3.811,0.215,0.666,0.011,2.486,3.926,0.838,0.798
204966250,0.0965683,49.1118600843474,-0.265,3.017,4.465,0.021,0.717,0.010,3.018,4.582,0.901,0.825
204966253,0.0830546,49.1949146864936,0.265,4.216,4.386,0.151,0.703,-0.011,4.332,4.411,0.840,0.807
204966254,0.030938,49.2258526859805,-0.264,3.730,5.333,0.210,0.650,0.011,3.733,5.451,0.876,0.858
204966256,0.0090095,49.2348621860147,0.265,4.575,4.820,0.312,0.621,-0.012,4.689,4.847,0.897,0.906
204966257,0.024714,49.2595761865377,-0.265,4.087,5.768,0.360,0.586,0.013,4.094,5.884,0.867,0.903
204966260,0.0100988,49.2696749866009,0.265,4.933,5.253,0.389,0.563,-0.014,5.044,5.284,0.856,0.887
204966263,0.0250526,49.2947275862098,0.267,5.112,5.472,0.423,0.499,-0.017,5.221,5.503,0.832,0.725
204966264,0.0318822,49.3266097865999,-0.268,4.627,6.419,0.628,0.311,0.018,4.634,6.531,0.764,0.518
204966267,0.0097205,49.3363302862272,0.269,5.467,5.911,0.694,0.291,-0.020,5.575,5.936,0.756,0.548
204966270,0.0260224,49.3623526869342,-0.269,4.998,6.847,0.784,0.210,0.023,4.996,6.956,0.748,0.606
204966273,0.0340209,49.3963735876605,-0.269,5.186,7.059,0.584,0.074,0.028,5.179,7.164,0.734,0.597
204966277,0.03434,49.4307135893032,0.266,6.159,6.803,0.210,0.000,-0.035,6.259,6.810,0.678,0.350
204966280,0.0326517,49.4633652893826,-0.263,5.740,7.692,0.050,0.000,0.044,5.724,7.786,0.749,0.000
204966283,0.0369205,49.5002857884392,0.260,6.677,7.462,0.000,0.000,-0.054,6.764,7.463,0.733,0.000
204966287,0.0286273,49.5289130890742,0.260,6.852,7.679,0.000,0.000,-0.065,6.931,7.680,0.698,0.000
204966287,0.0319636,49.5608766907826,-0.260,6.459,8.548,0.000,0.000,0.071,6.444,8.621,0.441,0.000
204966290,0.0092481,49.5701247910038,-0.305,0.702,-0.085,0.000,0.000,0.041,0.694,-0.103,0.391,0.000
204966293,0.0259795,49.5961042912677,-0.307,0.700,-0.100,0.000,0.000,0.053,0.694,-0.123,0.233,0.000
204966296,0.0320638,49.6281680921093,-0.308,0.700,-0.108,0.000,0.000,0.065,0.699,-0.138,0.052,0.000
204966297,0.0327983,49.6609663935378,-0.308,0.701,-0.114,0.000,0.000,0.070,0.701,-0.145,0.049,0.000
204966300,0.009394,49.6703603938222,-0.308,0.701,-0.123,0.000,0.000,0.076,0.702,-0.153,0.050,0.000
204966303,0.0250831,49.6954434942454,-0.308,0.702,-0.143,0.000,0.000,0.084,0.700,-0.167,0.090,0.000
204966304,0.0321003,49.7275437954813,-0.306,0.702,-0.147,0.000,0.000,0.088,0.700,-0.169,0.048,0.000
204966306,0.0079286,49.7354723950848,-0.305,0.703,-0.152,0.000,0.000,0.092,0.701,-0.173,0.000,0.000
204966310,0.0268631,49.762335495092,-0.306,0.702,-0.166,0.000,0.000,0.093,0.705,-0.186,0.000,0.006
