Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
204977355,0.1126747,160.135441181716,-0.142,1.058,-0.495,5.645,12.402,0.424
204977362,0.0158797,160.151320881676,-0.141,1.060,-0.495,5.315,12.052,359.979
204977369,0.0750284,160.226349278819,-0.141,1.060,-0.497,5.341,11.993,359.364
204977370,0.0684368,160.294786080252,-0.141,1.059,-0.498,5.421,11.996,359.342
204977372,0.0077085,160.302494580392,-0.141,1.059,-0.498,5.500,12.159,359.412
204977374,0.0147072,160.317201780621,-0.141,1.059,-0.497,5.562,12.313,359.590
204977376,0.0261037,160.343305480201,-0.141,1.058,-0.498,5.699,12.368,359.500
204977377,0.0153046,160.358610080089,-0.142,1.058,-0.498,5.851,12.470,359.434
204977379,0.0087576,160.367367679719,-0.142,1.058,-0.499,5.926,12.568,359.444
204977383,0.0277963,160.395163979847,-0.142,1.058,-0.499,6.204,12.924,359.353
204977386,0.0343873,160.429551281501,-0.143,1.057,-0.500,6.402,13.458,359.170
204977389,0.0346386,160.464189880062,-0.143,1.056,-0.501,6.613,14.094,359.009
204977393,0.0318181,160.496007979382,-0.144,1.055,-0.501,6.812,14.740,359.046
204977396,0.0351094,160.531117380131,-0.144,1.054,-0.501,7.088,15.356,359.179
204977400,0.0338726,160.564989980776,-0.144,1.053,-0.500,7.435,15.937,359.282
204977400,0.0318762,160.596866179723,-0.145,1.053,-0.500,7.635,16.267,359.351
204977403,0.0081244,160.604990579654,-0.145,1.052,-0.500,7.791,16.483,359.387
204977404,0.0253877,160.630378280301,-0.145,1.052,-0.499,7.943,16.739,359.425
204977406,0.0109642,160.641342480201,-0.145,1.051,-0.499,8.029,16.940,359.420
204977407,0.0236109,160.664953379426,-0.145,1.051,-0.498,8.169,17.144,359.411
204977409,0.0076474,160.672600779217,-0.146,1.050,-0.498,8.296,17.320,359.413
204977411,0.024164,160.696764779743,-0.146,1.050,-0.497,8.493,17.537,359.447
204977413,0.0099297,160.706694479566,-0.146,1.049,-0.497,8.683,17.717,359.456
204977414,0.0270583,160.733752779197,-0.146,1.049,-0.496,8.827,17.900,359.468
204977416,0.0076598,160.741412579082,-0.146,1.048,-0.495,8.960,18.041,359.523
204977417,0.0246659,160.766078478657,-0.146,1.048,-0.495,9.116,18.178,359.590
204977420,0.010376,160.776454478502,-0.146,1.048,-0.494,9.263,18.287,359.681
204977423,0.0309991,160.807453578338,-0.145,1.047,-0.492,9.626,18.457,359.877
0,0.0274265,160.834880078211,-0.145,1.046,-0.491,10.086,18.562,0.013
0,0.031757,160.866637079045,-0.144,1.045,-0.489,10.768,18.649,0.225
0,0.0333441,160.899981180206,-0.144,1.044,-0.488,11.350,18.613,0.405
204977435,0.0312953,160.931276479736,-0.143,1.042,-0.487,11.976,18.561,0.662
0,0.0318427,160.963119180873,-0.143,1.042,-0.486,12.259,18.513,0.786
204977439,0.0082254,160.971344580874,-0.143,1.041,-0.486,12.502,18.456,0.874
