Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
232570868,0.0127681,27.6719345166348,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570870,0.0178066,27.6897411174141,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570871,0.0135799,27.7033210177906,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570873,0.0138479,27.7171689174138,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570875,0.0171644,27.7343333172612,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570876,0.0176477,27.7519810176454,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570878,0.0179309,27.7699119183235,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570880,0.0185471,27.7884590174071,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570882,0.0175507,27.80600971682,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570884,0.0200157,27.8260254166089,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570886,0.0185738,27.8445992167108,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570888,0.0198327,27.8644319172017,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570890,0.0230364,27.8874683170579,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570892,0.0178453,27.9053136161529,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570894,0.0217529,27.9270665156655,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570896,0.0218167,27.9488832163624,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570899,0.0229558,27.9718390158378,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570901,0.0237301,27.995569115039,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570904,0.0237214,28.0192905156873,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570906,0.0253467,28.0446372157894,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570909,0.0266291,28.0712663154118,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570912,0.0260038,28.0972701157443,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570915,0.0292067,28.1264768163674,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570918,0.0298961,28.1563729154877,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570921,0.0304222,28.1867951150052,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570925,0.0330471,28.2198422136717,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570929,0.0361034,28.2559456150047,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570933,0.0382005,28.2941461163573,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570938,0.0452369,28.3393830168061,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
232570942,0.0437288,28.3831118154339,-0.216,0.052,-0.058,0.000,0.000,0.041,0.078,-0.113,0.108,0.126
