Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
17346469,0.0104561,720.723612345289,3.000,0.000,0.000,False
17346471,0.0126118,720.736224145163,3.000,0.000,0.000,False
17346472,0.0163474,720.752571546007,3.000,0.000,0.000,False
17346474,0.0174746,720.77004614519,3.000,0.000,0.000,False
17346476,0.0172432,720.787289346103,3.000,0.000,0.000,False
17346478,0.0180019,720.805291245226,3.000,0.000,0.000,False
17346479,0.0180651,720.823356345762,3.000,0.000,0.000,False
17346481,0.0200998,720.843456145842,3.000,0.000,0.000,False
17346483,0.0171144,720.860570546705,3.000,0.000,0.000,False
17346485,0.0195149,720.880085446406,3.000,0.000,0.000,False
17346487,0.0194088,720.899494246114,3.000,0.000,0.000,False
17346489,0.0210812,720.920575445984,3.000,0.000,0.000,False
17346492,0.0204557,720.941031145398,3.000,0.000,0.000,False
17346494,0.0213173,720.962348444853,3.000,0.000,0.000,False
17346496,0.0224617,720.984810144175,3.000,0.000,0.000,False
17346498,0.0209748,721.005784944166,3.000,0.000,0.000,False
17346501,0.0234463,721.029231243301,3.000,0.000,0.000,False
17346503,0.0252646,721.054495843593,3.000,0.000,0.000,False
17346506,0.0245958,721.07909164438,3.000,0.000,0.000,False
17346508,0.0254677,721.104559343774,3.000,0.000,0.000,False
17346511,0.0270517,721.131611044053,3.000,0.000,0.000,False
17346514,0.0281509,721.159761943389,3.000,0.000,0.000,False
17346517,0.0297226,721.189484542701,3.000,0.000,0.000,False
17346521,0.0312547,721.220739244018,3.000,0.000,0.000,False
17346524,0.0338934,721.254632642958,3.000,0.000,0.000,False
17346528,0.0351993,721.289831942413,3.000,0.000,0.000,False
17346532,0.0380408,721.32787274057,3.000,0.000,0.000,False
17346537,0.0438762,721.371748941485,3.000,0.000,0.000,False
17346543,0.0480156,721.419764539693,3.000,0.000,0.000,False
17346549,0.0551839,721.47494843835,3.000,0.000,0.000,False
17346559,0.0666948,721.541643241886,3.000,0.000,0.000,False
17346568,0.0918247,721.633467944805,3.000,0.000,0.000,False
17346571,0.099664,721.733131947462,3.000,0.000,0.000,False
17346572,0.0225617,721.755693646614,3.000,0.000,0.000,False
17346574,0.0168093,721.772502946202,3.000,0.000,0.000,False
17346576,0.0168728,721.789375747088,3.000,0.000,0.000,False
17346577,0.0163028,721.805678546894,3.000,0.000,0.000,False
17346579,0.0166029,721.822281446774,3.000,0.000,0.000,False
17346581,0.0169341,721.839215547312,3.000,0.000,0.000,False
17346582,0.0170874,721.856302947272,3.000,0.000,0.000,False
17346584,0.0169841,721.873287046794,3.000,0.000,0.000,False
17346586,0.0166798,721.889966845978,3.000,0.000,0.000,False
17346588,0.0160776,721.906044446398,3.000,0.000,0.000,False
17346589,0.0172525,721.923296945635,3.000,0.000,0.000,False
17346591,0.0171597,721.940456646029,3.000,0.000,0.000,False
17346592,0.0156722,721.956128845457,3.000,0.000,0.000,False
17346594,0.0170257,721.973154545296,3.000,0.000,0.000,False
17346596,0.0166955,721.989850044716,3.000,0.000,0.000,False
17346598,0.0170365,722.006886544172,3.000,0.000,0.000,False
17346599,0.0169235,722.023810044397,3.000,0.000,0.000,False
17346601,0.0169223,722.040732345078,3.000,0.000,0.000,False
17346602,0.0165683,722.057300644461,3.000,0.000,0.000,False
