Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
17202589,0.0434942,1988.19923807867,-0.943,0.698,-0.171,25.720,328.877,357.259
17202595,0.193209,1988.39244708605,-0.943,0.698,-0.171,25.771,328.763,357.182
17202649,0.1060668,1988.97967409156,-0.950,0.697,-0.174,25.853,328.657,357.500
17202657,0.0070272,1988.98670129152,-0.951,0.696,-0.177,25.994,328.784,357.659
17202664,0.0821912,1989.06889249058,-0.953,0.695,-0.180,26.111,328.973,358.151
17202671,0.0750316,1989.14392409148,-0.954,0.695,-0.182,26.079,328.792,358.414
17202673,0.0727815,1989.21670559468,-0.955,0.695,-0.183,26.084,328.758,358.495
17202675,0.0133066,1989.23001219472,-0.955,0.695,-0.184,26.052,328.720,358.600
17202676,0.0171854,1989.24719759403,-0.956,0.694,-0.185,26.043,328.685,358.683
17202678,0.016559,1989.26375659322,-0.956,0.694,-0.186,26.054,328.698,358.742
17202680,0.0177757,1989.28153229272,-0.956,0.694,-0.187,26.057,328.690,358.799
17202682,0.0170448,1989.29857709212,-0.957,0.694,-0.188,26.053,328.698,358.943
17202683,0.0189539,1989.31753099291,-0.958,0.694,-0.189,26.094,328.699,359.106
17202685,0.0141317,1989.3316626926,-0.958,0.694,-0.191,26.148,328.716,359.295
17202687,0.0172289,1989.34889159212,-0.959,0.694,-0.192,26.176,328.733,359.491
17202688,0.016646,1989.36553759174,-0.959,0.694,-0.194,26.202,328.808,359.671
17202690,0.0168383,1989.38237589085,-0.959,0.694,-0.195,26.214,328.926,359.832
17202692,0.0167263,1989.39910219098,-0.960,0.694,-0.197,26.224,329.056,0.012
17202694,0.0170668,1989.41616899008,-0.960,0.694,-0.198,26.220,329.174,0.246
17202695,0.019336,1989.43550499016,-0.960,0.694,-0.200,26.249,329.330,0.489
17202697,0.014019,1989.44952399051,-0.960,0.694,-0.202,26.273,329.520,0.709
17202698,0.0164444,1989.46596839046,-0.959,0.694,-0.203,26.255,329.750,0.941
17202700,0.0154889,1989.48145729071,-0.959,0.694,-0.205,26.215,330.014,1.185
17202701,0.0170143,1989.49847159116,-0.959,0.695,-0.207,26.184,330.315,1.440
17202703,0.0168054,1989.51527699037,-0.958,0.695,-0.209,26.142,330.664,1.710
17202705,0.0204104,1989.53568739025,-0.958,0.696,-0.210,26.080,330.986,1.955
17202706,0.0118644,1989.54755178979,-0.957,0.697,-0.212,25.986,331.303,2.236
17202708,0.0193603,1989.56691208994,-0.956,0.697,-0.214,25.830,331.590,2.563
17202710,0.0148877,1989.5817997898,-0.956,0.698,-0.216,25.628,331.817,2.869
17202712,0.0186992,1989.60049899062,-0.955,0.698,-0.217,25.453,331.988,3.167
17202713,0.0152036,1989.61570259044,-0.954,0.699,-0.219,25.312,332.125,3.441
17202715,0.0173317,1989.63303429121,-0.954,0.699,-0.221,25.193,332.200,3.656
17202717,0.01659,1989.64962429041,-0.953,0.699,-0.222,25.097,332.265,3.775
17202718,0.0165103,1989.66613459075,-0.953,0.699,-0.224,25.028,332.336,3.878
17202720,0.0176864,1989.68382099131,-0.952,0.699,-0.225,24.983,332.383,3.985
17202722,0.0157434,1989.69956439221,-0.952,0.699,-0.226,24.925,332.404,4.034
17202724,0.0172015,1989.71676589223,-0.951,0.699,-0.227,24.877,332.421,4.028
17202725,0.0192123,1989.73597819218,-0.950,0.699,-0.228,24.853,332.438,4.014
17202727,0.0153202,1989.75129839173,-0.950,0.698,-0.228,24.846,332.465,4.002
17202728,0.0152457,1989.76654409198,-0.949,0.698,-0.229,24.851,332.509,3.968
17202730,0.0167051,1989.78324919147,-0.948,0.698,-0.230,24.851,332.550,3.879
17202732,0.0176116,1989.80086079193,-0.947,0.697,-0.230,24.869,332.614,3.776
17202733,0.0161127,1989.81697349204,-0.946,0.697,-0.231,24.901,332.686,3.648
17202735,0.0177052,1989.83467869228,-0.945,0.696,-0.231,24.933,332.750,3.566
17202737,0.0159283,1989.85060699238,-0.945,0.696,-0.232,24.966,332.842,3.505
17202738,0.0159872,1989.86659419304,-0.944,0.696,-0.232,24.990,332.932,3.461
17202740,0.0192096,1989.88580379216,-0.943,0.695,-0.232,25.019,333.024,3.434
17202742,0.0157478,1989.90155159263,-0.942,0.695,-0.233,25.054,333.108,3.360
17202743,0.0157987,1989.91735029174,-0.941,0.695,-0.233,25.084,333.202,3.288
17202745,0.0174726,1989.9348228923,-0.939,0.695,-0.234,25.087,333.292,3.225
17202747,0.0153822,1989.95020509185,-0.938,0.695,-0.234,25.080,333.397,3.188
17202748,0.0182107,1989.96841579163,-0.937,0.695,-0.235,25.062,333.539,3.136
0,0.0158925,1989.98430829169,-0.936,0.696,-0.235,25.065,333.731,3.077
17202751,0.0164532,1990.00076149078,-0.934,0.696,-0.235,25.068,333.987,3.041
17202753,0.0160385,1990.01679999055,-0.933,0.697,-0.236,25.012,334.313,3.082
17202755,0.018038,1990.03483799146,-0.931,0.697,-0.236,24.947,334.752,3.059
17202757,0.0156512,1990.05048919143,-0.929,0.698,-0.237,24.893,335.398,3.019
17202758,0.0184873,1990.06897649216,-0.927,0.700,-0.237,24.820,336.343,2.925
17202760,0.0147767,1990.08375319233,-0.925,0.702,-0.237,24.759,337.555,2.739
17202762,0.0162258,1990.09997899225,-0.922,0.704,-0.238,24.616,339.165,2.616
17202763,0.0168232,1990.11680219276,-0.919,0.707,-0.238,24.386,341.075,2.715
17202765,0.0168967,1990.13369889325,-0.915,0.710,-0.239,24.218,343.123,2.977
17202767,0.0162242,1990.14992309315,-0.911,0.714,-0.240,24.007,345.314,3.356
17202768,0.0209254,1990.17084849393,-0.907,0.717,-0.241,23.799,347.529,3.915
17202770,0.0127424,1990.1835908941,-0.903,0.722,-0.243,23.551,349.843,4.671
17202772,0.0174209,1990.20101179322,-0.898,0.727,-0.245,23.180,352.177,5.585
17202773,0.0161301,1990.2171418923,-0.893,0.733,-0.248,22.678,354.431,6.418
17202775,0.0184412,1990.23558309255,-0.888,0.739,-0.251,22.057,356.743,7.122
17202776,0.0149283,1990.25051139249,-0.882,0.746,-0.254,21.372,359.213,7.617
17202778,0.018344,1990.26885539247,-0.876,0.752,-0.258,20.665,1.612,7.902
0,0.0158388,1990.28469419247,-0.870,0.759,-0.261,20.010,4.104,8.176
0,0.0170105,1990.30170469312,-0.863,0.766,-0.265,19.457,6.692,8.436
0,0.0171872,1990.31889189361,-0.856,0.773,-0.270,19.015,9.237,8.647
17202784,0.0157717,1990.33466359368,-0.849,0.780,-0.275,18.615,11.995,8.831
17202787,0.0161845,1990.35084809316,-0.840,0.788,-0.280,18.139,14.939,8.912
17202788,0.0174507,1990.36829879275,-0.833,0.795,-0.286,17.636,17.639,8.867
17202790,0.0185362,1990.38683499349,-0.825,0.802,-0.291,17.110,20.343,8.807
17202792,0.0144854,1990.40132039366,-0.816,0.809,-0.297,16.603,23.107,8.773
17202793,0.0175946,1990.41891499376,-0.809,0.815,-0.303,16.151,25.557,8.743
17202795,0.0159939,1990.43490889436,-0.801,0.821,-0.308,15.706,27.841,8.700
17202797,0.0162562,1990.45116509451,-0.794,0.828,-0.314,15.289,30.081,8.753
17202798,0.0175638,1990.4687288939,-0.786,0.834,-0.320,14.972,32.088,8.891
17202800,0.0185543,1990.48728319397,-0.778,0.840,-0.326,14.708,34.179,8.769
17202802,0.0152724,1990.50255559431,-0.771,0.845,-0.332,14.531,35.651,8.408
17202803,0.0159293,1990.51848489465,-0.765,0.850,-0.337,14.363,36.935,7.968
17202805,0.0178898,1990.5363746942,-0.759,0.855,-0.341,14.262,37.963,7.639
17202807,0.0151793,1990.55155399395,-0.753,0.859,-0.346,14.177,38.743,7.396
17202809,0.0175513,1990.56910529314,-0.749,0.862,-0.349,14.072,39.117,7.166
17202810,0.0189275,1990.58803279279,-0.745,0.866,-0.353,13.906,39.499,6.778
17202812,0.0126695,1990.60070229275,-0.740,0.869,-0.356,13.759,39.800,6.355
17202813,0.0173583,1990.6180605921,-0.736,0.873,-0.360,13.669,39.958,6.009
17202815,0.0169786,1990.63503919123,-0.731,0.875,-0.363,13.663,40.031,5.629
17202816,0.01635,1990.65138919046,-0.727,0.878,-0.367,13.739,40.093,5.200
17202818,0.0173722,1990.66876139073,-0.724,0.880,-0.370,13.828,40.124,4.760
17202820,0.0161975,1990.68495889148,-0.721,0.881,-0.373,13.957,40.102,4.307
17202822,0.0178878,1990.70284669241,-0.718,0.883,-0.376,14.113,40.027,3.907
17202823,0.0159055,1990.71875219187,-0.715,0.885,-0.379,14.199,39.881,3.584
17202825,0.0166945,1990.73544669105,-0.712,0.886,-0.382,14.224,39.676,3.274
17202827,0.0165535,1990.75200019171,-0.710,0.887,-0.384,14.173,39.364,2.900
17202828,0.0178175,1990.76981769083,-0.708,0.889,-0.387,13.973,38.992,2.489
17202830,0.0171244,1990.78694209037,-0.706,0.890,-0.389,13.612,38.586,2.089
17202832,0.0160407,1990.80298278993,-0.705,0.892,-0.392,12.979,38.073,1.699
17202833,0.0163685,1990.81935129082,-0.704,0.894,-0.394,12.224,37.494,1.276
17202835,0.0173942,1990.83674549079,-0.704,0.896,-0.396,11.408,36.824,0.781
17202837,0.0171382,1990.85388369067,-0.704,0.898,-0.398,10.499,36.024,0.236
17202838,0.01629,1990.87017369037,-0.704,0.900,-0.400,9.514,35.130,359.704
17202840,0.0171871,1990.88736079028,-0.704,0.903,-0.401,8.556,34.150,359.349
17202842,0.0168802,1990.90424098959,-0.705,0.905,-0.402,7.644,33.072,359.173
17202843,0.0156171,1990.91985808918,-0.705,0.906,-0.403,6.797,31.810,359.156
17202845,0.0174493,1990.93730738992,-0.707,0.908,-0.403,6.012,30.249,359.225
17202847,0.0163947,1990.95370209077,-0.709,0.910,-0.403,5.372,28.479,359.315
0,0.0167013,1990.97040339047,-0.711,0.911,-0.402,4.860,26.448,359.425
0,0.0166636,1990.98706699023,-0.715,0.911,-0.402,4.455,24.131,359.535
0,0.0188087,1991.00587569037,-0.718,0.912,-0.401,4.131,21.541,359.708
0,0.0148375,1991.02071319008,-0.723,0.912,-0.399,3.892,18.544,359.948
0,0.0164396,1991.03715279,-0.729,0.913,-0.398,3.759,15.058,0.231
17202856,0.0164179,1991.0535706901,-0.735,0.913,-0.397,3.738,11.317,0.498
17202858,0.0175423,1991.07111299085,-0.744,0.913,-0.396,3.860,6.495,0.840
17202860,0.0163014,1991.08741438994,-0.751,0.912,-0.395,4.090,2.260,1.151
17202861,0.0194233,1991.10683769034,-0.761,0.912,-0.395,4.460,357.183,1.545
17202863,0.0111557,1991.11799339065,-0.771,0.911,-0.396,4.865,352.365,1.897
17202865,0.017098,1991.13509139093,-0.781,0.910,-0.397,5.276,347.403,2.263
17202866,0.0162004,1991.15129179182,-0.789,0.909,-0.398,5.572,343.361,2.604
17202868,0.0179268,1991.16921859095,-0.799,0.909,-0.400,5.894,338.612,3.029
