Frame,DeltaTime,Time,LPositionX,LPositionY,LPositionZ,LGrab,LPinch,RPositionX,RPositionY,RPositionZ,RGrab,RPinch
17202589,0.0434942,1988.19923807867,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202595,0.193209,1988.39244708605,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202649,0.1060668,1988.97967409156,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202657,0.0070272,1988.98670129152,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202664,0.0821912,1989.06889249058,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202671,0.0750316,1989.14392409148,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202673,0.0727815,1989.21670559468,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202675,0.0133066,1989.23001219472,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202676,0.0171854,1989.24719759403,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202678,0.016559,1989.26375659322,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202680,0.0177757,1989.28153229272,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202682,0.0170448,1989.29857709212,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202683,0.0189539,1989.31753099291,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202685,0.0141317,1989.3316626926,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202687,0.0172289,1989.34889159212,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202688,0.016646,1989.36553759174,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202690,0.0168383,1989.38237589085,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202692,0.0167263,1989.39910219098,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202694,0.0170668,1989.41616899008,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202695,0.019336,1989.43550499016,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202697,0.014019,1989.44952399051,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202698,0.0164444,1989.46596839046,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202700,0.0154889,1989.48145729071,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202701,0.0170143,1989.49847159116,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202703,0.0168054,1989.51527699037,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202705,0.0204104,1989.53568739025,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202706,0.0118644,1989.54755178979,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202708,0.0193603,1989.56691208994,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202710,0.0148877,1989.5817997898,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202712,0.0186992,1989.60049899062,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202713,0.0152036,1989.61570259044,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202715,0.0173317,1989.63303429121,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202717,0.01659,1989.64962429041,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202718,0.0165103,1989.66613459075,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202720,0.0176864,1989.68382099131,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202722,0.0157434,1989.69956439221,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202724,0.0172015,1989.71676589223,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202725,0.0192123,1989.73597819218,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202727,0.0153202,1989.75129839173,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202728,0.0152457,1989.76654409198,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202730,0.0167051,1989.78324919147,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202732,0.0176116,1989.80086079193,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202733,0.0161127,1989.81697349204,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202735,0.0177052,1989.83467869228,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202737,0.0159283,1989.85060699238,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202738,0.0159872,1989.86659419304,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202740,0.0192096,1989.88580379216,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202742,0.0157478,1989.90155159263,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202743,0.0157987,1989.91735029174,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202745,0.0174726,1989.9348228923,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202747,0.0153822,1989.95020509185,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202748,0.0182107,1989.96841579163,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
0,0.0158925,1989.98430829169,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202751,0.0164532,1990.00076149078,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202753,0.0160385,1990.01679999055,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202755,0.018038,1990.03483799146,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202757,0.0156512,1990.05048919143,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202758,0.0184873,1990.06897649216,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202760,0.0147767,1990.08375319233,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202762,0.0162258,1990.09997899225,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202763,0.0168232,1990.11680219276,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202765,0.0168967,1990.13369889325,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202767,0.0162242,1990.14992309315,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202768,0.0209254,1990.17084849393,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202770,0.0127424,1990.1835908941,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202772,0.0174209,1990.20101179322,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
17202773,0.0161301,1990.2171418923,-0.077,0.024,0.255,0.000,0.000,0.077,0.024,0.255,0.000,0.000
