Frame,DeltaTime,Time,LevelNumber,TrailNumber,MolePosition,WhackCheck
17190301,0.0179077,1867.05945302453,3.000,0.000,0.000,False
17190303,0.0125421,1867.07199512422,3.000,0.000,0.000,False
17190305,0.0179773,1867.08997242339,3.000,0.000,0.000,False
17190306,0.0185425,1867.1085149236,3.000,0.000,0.000,False
17190308,0.022144,1867.13065892272,3.000,0.000,0.000,False
17190310,0.0143356,1867.14499452244,3.000,0.000,0.000,False
17190312,0.0218814,1867.16687592212,3.000,0.000,0.000,False
17190368,0.111345,1867.73200662434,3.000,0.000,0.000,False
17190371,0.012795,1867.74480162468,3.000,0.000,0.000,False
17190373,0.0224097,1867.76721132454,3.000,0.000,0.000,False
17190375,0.0234475,1867.79065882508,3.000,0.000,0.000,False
17190377,0.0263958,1867.81705462467,3.000,0.000,0.000,False
17190380,0.0179424,1867.83499702532,3.000,0.000,0.000,False
17190382,0.0254198,1867.86041682493,3.000,0.000,0.000,False
17190383,0.0281613,1867.88857812528,3.000,0.000,0.000,False
17190386,0.0090801,1867.89765822515,3.000,0.000,0.000,False
17190389,0.0282968,1867.92595502548,3.000,0.000,0.000,False
17190390,0.0279119,1867.95386692509,3.000,0.000,0.000,False
17190392,0.0099794,1867.96384632494,3.000,0.000,0.000,False
17190393,0.0241595,1867.98800582532,3.000,0.000,0.000,False
17190396,0.0091623,1867.99716812558,3.000,0.000,0.000,False
17190399,0.0304666,1868.02763472497,3.000,0.000,0.000,False
17190400,0.0241278,1868.05176252499,3.000,0.000,0.000,False
17190402,0.0171224,1868.06888492592,3.000,0.000,0.000,False
17190404,0.0117488,1868.08063372597,3.000,0.000,0.000,False
17190406,0.0242187,1868.1048524268,3.000,0.000,0.000,False
17190407,0.014342,1868.11919442657,3.000,0.000,0.000,False
17190409,0.0177468,1868.13694122713,3.000,0.000,0.000,False
17190411,0.0163617,1868.1533029275,3.000,0.000,0.000,False
17190412,0.0172466,1868.17054952774,3.000,0.000,0.000,False
17190414,0.0160679,1868.18661742751,3.000,0.000,0.000,False
17190416,0.0163496,1868.20296702813,3.000,0.000,0.000,False
17190418,0.0169194,1868.21988642868,3.000,0.000,0.000,False
17190421,0.0208141,1868.24070052896,3.000,0.000,0.000,False
17190422,0.0297458,1868.27044632938,3.000,0.000,0.000,False
17190424,0.0097441,1868.28019042965,3.000,0.000,0.000,False
17190426,0.0236136,1868.30380402971,3.000,0.000,0.000,False
17190427,0.015777,1868.31958102901,3.000,0.000,0.000,False
17190429,0.0171498,1868.33673082944,3.000,0.000,0.000,False
17190430,0.0174664,1868.35419722926,3.000,0.000,0.000,False
17190432,0.010867,1868.36506422888,3.000,0.000,0.000,False
17190434,0.0236706,1868.38873482961,3.000,0.000,0.000,False
17190436,0.0093063,1868.39804113004,3.000,0.000,0.000,False
17190437,0.0234227,1868.42146382947,3.000,0.000,0.000,False
17190441,0.0199404,1868.44140422996,3.000,0.000,0.000,False
17190442,0.0305998,1868.47200403083,3.000,0.000,0.000,False
17190444,0.010124,1868.48212803062,3.000,0.000,0.000,False
17190445,0.0236923,1868.50582033116,3.000,0.000,0.000,False
17190447,0.0099189,1868.51573923137,3.000,0.000,0.000,False
17190450,0.0219902,1868.53772943188,3.000,0.000,0.000,False
17190453,0.021592,1868.55932143237,3.000,0.000,0.000,False
17190454,0.0293678,1868.58868923318,3.000,0.000,0.000,False
17190456,0.0098629,1868.59855213296,3.000,0.000,0.000,False
17190457,0.0213757,1868.61992783379,3.000,0.000,0.000,False
17190460,0.0122245,1868.63215233386,3.000,0.000,0.000,False
17190462,0.0266477,1868.65880003385,3.000,0.000,0.000,False
17190464,0.0299362,1868.68873623386,3.000,0.000,0.000,False
17190466,0.0093618,1868.69809803367,3.000,0.000,0.000,False
17190467,0.0235463,1868.7216443345,3.000,0.000,0.000,False
17190469,0.0109091,1868.73255343456,3.000,0.000,0.000,False
17190472,0.0283613,1868.76091473456,3.000,0.000,0.000,False
17190474,0.0287521,1868.78966683429,3.000,0.000,0.000,False
17190476,0.0095439,1868.79921073467,3.000,0.000,0.000,False
17190477,0.0220559,1868.82126663439,3.000,0.000,0.000,False
17190479,0.0094576,1868.83072423469,3.000,0.000,0.000,False
17190482,0.0289159,1868.85964013543,3.000,0.000,0.000,False
17190484,0.0289042,1868.88854433503,3.000,0.000,0.000,False
17190486,0.0146366,1868.90318093542,3.000,0.000,0.000,False
17190489,0.0202032,1868.92338413466,3.000,0.000,0.000,False
17190491,0.0279642,1868.95134833548,3.000,0.000,0.000,False
17190494,0.023052,1868.97440033499,3.000,0.000,0.000,False
17190495,0.0272152,1869.00161553454,3.000,0.000,0.000,False
17190497,0.0160486,1869.01766413543,3.000,0.000,0.000,False
17190499,0.012073,1869.0297371354,3.000,0.000,0.000,False
17190500,0.0215208,1869.05125793628,3.000,0.000,0.000,False
17190502,0.0114887,1869.06274663657,3.000,0.000,0.000,False
17190504,0.0195501,1869.08229673654,3.000,0.000,0.000,False
