Frame,DeltaTime,Time,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ
17190301,0.0179077,1867.05945302453,-0.776,0.760,-0.229,51.200,342.159,2.324
17190303,0.0125421,1867.07199512422,-0.776,0.760,-0.229,51.208,342.162,2.349
17190305,0.0179773,1867.08997242339,-0.776,0.761,-0.229,51.174,342.208,2.425
17190306,0.0185425,1867.1085149236,-0.776,0.761,-0.228,51.141,342.267,2.439
17190308,0.022144,1867.13065892272,-0.776,0.761,-0.228,51.071,342.351,2.507
17190310,0.0143356,1867.14499452244,-0.776,0.761,-0.228,51.020,342.331,2.517
17190312,0.0218814,1867.16687592212,-0.776,0.761,-0.228,50.963,342.311,2.467
17190368,0.111345,1867.73200662434,-0.771,0.764,-0.235,49.842,344.532,3.801
17190371,0.012795,1867.74480162468,-0.770,0.765,-0.235,49.661,344.615,3.496
17190373,0.0224097,1867.76721132454,-0.768,0.765,-0.235,49.434,345.055,3.064
17190375,0.0234475,1867.79065882508,-0.766,0.766,-0.235,49.239,345.769,2.788
17190377,0.0263958,1867.81705462467,-0.764,0.767,-0.236,49.048,346.591,2.582
17190380,0.0179424,1867.83499702532,-0.760,0.768,-0.236,48.773,348.008,2.497
17190382,0.0254198,1867.86041682493,-0.756,0.770,-0.236,48.313,349.871,2.903
17190383,0.0281613,1867.88857812528,-0.752,0.771,-0.236,48.037,351.264,3.108
17190386,0.0090801,1867.89765822515,-0.749,0.772,-0.236,47.689,352.903,3.517
17190389,0.0282968,1867.92595502548,-0.740,0.775,-0.236,46.945,357.088,5.100
17190390,0.0279119,1867.95386692509,-0.735,0.777,-0.236,46.609,359.863,6.251
17190392,0.0099794,1867.96384632494,-0.731,0.778,-0.237,46.311,2.552,7.451
17190393,0.0241595,1867.98800582532,-0.724,0.780,-0.238,45.891,5.866,9.133
17190396,0.0091623,1867.99716812558,-0.718,0.781,-0.239,45.436,9.291,10.847
17190399,0.0304666,1868.02763472497,-0.707,0.784,-0.241,44.395,15.308,13.767
17190400,0.0241278,1868.05176252499,-0.699,0.786,-0.243,43.546,19.247,15.699
17190402,0.0171224,1868.06888492592,-0.692,0.788,-0.245,42.818,22.546,17.316
17190404,0.0117488,1868.08063372597,-0.685,0.790,-0.247,42.065,25.386,18.711
17190406,0.0242187,1868.1048524268,-0.679,0.792,-0.249,41.359,28.088,20.075
17190407,0.014342,1868.11919442657,-0.674,0.794,-0.251,40.869,30.082,21.021
17190409,0.0177468,1868.13694122713,-0.670,0.795,-0.252,40.354,31.842,21.668
17190411,0.0163617,1868.1533029275,-0.665,0.797,-0.254,39.657,33.639,22.175
17190412,0.0172466,1868.17054952774,-0.660,0.798,-0.255,39.075,35.230,22.480
17190414,0.0160679,1868.18661742751,-0.655,0.799,-0.257,38.513,36.795,22.738
17190416,0.0163496,1868.20296702813,-0.651,0.801,-0.258,38.029,38.112,22.957
17190418,0.0169194,1868.21988642868,-0.646,0.802,-0.260,37.549,39.289,23.105
17190421,0.0208141,1868.24070052896,-0.638,0.805,-0.262,36.718,40.979,22.943
17190422,0.0297458,1868.27044632938,-0.634,0.807,-0.264,36.373,41.586,22.626
17190424,0.0097441,1868.28019042965,-0.631,0.808,-0.264,36.125,42.024,22.335
17190426,0.0236136,1868.30380402971,-0.628,0.810,-0.265,35.891,42.255,22.062
17190427,0.015777,1868.31958102901,-0.626,0.811,-0.266,35.626,42.344,21.771
17190429,0.0171498,1868.33673082944,-0.624,0.812,-0.266,35.381,42.335,21.492
17190430,0.0174664,1868.35419722926,-0.622,0.813,-0.266,35.185,42.368,21.198
17190432,0.010867,1868.36506422888,-0.619,0.814,-0.267,34.933,42.399,20.856
17190434,0.0236706,1868.38873482961,-0.617,0.815,-0.267,34.728,42.406,20.605
17190436,0.0093063,1868.39804113004,-0.615,0.816,-0.268,34.532,42.329,20.347
17190437,0.0234227,1868.42146382947,-0.613,0.818,-0.268,34.354,42.219,20.044
17190441,0.0199404,1868.44140422996,-0.609,0.820,-0.269,33.981,42.065,19.513
17190442,0.0305998,1868.47200403083,-0.607,0.821,-0.270,33.826,41.928,19.331
17190444,0.010124,1868.48212803062,-0.605,0.822,-0.270,33.666,41.706,19.145
17190445,0.0236923,1868.50582033116,-0.604,0.822,-0.271,33.515,41.437,18.949
17190447,0.0099189,1868.51573923137,-0.602,0.823,-0.271,33.389,41.179,18.808
17190450,0.0219902,1868.53772943188,-0.601,0.824,-0.271,33.336,40.877,18.758
17190453,0.021592,1868.55932143237,-0.599,0.826,-0.271,33.212,39.928,18.361
17190454,0.0293678,1868.58868923318,-0.599,0.826,-0.272,33.227,39.466,18.137
17190456,0.0098629,1868.59855213296,-0.598,0.827,-0.272,33.244,38.930,17.906
17190457,0.0213757,1868.61992783379,-0.597,0.827,-0.272,33.201,38.356,17.664
17190460,0.0122245,1868.63215233386,-0.597,0.828,-0.272,33.163,37.824,17.360
17190462,0.0266477,1868.65880003385,-0.596,0.829,-0.272,33.172,36.943,16.714
17190464,0.0299362,1868.68873623386,-0.595,0.830,-0.273,33.181,36.616,16.383
17190466,0.0093618,1868.69809803367,-0.595,0.830,-0.273,33.121,36.304,16.057
17190467,0.0235463,1868.7216443345,-0.594,0.831,-0.274,33.019,36.085,15.838
17190469,0.0109091,1868.73255343456,-0.594,0.831,-0.275,32.983,35.916,15.694
17190472,0.0283613,1868.76091473456,-0.593,0.832,-0.276,32.974,35.649,15.504
17190474,0.0287521,1868.78966683429,-0.593,0.833,-0.277,32.907,35.405,15.359
17190476,0.0095439,1868.79921073467,-0.592,0.833,-0.277,32.836,35.206,15.262
17190477,0.0220559,1868.82126663439,-0.592,0.833,-0.278,32.840,34.930,15.169
17190479,0.0094576,1868.83072423469,-0.593,0.834,-0.279,32.853,34.603,15.062
17190482,0.0289159,1868.85964013543,-0.593,0.834,-0.280,32.879,33.820,14.819
17190484,0.0289042,1868.88854433503,-0.594,0.834,-0.281,32.871,33.310,14.592
17190486,0.0146366,1868.90318093542,-0.594,0.835,-0.281,32.849,32.866,14.370
17190489,0.0202032,1868.92338413466,-0.596,0.835,-0.283,32.769,31.867,13.941
17190491,0.0279642,1868.95134833548,-0.597,0.836,-0.283,32.664,31.401,13.688
17190494,0.023052,1868.97440033499,-0.598,0.836,-0.284,32.477,30.605,13.355
17190495,0.0272152,1869.00161553454,-0.599,0.836,-0.285,32.419,30.045,13.184
17190497,0.0160486,1869.01766413543,-0.600,0.837,-0.286,32.351,29.649,13.095
17190499,0.012073,1869.0297371354,-0.601,0.837,-0.286,32.305,29.338,13.063
17190500,0.0215208,1869.05125793628,-0.602,0.837,-0.287,32.262,28.987,13.004
17190502,0.0114887,1869.06274663657,-0.603,0.837,-0.287,32.237,28.589,12.893
17190504,0.0195501,1869.08229673654,-0.604,0.837,-0.288,32.216,28.342,12.791
17190506,0.0216385,1869.10393523611,-0.605,0.837,-0.289,32.144,28.118,12.678
17190507,0.0164336,1869.12036883645,-0.606,0.837,-0.289,32.077,27.966,12.541
17190509,0.0174996,1869.13786843605,-0.606,0.837,-0.290,32.005,27.882,12.426
17190511,0.0168063,1869.15467473678,-0.607,0.837,-0.291,31.939,27.847,12.347
17190512,0.0163797,1869.17105443589,-0.607,0.837,-0.291,31.855,27.865,12.240
17190514,0.0187131,1869.18976753578,-0.607,0.838,-0.292,31.786,27.909,12.182
17190516,0.0148367,1869.20460423548,-0.608,0.838,-0.293,31.739,28.001,12.171
17190517,0.0175516,1869.22215583455,-0.607,0.838,-0.294,31.720,28.121,12.173
17190519,0.0175727,1869.23972853366,-0.607,0.839,-0.294,31.698,28.253,12.171
