Frame,DeltaTime,Time,PositionX,PositionY,PositionZ,Gripper
17206733,0.0253146,2029.74430698762,0.000,0.218,0.512,0.000
17206735,0.0124435,2029.75675048726,0.000,0.218,0.512,0.000
17206736,0.0177105,2029.77446098672,0.000,0.218,0.512,0.000
17206738,0.0106491,2029.78511008667,0.000,0.218,0.512,0.000
17206739,0.0238091,2029.80891918624,0.000,0.218,0.512,0.000
17206742,0.0090015,2029.81792068621,0.000,0.218,0.512,0.000
17206743,0.0219642,2029.83988488605,0.000,0.218,0.512,0.000
17206745,0.0128687,2029.85275358567,0.000,0.218,0.512,0.000
17206746,0.025831,2029.87858458655,0.000,0.218,0.512,0.000
17206748,0.0080115,2029.8865960869,0.000,0.218,0.512,0.000
17206750,0.0153983,2029.90199438715,0.000,0.218,0.512,0.000
17206754,0.0301291,2029.93212348642,0.000,0.218,0.512,0.000
17206755,0.0300789,2029.96220238553,0.000,0.218,0.512,0.000
17206759,0.008663,2029.97086538514,0.000,0.218,0.512,0.000
17206762,0.0407094,2030.01157478383,0.000,0.218,0.512,0.000
17206765,0.0316863,2030.04326108238,0.000,0.218,0.512,0.000
17206767,0.03368,2030.07694108179,0.000,0.218,0.512,0.000
17206769,0.0146706,2030.09161168197,0.000,0.218,0.512,0.000
17206772,0.0218115,2030.11342318216,0.000,0.218,0.512,0.000
17206773,0.0286487,2030.14207188273,0.000,0.218,0.512,0.000
17206775,0.0111252,2030.15319708316,0.000,0.218,0.512,0.000
17206777,0.0247855,2030.17798258318,0.000,0.218,0.512,0.000
17206778,0.0167744,2030.19475698238,0.000,0.218,0.512,0.000
17206780,0.0140554,2030.20881238254,0.000,0.218,0.512,0.000
17206782,0.0107934,2030.21960578253,0.000,0.218,0.512,0.000
17206783,0.0227203,2030.2423260822,0.000,0.218,0.512,0.000
17206785,0.016099,2030.25842508255,0.000,0.218,0.512,0.000
17206786,0.0167601,2030.27518518223,0.000,0.218,0.512,0.000
17206788,0.0122539,2030.28743908228,0.000,0.218,0.512,0.000
17206790,0.0213837,2030.30882278318,0.000,0.218,0.512,0.000
17206792,0.0112435,2030.32006628299,0.000,0.218,0.512,0.000
17206793,0.0231427,2030.34320898214,0.000,0.218,0.512,0.000
17206795,0.0113001,2030.35450908216,0.000,0.218,0.512,0.000
17206797,0.0229533,2030.37746238196,0.000,0.218,0.512,0.000
17206798,0.0160994,2030.39356178278,0.000,0.218,0.512,0.000
17206800,0.0141414,2030.40770318313,0.000,0.218,0.512,0.000
17206802,0.0196869,2030.42739008321,0.000,0.218,0.512,0.000
17206803,0.0178007,2030.44519078312,0.000,0.218,0.512,0.000
17206805,0.0153132,2030.46050398285,0.000,0.218,0.512,0.000
17206807,0.0125991,2030.4731030832,0.000,0.218,0.512,0.000
17206808,0.0214155,2030.49451858317,0.000,0.218,0.512,0.000
17206810,0.0159023,2030.51042088261,0.000,0.218,0.512,0.000
17206812,0.0166391,2030.527059983,0.000,0.218,0.512,0.000
17206813,0.0162707,2030.54333068384,0.000,0.218,0.512,0.000
17206815,0.017251,2030.56058168365,0.000,0.218,0.512,0.000
17206816,0.0159078,2030.57648948347,0.000,0.218,0.512,0.000
17206818,0.0142312,2030.5907206838,0.000,0.218,0.512,0.000
